Num,Time (sec),Raw Mem,Total Mem (kB),Used Mem (kB),Free Mem (kB),Buffer Size (kB),Mem Usage (%),Raw CPU,CPU Total (%),CPU User (%),CPU User Actual (%),CPU System (%),CPU System Actual (%)
1,0, Mem: 3731608k total 3589916k used 141692k free 111448k buffers ,3731608,3589916,141692,111448,0.962029238, 800%cpu 222%user 0%nice 53%sys 509%idle 3%iow 9%irq 3%sirq 0%host ,800,222,0.2775,53,0.06625
2,5, Mem: 3731608k total 3601992k used 129616k free 111452k buffers ,3731608,3601992,129616,111452,0.965265376, 800%cpu 210%user 6%nice 97%sys 474%idle 0%iow 10%irq 3%sirq 0%host ,800,210,0.2625,97,0.12125
3,10, Mem: 3731608k total 3614964k used 116644k free 111456k buffers ,3731608,3614964,116644,111456,0.968741626, 800%cpu 206%user 0%nice 72%sys 509%idle 3%iow 9%irq 0%sirq 0%host ,800,206,0.2575,72,0.09
4,15, Mem: 3731608k total 3591324k used 140284k free 111456k buffers ,3731608,3591324,140284,111456,0.962406555, 800%cpu 194%user 0%nice 58%sys 539%idle 0%iow 6%irq 3%sirq 0%host ,800,194,0.2425,58,0.0725
5,20, Mem: 3731608k total 3591752k used 139856k free 111456k buffers ,3731608,3591752,139856,111456,0.962521251, 800%cpu 163%user 3%nice 69%sys 556%idle 0%iow 6%irq 3%sirq 0%host ,800,163,0.20375,69,0.08625
6,25, Mem: 3731608k total 3593004k used 138604k free 111456k buffers ,3731608,3593004,138604,111456,0.962856763, 800%cpu 152%user 0%nice 68%sys 571%idle 0%iow 6%irq 3%sirq 0%host ,800,152,0.19,68,0.085
7,30, Mem: 3731608k total 3602152k used 129456k free 111456k buffers ,3731608,3602152,129456,111456,0.965308253, 800%cpu 174%user 16%nice 71%sys 529%idle 0%iow 6%irq 3%sirq 0%host ,800,174,0.2175,71,0.08875
8,35, Mem: 3731608k total 3580228k used 151380k free 111472k buffers ,3731608,3580228,151380,111472,0.959433038, 800%cpu 200%user 6%nice 56%sys 525%idle 0%iow 9%irq 3%sirq 0%host ,800,200,0.25,56,0.07
9,40, Mem: 3731608k total 3592056k used 139552k free 111472k buffers ,3731608,3592056,139552,111472,0.962602717, 800%cpu 213%user 0%nice 78%sys 497%idle 0%iow 9%irq 3%sirq 0%host ,800,213,0.26625,78,0.0975
10,45, Mem: 3731608k total 3605052k used 126556k free 111472k buffers ,3731608,3605052,126556,111472,0.966085398, 800%cpu 248%user 0%nice 61%sys 484%idle 0%iow 3%irq 3%sirq 0%host ,800,248,0.31,61,0.07625
11,50, Mem: 3731608k total 3581140k used 150468k free 111472k buffers ,3731608,3581140,150468,111472,0.959677437, 800%cpu 197%user 0%nice 75%sys 516%idle 0%iow 6%irq 6%sirq 0%host ,800,197,0.24625,75,0.09375
12,55, Mem: 3731608k total 3595440k used 136168k free 111472k buffers ,3731608,3595440,136168,111472,0.963509565, 800%cpu 223%user 0%nice 81%sys 490%idle 0%iow 3%irq 3%sirq 0%host ,800,223,0.27875,81,0.10125
13,60, Mem: 3731608k total 3609420k used 122188k free 111472k buffers ,3731608,3609420,122188,111472,0.967255939, 800%cpu 238%user 3%nice 63%sys 488%idle 0%iow 9%irq 0%sirq 0%host ,800,238,0.2975,63,0.07875
14,65, Mem: 3731608k total 3584856k used 146752k free 111472k buffers ,3731608,3584856,146752,111472,0.960673254, 800%cpu 190%user 3%nice 65%sys 532%idle 0%iow 3%irq 6%sirq 0%host ,800,190,0.2375,65,0.08125
15,70, Mem: 3731608k total 3598736k used 132872k free 111476k buffers ,3731608,3598736,132872,111476,0.96439283, 800%cpu 213%user 0%nice 81%sys 500%idle 0%iow 6%irq 0%sirq 0%host ,800,213,0.26625,81,0.10125
16,75, Mem: 3731608k total 3611080k used 120528k free 111480k buffers ,3731608,3611080,120528,111480,0.967700787, 800%cpu 206%user 0%nice 63%sys 519%idle 0%iow 9%irq 3%sirq 0%host ,800,206,0.2575,63,0.07875
17,80, Mem: 3731608k total 3592476k used 139132k free 111524k buffers ,3731608,3592476,139132,111524,0.962715269, 800%cpu 184%user 0%nice 66%sys 547%idle 0%iow 3%irq 0%sirq 0%host ,800,184,0.23,66,0.0825
18,85, Mem: 3731608k total 3603680k used 127928k free 111524k buffers ,3731608,3603680,127928,111524,0.965717728, 800%cpu 216%user 0%nice 56%sys 522%idle 0%iow 6%irq 0%sirq 0%host ,800,216,0.27,56,0.07
19,90, Mem: 3731608k total 3617460k used 114148k free 111524k buffers ,3731608,3617460,114148,111524,0.969410506, 800%cpu 181%user 0%nice 66%sys 544%idle 0%iow 6%irq 3%sirq 0%host ,800,181,0.22625,66,0.0825
20,95, Mem: 3731608k total 3592544k used 139064k free 111532k buffers ,3731608,3592544,139064,111532,0.962733492, 800%cpu 187%user 16%nice 84%sys 500%idle 0%iow 10%irq 3%sirq 0%host ,800,187,0.23375,84,0.105
21,100, Mem: 3731608k total 3605276k used 126332k free 111536k buffers ,3731608,3605276,126332,111536,0.966145426, 800%cpu 216%user 0%nice 61%sys 516%idle 0%iow 6%irq 0%sirq 0%host ,800,216,0.27,61,0.07625
22,105, Mem: 3731608k total 3618260k used 113348k free 111536k buffers ,3731608,3618260,113348,111536,0.969624891, 800%cpu 228%user 3%nice 91%sys 472%idle 0%iow 3%irq 3%sirq 0%host ,800,228,0.285,91,0.11375
23,110, Mem: 3731608k total 3594688k used 136920k free 111536k buffers ,3731608,3594688,136920,111536,0.963308043, 800%cpu 166%user 0%nice 78%sys 547%idle 0%iow 6%irq 3%sirq 0%host ,800,166,0.2075,78,0.0975
24,115, Mem: 3731608k total 3601272k used 130336k free 111544k buffers ,3731608,3601272,130336,111544,0.96507243, 800%cpu 194%user 0%nice 65%sys 532%idle 0%iow 6%irq 3%sirq 0%host ,800,194,0.2425,65,0.08125
25,120, Mem: 3731608k total 3605924k used 125684k free 111544k buffers ,3731608,3605924,125684,111544,0.966319077, 800%cpu 184%user 3%nice 66%sys 534%idle 0%iow 6%irq 6%sirq 0%host ,800,184,0.23,66,0.0825
26,125, Mem: 3731608k total 3583512k used 148096k free 111544k buffers ,3731608,3583512,148096,111544,0.960313088, 800%cpu 203%user 3%nice 74%sys 510%idle 0%iow 6%irq 3%sirq 0%host ,800,203,0.25375,74,0.0925
27,130, Mem: 3731608k total 3596668k used 134940k free 111556k buffers ,3731608,3596668,134940,111556,0.963838645, 800%cpu 177%user 0%nice 61%sys 552%idle 0%iow 6%irq 3%sirq 0%host ,800,177,0.22125,61,0.07625
28,135, Mem: 3731608k total 3606944k used 124664k free 111556k buffers ,3731608,3606944,124664,111556,0.966592418, 800%cpu 190%user 3%nice 61%sys 535%idle 0%iow 6%irq 3%sirq 0%host ,800,190,0.2375,61,0.07625
29,140, Mem: 3731608k total 3586844k used 144764k free 111584k buffers ,3731608,3586844,144764,111584,0.961206, 800%cpu 181%user 0%nice 78%sys 531%idle 0%iow 9%irq 0%sirq 0%host ,800,181,0.22625,78,0.0975
30,145, Mem: 3731608k total 3599108k used 132500k free 111584k buffers ,3731608,3599108,132500,111584,0.964492519, 800%cpu 226%user 0%nice 74%sys 490%idle 0%iow 6%irq 3%sirq 0%host ,800,226,0.2825,74,0.0925
31,150, Mem: 3731608k total 3610224k used 121384k free 111584k buffers ,3731608,3610224,121384,111584,0.967471396, 800%cpu 213%user 0%nice 68%sys 506%idle 0%iow 10%irq 3%sirq 0%host ,800,213,0.26625,68,0.085
32,155, Mem: 3731608k total 3590704k used 140904k free 111584k buffers ,3731608,3590704,140904,111584,0.962240407, 800%cpu 203%user 9%nice 75%sys 503%idle 0%iow 9%irq 0%sirq 0%host ,800,203,0.25375,75,0.09375
33,160, Mem: 3731608k total 3600772k used 130836k free 111584k buffers ,3731608,3600772,130836,111584,0.964938439, 800%cpu 188%user 0%nice 66%sys 534%idle 0%iow 9%irq 3%sirq 0%host ,800,188,0.235,66,0.0825
34,165, Mem: 3731608k total 3614760k used 116848k free 111584k buffers ,3731608,3614760,116848,111584,0.968686957, 800%cpu 191%user 0%nice 66%sys 531%idle 0%iow 9%irq 3%sirq 0%host ,800,191,0.23875,66,0.0825
35,170, Mem: 3731608k total 3590184k used 141424k free 111584k buffers ,3731608,3590184,141424,111584,0.962101057, 800%cpu 178%user 0%nice 53%sys 559%idle 0%iow 6%irq 3%sirq 0%host ,800,178,0.2225,53,0.06625
36,175, Mem: 3731608k total 3604536k used 127072k free 111584k buffers ,3731608,3604536,127072,111584,0.96594712, 800%cpu 213%user 3%nice 66%sys 509%idle 0%iow 6%irq 3%sirq 0%host ,800,213,0.26625,66,0.0825
37,180, Mem: 3731608k total 3615968k used 115640k free 111584k buffers ,3731608,3615968,115640,111584,0.969010679, 800%cpu 216%user 0%nice 59%sys 513%idle 0%iow 9%irq 3%sirq 0%host ,800,216,0.27,59,0.07375
38,185, Mem: 3731608k total 3593240k used 138368k free 111584k buffers ,3731608,3593240,138368,111584,0.962920007, 800%cpu 203%user 3%nice 72%sys 509%idle 0%iow 9%irq 3%sirq 0%host ,800,203,0.25375,72,0.09
39,190, Mem: 3731608k total 3605656k used 125952k free 111592k buffers ,3731608,3605656,125952,111592,0.966247259, 800%cpu 206%user 0%nice 72%sys 516%idle 0%iow 6%irq 0%sirq 0%host ,800,206,0.2575,72,0.09
40,195, Mem: 3731608k total 3616256k used 115352k free 111592k buffers ,3731608,3616256,115352,111592,0.969087857, 800%cpu 203%user 0%nice 68%sys 523%idle 0%iow 6%irq 0%sirq 0%host ,800,203,0.25375,68,0.085
41,200, Mem: 3731608k total 3594692k used 136916k free 111624k buffers ,3731608,3594692,136916,111624,0.963309115, 800%cpu 191%user 3%nice 63%sys 534%idle 0%iow 6%irq 3%sirq 0%host ,800,191,0.23875,63,0.07875
42,205, Mem: 3731608k total 3606384k used 125224k free 111640k buffers ,3731608,3606384,125224,111640,0.966442349, 800%cpu 178%user 3%nice 63%sys 544%idle 0%iow 9%irq 3%sirq 0%host ,800,178,0.2225,63,0.07875
43,211, Mem: 3731608k total 3619408k used 112200k free 111648k buffers ,3731608,3619408,112200,111648,0.969932533, 800%cpu 184%user 0%nice 71%sys 532%idle 0%iow 10%irq 3%sirq 0%host ,800,184,0.23,71,0.08875
44,216, Mem: 3731608k total 3593576k used 138032k free 111648k buffers ,3731608,3593576,138032,111648,0.963010048, 800%cpu 197%user 10%nice 71%sys 510%idle 0%iow 6%irq 6%sirq 0%host ,800,197,0.24625,71,0.08875
45,221, Mem: 3731608k total 3595148k used 136460k free 111648k buffers ,3731608,3595148,136460,111648,0.963431314, 800%cpu 190%user 3%nice 58%sys 532%idle 0%iow 10%irq 6%sirq 0%host ,800,190,0.2375,58,0.0725
46,226, Mem: 3731608k total 3608128k used 123480k free 111648k buffers ,3731608,3608128,123480,111648,0.966909708, 800%cpu 197%user 0%nice 65%sys 532%idle 0%iow 6%irq 0%sirq 0%host ,800,197,0.24625,65,0.08125
47,231, Mem: 3731608k total 3588172k used 143436k free 111648k buffers ,3731608,3588172,143436,111648,0.961561879, 800%cpu 209%user 3%nice 72%sys 506%idle 0%iow 6%irq 3%sirq 0%host ,800,209,0.26125,72,0.09
48,236, Mem: 3731608k total 3600120k used 131488k free 111648k buffers ,3731608,3600120,131488,111648,0.964763716, 800%cpu 223%user 3%nice 61%sys 503%idle 0%iow 6%irq 3%sirq 0%host ,800,223,0.27875,61,0.07625
49,241, Mem: 3731608k total 3612412k used 119196k free 111648k buffers ,3731608,3612412,119196,111648,0.968057738, 800%cpu 200%user 0%nice 75%sys 519%idle 0%iow 6%irq 0%sirq 0%host ,800,200,0.25,75,0.09375
50,246, Mem: 3731608k total 3592588k used 139020k free 111652k buffers ,3731608,3592588,139020,111652,0.962745283, 800%cpu 191%user 3%nice 75%sys 525%idle 0%iow 6%irq 0%sirq 0%host ,800,191,0.23875,75,0.09375
51,251, Mem: 3731608k total 3602124k used 129484k free 111652k buffers ,3731608,3602124,129484,111652,0.96530075, 800%cpu 206%user 0%nice 77%sys 506%idle 0%iow 6%irq 3%sirq 0%host ,800,206,0.2575,77,0.09625
52,256, Mem: 3731608k total 3612084k used 119524k free 111652k buffers ,3731608,3612084,119524,111652,0.96796984, 800%cpu 206%user 3%nice 66%sys 513%idle 0%iow 9%irq 3%sirq 0%host ,800,206,0.2575,66,0.0825
