Previous Frame (ns),Current Frame (ns),Time Elapsed (ms),Dropped Frame Count,,,,Time (sec),FPS
0,2.13144E+13,2.13144E+13,17.259743,0,,,0,47
0,2.13144E+13,2.13146E+13,216.751844,12,,,1,60
0,2.13146E+13,2.13147E+13,34.432639,2,,,2,59
0,2.13147E+13,2.13147E+13,33.502153,1,,,3,60
0,2.13147E+13,2.13147E+13,16.835555,0,,,4,60
0,2.13147E+13,2.13147E+13,16.750841,0,,,5,59
0,2.13147E+13,2.13147E+13,16.751178,0,,,6,60
0,2.13147E+13,2.13148E+13,16.750818,0,,,7,60
0,2.13148E+13,2.13148E+13,16.751382,0,,,8,59
0,2.13148E+13,2.13148E+13,16.751404,0,,,9,60
0,2.13148E+13,2.13148E+13,16.751256,0,,,10,60
0,2.13148E+13,2.13148E+13,16.750838,0,,,11,60
0,2.13148E+13,2.13148E+13,16.751135,0,,,12,59
0,2.13148E+13,2.13149E+13,16.750948,0,,,13,60
0,2.13149E+13,2.13149E+13,16.75057,0,,,14,60
0,2.13149E+13,2.13149E+13,16.751104,0,,,15,59
0,2.13149E+13,2.13149E+13,16.750718,0,,,16,60
0,2.13149E+13,2.13149E+13,16.750808,0,,,17,60
0,2.13149E+13,2.13149E+13,16.750789,0,,,18,59
0,2.13149E+13,2.1315E+13,16.750782,0,,,19,60
0,2.1315E+13,2.1315E+13,16.75074,0,,,20,60
0,2.1315E+13,2.1315E+13,16.750869,0,,,21,59
0,2.1315E+13,2.1315E+13,16.750735,0,,,22,60
0,2.1315E+13,2.1315E+13,16.7506,0,,,23,60
0,2.1315E+13,2.1315E+13,16.750652,0,,,24,60
0,2.1315E+13,2.13151E+13,16.750702,0,,,25,59
0,2.13151E+13,2.13151E+13,16.750685,0,,,26,60
0,2.13151E+13,2.13151E+13,16.750689,0,,,27,60
0,2.13151E+13,2.13151E+13,16.750735,0,,,28,59
0,2.13151E+13,2.13151E+13,16.75064,0,,,29,60
0,2.13151E+13,2.13151E+13,16.750022,0,,,30,60
0,2.13151E+13,2.13152E+13,16.750834,0,,,31,59
0,2.13152E+13,2.13152E+13,16.750937,0,,,32,60
0,2.13152E+13,2.13152E+13,16.750752,0,,,33,60
0,2.13152E+13,2.13152E+13,16.750957,0,,,34,60
0,2.13152E+13,2.13152E+13,16.750952,0,,,35,59
0,2.13152E+13,2.13152E+13,16.750914,0,,,36,60
0,2.13152E+13,2.13153E+13,16.750845,0,,,37,60
0,2.13153E+13,2.13153E+13,16.749978,0,,,38,59
0,2.13153E+13,2.13153E+13,16.750864,0,,,39,60
0,2.13153E+13,2.13153E+13,16.750821,0,,,40,60
0,2.13153E+13,2.13153E+13,16.750496,0,,,41,59
0,2.13153E+13,2.13153E+13,16.750743,0,,,42,60
0,2.13153E+13,2.13154E+13,16.750606,0,,,43,60
0,2.13154E+13,2.13154E+13,16.750579,0,,,44,59
0,2.13154E+13,2.13154E+13,16.750549,0,,,45,60
0,2.13154E+13,2.13154E+13,16.750664,0,,,46,60
1,2.13154E+13,2.13154E+13,16.750708,0,,,47,60
