Timestamp,Attempt No,Result,Time to Preprocess (millis),Time to Classify (millis)
20181101_014932,1,roses,63,245
20181101_014933,8,dandelion,26,69
20181101_014934,15,dandelion,28,72
20181101_014935,23,dandelion,37,75
20181101_014936,30,dandelion,32,77
20181101_014937,38,dandelion,29,75
20181101_014938,45,dandelion,35,72
20181101_014939,52,dandelion,30,83
20181101_014940,60,dandelion,26,63
20181101_014941,68,dandelion,27,74
20181101_014942,75,dandelion,26,69
20181101_014943,83,dandelion,26,74
20181101_014944,90,dandelion,26,75
20181101_014945,98,dandelion,28,70
20181101_014946,104,dandelion,26,77
20181101_014947,112,dandelion,51,78
20181101_014948,119,dandelion,27,69
20181101_014949,127,dandelion,47,75
20181101_014950,134,dandelion,29,77
20181101_014951,142,dandelion,34,79
20181101_014952,149,dandelion,50,74
20181101_014953,157,dandelion,45,75
20181101_014954,164,dandelion,26,76
20181101_014955,172,dandelion,28,69
20181101_014956,179,dandelion,58,66
20181101_014957,187,dandelion,34,73
20181101_014958,194,dandelion,39,75
20181101_014959,202,dandelion,28,67
20181101_015000,209,dandelion,26,72
20181101_015001,217,dandelion,33,75
20181101_015002,224,dandelion,27,66
20181101_015003,232,dandelion,31,76
20181101_015004,239,dandelion,26,69
20181101_015005,247,dandelion,31,72
20181101_015006,254,dandelion,26,80
20181101_015007,261,dandelion,26,71
20181101_015008,269,dandelion,35,79
20181101_015009,276,dandelion,27,76
20181101_015010,283,dandelion,53,76
20181101_015011,290,dandelion,38,70
20181101_015012,298,dandelion,27,76
20181101_015013,306,dandelion,31,70
20181101_015014,313,dandelion,36,75
20181101_015015,320,dandelion,29,78
20181101_015016,328,dandelion,33,71
20181101_015017,335,dandelion,27,73
20181101_015018,342,dandelion,29,67
20181101_015019,350,dandelion,37,82
20181101_015020,357,dandelion,26,75
20181101_015021,365,dandelion,38,75
20181101_015022,372,dandelion,26,71
20181101_015023,380,dandelion,26,65
20181101_015024,387,dandelion,26,70
20181101_015025,395,dandelion,26,73
20181101_015026,402,dandelion,27,64
20181101_015027,410,dandelion,42,71
20181101_015028,417,dandelion,46,74
20181101_015029,425,dandelion,34,75
20181101_015030,432,dandelion,34,75
20181101_015031,440,dandelion,25,66
20181101_015032,447,dandelion,26,72
20181101_015033,455,dandelion,30,75
20181101_015034,462,dandelion,47,79
20181101_015035,469,dandelion,29,105
20181101_015036,477,dandelion,29,77
20181101_015037,484,dandelion,25,76
20181101_015038,492,dandelion,35,71
20181101_015039,499,dandelion,26,74
20181101_015040,507,dandelion,26,64
20181101_015041,514,dandelion,29,74
20181101_015042,522,dandelion,26,74
20181101_015043,529,dandelion,26,69
20181101_015044,537,dandelion,26,79
20181101_015045,544,dandelion,31,73
20181101_015046,551,dandelion,25,73
20181101_015047,559,dandelion,31,80
20181101_015048,566,dandelion,27,69
20181101_015049,574,dandelion,31,67
20181101_015050,581,dandelion,33,75
20181101_015051,589,dandelion,34,71
20181101_015052,596,dandelion,25,79
20181101_015053,603,dandelion,39,69
20181101_015054,611,dandelion,29,75
20181101_015055,618,dandelion,28,69
20181101_015056,626,dandelion,28,70
20181101_015057,633,dandelion,39,72
20181101_015058,640,dandelion,34,75
20181101_015059,648,dandelion,38,70
20181101_015100,655,dandelion,26,76
20181101_015101,663,dandelion,25,69
20181101_015102,670,dandelion,35,67
20181101_015103,678,dandelion,27,70
20181101_015104,685,dandelion,36,71
20181101_015105,693,dandelion,43,67
20181101_015106,700,dandelion,31,75
20181101_015107,708,dandelion,28,71
20181101_015108,715,dandelion,27,68
20181101_015109,723,dandelion,40,74
20181101_015110,730,dandelion,26,71
20181101_015111,738,dandelion,40,71
20181101_015112,745,dandelion,34,68
20181101_015113,753,dandelion,28,68
20181101_015114,760,dandelion,30,71
20181101_015115,768,dandelion,26,77
20181101_015116,775,dandelion,36,74
20181101_015117,783,dandelion,36,71
20181101_015118,790,dandelion,28,77
20181101_015119,797,dandelion,39,78
20181101_015120,805,dandelion,28,78
20181101_015121,812,dandelion,26,73
20181101_015122,820,dandelion,36,76
20181101_015123,827,dandelion,30,78
20181101_015124,835,dandelion,28,75
20181101_015125,842,dandelion,27,77
20181101_015126,850,dandelion,32,78
20181101_015127,857,dandelion,47,73
20181101_015128,865,dandelion,30,99
20181101_015129,872,dandelion,40,77
20181101_015130,880,dandelion,27,74
20181101_015131,887,dandelion,25,75
20181101_015132,895,dandelion,31,113
20181101_015133,902,dandelion,38,67
20181101_015134,909,dandelion,28,69
20181101_015135,917,dandelion,25,69
20181101_015136,924,dandelion,39,70
20181101_015137,932,dandelion,25,69
20181101_015138,939,dandelion,27,65
20181101_015139,946,dandelion,36,75
20181101_015140,954,dandelion,35,70
20181101_015141,961,dandelion,28,70
20181101_015142,969,dandelion,36,74
20181101_015143,976,dandelion,39,68
20181101_015144,983,dandelion,33,71
20181101_015145,991,dandelion,28,71
20181101_015146,998,dandelion,25,68
20181101_015147,1005,dandelion,29,70
20181101_015148,1013,dandelion,36,74
20181101_015149,1020,dandelion,33,73
20181101_015150,1028,dandelion,28,69
20181101_015151,1035,dandelion,27,74
20181101_015152,1042,dandelion,32,70
20181101_015153,1050,dandelion,31,66
