Time (sec),Previous Frame (ns),Current Frame (ns),Time Elapsed (ms),Dropped Frame Count,,,Time (sec),FPS,
0,6.92E+12,6.92E+12,33.844193,1,,,0,49," =COUNTIF(A:A,H2)"
0,6.92E+12,6.92E+12,216.872103,12,,,1,60,
0,6.92E+12,6.92E+12,17.991494,0,,,2,59,
0,6.92E+12,6.92E+12,16.767998,0,,,3,60,
0,6.92E+12,6.92E+12,16.768277,0,,,4,60,
0,6.92E+12,6.92E+12,16.76799,0,,,5,59,
0,6.92E+12,6.92E+12,16.767888,0,,,6,60,
0,6.92E+12,6.92E+12,16.768017,0,,,7,59,
0,6.92E+12,6.92E+12,16.768198,0,,,8,60,
0,6.92E+12,6.92E+12,16.768167,0,,,9,60,
0,6.92E+12,6.92E+12,16.768013,0,,,10,59,
0,6.92E+12,6.92E+12,16.768001,0,,,11,60,
0,6.92E+12,6.92E+12,16.767961,0,,,12,60,
0,6.92E+12,6.92E+12,16.768024,0,,,13,59,
0,6.92E+12,6.92E+12,16.767928,0,,,14,60,
0,6.92E+12,6.92E+12,16.767954,0,,,15,60,
0,6.92E+12,6.92E+12,16.76801,0,,,16,59,
0,6.92E+12,6.92E+12,16.768116,0,,,17,60,
0,6.92E+12,6.92E+12,16.767996,0,,,18,60,
0,6.92E+12,6.92E+12,16.767901,0,,,19,59,
0,6.92E+12,6.92E+12,16.767787,0,,,20,60,
0,6.92E+12,6.92E+12,16.767721,0,,,21,59,
0,6.92E+12,6.92E+12,16.767641,0,,,22,60,
0,6.92E+12,6.92E+12,16.767703,0,,,23,60,
0,6.92E+12,6.92E+12,16.767405,0,,,24,59,
0,6.92E+12,6.92E+12,16.767622,0,,,25,60,
0,6.92E+12,6.92E+12,16.767555,0,,,26,60,
0,6.92E+12,6.92E+12,16.767619,0,,,27,59,
0,6.92E+12,6.92E+12,16.767566,0,,,28,60,
0,6.92E+12,6.92E+12,16.767657,0,,,29,60,
0,6.92E+12,6.92E+12,16.767628,0,,,30,59,
0,6.92E+12,6.92E+12,16.767519,0,,,31,60,
0,6.92E+12,6.92E+12,16.767373,0,,,32,59,
0,6.92E+12,6.92E+12,16.767463,0,,,33,60,
0,6.92E+12,6.92E+12,16.767417,0,,,34,60,
0,6.92E+12,6.92E+12,16.767593,0,,,35,59,
0,6.92E+12,6.92E+12,16.767588,0,,,36,60,
0,6.92E+12,6.92E+12,16.767644,0,,,37,60,
0,6.92E+12,6.92E+12,16.767689,0,,,38,59,
0,6.92E+12,6.92E+12,16.767687,0,,,39,60,
0,6.92E+12,6.92E+12,16.767535,0,,,40,60,
0,6.92E+12,6.92E+12,16.767555,0,,,41,59,
0,6.92E+12,6.92E+12,16.7675,0,,,42,60,
0,6.92E+12,6.92E+12,16.767526,0,,,43,59,
0,6.92E+12,6.92E+12,16.767579,0,,,44,60,
0,6.92E+12,6.92E+12,16.767669,0,,,45,60,
0,6.92E+12,6.92E+12,16.767373,0,,,46,59,
0,6.92E+12,6.92E+12,16.767591,0,,,47,60,
0,6.92E+12,6.92E+12,16.76746,0,,,48,60,
1,6.92E+12,6.92E+12,16.767454,0,,,49,59,
1,6.92E+12,6.92E+12,16.767551,0,,,50,60,
1,6.92E+12,6.92E+12,16.767617,0,,,51,60,
1,6.92E+12,6.92E+12,16.767457,0,,,52,59,
1,6.92E+12,6.92E+12,16.767322,0,,,53,60,
1,6.92E+12,6.92E+12,16.76751,0,,,54,60,
1,6.92E+12,6.92E+12,16.767673,0,,,55,59,
1,6.92E+12,6.92E+12,16.767581,0,,,56,60,
1,6.92E+12,6.92E+12,16.767546,0,,,57,59,
1,6.92E+12,6.92E+12,16.767466,0,,,58,60,
1,6.92E+12,6.92E+12,16.767549,0,,,59,60,
1,6.92E+12,6.92E+12,16.767372,0,,,60,59,
1,6.92E+12,6.92E+12,16.767504,0,,,61,60,
1,6.92E+12,6.92E+12,16.7675,0,,,62,60,
1,6.92E+12,6.92E+12,16.767517,0,,,63,59,
1,6.92E+12,6.92E+12,16.767433,0,,,64,60,
1,6.92E+12,6.92E+12,16.767457,0,,,65,60,
1,6.92E+12,6.92E+12,16.767361,0,,,66,59,
1,6.92E+12,6.92E+12,16.767417,0,,,67,60,
1,6.92E+12,6.92E+12,16.767435,0,,,68,59,
1,6.92E+12,6.92E+12,16.766748,0,,,69,60,
1,6.92E+12,6.92E+12,16.767265,0,,,70,60,
1,6.92E+12,6.92E+12,16.767247,0,,,71,59,
1,6.92E+12,6.92E+12,16.767316,0,,,72,60,
1,6.92E+12,6.92E+12,16.767378,0,,,73,60,
1,6.92E+12,6.92E+12,16.767398,0,,,74,59,
1,6.92E+12,6.92E+12,16.767535,0,,,75,60,
1,6.92E+12,6.92E+12,16.767386,0,,,76,60,
1,6.92E+12,6.92E+12,16.767313,0,,,77,59,
1,6.92E+12,6.92E+12,16.767363,0,,,78,60,
1,6.92E+12,6.92E+12,16.767403,0,,,79,60,
1,6.92E+12,6.92E+12,16.767394,0,,,80,59,
1,6.92E+12,6.92E+12,16.767379,0,,,81,60,
1,6.92E+12,6.92E+12,16.767244,0,,,82,59,
1,6.92E+12,6.92E+12,16.767218,0,,,83,60,
1,6.92E+12,6.92E+12,16.767199,0,,,84,60,
1,6.92E+12,6.92E+12,16.767333,0,,,85,59,
1,6.92E+12,6.92E+12,16.767425,0,,,86,60,
1,6.92E+12,6.92E+12,16.767402,0,,,87,60,
1,6.92E+12,6.92E+12,16.767237,0,,,88,59,
1,6.92E+12,6.92E+12,16.767221,0,,,89,60,
1,6.92E+12,6.92E+12,16.767264,0,,,90,60,
1,6.92E+12,6.92E+12,16.767303,0,,,91,59,
1,6.92E+12,6.92E+12,16.767447,0,,,92,60,
1,6.92E+12,6.92E+12,16.767594,0,,,93,60,
1,6.92E+12,6.92E+12,16.767218,0,,,94,59,
1,6.92E+12,6.92E+12,16.767386,0,,,95,60,
1,6.92E+12,6.92E+12,16.767299,0,,,96,59,
1,6.92E+12,6.92E+12,16.767321,0,,,97,60,
1,6.92E+12,6.92E+12,16.7673,0,,,98,60,
1,6.92E+12,6.92E+12,16.767483,0,,,99,59,
1,6.92E+12,6.92E+12,16.767369,0,,,100,60,
1,6.92E+12,6.92E+12,16.767286,0,,,101,60,
1,6.92E+12,6.92E+12,16.767204,0,,,102,59,
1,6.92E+12,6.92E+12,16.767022,0,,,103,60,
1,6.92E+12,6.92E+12,16.767581,0,,,104,60,
1,6.92E+12,6.92E+12,16.767375,0,,,105,59,
1,6.92E+12,6.92E+12,16.767315,0,,,106,60,
1,6.92E+12,6.92E+12,16.767426,0,,,107,59,
1,6.92E+12,6.92E+12,16.767206,0,,,108,60,
2,6.92E+12,6.92E+12,16.767341,0,,,109,60,
2,6.92E+12,6.92E+12,16.76738,0,,,110,59,
2,6.92E+12,6.92E+12,16.767383,0,,,111,60,
2,6.92E+12,6.92E+12,16.767206,0,,,112,60,
2,6.92E+12,6.92E+12,16.76746,0,,,113,59,
2,6.92E+12,6.92E+12,16.767381,0,,,114,60,
2,6.92E+12,6.92E+12,16.767311,0,,,115,60,
2,6.92E+12,6.92E+12,16.766981,0,,,116,59,
2,6.92E+12,6.92E+12,16.767362,0,,,117,60,
2,6.92E+12,6.92E+12,16.767235,0,,,118,59,
2,6.92E+12,6.92E+12,16.767203,0,,,119,60,
2,6.92E+12,6.92E+12,16.767364,0,,,120,60,
2,6.92E+12,6.92E+12,16.76748,0,,,121,59,
2,6.92E+12,6.92E+12,16.767391,0,,,122,60,
2,6.92E+12,6.92E+12,16.767237,0,,,123,60,
2,6.92E+12,6.92E+12,16.767152,0,,,124,59,
2,6.92E+12,6.92E+12,16.767538,0,,,125,60,
2,6.92E+12,6.92E+12,16.767562,0,,,126,60,
2,6.92E+12,6.92E+12,16.767332,0,,,127,59,
2,6.92E+12,6.92E+12,16.767392,0,,,128,60,
2,6.92E+12,6.92E+12,16.76736,0,,,129,59,
2,6.92E+12,6.92E+12,16.767164,0,,,130,60,
2,6.92E+12,6.92E+12,16.767408,0,,,131,60,
2,6.92E+12,6.92E+12,16.767199,0,,,132,59,
2,6.92E+12,6.92E+12,16.766885,0,,,133,60,
2,6.92E+12,6.92E+12,16.765967,0,,,134,60,
2,6.92E+12,6.92E+12,16.764002,0,,,135,59,
2,6.92E+12,6.92E+12,16.767087,0,,,136,60,
2,6.92E+12,6.92E+12,16.767527,0,,,137,60,
2,6.92E+12,6.92E+12,16.767423,0,,,138,59,
2,6.92E+12,6.92E+12,16.766176,0,,,139,60,
2,6.92E+12,6.92E+12,16.766186,0,,,140,59,
2,6.92E+12,6.92E+12,16.765949,0,,,141,60,
2,6.92E+12,6.92E+12,16.766479,0,,,142,60,
2,6.92E+12,6.92E+12,16.766944,0,,,143,59,
2,6.92E+12,6.92E+12,16.767275,0,,,144,60,
2,6.92E+12,6.92E+12,16.767024,0,,,145,60,
2,6.92E+12,6.92E+12,16.766315,0,,,146,59,
2,6.92E+12,6.92E+12,16.765028,0,,,147,60,
2,6.92E+12,6.92E+12,16.767145,0,,,148,60,
2,6.92E+12,6.92E+12,16.767644,0,,,149,59,
2,6.92E+12,6.92E+12,16.766968,0,,,150,60,
2,6.92E+12,6.92E+12,16.766105,0,,,151,59,
2,6.92E+12,6.92E+12,16.766808,0,,,152,60,
2,6.92E+12,6.92E+12,16.766238,0,,,153,60,
2,6.92E+12,6.92E+12,16.767271,0,,,154,59,
2,6.92E+12,6.92E+12,16.767484,0,,,155,60,
2,6.92E+12,6.92E+12,16.767377,0,,,156,60,
2,6.92E+12,6.92E+12,16.767128,0,,,157,59,
2,6.92E+12,6.92E+12,16.76662,0,,,158,60,
2,6.92E+12,6.92E+12,16.76582,0,,,159,60,
2,6.92E+12,6.92E+12,16.767065,0,,,160,59,
2,6.92E+12,6.92E+12,16.767427,0,,,161,60,
2,6.92E+12,6.92E+12,16.767473,0,,,162,59,
2,6.92E+12,6.92E+12,16.767363,0,,,163,60,
2,6.92E+12,6.92E+12,16.766941,0,,,164,60,
