Start Time (ns),End Time (ns),Time Elapsed (ms),Result
3.98737E+12,3.98752E+12,149.573296,roses
3.98755E+12,3.9876E+12,47.354327,dandelion
3.98762E+12,3.98767E+12,53.329588,daisy
3.98772E+12,3.98777E+12,54.466776,dandelion
3.98782E+12,3.98787E+12,53.811672,dandelion
3.98792E+12,3.98797E+12,52.419276,dandelion
3.98802E+12,3.98806E+12,44.98589,dandelion
3.98808E+12,3.98813E+12,47.273182,dandelion
3.98817E+12,3.98822E+12,48.098286,dandelion
3.98825E+12,3.9883E+12,48.298911,dandelion
3.98832E+12,3.98837E+12,54.70162,dandelion
3.98842E+12,3.98847E+12,48.193442,dandelion
3.98849E+12,3.98853E+12,47.760317,dandelion
3.98855E+12,3.9886E+12,45.434796,dandelion
3.98862E+12,3.98867E+12,51.659901,dandelion
3.98872E+12,3.98877E+12,52.050683,dandelion
3.98882E+12,3.98887E+12,54.412974,dandelion
3.98892E+12,3.98897E+12,52.217453,dandelion
3.98902E+12,3.98907E+12,51.332713,dandelion
3.98912E+12,3.98917E+12,49.333234,dandelion
3.98918E+12,3.98923E+12,44.761619,dandelion
3.98925E+12,3.9893E+12,49.626412,dandelion
3.98932E+12,3.98938E+12,56.777454,dandelion
3.98942E+12,3.98948E+12,60.40136,dandelion
3.98952E+12,3.98958E+12,57.053599,dandelion
3.98962E+12,3.98969E+12,65.63558,dandelion
3.98974E+12,3.9898E+12,61.649798,dandelion
3.98982E+12,3.98988E+12,62.370006,dandelion
3.98992E+12,3.98998E+12,59.748183,dandelion
3.99003E+12,3.99009E+12,58.571204,dandelion
3.99012E+12,3.99018E+12,54.475631,dandelion
3.99022E+12,3.99028E+12,59.10688,dandelion
3.99033E+12,3.99039E+12,62.853392,dandelion
3.99045E+12,3.99051E+12,57.063964,dandelion
3.99055E+12,3.99061E+12,55.300213,dandelion
3.99068E+12,3.99073E+12,58.257141,dandelion
3.99079E+12,3.99085E+12,63.050631,dandelion
3.99089E+12,3.99095E+12,60.780839,dandelion
3.99099E+12,3.99105E+12,62.086725,dandelion
3.99109E+12,3.99115E+12,60.367454,dandelion
3.99119E+12,3.99125E+12,62.305891,dandelion
3.99129E+12,3.99135E+12,61.887089,dandelion
3.99139E+12,3.99145E+12,57.368495,dandelion
3.99149E+12,3.99156E+12,69.189122,dandelion
3.99159E+12,3.99165E+12,58.75162,dandelion
3.99169E+12,3.99175E+12,62.629798,dandelion
3.99179E+12,3.99184E+12,56.134328,dandelion
3.99189E+12,3.99196E+12,65.069382,dandelion
3.99199E+12,3.99204E+12,56.047401,dandelion
3.99209E+12,3.99215E+12,59.53985,dandelion
3.99219E+12,3.99224E+12,54.631672,dandelion
3.99229E+12,3.99235E+12,62.647819,dandelion
3.99239E+12,3.99245E+12,61.97761,dandelion
3.99249E+12,3.99255E+12,57.368495,dandelion
3.99259E+12,3.99265E+12,59.60011,dandelion
3.99269E+12,3.99275E+12,61.960475,dandelion
3.99279E+12,3.99285E+12,66.095267,dandelion
3.99289E+12,3.99295E+12,57.814745,dandelion
3.99299E+12,3.99305E+12,59.202246,dandelion
3.99309E+12,3.99315E+12,63.906725,dandelion
3.99319E+12,3.99324E+12,57.274537,dandelion
3.99329E+12,3.99334E+12,57.502141,dandelion
3.99339E+12,3.99344E+12,57.210318,dandelion
3.99349E+12,3.99355E+12,61.734017,dandelion
3.99362E+12,3.99368E+12,61.040735,dandelion
3.99374E+12,3.99379E+12,56.579329,dandelion
3.99382E+12,3.99388E+12,57.849277,dandelion
3.99392E+12,3.99397E+12,54.630995,dandelion
3.99402E+12,3.99409E+12,66.751569,dandelion
3.99412E+12,3.99418E+12,54.854485,dandelion
3.99422E+12,3.99428E+12,56.048495,dandelion
3.99432E+12,3.99438E+12,56.273391,dandelion
3.99442E+12,3.99449E+12,64.966673,dandelion
3.99452E+12,3.99457E+12,53.747817,dandelion
3.99462E+12,3.99468E+12,61.284016,dandelion
3.99472E+12,3.99478E+12,57.217298,dandelion
3.99482E+12,3.99489E+12,67.692715,dandelion
3.99492E+12,3.99497E+12,53.038651,dandelion
3.99502E+12,3.99508E+12,59.213965,dandelion
3.99514E+12,3.9952E+12,56.284016,dandelion
3.99522E+12,3.99527E+12,52.336411,dandelion
3.99532E+12,3.99537E+12,56.372974,dandelion
3.99542E+12,3.99547E+12,54.389433,dandelion
3.99552E+12,3.99558E+12,60.042454,dandelion
3.99562E+12,3.99569E+12,64.149277,dandelion
3.99572E+12,3.99578E+12,62.713652,dandelion
3.99582E+12,3.99588E+12,61.45735,dandelion
3.99592E+12,3.99598E+12,53.689797,dandelion
3.99602E+12,3.99608E+12,59.03709,dandelion
3.99612E+12,3.99617E+12,55.331204,dandelion
3.99622E+12,3.99628E+12,54.822714,dandelion
3.99632E+12,3.99638E+12,56.9036,dandelion
3.99642E+12,3.99647E+12,54.812297,dandelion
3.99652E+12,3.99658E+12,58.519849,dandelion
3.99662E+12,3.99668E+12,65.39084,dandelion
3.99672E+12,3.99677E+12,55.809589,dandelion
3.99682E+12,3.99688E+12,59.579694,dandelion
3.99692E+12,3.99698E+12,61.965475,dandelion
3.99702E+12,3.99708E+12,59.792818,dandelion
3.99712E+12,3.99718E+12,57.905527,dandelion
3.99722E+12,3.99727E+12,54.940995,dandelion
3.99732E+12,3.99737E+12,56.741724,dandelion
3.99742E+12,3.99748E+12,59.984172,dandelion
3.99752E+12,3.99758E+12,60.374329,dandelion
3.99762E+12,3.99768E+12,59.637715,dandelion
3.99772E+12,3.99778E+12,60.073964,dandelion
3.99782E+12,3.99788E+12,58.469589,dandelion
3.99794E+12,3.998E+12,60.905631,dandelion
3.99807E+12,3.99812E+12,55.179588,dandelion
3.99815E+12,3.99821E+12,59.45959,dandelion
3.99826E+12,3.99831E+12,56.068808,dandelion
3.99835E+12,3.99841E+12,58.308339,dandelion
3.99845E+12,3.99852E+12,61.272298,dandelion
3.99855E+12,3.99863E+12,83.783186,dandelion
3.99868E+12,3.99875E+12,65.619433,dandelion
3.99879E+12,3.99884E+12,54.192089,dandelion
3.99888E+12,3.99894E+12,57.178599,dandelion
3.99899E+12,3.99904E+12,59.030162,dandelion
3.99908E+12,3.99914E+12,58.998912,dandelion
3.99919E+12,3.99925E+12,57.14985,dandelion
3.99928E+12,3.99935E+12,61.307038,dandelion
3.99939E+12,3.99945E+12,63.265579,dandelion
3.99948E+12,3.99955E+12,66.442403,dandelion
3.99958E+12,3.99964E+12,60.353288,dandelion
3.99969E+12,3.99975E+12,63.177975,dandelion
3.99978E+12,3.99985E+12,63.000007,dandelion
3.9999E+12,3.99997E+12,61.204173,dandelion
4.00003E+12,4.00008E+12,54.976985,dandelion
4.00014E+12,4.00019E+12,57.817089,dandelion
4.00022E+12,4.00027E+12,58.708704,dandelion
4.00032E+12,4.00038E+12,58.822401,dandelion
4.00042E+12,4.00048E+12,60.562923,dandelion
4.00052E+12,4.00058E+12,61.369485,dandelion
4.00062E+12,4.00068E+12,63.446153,dandelion
4.00072E+12,4.00078E+12,61.826413,dandelion
4.00082E+12,4.00088E+12,59.494954,dandelion
4.00092E+12,4.00098E+12,62.269694,dandelion
4.00102E+12,4.00108E+12,60.913808,dandelion
4.00112E+12,4.00118E+12,62.3361,dandelion
4.00122E+12,4.00128E+12,63.175839,dandelion
4.00132E+12,4.00138E+12,64.959329,dandelion
4.00141E+12,4.00147E+12,57.814954,dandelion
4.00152E+12,4.00158E+12,60.858756,dandelion
4.00162E+12,4.00168E+12,64.296413,dandelion
4.00172E+12,4.00179E+12,67.651778,dandelion
4.00181E+12,4.00188E+12,61.13287,dandelion
4.00192E+12,4.00198E+12,61.359277,dandelion
4.00202E+12,4.00208E+12,58.557818,dandelion
4.00212E+12,4.00218E+12,58.114537,dandelion
4.00222E+12,4.00228E+12,60.13287,dandelion
4.00231E+12,4.00237E+12,57.144328,dandelion
4.00242E+12,4.00248E+12,61.243496,dandelion
4.00252E+12,4.00258E+12,63.582871,dandelion
4.00262E+12,4.00268E+12,61.523288,dandelion
4.00272E+12,4.00278E+12,61.991933,dandelion
4.00282E+12,4.00288E+12,60.009537,dandelion
4.00292E+12,4.00298E+12,62.099798,dandelion
4.00301E+12,4.00308E+12,62.881412,dandelion
4.00311E+12,4.00318E+12,68.846986,dandelion
4.00322E+12,4.00327E+12,58.750944,dandelion
4.00331E+12,4.00337E+12,58.813495,dandelion
4.00341E+12,4.00347E+12,56.651933,dandelion
4.00351E+12,4.00357E+12,60.608079,dandelion
4.00361E+12,4.00367E+12,58.803652,dandelion
4.00371E+12,4.00378E+12,60.474538,dandelion
4.00384E+12,4.0039E+12,60.322974,dandelion
4.00396E+12,4.00402E+12,56.912454,dandelion
4.00405E+12,4.0041E+12,54.924068,dandelion
4.00415E+12,4.00421E+12,62.298756,dandelion
4.00425E+12,4.00431E+12,65.036413,dandelion
4.00435E+12,4.00441E+12,61.934798,dandelion
4.00445E+12,4.00451E+12,61.208547,dandelion
4.00455E+12,4.00461E+12,56.13162,dandelion
4.00465E+12,4.00471E+12,58.778027,dandelion
4.00475E+12,4.00481E+12,63.752402,dandelion
4.00485E+12,4.00493E+12,81.419383,dandelion
4.00499E+12,4.00505E+12,58.544798,dandelion
4.0051E+12,4.00515E+12,52.700109,dandelion
4.00518E+12,4.00523E+12,53.440578,dandelion
4.00528E+12,4.00534E+12,57.992453,dandelion
4.00538E+12,4.00544E+12,56.642766,dandelion
4.00548E+12,4.00553E+12,51.811047,dandelion
4.00558E+12,4.00564E+12,58.19287,dandelion
4.00569E+12,4.00574E+12,56.545734,dandelion
4.00578E+12,4.00584E+12,57.923339,dandelion
4.00588E+12,4.00594E+12,55.000995,dandelion
4.00598E+12,4.00604E+12,55.405318,dandelion
4.0061E+12,4.00616E+12,56.978964,dandelion
4.00618E+12,4.00624E+12,54.472141,dandelion
4.00628E+12,4.00634E+12,63.045319,dandelion
4.00638E+12,4.00644E+12,58.342194,dandelion
4.00648E+12,4.00653E+12,54.223338,dandelion
4.00658E+12,4.00664E+12,58.940579,dandelion
4.00668E+12,4.00675E+12,69.395527,dandelion
4.00678E+12,4.00684E+12,55.798964,dandelion
4.00688E+12,4.00694E+12,61.011881,dandelion
4.00698E+12,4.00703E+12,52.928026,dandelion
4.00708E+12,4.00713E+12,54.816515,dandelion
4.00718E+12,4.00724E+12,60.146047,dandelion
4.00728E+12,4.00734E+12,57.592558,dandelion
4.00738E+12,4.00743E+12,52.914693,dandelion
4.00748E+12,4.00754E+12,59.737454,dandelion
4.00758E+12,4.00763E+12,54.485005,dandelion
4.00768E+12,4.00775E+12,63.196777,dandelion
4.00778E+12,4.00783E+12,52.007714,dandelion
4.00788E+12,4.00794E+12,53.440109,dandelion
4.00798E+12,4.00804E+12,55.95438,dandelion
4.00808E+12,4.00813E+12,53.733704,dandelion
4.00818E+12,4.00824E+12,54.712974,dandelion
4.00828E+12,4.00834E+12,56.445526,dandelion
4.0084E+12,4.00846E+12,59.477298,dandelion
4.00853E+12,4.00859E+12,63.258027,dandelion
4.00861E+12,4.00867E+12,58.293079,dandelion
4.00872E+12,4.00878E+12,60.125006,dandelion
4.00882E+12,4.00887E+12,54.593912,dandelion
4.00892E+12,4.00898E+12,63.156985,dandelion
4.00901E+12,4.00907E+12,54.368027,dandelion
4.00912E+12,4.00917E+12,58.950006,dandelion
4.00921E+12,4.00927E+12,55.900318,dandelion
4.00931E+12,4.00937E+12,55.875161,dandelion
4.00942E+12,4.00948E+12,57.681829,dandelion
4.00951E+12,4.00957E+12,56.677506,dandelion
4.00962E+12,4.00967E+12,57.589329,dandelion
4.00971E+12,4.00977E+12,58.401204,dandelion
4.00981E+12,4.00987E+12,62.429902,dandelion
4.00991E+12,4.00997E+12,60.480683,dandelion
4.01001E+12,4.01007E+12,58.716308,dandelion
4.01011E+12,4.01018E+12,63.326205,dandelion
4.01021E+12,4.01027E+12,56.793547,dandelion
4.01031E+12,4.01037E+12,57.113808,dandelion
4.01041E+12,4.01047E+12,54.430995,dandelion
4.01052E+12,4.01057E+12,56.89511,dandelion
4.01061E+12,4.01067E+12,55.156047,dandelion
4.01071E+12,4.01078E+12,62.486309,dandelion
4.01081E+12,4.01087E+12,56.109069,dandelion
4.01092E+12,4.01098E+12,59.759746,dandelion
4.01101E+12,4.01107E+12,53.225057,dandelion
4.01111E+12,4.01117E+12,52.568078,dandelion
4.01122E+12,4.01128E+12,65.509694,dandelion
4.01131E+12,4.01137E+12,58.499694,dandelion
4.01141E+12,4.01147E+12,56.365839,dandelion
4.01151E+12,4.01156E+12,54.419797,dandelion
4.01161E+12,4.01168E+12,61.233861,dandelion
4.01171E+12,4.01177E+12,61.061256,dandelion
4.01181E+12,4.01187E+12,60.470892,dandelion
4.01192E+12,4.01198E+12,65.850163,dandelion
4.01201E+12,4.01207E+12,62.267298,dandelion
4.01211E+12,4.01217E+12,57.930423,dandelion
4.01221E+12,4.01227E+12,54.947558,dandelion
4.01231E+12,4.01237E+12,60.232141,dandelion
4.01241E+12,4.01247E+12,59.594537,dandelion
4.01251E+12,4.01258E+12,60.975631,dandelion
4.01261E+12,4.01266E+12,53.034276,dandelion
4.01272E+12,4.01278E+12,61.00011,dandelion
4.01281E+12,4.01287E+12,56.768652,dandelion
4.01292E+12,4.01298E+12,63.079746,dandelion
4.01301E+12,4.01307E+12,57.180735,dandelion
4.01312E+12,4.01319E+12,63.276569,dandelion
4.01321E+12,4.01327E+12,60.760683,dandelion
4.01331E+12,4.01337E+12,61.655266,dandelion
4.01341E+12,4.01347E+12,60.074537,dandelion
4.01351E+12,4.01356E+12,53.940422,dandelion
4.01362E+12,4.01368E+12,53.692297,dandelion
