Num,Time (sec),Raw Mem,Total Mem (kB),Used Mem (kB),Free Mem (kB),Buffer Size (kB),Mem Usage (%),Raw CPU,CPU Total (%),CPU User (%),CPU User Actual (%),CPU System (%),CPU System Actual (%)
1,0, Mem: 3731608k total 3581824k used 149784k free 55704k buffers ,3731608,3581824,149784,55704,, 800%cpu 263%user 103%nice 69%sys 359%idle 0%iow 6%irq 0%sirq 0%host ,800,263,,69,,
2,5, Mem: 3731608k total 3592520k used 139088k free 55704k buffers ,3731608,3592520,139088,55704,, 800%cpu 226%user 0%nice 61%sys 503%idle 0%iow 10%irq 0%sirq 0%host ,800,226,,61,,
3,10, Mem: 3731608k total 3575596k used 156012k free 55712k buffers ,3731608,3575596,156012,55712,, 800%cpu 181%user 0%nice 50%sys 563%idle 0%iow 6%irq 0%sirq 0%host ,800,181,,50,,
4,15, Mem: 3731608k total 3584728k used 146880k free 55712k buffers ,3731608,3584728,146880,55712,, 800%cpu 253%user 0%nice 66%sys 475%idle 0%iow 6%irq 0%sirq 0%host ,800,253,,66,,
5,20, Mem: 3731608k total 3598576k used 133032k free 55712k buffers ,3731608,3598576,133032,55712,, 800%cpu 250%user 0%nice 56%sys 481%idle 0%iow 6%irq 6%sirq 0%host ,800,250,,56,,
6,25, Mem: 3731608k total 3573840k used 157768k free 55712k buffers ,3731608,3573840,157768,55712,, 800%cpu 210%user 0%nice 81%sys 500%idle 0%iow 6%irq 3%sirq 0%host ,800,210,,81,,
7,30, Mem: 3731608k total 3586368k used 145240k free 55712k buffers ,3731608,3586368,145240,55712,, 800%cpu 216%user 0%nice 61%sys 513%idle 0%iow 6%irq 3%sirq 0%host ,800,216,,61,,
8,35, Mem: 3731608k total 3596664k used 134944k free 55720k buffers ,3731608,3596664,134944,55720,, 800%cpu 194%user 0%nice 68%sys 532%idle 0%iow 6%irq 0%sirq 0%host ,800,194,,68,,
9,40, Mem: 3731608k total 3576080k used 155528k free 55720k buffers ,3731608,3576080,155528,55720,, 800%cpu 265%user 16%nice 68%sys 448%idle 0%iow 3%irq 0%sirq 0%host ,800,265,,68,,
10,45, Mem: 3731608k total 3587152k used 144456k free 55720k buffers ,3731608,3587152,144456,55720,, 800%cpu 216%user 0%nice 63%sys 509%idle 0%iow 6%irq 6%sirq 0%host ,800,216,,63,,
11,50, Mem: 3731608k total 3597708k used 133900k free 55720k buffers ,3731608,3597708,133900,55720,, 800%cpu 200%user 0%nice 63%sys 528%idle 0%iow 6%irq 3%sirq 0%host ,800,200,,63,,
12,56, Mem: 3731608k total 3577816k used 153792k free 55776k buffers ,3731608,3577816,153792,55776,, 800%cpu 213%user 0%nice 71%sys 513%idle 0%iow 3%irq 0%sirq 0%host ,800,213,,71,,
13,61, Mem: 3731608k total 3591224k used 140384k free 55784k buffers ,3731608,3591224,140384,55784,, 800%cpu 213%user 0%nice 65%sys 519%idle 0%iow 3%irq 0%sirq 0%host ,800,213,,65,,
14,66, Mem: 3731608k total 3575020k used 156588k free 55784k buffers ,3731608,3575020,156588,55784,, 800%cpu 222%user 3%nice 63%sys 500%idle 0%iow 9%irq 3%sirq 0%host ,800,222,,63,,
15,71, Mem: 3731608k total 3581956k used 149652k free 55792k buffers ,3731608,3581956,149652,55792,, 800%cpu 225%user 0%nice 47%sys 519%idle 0%iow 6%irq 3%sirq 0%host ,800,225,,47,,
16,76, Mem: 3731608k total 3593132k used 138476k free 55800k buffers ,3731608,3593132,138476,55800,, 800%cpu 238%user 0%nice 69%sys 481%idle 3%iow 6%irq 3%sirq 0%host ,800,238,,69,,
17,81, Mem: 3731608k total 3575900k used 155708k free 55800k buffers ,3731608,3575900,155708,55800,, 800%cpu 219%user 0%nice 65%sys 510%idle 0%iow 3%irq 3%sirq 0%host ,800,219,,65,,
18,86, Mem: 3731608k total 3584656k used 146952k free 55800k buffers ,3731608,3584656,146952,55800,, 800%cpu 241%user 0%nice 59%sys 494%idle 0%iow 6%irq 0%sirq 0%host ,800,241,,59,,
19,91, Mem: 3731608k total 3593372k used 138236k free 55800k buffers ,3731608,3593372,138236,55800,, 800%cpu 203%user 0%nice 59%sys 528%idle 0%iow 6%irq 3%sirq 0%host ,800,203,,59,,
20,96, Mem: 3731608k total 3576940k used 154668k free 55800k buffers ,3731608,3576940,154668,55800,, 800%cpu 203%user 0%nice 59%sys 528%idle 0%iow 6%irq 3%sirq 0%host ,800,203,,59,,
21,101, Mem: 3731608k total 3584420k used 147188k free 55840k buffers ,3731608,3584420,147188,55840,, 800%cpu 197%user 3%nice 66%sys 528%idle 0%iow 3%irq 3%sirq 0%host ,800,197,,66,,
22,106, Mem: 3731608k total 3597604k used 134004k free 55848k buffers ,3731608,3597604,134004,55848,, 800%cpu 216%user 0%nice 63%sys 516%idle 0%iow 3%irq 3%sirq 0%host ,800,216,,63,,
23,111, Mem: 3731608k total 3576292k used 155316k free 55848k buffers ,3731608,3576292,155316,55848,, 800%cpu 216%user 3%nice 71%sys 500%idle 0%iow 10%irq 0%sirq 0%host ,800,216,,71,,
24,116, Mem: 3731608k total 3588232k used 143376k free 55848k buffers ,3731608,3588232,143376,55848,, 800%cpu 213%user 0%nice 56%sys 522%idle 0%iow 9%irq 0%sirq 0%host ,800,213,,56,,
25,121, Mem: 3731608k total 3599840k used 131768k free 55848k buffers ,3731608,3599840,131768,55848,, 800%cpu 203%user 0%nice 66%sys 522%idle 0%iow 6%irq 3%sirq 0%host ,800,203,,66,,
26,126, Mem: 3731608k total 3578640k used 152968k free 55848k buffers ,3731608,3578640,152968,55848,, 800%cpu 247%user 3%nice 59%sys 481%idle 0%iow 6%irq 3%sirq 0%host ,800,247,,59,,
27,131, Mem: 3731608k total 3590292k used 141316k free 55848k buffers ,3731608,3590292,141316,55848,, 800%cpu 197%user 0%nice 63%sys 531%idle 0%iow 6%irq 3%sirq 0%host ,800,197,,63,,
28,136, Mem: 3731608k total 3599192k used 132416k free 55856k buffers ,3731608,3599192,132416,55856,, 800%cpu 225%user 0%nice 66%sys 500%idle 0%iow 9%irq 0%sirq 0%host ,800,225,,66,,
29,142, Mem: 3731608k total 3580156k used 151452k free 55856k buffers ,3731608,3580156,151452,55856,, 800%cpu 225%user 0%nice 78%sys 491%idle 0%iow 6%irq 0%sirq 0%host ,800,225,,78,,
