Num,Time (sec),Total Mem (kB),Used Mem (kB),Free Mem (kB),Buffer Size (kB),Mem Usage (%),CPU Total (%),CPU User (%),CPU User Actual (%),CPU System (%),CPU System Actual (%)
1,0,3731608,3301084,430524,86360,0.884627753,800,187,0.23375,126,0.1575
2,5,3731608,3363408,368200,86388,0.9013294,800,97,0.12125,35,0.04375
3,10,3731608,3367696,363912,86404,0.902478503,800,84,0.105,65,0.08125
4,15,3731608,3371760,359848,86404,0.903567577,800,116,0.145,68,0.085
5,20,3731608,3371572,360036,86412,0.903517197,800,100,0.125,68,0.085
6,25,3731608,3373160,358448,86420,0.903942751,800,113,0.14125,74,0.0925
7,30,3731608,3374020,357588,86420,0.904173214,800,116,0.145,65,0.08125
8,35,3731608,3374376,357232,86424,0.904268616,800,135,0.16875,77,0.09625
9,40,3731608,3372700,358908,86424,0.903819479,800,135,0.16875,71,0.08875
10,45,3731608,3371992,359616,86432,0.903629749,800,119,0.14875,55,0.06875
11,50,3731608,3371520,360088,86432,0.903503262,800,100,0.125,61,0.07625
12,55,3731608,3371964,359644,86432,0.903622245,800,140,0.175,63,0.07875
13,60,3731608,3372160,359448,86440,0.90367477,800,132,0.165,58,0.0725
14,65,3731608,3371884,359724,86448,0.903600807,800,110,0.1375,55,0.06875
15,70,3731608,3373364,358244,86448,0.903997419,800,126,0.1575,48,0.06
16,75,3731608,3366284,365324,86460,0.902100113,800,110,0.1375,71,0.08875
17,80,3731608,3367312,364296,86468,0.902375598,800,132,0.165,61,0.07625
18,85,3731608,3366172,365436,86476,0.9020701,800,129,0.16125,65,0.08125
19,90,3731608,3367144,364464,86484,0.902330577,800,110,0.1375,61,0.07625
20,95,3731608,3365948,365660,86488,0.902010072,800,103,0.12875,53,0.06625
21,100,3731608,3367904,363704,86488,0.902534243,800,119,0.14875,68,0.085
22,105,3731608,3367192,364416,86492,0.90234344,800,129,0.16125,71,0.08875
23,110,3731608,3366768,364840,86492,0.902229816,800,94,0.1175,81,0.10125
24,115,3731608,3368248,363360,86492,0.902626428,800,100,0.125,61,0.07625
25,120,3731608,3368152,363456,86492,0.902600702,800,100,0.125,71,0.08875
26,125,3731608,3368128,363480,86492,0.90259427,800,135,0.16875,48,0.06
27,130,3731608,3367348,364260,86496,0.902385245,800,110,0.1375,77,0.09625
28,135,3731608,3368640,362968,86500,0.902731477,800,113,0.14125,68,0.085
29,140,3731608,3368424,363184,86508,0.902673593,800,116,0.145,61,0.07625
30,145,3731608,3369644,361964,86508,0.90300053,800,113,0.14125,65,0.08125
31,150,3731608,3370604,361004,86516,0.903257791,800,119,0.14875,78,0.0975
32,155,3731608,3369624,361984,86520,0.90299517,800,126,0.1575,68,0.085
33,160,3731608,3370656,360952,86520,0.903271726,800,94,0.1175,69,0.08625
34,165,3731608,3370140,361468,86524,0.903133448,800,113,0.14125,59,0.07375
35,170,3731608,3370380,361228,86524,0.903197764,800,116,0.145,84,0.105
36,175,3731608,3370980,360628,86528,0.903358552,800,109,0.13625,59,0.07375
37,180,3731608,3370656,360952,86528,0.903271726,800,100,0.125,66,0.0825
38,185,3731608,3370804,360804,86528,0.903311387,800,122,0.1525,72,0.09
39,190,3731608,3369652,361956,86532,0.903002673,800,125,0.15625,69,0.08625
40,196,3731608,3370428,361180,86536,0.903210627,800,116,0.145,75,0.09375
41,201,3731608,3370048,361560,86540,0.903108794,800,116,0.145,53,0.06625
42,206,3731608,3370752,360856,86540,0.903297452,800,109,0.13625,75,0.09375
43,211,3731608,3371088,360520,86544,0.903387494,800,106,0.1325,78,0.0975
44,216,3731608,3372260,359348,86548,0.903701568,800,126,0.1575,68,0.085
45,221,3731608,3369880,361728,86548,0.903063773,800,103,0.12875,72,0.09
46,226,3731608,3371448,360160,86556,0.903483967,800,122,0.1525,72,0.09
47,231,3731608,3370596,361012,86556,0.903255647,800,125,0.15625,69,0.08625
48,236,3731608,3368308,363300,86560,0.902642507,800,131,0.16375,56,0.07
49,241,3731608,3370084,361524,86560,0.903118441,800,103,0.12875,63,0.07875
50,246,3731608,3368956,362652,86564,0.902816159,800,139,0.17375,77,0.09625
51,251,3731608,3370380,361228,86568,0.903197764,800,139,0.17375,68,0.085
52,256,3731608,3368700,362908,86568,0.902747555,800,131,0.16375,81,0.10125
53,261,3731608,3371024,360584,86572,0.903370343,800,119,0.14875,72,0.09
54,266,3731608,3369012,362596,86572,0.902831166,800,100,0.125,55,0.06875
55,271,3731608,3370752,360856,86572,0.903297452,800,134,0.1675,75,0.09375
56,276,3731608,3371508,360100,86576,0.903500046,800,122,0.1525,72,0.09
57,282,3731608,3369656,361952,86576,0.903003745,800,100,0.125,72,0.09
58,287,3731608,3371416,360192,86580,0.903475392,800,129,0.16125,81,0.10125
59,292,3731608,3370076,361532,86580,0.903116297,800,141,0.17625,72,0.09
60,297,3731608,3372100,359508,86584,0.903658691,800,116,0.145,58,0.0725
