Record, Frame Rate,,,,,,,,Min FPS,Max FPS,Avg FPS
1,59.22179,,,,,,,,59.22179,59.69081,59.63197993
2,59.62748,,,,,,,,,,
3,59.62877,,,,,,,,,,
4,59.63091,,,,,,,,,,
5,59.63068,,,,,,,,,,
6,59.63008,,,,,,,,,,
7,59.62992,,,,,,,,,,
8,59.6287,,,,,,,,,,
9,59.62872,,,,,,,,,,
10,59.62934,,,,,,,,,,
11,59.62986,,,,,,,,,,
12,59.62907,,,,,,,,,,
13,59.68122,,,,,,,,,,
14,59.63687,,,,,,,,,,
15,59.63737,,,,,,,,,,
16,59.63739,,,,,,,,,,
17,59.63776,,,,,,,,,,
18,59.63726,,,,,,,,,,
19,59.63743,,,,,,,,,,
20,59.63802,,,,,,,,,,
21,59.63739,,,,,,,,,,
22,59.63736,,,,,,,,,,
23,59.63768,,,,,,,,,,
24,59.63747,,,,,,,,,,
25,59.58954,,,,,,,,,,
26,59.62951,,,,,,,,,,
27,59.62941,,,,,,,,,,
28,59.62971,,,,,,,,,,
29,59.62981,,,,,,,,,,
30,59.62955,,,,,,,,,,
31,59.62994,,,,,,,,,,
32,59.62867,,,,,,,,,,
33,59.63005,,,,,,,,,,
34,59.62885,,,,,,,,,,
35,59.68373,,,,,,,,,,
36,59.6354,,,,,,,,,,
37,59.63396,,,,,,,,,,
38,59.63777,,,,,,,,,,
39,59.63511,,,,,,,,,,
40,59.63535,,,,,,,,,,
41,59.63475,,,,,,,,,,
42,59.63427,,,,,,,,,,
43,59.63602,,,,,,,,,,
44,59.63538,,,,,,,,,,
45,59.63419,,,,,,,,,,
46,59.63514,,,,,,,,,,
47,59.63589,,,,,,,,,,
48,59.63564,,,,,,,,,,
49,59.6358,,,,,,,,,,
50,59.63488,,,,,,,,,,
51,59.63546,,,,,,,,,,
52,59.63559,,,,,,,,,,
53,59.6351,,,,,,,,,,
54,59.63574,,,,,,,,,,
55,59.63416,,,,,,,,,,
56,59.63602,,,,,,,,,,
57,59.63491,,,,,,,,,,
58,59.63458,,,,,,,,,,
59,59.6354,,,,,,,,,,
