Time (sec),Preproc Start Time (ns),Preproc End Time (ns),Preproc Time Elapsed (ms),Class Start Time (ns),Class End Time (ns),Class Time Elapsed (ms),Total Time Elapsed (ms)
2,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,32.253597,34.026253
2,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,24.131826,25.904482
2,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,23.960576,25.733232
2,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,23.845263,25.617919
2,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,23.454325,25.226981
2,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,23.266929,25.039585
2,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,23.198543,24.971199
2,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.893336,22.665992
2,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.571408,22.344064
2,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.178909,21.951565
2,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,21.094533,22.867189
2,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.406773,22.179429
2,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.527815,22.300471
3,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.151252,21.923908
3,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.667606,22.440262
3,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.143179,21.915835
3,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.409534,22.18219
3,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,22.132711,23.905367
3,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,22.437398,24.210054
3,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.374169,22.146825
3,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.333752,22.106408
3,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.367085,22.139741
3,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.052867,21.825523
3,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.552293,22.324949
3,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.372762,22.145418
3,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.619377,22.392033
3,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,19.933075,21.705731
3,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.14219,21.914846
3,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.380627,22.153283
3,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.225419,21.998075
3,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.374794,22.14745
3,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.055627,21.828283
3,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.521825,22.294481
3,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.156616,21.929272
3,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.248335,22.020991
3,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.265419,22.038075
3,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.594898,22.367554
4,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.624481,22.397137
4,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.398856,22.171512
4,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,21.119325,22.891981
4,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,19.98021,21.752866
4,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.539221,22.311877
4,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.308648,22.081304
4,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.366147,22.138803
4,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.166043,21.938699
4,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.227502,22.000158
4,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.429065,22.201721
4,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.330627,22.103283
4,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.971148,22.743804
4,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,22.228127,24.000783
4,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.518648,22.291304
4,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.582554,22.35521
4,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,21.732606,23.505262
4,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,19.905784,21.67844
4,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.210835,21.983491
4,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.912033,22.684689
4,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,21.952398,23.725054
4,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,19.989221,21.761877
4,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.273752,22.046408
4,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.865367,22.638023
4,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.326357,22.099013
5,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.185471,21.958127
5,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.230002,22.002658
5,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.551356,22.324012
5,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.129064,21.90172
5,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.273075,22.045731
5,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,19.841252,21.613908
5,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.422346,22.195002
5,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.209117,21.981773
5,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.874637,22.647293
5,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.410054,22.18271
5,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,19.769534,21.54219
5,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,21.305836,23.078492
5,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,21.149273,22.921929
5,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.574585,22.347241
5,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,19.874741,21.647397
5,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.653544,22.4262
5,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.313856,22.086512
5,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,21.135784,22.90844
5,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,19.846304,21.61896
5,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.210679,21.983335
5,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.239637,22.012293
5,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.608075,22.380731
5,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,21.378231,23.150887
5,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.215055,21.987711
5,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.732554,22.50521
6,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.139065,21.911721
6,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.076981,21.849637
6,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,19.811252,21.583908
6,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.198961,21.971617
6,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.176565,21.949221
6,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,21.066773,22.839429
6,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.370314,22.14297
6,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.475158,22.247814
6,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.84771,22.620366
6,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.056304,21.82896
6,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.484533,22.257189
6,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,19.663231,21.435887
6,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.26495,22.037606
6,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.205731,21.978387
6,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.089689,21.862345
6,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.559586,22.332242
6,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,19.787502,21.560158
6,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.00797,21.780626
6,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.745835,22.518491
6,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.124064,21.89672
6,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.323439,22.096095
6,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,19.944898,21.717554
6,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.133596,21.906252
6,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.139065,21.911721
7,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.123075,21.895731
7,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,21.062607,22.835263
7,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,19.941773,21.714429
7,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.013492,21.786148
7,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,19.79495,21.567606
7,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.85495,22.627606
7,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.279846,22.052502
7,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.310002,22.082658
7,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.390783,22.163439
7,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.396929,22.169585
7,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,19.782085,21.554741
7,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,19.865002,21.637658
7,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,21.325732,23.098388
7,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.685887,22.458543
7,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.447138,22.219794
7,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.641617,22.414273
7,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,19.998023,21.770679
7,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,19.913388,21.686044
7,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.519898,22.292554
7,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.65646,22.429116
7,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,21.363491,23.136147
7,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.810106,22.582762
7,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.293492,22.066148
7,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.132919,21.905575
7,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.133283,21.905939
7,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.468127,22.240783
8,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.475888,22.248544
8,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.604481,22.377137
8,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,21.028179,22.800835
8,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.91745,22.690106
8,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,19.895575,21.668231
8,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,19.818595,21.591251
8,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,21.365262,23.137918
8,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,21.0537,22.826356
