Time (sec),Previous Frame (ns),Current Frame (ns),Time Elapsed (ms),Dropped Frame Count,,,Num,FPS,,Min FPS,Max FPS,Avg FPS
0,2.51E+14,2.51E+14,134.007966,7,,,0,60,,5,60,59.39202658
0,2.51E+14,2.51E+14,34.335213,2,,,1,59,,,,
0,2.51E+14,2.51E+14,16.889712,0,,,2,60,,,,
0,2.51E+14,2.51E+14,16.330182,0,,,3,59,,,,
0,2.51E+14,2.51E+14,16.7778,0,,,4,60,,,,
0,2.51E+14,2.51E+14,16.778465,0,,,5,60,,,,
0,2.51E+14,2.51E+14,16.778375,0,,,6,59,,,,
0,2.51E+14,2.51E+14,16.778344,0,,,7,60,,,,
0,2.51E+14,2.51E+14,16.717631,0,,,8,60,,,,
0,2.51E+14,2.51E+14,16.771639,0,,,9,59,,,,
0,2.51E+14,2.51E+14,16.771375,0,,,10,60,,,,
0,2.51E+14,2.51E+14,16.771335,0,,,11,59,,,,
0,2.51E+14,2.51E+14,16.771438,0,,,12,60,,,,
0,2.51E+14,2.51E+14,16.771412,0,,,13,60,,,,
0,2.51E+14,2.51E+14,16.771305,0,,,14,59,,,,
0,2.51E+14,2.51E+14,16.770515,0,,,15,60,,,,
0,2.51E+14,2.51E+14,16.771194,0,,,16,59,,,,
0,2.51E+14,2.51E+14,16.77077,0,,,17,60,,,,
0,2.51E+14,2.51E+14,16.771668,0,,,18,60,,,,
0,2.51E+14,2.51E+14,16.771824,0,,,19,59,,,,
0,2.51E+14,2.51E+14,16.771709,0,,,20,60,,,,
0,2.51E+14,2.51E+14,16.771543,0,,,21,60,,,,
0,2.51E+14,2.51E+14,16.771876,0,,,22,59,,,,
0,2.51E+14,2.51E+14,16.77172,0,,,23,60,,,,
0,2.51E+14,2.51E+14,16.771532,0,,,24,59,,,,
0,2.51E+14,2.51E+14,16.771787,0,,,25,60,,,,
0,2.51E+14,2.51E+14,16.771551,0,,,26,60,,,,
0,2.51E+14,2.51E+14,16.771593,0,,,27,59,,,,
0,2.51E+14,2.51E+14,16.771656,0,,,28,60,,,,
0,2.51E+14,2.51E+14,16.771546,0,,,29,59,,,,
0,2.51E+14,2.51E+14,16.770153,0,,,30,60,,,,
0,2.51E+14,2.51E+14,16.771638,0,,,31,60,,,,
0,2.51E+14,2.51E+14,16.771621,0,,,32,59,,,,
0,2.51E+14,2.51E+14,16.770945,0,,,33,60,,,,
0,2.51E+14,2.51E+14,16.771573,0,,,34,60,,,,
0,2.51E+14,2.51E+14,16.771665,0,,,35,59,,,,
0,2.51E+14,2.51E+14,16.771413,0,,,36,60,,,,
0,2.51E+14,2.51E+14,16.771624,0,,,37,59,,,,
0,2.51E+14,2.51E+14,16.771652,0,,,38,60,,,,
0,2.51E+14,2.51E+14,16.770819,0,,,39,60,,,,
0,2.51E+14,2.51E+14,16.771567,0,,,40,59,,,,
0,2.51E+14,2.51E+14,16.771507,0,,,41,60,,,,
0,2.51E+14,2.51E+14,16.771497,0,,,42,59,,,,
0,2.51E+14,2.51E+14,16.771631,0,,,43,60,,,,
0,2.51E+14,2.51E+14,16.771415,0,,,44,60,,,,
0,2.51E+14,2.51E+14,16.771637,0,,,45,59,,,,
0,2.51E+14,2.51E+14,16.771461,0,,,46,60,,,,
0,2.51E+14,2.51E+14,16.771555,0,,,47,60,,,,
0,2.51E+14,2.51E+14,16.771666,0,,,48,59,,,,
0,2.51E+14,2.51E+14,16.771452,0,,,49,60,,,,
0,2.51E+14,2.51E+14,16.771495,0,,,50,59,,,,
0,2.51E+14,2.51E+14,16.771373,0,,,51,60,,,,
0,2.51E+14,2.51E+14,16.771401,0,,,52,60,,,,
0,2.51E+14,2.51E+14,16.771097,0,,,53,59,,,,
0,2.51E+14,2.51E+14,16.771423,0,,,54,60,,,,
0,2.51E+14,2.51E+14,16.771403,0,,,55,59,,,,
0,2.51E+14,2.51E+14,16.771415,0,,,56,60,,,,
0,2.51E+14,2.51E+14,16.771522,0,,,57,60,,,,
0,2.51E+14,2.51E+14,16.771378,0,,,58,59,,,,
0,2.51E+14,2.51E+14,16.771307,0,,,59,60,,,,
1,2.51E+14,2.51E+14,16.771463,0,,,60,60,,,,
1,2.51E+14,2.51E+14,16.771369,0,,,61,59,,,,
1,2.51E+14,2.51E+14,16.77127,0,,,62,60,,,,
1,2.51E+14,2.51E+14,16.771374,0,,,63,59,,,,
1,2.51E+14,2.51E+14,16.77135,0,,,64,60,,,,
1,2.51E+14,2.51E+14,16.77135,0,,,65,60,,,,
1,2.51E+14,2.51E+14,16.771382,0,,,66,59,,,,
1,2.51E+14,2.51E+14,16.771344,0,,,67,60,,,,
1,2.51E+14,2.51E+14,16.771077,0,,,68,59,,,,
1,2.51E+14,2.51E+14,16.771336,0,,,69,60,,,,
1,2.51E+14,2.51E+14,16.771332,0,,,70,60,,,,
1,2.51E+14,2.51E+14,16.771307,0,,,71,59,,,,
1,2.51E+14,2.51E+14,16.771407,0,,,72,60,,,,
1,2.51E+14,2.51E+14,16.77118,0,,,73,60,,,,
1,2.51E+14,2.51E+14,16.77102,0,,,74,59,,,,
1,2.51E+14,2.51E+14,16.771311,0,,,75,60,,,,
1,2.51E+14,2.51E+14,16.771299,0,,,76,59,,,,
1,2.51E+14,2.51E+14,16.771244,0,,,77,60,,,,
1,2.51E+14,2.51E+14,16.770622,0,,,78,60,,,,
1,2.51E+14,2.51E+14,16.771101,0,,,79,59,,,,
1,2.51E+14,2.51E+14,16.770842,0,,,80,60,,,,
1,2.51E+14,2.51E+14,16.771172,0,,,81,59,,,,
1,2.51E+14,2.51E+14,16.771383,0,,,82,60,,,,
1,2.51E+14,2.51E+14,16.770749,0,,,83,60,,,,
1,2.51E+14,2.51E+14,16.771003,0,,,84,59,,,,
1,2.51E+14,2.51E+14,16.770996,0,,,85,60,,,,
1,2.51E+14,2.51E+14,16.771151,0,,,86,60,,,,
1,2.51E+14,2.51E+14,16.771316,0,,,87,59,,,,
1,2.51E+14,2.51E+14,16.771277,0,,,88,60,,,,
1,2.51E+14,2.51E+14,16.771191,0,,,89,59,,,,
1,2.51E+14,2.51E+14,16.771244,0,,,90,60,,,,
1,2.51E+14,2.51E+14,16.771255,0,,,91,60,,,,
1,2.51E+14,2.51E+14,16.771127,0,,,92,59,,,,
1,2.51E+14,2.51E+14,16.77126,0,,,93,60,,,,
1,2.51E+14,2.51E+14,16.771268,0,,,94,59,,,,
1,2.51E+14,2.51E+14,16.771173,0,,,95,60,,,,
1,2.51E+14,2.51E+14,16.771269,0,,,96,60,,,,
1,2.51E+14,2.51E+14,16.771243,0,,,97,59,,,,
1,2.51E+14,2.51E+14,16.771165,0,,,98,60,,,,
1,2.51E+14,2.51E+14,16.771269,0,,,99,60,,,,
1,2.51E+14,2.51E+14,16.771217,0,,,100,59,,,,
1,2.51E+14,2.51E+14,16.771163,0,,,101,60,,,,
1,2.51E+14,2.51E+14,16.77121,0,,,102,59,,,,
1,2.51E+14,2.51E+14,16.771236,0,,,103,60,,,,
1,2.51E+14,2.51E+14,16.771166,0,,,104,60,,,,
1,2.51E+14,2.51E+14,16.771189,0,,,105,59,,,,
1,2.51E+14,2.51E+14,16.771216,0,,,106,60,,,,
1,2.51E+14,2.51E+14,16.77059,0,,,107,59,,,,
1,2.51E+14,2.51E+14,16.771096,0,,,108,60,,,,
1,2.51E+14,2.51E+14,16.771198,0,,,109,60,,,,
1,2.51E+14,2.51E+14,16.771022,0,,,110,59,,,,
1,2.51E+14,2.51E+14,16.771168,0,,,111,60,,,,
1,2.51E+14,2.51E+14,16.771091,0,,,112,60,,,,
1,2.51E+14,2.51E+14,16.770937,0,,,113,59,,,,
1,2.51E+14,2.51E+14,16.771285,0,,,114,60,,,,
1,2.51E+14,2.51E+14,16.771182,0,,,115,59,,,,
1,2.51E+14,2.51E+14,16.771128,0,,,116,60,,,,
1,2.51E+14,2.51E+14,16.771177,0,,,117,60,,,,
1,2.51E+14,2.51E+14,16.77119,0,,,118,59,,,,
2,2.51E+14,2.51E+14,16.770817,0,,,119,60,,,,
2,2.51E+14,2.51E+14,16.771099,0,,,120,59,,,,
2,2.51E+14,2.51E+14,16.771182,0,,,121,60,,,,
2,2.51E+14,2.51E+14,16.771068,0,,,122,60,,,,
2,2.51E+14,2.51E+14,16.770873,0,,,123,59,,,,
2,2.51E+14,2.51E+14,16.771154,0,,,124,60,,,,
2,2.51E+14,2.51E+14,16.770993,0,,,125,60,,,,
2,2.51E+14,2.51E+14,16.771173,0,,,126,59,,,,
2,2.51E+14,2.51E+14,16.771247,0,,,127,60,,,,
2,2.51E+14,2.51E+14,16.771324,0,,,128,59,,,,
2,2.51E+14,2.51E+14,16.770241,0,,,129,60,,,,
2,2.51E+14,2.51E+14,16.76835,0,,,130,60,,,,
2,2.51E+14,2.51E+14,16.769232,0,,,131,59,,,,
2,2.51E+14,2.51E+14,16.7667,0,,,132,60,,,,
2,2.51E+14,2.51E+14,16.766329,0,,,133,60,,,,
2,2.51E+14,2.51E+14,16.767954,0,,,134,59,,,,
2,2.51E+14,2.51E+14,16.769448,0,,,135,60,,,,
2,2.51E+14,2.51E+14,16.767208,0,,,136,59,,,,
2,2.51E+14,2.51E+14,16.770618,0,,,137,60,,,,
2,2.51E+14,2.51E+14,16.770432,0,,,138,60,,,,
2,2.51E+14,2.51E+14,16.770349,0,,,139,59,,,,
2,2.51E+14,2.51E+14,16.768687,0,,,140,60,,,,
2,2.51E+14,2.51E+14,16.769903,0,,,141,60,,,,
2,2.51E+14,2.51E+14,16.769331,0,,,142,59,,,,
2,2.51E+14,2.51E+14,16.769056,0,,,143,60,,,,
2,2.51E+14,2.51E+14,16.766653,0,,,144,59,,,,
2,2.51E+14,2.51E+14,16.768718,0,,,145,60,,,,
2,2.51E+14,2.51E+14,16.771319,0,,,146,60,,,,
2,2.51E+14,2.51E+14,16.766072,0,,,147,59,,,,
2,2.51E+14,2.51E+14,16.771386,0,,,148,60,,,,
2,2.51E+14,2.51E+14,16.77108,0,,,149,60,,,,
2,2.51E+14,2.51E+14,16.771455,0,,,150,59,,,,
2,2.51E+14,2.51E+14,16.769396,0,,,151,60,,,,
2,2.51E+14,2.51E+14,17.042062,0,,,152,59,,,,
2,2.51E+14,2.51E+14,16.77115,0,,,153,60,,,,
2,2.51E+14,2.51E+14,16.771566,0,,,154,60,,,,
2,2.51E+14,2.51E+14,16.765311,0,,,155,59,,,,
2,2.51E+14,2.51E+14,16.770389,0,,,156,60,,,,
2,2.51E+14,2.51E+14,16.95983,0,,,157,60,,,,
2,2.51E+14,2.51E+14,16.823472,0,,,158,59,,,,
2,2.51E+14,2.51E+14,16.819645,0,,,159,60,,,,
2,2.51E+14,2.51E+14,16.820234,0,,,160,59,,,,
2,2.51E+14,2.51E+14,16.814492,0,,,161,60,,,,
2,2.51E+14,2.51E+14,16.824179,0,,,162,60,,,,
2,2.51E+14,2.51E+14,16.820763,0,,,163,59,,,,
2,2.51E+14,2.51E+14,16.821557,0,,,164,60,,,,
2,2.51E+14,2.51E+14,16.822051,0,,,165,60,,,,
2,2.51E+14,2.51E+14,16.823061,0,,,166,59,,,,
2,2.51E+14,2.51E+14,16.817085,0,,,167,60,,,,
2,2.51E+14,2.51E+14,16.823637,0,,,168,59,,,,
2,2.51E+14,2.51E+14,16.823601,0,,,169,60,,,,
2,2.51E+14,2.51E+14,16.82385,0,,,170,60,,,,
2,2.51E+14,2.51E+14,16.822155,0,,,171,59,,,,
2,2.51E+14,2.51E+14,16.823836,0,,,172,60,,,,
2,2.51E+14,2.51E+14,16.819033,0,,,173,59,,,,
2,2.51E+14,2.51E+14,16.821026,0,,,174,60,,,,
