Num,Time (sec),Total Mem (kB),Used Mem (kB),Free Mem (kB),Buffer Size (kB),Mem Usage (%),CPU Total (%),CPU User (%),CPU User Actual (%),CPU System (%),CPU System Actual (%)
1,0,3731608,3263480,468128,127348,0.874550596,800,134,0.1675,44,0.055
2,6,3731608,3324708,406900,127372,0.890958536,800,123,0.15375,87,0.10875
3,11,3731608,3325872,405736,127372,0.891270466,800,116,0.145,61,0.07625
4,16,3731608,3327232,404376,127372,0.89163492,800,139,0.17375,94,0.1175
5,21,3731608,3326976,404632,127372,0.891566317,800,119,0.14875,81,0.10125
6,26,3731608,3328640,402968,127372,0.892012237,800,110,0.1375,81,0.10125
7,31,3731608,3329832,401776,127372,0.89233167,800,132,0.165,84,0.105
8,36,3731608,3329060,402548,127372,0.892124789,800,97,0.12125,81,0.10125
9,41,3731608,3330240,401368,127372,0.892441007,800,106,0.1325,90,0.1125
10,46,3731608,3319756,411852,127372,0.889631494,800,119,0.14875,90,0.1125
11,51,3731608,3320680,410928,127372,0.889879108,800,100,0.125,71,0.08875
12,56,3731608,3320624,410984,127372,0.889864101,800,119,0.14875,87,0.10875
13,61,3731608,3315224,416384,127372,0.888417004,800,110,0.1375,87,0.10875
14,66,3731608,3316852,414756,127376,0.888853277,800,106,0.1325,77,0.09625
15,71,3731608,3318648,412960,127380,0.889334571,800,113,0.14125,94,0.1175
16,76,3731608,3309168,422440,127384,0.886794111,800,119,0.14875,84,0.105
17,81,3731608,3310112,421496,127384,0.887047085,800,116,0.145,75,0.09375
18,86,3731608,3310080,421528,127392,0.88703851,800,128,0.16,78,0.0975
19,92,3731608,3310580,421028,127400,0.8871725,800,138,0.1725,81,0.10125
20,97,3731608,3312616,418992,127400,0.88771811,800,122,0.1525,75,0.09375
21,102,3731608,3312636,418972,127400,0.887723469,800,116,0.145,94,0.1175
22,107,3731608,3314056,417552,127400,0.888104002,800,128,0.16,81,0.10125
23,112,3731608,3312924,418684,127400,0.887800648,800,128,0.16,78,0.0975
24,118,3731608,3314800,416808,127400,0.88830338,800,131,0.16375,81,0.10125
25,123,3731608,3313600,418008,127420,0.887981803,800,128,0.16,106,0.1325
26,128,3731608,3310328,421280,127428,0.887104969,800,119,0.14875,81,0.10125
27,133,3731608,3312496,419112,127428,0.887685952,800,125,0.15625,84,0.105
28,138,3731608,3313100,418508,127428,0.887847813,800,119,0.14875,91,0.11375
29,143,3731608,3311676,419932,127428,0.887466208,800,125,0.15625,97,0.12125
30,148,3731608,3312256,419352,127428,0.887621637,800,113,0.14125,75,0.09375
31,153,3731608,3314112,417496,127428,0.888119009,800,138,0.1725,72,0.09
32,158,3731608,3311532,420076,127428,0.887427618,800,131,0.16375,75,0.09375
33,163,3731608,3312152,419456,127428,0.887593767,800,125,0.15625,66,0.0825
34,168,3731608,3315172,416436,127432,0.888403069,800,134,0.1675,75,0.09375
35,173,3731608,3314260,417348,127432,0.88815867,800,116,0.145,84,0.105
36,178,3731608,3314028,417580,127432,0.888096499,800,122,0.1525,84,0.105
37,183,3731608,3314556,417052,127436,0.888237993,800,113,0.14125,94,0.1175
38,188,3731608,3315064,416544,127436,0.888374127,800,134,0.1675,103,0.12875
39,193,3731608,3316760,414848,127488,0.888828623,800,109,0.13625,84,0.105
40,198,3731608,3314940,416668,127492,0.888340898,800,141,0.17625,97,0.12125
41,203,3731608,3313376,418232,127500,0.887921775,800,131,0.16375,84,0.105
42,208,3731608,3313948,417660,127500,0.88807506,800,116,0.145,78,0.0975
43,213,3731608,3314448,417160,127500,0.888209051,800,109,0.13625,94,0.1175
44,218,3731608,3316196,415412,127500,0.888677482,800,131,0.16375,91,0.11375
45,223,3731608,3315548,416060,127500,0.88850383,800,113,0.14125,78,0.0975
46,229,3731608,3315868,415740,127500,0.888589584,800,122,0.1525,81,0.10125
47,234,3731608,3315804,415804,127500,0.888572433,800,131,0.16375,91,0.11375
48,239,3731608,3322072,409536,127520,0.890252138,800,103,0.12875,94,0.1175
49,244,3731608,3318104,413504,127524,0.889188789,800,122,0.1525,81,0.10125
50,249,3731608,3317920,413688,127528,0.889139481,800,131,0.16375,88,0.11
51,254,3731608,3318976,412632,127528,0.889422469,800,138,0.1725,78,0.0975
52,259,3731608,3318108,413500,127528,0.889189861,800,106,0.1325,78,0.0975
53,264,3731608,3319316,412292,127528,0.889513582,800,122,0.1525,88,0.11
54,269,3731608,3316704,414904,127528,0.888813616,800,134,0.1675,72,0.09
55,274,3731608,3317556,414052,127532,0.889041936,800,116,0.145,81,0.10125
56,280,3731608,3318376,413232,127536,0.88926168,800,119,0.14875,88,0.11
57,285,3731608,3319552,412056,127536,0.889576826,800,134,0.1675,78,0.0975
58,290,3731608,3319740,411868,127536,0.889627206,800,131,0.16375,69,0.08625
59,295,3731608,3323476,408132,127544,0.890628383,800,113,0.14125,81,0.10125
