Time (sec),Previous Frame (ns),Current Frame (ns),Time Elapsed (ms),Dropped Frame Count,,Num,FPS,,Min FPS,Max FPS,Avg FPS
0,3.94617E+14,3.94618E+14,133.8153,7,,0,61,,5,61,59.43853821
0,3.94618E+14,3.94618E+14,17.432756,0,,1,59,,,,
0,3.94618E+14,3.94618E+14,16.759149,0,,2,60,,,,
0,3.94618E+14,3.94618E+14,16.762036,0,,3,60,,,,
0,3.94618E+14,3.94618E+14,16.762389,0,,4,59,,,,
0,3.94618E+14,3.94618E+14,16.76233,0,,5,60,,,,
0,3.94618E+14,3.94618E+14,16.762393,0,,6,60,,,,
0,3.94618E+14,3.94618E+14,16.762273,0,,7,59,,,,
0,3.94618E+14,3.94618E+14,16.762267,0,,8,60,,,,
0,3.94618E+14,3.94618E+14,16.761793,0,,9,60,,,,
0,3.94618E+14,3.94618E+14,16.761695,0,,10,59,,,,
0,3.94618E+14,3.94618E+14,16.761855,0,,11,60,,,,
0,3.94618E+14,3.94618E+14,16.761579,0,,12,60,,,,
0,3.94618E+14,3.94618E+14,16.761845,0,,13,59,,,,
0,3.94618E+14,3.94618E+14,16.761698,0,,14,60,,,,
0,3.94618E+14,3.94618E+14,16.761882,0,,15,59,,,,
0,3.94618E+14,3.94618E+14,16.761723,0,,16,60,,,,
0,3.94618E+14,3.94618E+14,16.76231,0,,17,60,,,,
0,3.94618E+14,3.94618E+14,16.761752,0,,18,59,,,,
0,3.94618E+14,3.94618E+14,16.761616,0,,19,60,,,,
0,3.94618E+14,3.94618E+14,16.761678,0,,20,60,,,,
0,3.94618E+14,3.94618E+14,16.761804,0,,21,59,,,,
0,3.94618E+14,3.94618E+14,16.760414,0,,22,60,,,,
0,3.94618E+14,3.94618E+14,16.761625,0,,23,60,,,,
0,3.94618E+14,3.94618E+14,16.761294,0,,24,59,,,,
0,3.94618E+14,3.94618E+14,16.761863,0,,25,60,,,,
0,3.94618E+14,3.94618E+14,16.761184,0,,26,60,,,,
0,3.94618E+14,3.94618E+14,16.761475,0,,27,59,,,,
0,3.94618E+14,3.94618E+14,16.761296,0,,28,60,,,,
0,3.94618E+14,3.94618E+14,16.761469,0,,29,60,,,,
0,3.94618E+14,3.94618E+14,16.761779,0,,30,59,,,,
0,3.94618E+14,3.94618E+14,16.761205,0,,31,60,,,,
0,3.94618E+14,3.94618E+14,16.760954,0,,32,60,,,,
0,3.94618E+14,3.94618E+14,16.761356,0,,33,59,,,,
0,3.94618E+14,3.94618E+14,16.76142,0,,34,60,,,,
0,3.94618E+14,3.94618E+14,16.76134,0,,35,60,,,,
0,3.94618E+14,3.94618E+14,16.761248,0,,36,59,,,,
0,3.94618E+14,3.94618E+14,16.761263,0,,37,60,,,,
0,3.94618E+14,3.94618E+14,16.761431,0,,38,60,,,,
0,3.94618E+14,3.94618E+14,16.76167,0,,39,59,,,,
0,3.94618E+14,3.94618E+14,16.761563,0,,40,60,,,,
0,3.94618E+14,3.94618E+14,16.761727,0,,41,60,,,,
0,3.94618E+14,3.94618E+14,16.761636,0,,42,59,,,,
0,3.94618E+14,3.94618E+14,16.761766,0,,43,60,,,,
0,3.94618E+14,3.94618E+14,16.761184,0,,44,60,,,,
0,3.94618E+14,3.94618E+14,16.761635,0,,45,59,,,,
0,3.94618E+14,3.94618E+14,16.761771,0,,46,60,,,,
0,3.94618E+14,3.94618E+14,16.761696,0,,47,60,,,,
0,3.94618E+14,3.94618E+14,16.761924,0,,48,59,,,,
0,3.94618E+14,3.94618E+14,16.761812,0,,49,60,,,,
0,3.94618E+14,3.94618E+14,16.761732,0,,50,60,,,,
0,3.94618E+14,3.94618E+14,16.761633,0,,51,59,,,,
0,3.94618E+14,3.94618E+14,16.761729,0,,52,60,,,,
0,3.94618E+14,3.94618E+14,16.761714,0,,53,60,,,,
0,3.94618E+14,3.94619E+14,16.761857,0,,54,59,,,,
0,3.94619E+14,3.94619E+14,16.761677,0,,55,60,,,,
0,3.94619E+14,3.94619E+14,16.761812,0,,56,60,,,,
0,3.94619E+14,3.94619E+14,16.761547,0,,57,59,,,,
0,3.94619E+14,3.94619E+14,16.761358,0,,58,60,,,,
0,3.94619E+14,3.94619E+14,16.761506,0,,59,60,,,,
0,3.94619E+14,3.94619E+14,16.761663,0,,60,59,,,,
1,3.94619E+14,3.94619E+14,16.761499,0,,61,60,,,,
1,3.94619E+14,3.94619E+14,16.761751,0,,62,60,,,,
1,3.94619E+14,3.94619E+14,16.761524,0,,63,59,,,,
1,3.94619E+14,3.94619E+14,16.760363,0,,64,60,,,,
1,3.94619E+14,3.94619E+14,16.761477,0,,65,60,,,,
1,3.94619E+14,3.94619E+14,16.761674,0,,66,59,,,,
1,3.94619E+14,3.94619E+14,16.761622,0,,67,60,,,,
1,3.94619E+14,3.94619E+14,16.761867,0,,68,60,,,,
1,3.94619E+14,3.94619E+14,16.761488,0,,69,59,,,,
1,3.94619E+14,3.94619E+14,16.761321,0,,70,60,,,,
1,3.94619E+14,3.94619E+14,16.76169,0,,71,60,,,,
1,3.94619E+14,3.94619E+14,16.761822,0,,72,59,,,,
1,3.94619E+14,3.94619E+14,16.761757,0,,73,60,,,,
1,3.94619E+14,3.94619E+14,16.761604,0,,74,60,,,,
1,3.94619E+14,3.94619E+14,16.761345,0,,75,59,,,,
1,3.94619E+14,3.94619E+14,16.761416,0,,76,60,,,,
1,3.94619E+14,3.94619E+14,16.761712,0,,77,59,,,,
