Time (sec),Previous Frame (ns),Current Frame (ns),Time Elapsed (ms),Dropped Frame Count
0,250507431289979,250507565392721,134.102742,7
0,250507565392721,250507582931260,17.538539,0
0,250507582931260,250507599706942,16.775682,0
0,250507599706942,250507616482382,16.77544,0
0,250507616482382,250507633258373,16.775991,0
0,250507633258373,250507650034246,16.775873,0
0,250507650034246,250507666809891,16.775645,0
0,250507666809891,250507683585977,16.776086,0
0,250507683585977,250507700361421,16.775444,0
0,250507700361421,250507717137266,16.775845,0
0,250507717137266,250507733912783,16.775517,0
0,250507733912783,250507750688184,16.775401,0
0,250507750688184,250507767463313,16.775129,0
0,250507767463313,250507784238472,16.775159,0
0,250507784238472,250507801013395,16.774923,0
0,250507801013395,250507817788724,16.775329,0
0,250507817788724,250507834564085,16.775361,0
0,250507834564085,250507851339360,16.775275,0
0,250507851339360,250507868114694,16.775334,0
0,250507868114694,250507884890027,16.775333,0
0,250507884890027,250507901665239,16.775212,0
0,250507901665239,250507918440323,16.775084,0
0,250507918440323,250507935216035,16.775712,0
0,250507935216035,250507951991279,16.775244,0
0,250507951991279,250507968767051,16.775772,0
0,250507968767051,250507985542637,16.775586,0
0,250507985542637,250508002318108,16.775471,0
0,250508002318108,250508019093479,16.775371,0
0,250508019093479,250508035868426,16.774947,0
0,250508035868426,250508052644257,16.775831,0
0,250508052644257,250508069419959,16.775702,0
0,250508069419959,250508086195599,16.77564,0
0,250508086195599,250508102971227,16.775628,0
0,250508102971227,250508119746058,16.774831,0
0,250508119746058,250508136521877,16.775819,0
0,250508136521877,250508153297645,16.775768,0
0,250508153297645,250508170073165,16.77552,0
0,250508170073165,250508186848966,16.775801,0
0,250508186848966,250508203624525,16.775559,0
0,250508203624525,250508220399898,16.775373,0
0,250508220399898,250508237175551,16.775653,0
0,250508237175551,250508253951074,16.775523,0
0,250508253951074,250508270726713,16.775639,0
0,250508270726713,250508287502252,16.775539,0
0,250508287502252,250508304277918,16.775666,0
0,250508304277918,250508321053415,16.775497,0
0,250508321053415,250508337829221,16.775806,0
0,250508337829221,250508354604843,16.775622,0
0,250508354604843,250508371380594,16.775751,0
0,250508371380594,250508388156093,16.775499,0
0,250508388156093,250508404931762,16.775669,0
0,250508404931762,250508421707445,16.775683,0
0,250508421707445,250508438483027,16.775582,0
0,250508438483027,250508455258504,16.775477,0
0,250508455258504,250508472034013,16.775509,0
0,250508472034013,250508488809590,16.775577,0
0,250508488809590,250508505585288,16.775698,0
0,250508505585288,250508522360932,16.775644,0
0,250508522360932,250508539136527,16.775595,0
0,250508539136527,250508555911958,16.775431,0
1,250508555911958,250508572687245,16.775287,0
1,250508572687245,250508589462803,16.775558,0
1,250508589462803,250508606238291,16.775488,0
1,250508606238291,250508623013876,16.775585,0
1,250508623013876,250508639789279,16.775403,0
1,250508639789279,250508656564662,16.775383,0
1,250508656564662,250508673340129,16.775467,0
1,250508673340129,250508690115668,16.775539,0
1,250508690115668,250508706891211,16.775543,0
1,250508706891211,250508723666572,16.775361,0
1,250508723666572,250508740441861,16.775289,0
1,250508740441861,250508757217282,16.775421,0
1,250508757217282,250508773992620,16.775338,0
1,250508773992620,250508790768040,16.77542,0
1,250508790768040,250508807543373,16.775333,0
1,250508807543373,250508824318524,16.775151,0
1,250508824318524,250508841093916,16.775392,0
1,250508841093916,250508857869111,16.775195,0
1,250508857869111,250508874644473,16.775362,0
1,250508874644473,250508891419780,16.775307,0
1,250508891419780,250508908195008,16.775228,0
1,250508908195008,250508924969650,16.774642,0
1,250508924969650,250508941744892,16.775242,0
1,250508941744892,250508958520317,16.775425,0
1,250508958520317,250508975295623,16.775306,0
1,250508975295623,250508992070913,16.77529,0
1,250508992070913,250509008846248,16.775335,0
1,250509008846248,250509025621073,16.774825,0
1,250509025621073,250509042396346,16.775273,0
1,250509042396346,250509059171658,16.775312,0
1,250509059171658,250509075946836,16.775178,0
1,250509075946836,250509092722185,16.775349,0
1,250509092722185,250509109497360,16.775175,0
1,250509109497360,250509126272544,16.775184,0
1,250509126272544,250509143047843,16.775299,0
1,250509143047843,250509159822818,16.774975,0
1,250509159822818,250509176598143,16.775325,0
1,250509176598143,250509193373048,16.774905,0
1,250509193373048,250509210148300,16.775252,0
1,250509210148300,250509226923572,16.775272,0
1,250509226923572,250509243698603,16.775031,0
1,250509243698603,250509260473815,16.775212,0
1,250509260473815,250509277249036,16.775221,0
1,250509277249036,250509294024271,16.775235,0
1,250509294024271,250509310799576,16.775305,0
1,250509310799576,250509327574560,16.774984,0
1,250509327574560,250509344349654,16.775094,0
1,250509344349654,250509361124752,16.775098,0
1,250509361124752,250509377900050,16.775298,0
1,250509377900050,250509394675283,16.775233,0
1,250509394675283,250509411450234,16.774951,0
1,250509411450234,250509428225376,16.775142,0
1,250509428225376,250509445000465,16.775089,0
1,250509445000465,250509461775738,16.775273,0
1,250509461775738,250509478550983,16.775245,0
1,250509478550983,250509495326160,16.775177,0
1,250509495326160,250509512101453,16.775293,0
1,250509512101453,250509528876682,16.775229,0
1,250509528876682,250509545651962,16.77528,0
1,250509545651962,250509562427129,16.775167,0
2,250509562427129,250509579201757,16.774628,0
2,250509579201757,250509595976862,16.775105,0
2,250509595976862,250509612752001,16.775139,0
2,250509612752001,250509629527252,16.775251,0
2,250509629527252,250509646302509,16.775257,0
2,250509646302509,250509663077401,16.774892,0
2,250509663077401,250509679852308,16.774907,0
2,250509679852308,250509696627096,16.774788,0
2,250509696627096,250509713402301,16.775205,0
2,250509713402301,250509730177256,16.774955,0
2,250509730177256,250509746950560,16.773304,0
2,250509746950560,250509763722595,16.772035,0
2,250509763722595,250509780493129,16.770534,0
2,250509780493129,250509797267733,16.774604,0
2,250509797267733,250509814040857,16.773124,0
2,250509814040857,250509830814833,16.773976,0
2,250509830814833,250509847583245,16.768412,0
2,250509847583245,250509864351535,16.76829,0
2,250509864351535,250509881125066,16.773531,0
2,250509881125066,250509897895353,16.770287,0
2,250509897895353,250509914668698,16.773345,0
2,250509914668698,250509931442871,16.774173,0
2,250509931442871,250509948218089,16.775218,0
2,250509948218089,250509964987592,16.769503,0
2,250509964987592,250509981763124,16.775532,0
2,250509981763124,250509998538643,16.775519,0
2,250509998538643,250510015311010,16.772367,0
2,250510015311010,250510032236797,16.925787,0
2,250510032236797,250510049011812,16.775015,0
2,250510049011812,250510065786849,16.775037,0
2,250510065786849,250510082562329,16.77548,0
2,250510082562329,250510099335862,16.773533,0
2,250510099335862,250510116259410,16.923548,0
2,250510116259410,250510132964218,16.704808,0
2,250510132964218,250510149737050,16.772832,0
2,250510149737050,250510166511554,16.774504,0
2,250510166511554,250510183285277,16.773723,0
2,250510183285277,250510200059002,16.773725,0
2,250510200059002,250510216830690,16.771688,0
2,250510216830690,250510233606147,16.775457,0
2,250510233606147,250510250378145,16.771998,0
2,250510250378145,250510267152343,16.774198,0
2,250510267152343,250510283927109,16.774766,0
2,250510283927109,250510300696550,16.769441,0
2,250510300696550,250510317469155,16.772605,0
2,250510317469155,250510334243307,16.774152,0
2,250510334243307,250510351014245,16.770938,0
2,250510351014245,250510367788365,16.77412,0
2,250510367788365,250510384560505,16.77214,0
2,250510384560505,250510401335638,16.775133,0
2,250510401335638,250510418109140,16.773502,0
2,250510418109140,250510434883528,16.774388,0
2,250510434883528,250510451657891,16.774363,0
2,250510451657891,250510468432801,16.77491,0
2,250510468432801,250510485201838,16.769037,0
2,250510485201838,250510501975782,16.773944,0
2,250510501975782,250510518748740,16.772958,0
2,250510518748740,250510535514248,16.765508,0
2,250510535514248,250510552286380,16.772132,0
2,250510552286380,250510569062285,16.775905,0
3,250510569062285,250510585837341,16.775056,0
3,250510585837341,250510602612771,16.77543,0
3,250510602612771,250510619388730,16.775959,0
3,250510619388730,250510636163628,16.774898,0
3,250510636163628,250510652938742,16.775114,0
3,250510652938742,250510669714453,16.775711,0
3,250510669714453,250510686487243,16.77279,0
3,250510686487243,250510703262486,16.775243,0
3,250510703262486,250510720038338,16.775852,0
3,250510720038338,250510736810307,16.771969,0
3,250510736810307,250510753583133,16.772826,0
3,250510753583133,250510770358237,16.775104,0
3,250510770358237,250510787129745,16.771508,0
3,250510787129745,250510803904194,16.774449,0
3,250510803904194,250510820677986,16.773792,0
3,250510820677986,250510837453329,16.775343,0
3,250510837453329,250510854225958,16.772629,0
3,250510854225958,250510871001080,16.775122,0
3,250510871001080,250510887776654,16.775574,0
3,250510887776654,250510904549890,16.773236,0
3,250510904549890,250510921321182,16.771292,0
3,250510921321182,250510938093925,16.772743,0
3,250510938093925,250510954869296,16.775371,0
3,250510954869296,250510971645399,16.776103,0
3,250510971645399,250510988417461,16.772062,0
3,250510988417461,250511005190152,16.772691,0
3,250511005190152,250511021964916,16.774764,0
3,250511021964916,250511038733191,16.768275,0
3,250511038733191,250511055506480,16.773289,0
3,250511055506480,250511072281810,16.77533,0
3,250511072281810,250511089054680,16.77287,0
3,250511089054680,250511105829946,16.775266,0
3,250511105829946,250511122605320,16.775374,0
3,250511122605320,250511139379619,16.774299,0
3,250511139379619,250511156155246,16.775627,0
3,250511156155246,250511172931202,16.775956,0
3,250511172931202,250511189706421,16.775219,0
3,250511189706421,250511206481936,16.775515,0
3,250511206481936,250511223257245,16.775309,0
3,250511223257245,250511240029973,16.772728,0
3,250511240029973,250511256800408,16.770435,0
3,250511256800408,250511273571299,16.770891,0
3,250511273571299,250511290341668,16.770369,0
3,250511290341668,250511307111889,16.770221,0
3,250511307111889,250511323887788,16.775899,0
3,250511323887788,250511340663744,16.775956,0
3,250511340663744,250511357439112,16.775368,0
3,250511357439112,250511374214708,16.775596,0
3,250511374214708,250511390990894,16.776186,0
3,250511390990894,250511407756536,16.765642,0
3,250511407756536,250511424532654,16.776118,0
3,250511424532654,250511441308020,16.775366,0
3,250511441308020,250511458084127,16.776107,0
3,250511458084127,250511474858152,16.774025,0
3,250511474858152,250511491630367,16.772215,0
3,250511491630367,250511508405258,16.774891,0
3,250511508405258,250511525180757,16.775499,0
3,250511525180757,250511541956665,16.775908,0
3,250511541956665,250511558731082,16.774417,0
4,250511558731082,250511575507240,16.776158,0
4,250511575507240,250511592281423,16.774183,0
4,250511592281423,250511609054564,16.773141,0
4,250511609054564,250511625825221,16.770657,0
4,250511625825221,250511642599289,16.774068,0
4,250511642599289,250511659372944,16.773655,0
4,250511659372944,250511676148294,16.77535,0
4,250511676148294,250511692920523,16.772229,0
4,250511692920523,250511709695784,16.775261,0
4,250511709695784,250511726471581,16.775797,0
4,250511726471581,250511743247703,16.776122,0
4,250511743247703,250511760021493,16.77379,0
4,250511760021493,250511776793078,16.771585,0
4,250511776793078,250511793563265,16.770187,0
4,250511793563265,250511810337744,16.774479,0
4,250511810337744,250511827110924,16.77318,0
4,250511827110924,250511843886888,16.775964,0
4,250511843886888,250511860660228,16.77334,0
4,250511860660228,250511877432673,16.772445,0
4,250511877432673,250511894208715,16.776042,0
4,250511894208715,250511910982545,16.77383,0
4,250511910982545,250511927759014,16.776469,0
4,250511927759014,250511944534553,16.775539,0
4,250511944534553,250511961310109,16.775556,0
4,250511961310109,250511978048968,16.738859,0
4,250511978048968,250511994820663,16.771695,0
4,250511994820663,250512011596892,16.776229,0
4,250512011596892,250512028374343,16.777451,0
4,250512028374343,250512045151308,16.776965,0
4,250512045151308,250512061920227,16.768919,0
4,250512061920227,250512078693879,16.773652,0
4,250512078693879,250512095469373,16.775494,0
4,250512095469373,250512112241887,16.772514,0
4,250512112241887,250512129013535,16.771648,0
4,250512129013535,250512145791304,16.777769,0
4,250512145791304,250512162563187,16.771883,0
4,250512162563187,250512179338714,16.775527,0
4,250512179338714,250512196113839,16.775125,0
4,250512196113839,250512212889605,16.775766,0
4,250512212889605,250512229661886,16.772281,0
4,250512229661886,250512246435611,16.773725,0
4,250512246435611,250512263207215,16.771604,0
4,250512263207215,250512279981140,16.773925,0
4,250512279981140,250512296758207,16.777067,0
4,250512296758207,250512313533383,16.775176,0
4,250512313533383,250512330309096,16.775713,0
4,250512330309096,250512347087103,16.778007,0
4,250512347087103,250512363860901,16.773798,0
4,250512363860901,250512380637133,16.776232,0
4,250512380637133,250512397409070,16.771937,0
4,250512397409070,250512414183729,16.774659,0
4,250512414183729,250512430960440,16.776711,0
4,250512430960440,250512447736745,16.776305,0
4,250512447736745,250512464513259,16.776514,0
4,250512464513259,250512481287335,16.774076,0
4,250512481287335,250512498064139,16.776804,0
4,250512498064139,250512514837286,16.773147,0
4,250512514837286,250512531614417,16.777131,0
4,250512531614417,250512548390966,16.776549,0
4,250512548390966,250512565163646,16.77268,0
5,250512565163646,250512581933697,16.770051,0
5,250512581933697,250512598707286,16.773589,0
5,250512598707286,250512615483085,16.775799,0
5,250512615483085,250512632259719,16.776634,0
5,250512632259719,250512649036962,16.777243,0
5,250512649036962,250512665813896,16.776934,0
5,250512665813896,250512682591125,16.777229,0
5,250512682591125,250512699364666,16.773541,0
5,250512699364666,250512716141087,16.776421,0
5,250512716141087,250512732916112,16.775025,0
5,250512732916112,250512749692476,16.776364,0
5,250512749692476,250512766466866,16.77439,0
5,250512766466866,250512783242275,16.775409,0
5,250512783242275,250512800018348,16.776073,0
5,250512800018348,250512816791957,16.773609,0
5,250512816791957,250512833568449,16.776492,0
5,250512833568449,250512850345210,16.776761,0
5,250512850345210,250512867116739,16.771529,0
5,250512867116739,250512883890581,16.773842,0
5,250512883890581,250512900663361,16.77278,0
5,250512900663361,250512917437741,16.77438,0
5,250512917437741,250512934210009,16.772268,0
5,250512934210009,250512950984290,16.774281,0
5,250512950984290,250512967759701,16.775411,0
5,250512967759701,250512984534214,16.774513,0
5,250512984534214,250513001308434,16.77422,0
5,250513001308434,250513018084562,16.776128,0
5,250513018084562,250513034860714,16.776152,0
5,250513034860714,250513051637300,16.776586,0
5,250513051637300,250513068413592,16.776292,0
5,250513068413592,250513085189804,16.776212,0
5,250513085189804,250513101962436,16.772632,0
5,250513101962436,250513118737308,16.774872,0
5,250513118737308,250513135509067,16.771759,0
5,250513135509067,250513152280208,16.771141,0
5,250513152280208,250513169055447,16.775239,0
5,250513169055447,250513185829590,16.774143,0
5,250513185829590,250513202605545,16.775955,0
5,250513202605545,250513219380004,16.774459,0
5,250513219380004,250513236155322,16.775318,0
5,250513236155322,250513252928702,16.77338,0
5,250513252928702,250513269702524,16.773822,0
5,250513269702524,250513286476999,16.774475,0
5,250513286476999,250513303253034,16.776035,0
5,250513303253034,250513320027922,16.774888,0
5,250513320027922,250513336803347,16.775425,0
5,250513336803347,250513353578964,16.775617,0
5,250513353578964,250513370353192,16.774228,0
5,250513370353192,250513387129217,16.776025,0
5,250513387129217,250513403904449,16.775232,0
5,250513403904449,250513420679943,16.775494,0
5,250513420679943,250513437452190,16.772247,0
5,250513437452190,250513454225133,16.772943,0
5,250513454225133,250513470998759,16.773626,0
5,250513470998759,250513487774038,16.775279,0
5,250513487774038,250513504547058,16.77302,0
5,250513504547058,250513521317319,16.770261,0
5,250513521317319,250513538093640,16.776321,0
5,250513538093640,250513554868544,16.774904,0
6,250513554868544,250513571642480,16.773936,0
6,250513571642480,250513588417682,16.775202,0
6,250513588417682,250513605192912,16.77523,0
6,250513605192912,250513621963278,16.770366,0
6,250513621963278,250513638734565,16.771287,0
6,250513638734565,250513655509314,16.774749,0
6,250513655509314,250513672283082,16.773768,0
6,250513672283082,250513689057033,16.773951,0
6,250513689057033,250513705831629,16.774596,0
6,250513705831629,250513722606886,16.775257,0
6,250513722606886,250513739382312,16.775426,0
6,250513739382312,250513756150425,16.768113,0
6,250513756150425,250513772926101,16.775676,0
6,250513772926101,250513789702303,16.776202,0
6,250513789702303,250513806478642,16.776339,0
6,250513806478642,250513823253199,16.774557,0
6,250513823253199,250513840026680,16.773481,0
6,250513840026680,250513856800530,16.77385,0
6,250513856800530,250513873576213,16.775683,0
6,250513873576213,250513890350738,16.774525,0
6,250513890350738,250513907124091,16.773353,0
6,250513907124091,250513923899451,16.77536,0
6,250513923899451,250513940675115,16.775664,0
6,250513940675115,250513957447614,16.772499,0
6,250513957447614,250513974221364,16.77375,0
6,250513974221364,250513990996765,16.775401,0
6,250513990996765,250514007771563,16.774798,0
6,250514007771563,250514024545148,16.773585,0
6,250514024545148,250514041320387,16.775239,0
6,250514041320387,250514058095111,16.774724,0
6,250514058095111,250514074868303,16.773192,0
6,250514074868303,250514091643625,16.775322,0
6,250514091643625,250514108419265,16.77564,0
6,250514108419265,250514125195442,16.776177,0
6,250514125195442,250514141970748,16.775306,0
6,250514141970748,250514158745957,16.775209,0
6,250514158745957,250514175521343,16.775386,0
