Num,Time (sec),Total Mem (kB),Used Mem (kB),Free Mem (kB),Buffer Size (kB),Mem Usage (%),CPU Total (%),CPU User (%),CPU User Actual (%),CPU System (%),CPU System Actual (%)
1,0,3731608,3579308,152300,135384,0.959186495,800,197,0.24625,97,0.12125
2,6,3731608,3586900,144708,135388,0.961221007,800,191,0.23875,116,0.145
3,11,3731608,3542420,189188,135392,0.949301213,800,169,0.21125,109,0.13625
4,16,3731608,3547664,183944,135404,0.950706505,800,141,0.17625,113,0.14125
5,21,3731608,3555928,175680,135404,0.9529211,800,141,0.17625,125,0.15625
6,26,3731608,3561412,170196,135404,0.954390708,800,144,0.18,106,0.1325
7,31,3731608,3567080,164528,135404,0.955909624,800,127,0.15875,118,0.1475
8,36,3731608,3569856,161752,135404,0.956653539,800,156,0.195,113,0.14125
9,41,3731608,3576204,155404,135408,0.958354682,800,138,0.1725,100,0.125
10,46,3731608,3582360,149248,135408,0.960004373,800,138,0.1725,113,0.14125
11,51,3731608,3585348,146260,135408,0.960805101,800,152,0.19,135,0.16875
12,56,3731608,3595904,135704,135416,0.963633908,800,141,0.17625,122,0.1525
13,61,3731608,3547968,183640,135416,0.950787971,800,163,0.20375,119,0.14875
14,66,3731608,3553916,177692,135416,0.952381922,800,147,0.18375,113,0.14125
15,71,3731608,3558876,172732,135416,0.953711108,800,159,0.19875,113,0.14125
16,76,3731608,3564348,167260,135424,0.9551775,800,156,0.195,116,0.145
17,81,3731608,3568512,163096,135424,0.956293373,800,172,0.215,94,0.1175
18,86,3731608,3572924,158684,135424,0.957475705,800,147,0.18375,97,0.12125
19,91,3731608,3576740,154868,135424,0.95849832,800,156,0.195,103,0.12875
20,96,3731608,3585832,145776,135424,0.960934803,800,156,0.195,97,0.12125
21,101,3731608,3588936,142672,135424,0.961766616,800,169,0.21125,100,0.125
22,106,3731608,3595512,136096,135424,0.963528859,800,166,0.2075,91,0.11375
23,111,3731608,3548404,183204,135424,0.950904811,800,188,0.235,97,0.12125
24,116,3731608,3552972,178636,135428,0.952128948,800,156,0.195,97,0.12125
25,121,3731608,3558676,172932,135428,0.953657512,800,178,0.2225,106,0.1325
26,126,3731608,3562436,169172,135428,0.95466512,800,175,0.21875,81,0.10125
27,131,3731608,3571232,160376,135432,0.957022281,800,178,0.2225,84,0.105
28,136,3731608,3574344,157264,135440,0.957856238,800,175,0.21875,88,0.11
29,141,3731608,3581384,150224,135440,0.959742824,800,188,0.235,81,0.10125
30,146,3731608,3587844,143764,135440,0.961473981,800,169,0.21125,100,0.125
31,151,3731608,3591752,139856,135440,0.962521251,800,163,0.20375,100,0.125
32,156,3731608,3595808,135800,135440,0.963608182,800,178,0.2225,97,0.12125
33,161,3731608,3601676,129932,135440,0.965180694,800,169,0.21125,91,0.11375
34,166,3731608,3552788,178820,135440,0.95207964,800,169,0.21125,91,0.11375
35,171,3731608,3560008,171600,135440,0.954014462,800,175,0.21875,91,0.11375
36,177,3731608,3564304,167304,135440,0.955165709,800,159,0.19875,84,0.105
37,182,3731608,3571072,160536,135440,0.956979404,800,156,0.195,91,0.11375
38,187,3731608,3574588,157020,135440,0.957921625,800,181,0.22625,97,0.12125
39,192,3731608,3580924,150684,135440,0.959619553,800,188,0.235,84,0.105
40,197,3731608,3587260,144348,135460,0.96131748,800,163,0.20375,84,0.105
41,202,3731608,3592996,138612,135460,0.962854619,800,175,0.21875,94,0.1175
42,207,3731608,3595544,136064,135460,0.963537435,800,181,0.22625,90,0.1125
43,212,3731608,3600788,130820,135460,0.964942727,800,175,0.21875,91,0.11375
44,217,3731608,3572456,159152,135488,0.95735029,800,188,0.235,88,0.11
45,222,3731608,3574968,156640,135488,0.958023458,800,156,0.195,100,0.125
46,227,3731608,3583444,148164,135488,0.960294865,800,178,0.2225,78,0.0975
47,232,3731608,3586796,144812,135488,0.961193137,800,175,0.21875,91,0.11375
48,237,3731608,3592456,139152,135488,0.96270991,800,163,0.20375,91,0.11375
49,242,3731608,3595132,136476,135488,0.963427027,800,159,0.19875,84,0.105
50,247,3731608,3594380,137228,135488,0.963225505,800,178,0.2225,97,0.12125
51,252,3731608,3600868,130740,135488,0.964964166,800,178,0.2225,88,0.11
52,257,3731608,3606544,125064,135488,0.966485226,800,159,0.19875,94,0.1175
53,262,3731608,3611748,119860,135488,0.967879799,800,169,0.21125,88,0.11
54,267,3731608,3617680,113928,135488,0.969469462,800,184,0.23,94,0.1175
55,272,3731608,3583316,148292,135488,0.960260563,800,163,0.20375,78,0.0975
56,277,3731608,3572144,159464,135492,0.95726668,800,172,0.215,97,0.12125
57,282,3731608,3577956,153652,135492,0.958824185,800,194,0.2425,66,0.0825
58,288,3731608,3586448,145160,135500,0.96109988,800,166,0.2075,88,0.11
59,293,3731608,3592792,138816,135500,0.962799951,800,163,0.20375,75,0.09375
60,298,3731608,3599312,132296,135500,0.964547187,800,191,0.23875,84,0.105
