Time (sec),Preproc Start Time (ns),Preproc End Time (ns),Preproc Time Elapsed (ms),Class Start Time (ns),Class End Time (ns),Class Time Elapsed (ms),
0,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,28.265263,45.470577
0,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,24.603544,41.808858
0,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,23.934482,41.139796
0,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,22.729377,39.934691
0,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,22.701253,39.906567
0,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,24.142086,41.3474
0,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,24.96443,42.169744
0,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,25.380731,42.586045
0,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,25.474065,42.679379
0,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,25.368076,42.57339
0,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,25.218753,42.424067
0,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,25.799742,43.005056
0,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,24.965835,42.171149
0,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,26.334326,43.53964
0,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,25.804273,43.009587
0,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,25.092346,42.29766
1,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,23.803024,41.008338
1,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,23.308283,40.513597
1,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,23.756513,40.961827
1,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,23.583283,40.788597
1,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,22.479586,39.6849
1,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,22.761043,39.966357
1,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,22.911044,40.116358
1,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,22.991357,40.196671
1,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,22.846617,40.051931
1,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,22.966513,40.171827
1,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,23.007554,40.212868
1,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,23.105575,40.310889
1,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,22.997294,40.202608
1,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,22.671825,39.877139
1,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,23.36943,40.574744
1,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,22.704065,39.909379
1,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,23.130992,40.336306
1,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,22.7962,40.001514
1,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,22.864533,40.069847
1,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,22.814742,40.020056
1,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,22.604534,39.809848
1,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,22.734689,39.940003
2,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,22.970106,40.17542
2,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,22.695835,39.901149
2,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,22.871252,40.076566
2,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,22.797347,40.002661
2,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,22.342658,39.547972
2,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,22.693908,39.899222
2,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,22.913023,40.118337
2,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,22.746408,39.951722
2,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,22.922919,40.128233
2,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,22.712711,39.918025
2,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,23.1462,40.351514
2,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,23.013648,40.218962
2,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,22.762346,39.96766
2,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,23.484898,40.690212
2,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,22.847659,40.052973
2,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,23.001305,40.206619
2,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,22.849585,40.054899
