Num,Time (sec),Raw Mem,Total Mem (kB),Used Mem (kB),Free Mem (kB),Buffer Size (kB),Mem Usage (%),Raw CPU,CPU Total (%),CPU User (%),CPU User Actual (%),CPU System (%),CPU System Actual (%)
1,0, Mem: 3731608k total 3398776k used 332832k free 115552k buffers ,3731608,3398776,332832,115552,, 800%cpu 84%user 0%nice 74%sys 629%idle 0%iow 10%irq 3%sirq 0%host ,800,84,,74,,
2,5, Mem: 3731608k total 3398776k used 332832k free 115552k buffers ,3731608,3398776,332832,115552,, 800%cpu 90%user 0%nice 100%sys 593%idle 0%iow 13%irq 3%sirq 0%host ,800,90,,100,,
3,10, Mem: 3731608k total 3399104k used 332504k free 115552k buffers ,3731608,3399104,332504,115552,, 800%cpu 74%user 0%nice 74%sys 639%idle 0%iow 10%irq 3%sirq 0%host ,800,74,,74,,
4,15, Mem: 3731608k total 3400096k used 331512k free 115552k buffers ,3731608,3400096,331512,115552,, 800%cpu 100%user 10%nice 90%sys 584%idle 0%iow 13%irq 3%sirq 0%host ,800,100,,90,,
5,20, Mem: 3731608k total 3401144k used 330464k free 115552k buffers ,3731608,3401144,330464,115552,, 800%cpu 77%user 0%nice 77%sys 629%idle 0%iow 13%irq 3%sirq 0%host ,800,77,,77,,
6,25, Mem: 3731608k total 3401704k used 329904k free 115556k buffers ,3731608,3401704,329904,115556,, 800%cpu 74%user 0%nice 87%sys 626%idle 0%iow 10%irq 3%sirq 0%host ,800,74,,87,,
7,30, Mem: 3731608k total 3401296k used 330312k free 115560k buffers ,3731608,3401296,330312,115560,, 800%cpu 68%user 3%nice 84%sys 629%idle 0%iow 10%irq 6%sirq 0%host ,800,68,,84,,
8,36, Mem: 3731608k total 3402124k used 329484k free 115560k buffers ,3731608,3402124,329484,115560,, 800%cpu 74%user 6%nice 74%sys 626%idle 0%iow 16%irq 3%sirq 0%host ,800,74,,74,,
9,41, Mem: 3731608k total 3402136k used 329472k free 115560k buffers ,3731608,3402136,329472,115560,, 800%cpu 81%user 0%nice 74%sys 626%idle 0%iow 13%irq 6%sirq 0%host ,800,81,,74,,
10,46, Mem: 3731608k total 3389792k used 341816k free 115580k buffers ,3731608,3389792,341816,115580,, 800%cpu 87%user 0%nice 84%sys 610%idle 0%iow 13%irq 6%sirq 0%host ,800,87,,84,,
11,51, Mem: 3731608k total 3392280k used 339328k free 115584k buffers ,3731608,3392280,339328,115584,, 800%cpu 103%user 0%nice 77%sys 610%idle 0%iow 6%irq 3%sirq 0%host ,800,103,,77,,
12,56, Mem: 3731608k total 3393812k used 337796k free 115584k buffers ,3731608,3393812,337796,115584,, 800%cpu 81%user 3%nice 77%sys 623%idle 0%iow 13%irq 3%sirq 0%host ,800,81,,77,,
13,61, Mem: 3731608k total 3392780k used 338828k free 115588k buffers ,3731608,3392780,338828,115588,, 800%cpu 90%user 0%nice 67%sys 630%idle 0%iow 10%irq 3%sirq 0%host ,800,90,,67,,
14,66, Mem: 3731608k total 3392424k used 339184k free 115592k buffers ,3731608,3392424,339184,115592,, 800%cpu 77%user 3%nice 70%sys 637%idle 0%iow 13%irq 0%sirq 0%host ,800,77,,70,,
15,71, Mem: 3731608k total 3386748k used 344860k free 115592k buffers ,3731608,3386748,344860,115592,, 800%cpu 97%user 0%nice 77%sys 613%idle 3%iow 6%irq 3%sirq 0%host ,800,97,,77,,
16,76, Mem: 3731608k total 3387108k used 344500k free 115592k buffers ,3731608,3387108,344500,115592,, 800%cpu 84%user 3%nice 84%sys 616%idle 0%iow 10%irq 3%sirq 0%host ,800,84,,84,,
17,82, Mem: 3731608k total 3386424k used 345184k free 115596k buffers ,3731608,3386424,345184,115596,, 800%cpu 81%user 3%nice 74%sys 626%idle 0%iow 13%irq 3%sirq 0%host ,800,81,,74,,
18,87, Mem: 3731608k total 3383396k used 348212k free 115604k buffers ,3731608,3383396,348212,115604,, 800%cpu 84%user 0%nice 94%sys 606%idle 0%iow 10%irq 6%sirq 0%host ,800,84,,94,,
19,92, Mem: 3731608k total 3383552k used 348056k free 115604k buffers ,3731608,3383552,348056,115604,, 800%cpu 84%user 3%nice 74%sys 623%idle 0%iow 13%irq 3%sirq 0%host ,800,84,,74,,
20,97, Mem: 3731608k total 3380808k used 350800k free 115604k buffers ,3731608,3380808,350800,115604,, 800%cpu 84%user 0%nice 71%sys 629%idle 0%iow 13%irq 3%sirq 0%host ,800,84,,71,,
21,102, Mem: 3731608k total 3379848k used 351760k free 115604k buffers ,3731608,3379848,351760,115604,, 800%cpu 74%user 0%nice 71%sys 639%idle 0%iow 13%irq 3%sirq 0%host ,800,74,,71,,
