T,Attempt No,Time to Preprocess (millis),Time to Classify (millis),,,,
,12,0,25,,,,25
,33,0,23,,,,23
,54,0,23,,,,23
,76,0,23,,,,23
,97,0,23,,,,23
,118,0,23,,,,23
,139,0,22,,,,22
,161,0,22,,,,22
,182,0,22,,,,22
,203,0,24,,,,24
,224,1,24,,,,25
,245,0,23,,,,23
,267,0,23,,,,23
,288,0,23,,,,23
,309,0,24,,,,24
,330,0,23,,,,23
,351,0,22,,,,22
,373,0,23,,,,23
,395,1,22,,,,23
,416,0,23,,,,23
,438,1,23,,,,24
,460,0,22,,,,22
,482,0,23,,,,23
,504,0,22,,,,22
,525,0,23,,,,23
,547,0,22,,,,22
,569,1,22,,,,23
,591,0,23,,,,23
,613,0,23,,,,23
,635,0,22,,,,22
,657,0,23,,,,23
,679,0,22,,,,22
,701,0,23,,,,23
,722,0,22,,,,22
,744,0,23,,,,23
,766,0,22,,,,22
,788,0,23,,,,23
,810,0,23,,,,23
,832,0,23,,,,23
,854,0,22,,,,22
,876,0,22,,,,22
,898,0,23,,,,23
,920,0,22,,,,22
,942,0,22,,,,22
,965,0,23,,,,23
,987,0,22,,,,22
,1010,0,23,,,,23
,1033,0,22,,,,22
,1056,0,22,,,,22
,1079,0,22,,,,22
,1102,0,22,,,,22
,1125,0,23,,,,23
,1148,0,22,,,,22
,1171,0,22,,,,22
,1194,0,22,,,,22
,1216,0,23,,,,23
,1239,0,23,,,,23
,1262,0,23,,,,23
,1285,0,22,,,,22
,1308,0,22,,,,22
,1331,0,23,,,,23
,1354,0,23,,,,23
,1378,0,23,,,,23
,1401,0,23,,,,23
,1424,0,23,,,,23
,1446,0,23,,,,23
,1469,0,23,,,,23
,1492,1,21,,,,22
,1515,0,23,,,,23
,1538,0,24,,,,24
,1561,0,23,,,,23
,1584,1,22,,,,23
,1607,0,22,,,,22
,1630,0,23,,,,23
,1653,0,24,,,,24
,1676,0,23,,,,23
,1699,0,23,,,,23
,1722,0,23,,,,23
,1745,0,23,,,,23
,1768,0,23,,,,23
,1791,1,22,,,,23
,1814,0,22,,,,22
,1838,0,22,,,,22
,1861,0,22,,,,22
,1884,0,22,,,,22
,1907,0,22,,,,22
,1930,0,22,,,,22
,1953,1,22,,,,23
,1976,0,22,,,,22
,1999,0,23,,,,23
,2022,0,23,,,,23
,2045,0,23,,,,23
,2068,0,23,,,,23
,2091,0,23,,,,23
,2114,0,23,,,,23
,2137,0,23,,,,23
,2160,0,23,,,,23
,2183,0,23,,,,23
,2206,0,25,,,,25
,2229,1,23,,,,24
,2252,0,23,,,,23
,2275,0,22,,,,22
,2298,0,23,,,,23
,2321,0,23,,,,23
,2344,0,23,,,,23
,2367,0,23,,,,23
,2390,0,23,,,,23
,2414,0,23,,,,23
,2437,1,22,,,,23
,2460,0,23,,,,23
,2483,0,22,,,,22
,2506,1,22,,,,23
,2529,0,22,,,,22
,2552,0,23,,,,23
,2575,1,22,,,,23
,2598,0,22,,,,22
,2622,0,22,,,,22
,2645,0,22,,,,22
,2668,0,22,,,,22
,2691,0,23,,,,23
,2714,0,22,,,,22
,2737,1,22,,,,23
,2760,0,23,,,,23
,2783,0,23,,,,23
,2806,0,23,,,,23
,2829,0,23,,,,23
,2852,0,23,,,,23
,2875,0,22,,,,22
,2898,0,22,,,,22
,2921,0,23,,,,23
,2944,0,23,,,,23
,2967,0,23,,,,23
,2990,0,22,,,,22
,3013,0,23,,,,23
,3037,0,22,,,,22
,3060,0,24,,,,24
,3083,0,22,,,,22
,3106,1,22,,,,23
,3129,0,23,,,,23
,3152,0,24,,,,24
,3175,0,23,,,,23
,3198,0,22,,,,22
,3221,1,22,,,,23
,3244,0,23,,,,23
,3268,0,23,,,,23
,3291,0,23,,,,23
,3314,0,22,,,,22
,3337,0,23,,,,23
,3360,1,24,,,,25
,3383,0,23,,,,23
,3406,0,23,,,,23
,3429,0,23,,,,23
,3452,1,22,,,,23
,3475,0,23,,,,23
,3498,0,22,,,,22
,3521,0,22,,,,22
,3544,0,22,,,,22
,3567,0,22,,,,22
,3590,0,22,,,,22
,3613,0,24,,,,24
,3636,0,23,,,,23
,3660,0,23,,,,23
,3682,0,23,,,,23
,3706,0,23,,,,23
,3729,0,23,,,,23
,3752,0,22,,,,22
,3775,0,22,,,,22
,3798,0,23,,,,23
,3821,0,23,,,,23
,3844,0,23,,,,23
,3866,0,23,,,,23
,3890,1,22,,,,23
,3913,0,22,,,,22
,3936,0,22,,,,22
,3959,0,22,,,,22
,3982,0,22,,,,22
,4005,0,23,,,,23
,4028,0,23,,,,23
,4051,0,22,,,,22
,4074,1,23,,,,24
,4097,0,22,,,,22
,4120,0,23,,,,23
,4144,0,22,,,,22
,4167,0,22,,,,22
,4190,0,23,,,,23
,4213,0,22,,,,22
,4236,0,23,,,,23
,4259,0,23,,,,23
,4282,0,22,,,,22
,4305,1,22,,,,23
,4328,0,22,,,,22
,4351,0,23,,,,23
,4375,0,23,,,,23
,4398,0,22,,,,22
,4421,0,22,,,,22
,4444,0,22,,,,22
,4467,0,24,,,,24
,4490,0,23,,,,23
,4513,0,22,,,,22
,4536,0,22,,,,22
,4559,0,23,,,,23
,4583,0,23,,,,23
,4606,0,23,,,,23
,4629,0,23,,,,23
,4652,0,23,,,,23
,4675,0,22,,,,22
,4698,0,23,,,,23
,4721,0,23,,,,23
,4744,0,22,,,,22
,4767,1,22,,,,23
,4790,0,24,,,,24
,4813,0,23,,,,23
,4837,0,22,,,,22
,4860,0,23,,,,23
,4883,0,24,,,,24
,4906,0,23,,,,23
,4929,0,23,,,,23
,4952,1,22,,,,23
,4975,0,22,,,,22
,4998,0,23,,,,23
,5021,0,23,,,,23
,5044,0,24,,,,24
,5067,0,22,,,,22
,5090,0,23,,,,23
,5113,0,22,,,,22
,5136,0,23,,,,23
,5159,0,22,,,,22
,5182,1,22,,,,23
,5206,0,22,,,,22
,5229,0,23,,,,23
,5252,0,22,,,,22
,5275,0,23,,,,23
,5298,0,23,,,,23
,5321,0,23,,,,23
,5344,0,23,,,,23
,5367,0,22,,,,22
,5390,0,22,,,,22
,5413,1,22,,,,23
,5436,0,23,,,,23
,5459,0,23,,,,23
,5482,0,22,,,,22
,5505,0,22,,,,22
,5528,0,23,,,,23
,5551,0,23,,,,23
,5574,0,22,,,,22
,5597,0,22,,,,22
,5620,0,22,,,,22
,5643,0,23,,,,23
,5666,0,22,,,,22
,5689,0,22,,,,22
,5712,0,24,,,,24
,5735,0,22,,,,22
,5758,1,22,,,,23
,5781,0,23,,,,23
,5804,0,23,,,,23
,5827,0,23,,,,23
,5850,0,23,,,,23
,5873,0,22,,,,22
,5896,0,23,,,,23
,5919,1,22,,,,23
,5942,0,22,,,,22
,5965,0,23,,,,23
,5988,0,23,,,,23
,6011,0,23,,,,23
,6034,0,22,,,,22
,6057,0,23,,,,23
,6080,0,22,,,,22
,6103,0,23,,,,23
,6126,0,22,,,,22
,6149,0,23,,,,23
,6172,0,23,,,,23
,6195,0,23,,,,23
,6218,0,22,,,,22
,6241,0,22,,,,22
,6264,1,22,,,,23
,6288,0,22,,,,22
,6311,0,23,,,,23
,6334,0,22,,,,22
,6357,0,23,,,,23
,6380,1,22,,,,23
,6403,1,23,,,,24
,6426,0,22,,,,22
,6449,0,23,,,,23
,6472,0,23,,,,23
,6495,1,22,,,,23
,6518,0,22,,,,22
,6541,1,23,,,,24
,6564,0,23,,,,23
,6587,0,22,,,,22
,6610,1,22,,,,23
,6633,0,22,,,,22
,6656,0,23,,,,23
,6679,0,23,,,,23
,6703,0,23,,,,23
,6726,0,23,,,,23
,6749,1,22,,,,23
,6772,0,23,,,,23
,6795,0,23,,,,23
,6818,0,23,,,,23
,6840,1,22,,,,23
