Num,Time (sec),Total Mem (kB),Used Mem (kB),Free Mem (kB),Buffer Size (kB),Mem Usage (%),CPU Total (%),CPU User (%),CPU User Actual (%),CPU System (%),CPU System Actual (%)
1,0,3731608,3322116,409492,127736,0.890263929,800,122,0.1525,69,0.08625
2,5,3731608,3322476,409132,127736,0.890360402,800,131,0.16375,88,0.11
3,10,3731608,3324040,407568,127740,0.890779525,800,109,0.13625,100,0.125
4,15,3731608,3322656,408952,127744,0.890408639,800,116,0.145,94,0.1175
5,20,3731608,3323344,408264,127744,0.89059301,800,119,0.14875,91,0.11375
6,25,3731608,3324104,407504,127744,0.890796675,800,116,0.145,81,0.10125
7,30,3731608,3319592,412016,127744,0.889587545,800,109,0.13625,94,0.1175
8,35,3731608,3323784,407824,127768,0.890710921,800,139,0.17375,88,0.11
9,40,3731608,3323716,407892,127772,0.890692699,800,113,0.14125,97,0.12125
10,45,3731608,3324988,406620,127772,0.891033571,800,125,0.15625,84,0.105
11,50,3731608,3324476,407132,127776,0.890896364,800,119,0.14875,84,0.105
12,55,3731608,3323428,408180,127784,0.89061552,800,122,0.1525,72,0.09
13,60,3731608,3323404,408204,127788,0.890609089,800,131,0.16375,103,0.12875
14,65,3731608,3319780,411828,127788,0.889637926,800,122,0.1525,78,0.0975
15,71,3731608,3322072,409536,127788,0.890252138,800,131,0.16375,78,0.0975
16,76,3731608,3320824,410784,127792,0.889917698,800,131,0.16375,84,0.105
17,81,3731608,3320844,410764,127792,0.889923057,800,106,0.1325,94,0.1175
18,86,3731608,3321704,409904,127792,0.890153521,800,134,0.1675,91,0.11375
19,91,3731608,3321500,410108,127792,0.890098853,800,131,0.16375,91,0.11375
20,96,3731608,3323572,408036,127796,0.890654109,800,125,0.15625,75,0.09375
21,101,3731608,3323404,408204,127796,0.890609089,800,113,0.14125,97,0.12125
22,106,3731608,3325204,406404,127796,0.891091454,800,134,0.1675,84,0.105
23,111,3731608,3324880,406728,127796,0.891004629,800,116,0.145,97,0.12125
24,116,3731608,3325288,406320,127796,0.891113965,800,116,0.145,97,0.12125
25,121,3731608,3320636,410972,127796,0.889867317,800,116,0.145,84,0.105
26,126,3731608,3321300,410308,127796,0.890045257,800,128,0.16,72,0.09
27,131,3731608,3324948,406660,127800,0.891022851,800,119,0.14875,97,0.12125
28,136,3731608,3323436,408172,127800,0.890617664,800,116,0.145,72,0.09
29,141,3731608,3319468,412140,127800,0.889554315,800,116,0.145,91,0.11375
30,146,3731608,3318568,413040,127800,0.889313133,800,134,0.1675,78,0.0975
31,151,3731608,3320496,411112,127804,0.8898298,800,119,0.14875,84,0.105
32,156,3731608,3321132,410476,127804,0.890000236,800,134,0.1675,88,0.11
33,161,3731608,3320404,411204,127804,0.889805146,800,106,0.1325,88,0.11
34,166,3731608,3322704,408904,127804,0.890421502,800,122,0.1525,97,0.12125
35,171,3731608,3322004,409604,127804,0.890233915,800,134,0.1675,91,0.11375
36,176,3731608,3322168,409440,127804,0.890277864,800,131,0.16375,66,0.0825
37,181,3731608,3323448,408160,127804,0.89062088,800,141,0.17625,88,0.11
38,186,3731608,3325020,406588,127816,0.891042146,800,144,0.18,84,0.105
39,191,3731608,3323152,408456,127816,0.890541557,800,116,0.145,75,0.09375
40,196,3731608,3325592,406016,127820,0.891195431,800,134,0.1675,100,0.125
41,201,3731608,3323500,408108,127820,0.890634815,800,128,0.16,88,0.11
42,206,3731608,3324648,406960,127824,0.890942457,800,103,0.12875,88,0.11
43,211,3731608,3325004,406604,127824,0.891037858,800,138,0.1725,97,0.12125
44,216,3731608,3326096,405512,127824,0.891330493,800,116,0.145,78,0.0975
45,221,3731608,3325784,405824,127824,0.891246883,800,131,0.16375,88,0.11
46,226,3731608,3326804,404804,127824,0.891520224,800,128,0.16,97,0.12125
47,231,3731608,3327032,404576,127832,0.891581324,800,119,0.14875,81,0.10125
48,236,3731608,3328316,403292,127832,0.891925411,800,119,0.14875,91,0.11375
49,241,3731608,3327988,403620,127832,0.891837513,800,122,0.1525,91,0.11375
50,246,3731608,3323832,407776,127832,0.890723784,800,125,0.15625,81,0.10125
51,251,3731608,3324460,407148,127836,0.890892077,800,134,0.1675,91,0.11375
52,256,3731608,3325584,406024,127836,0.891193287,800,119,0.14875,81,0.10125
53,261,3731608,3324504,407104,127836,0.890903868,800,116,0.145,72,0.09
54,266,3731608,3325996,405612,127836,0.891303695,800,125,0.15625,81,0.10125
55,271,3731608,3328016,403592,127836,0.891845017,800,106,0.1325,103,0.12875
56,276,3731608,3329856,401752,127836,0.892338102,800,144,0.18,91,0.11375
57,281,3731608,3331600,400008,127840,0.892805461,800,119,0.14875,103,0.12875
58,286,3731608,3329580,402028,127840,0.892264139,800,119,0.14875,81,0.10125
59,291,3731608,3331172,400436,127844,0.892690765,800,116,0.145,88,0.11
60,296,3731608,3331688,399920,127844,0.892829043,800,122,0.1525,72,0.09
