Time (sec),Previous Frame (ns),Current Frame (ns),Time Elapsed (ms),Dropped Frame Count,,Num,FPS,,Min FPS,Max FPS,Avg FPS
0,3.91661E+14,3.91661E+14,234.568159,13,,0,59,,4,60,59.34883721
0,3.91661E+14,3.91661E+14,18.231861,1,,1,60,,,,
0,3.91661E+14,3.91661E+14,33.445056,1,,2,59,,,,
0,3.91661E+14,3.91661E+14,16.890348,0,,3,60,,,,
0,3.91661E+14,3.91661E+14,16.778751,0,,4,60,,,,
0,3.91661E+14,3.91661E+14,16.778461,0,,5,59,,,,
0,3.91661E+14,3.91661E+14,16.778698,0,,6,60,,,,
0,3.91661E+14,3.91661E+14,16.778457,0,,7,59,,,,
0,3.91661E+14,3.91661E+14,16.778609,0,,8,60,,,,
0,3.91661E+14,3.91661E+14,16.7784,0,,9,60,,,,
0,3.91661E+14,3.91661E+14,16.778505,0,,10,59,,,,
0,3.91661E+14,3.91661E+14,16.777783,0,,11,60,,,,
0,3.91661E+14,3.91661E+14,16.777861,0,,12,59,,,,
0,3.91661E+14,3.91661E+14,16.778191,0,,13,60,,,,
0,3.91661E+14,3.91661E+14,16.778395,0,,14,60,,,,
0,3.91661E+14,3.91661E+14,16.778031,0,,15,59,,,,
0,3.91661E+14,3.91661E+14,16.778226,0,,16,60,,,,
0,3.91661E+14,3.91661E+14,16.777997,0,,17,59,,,,
0,3.91661E+14,3.91661E+14,16.778204,0,,18,60,,,,
0,3.91661E+14,3.91661E+14,16.77728,0,,19,60,,,,
0,3.91661E+14,3.91661E+14,16.778341,0,,20,59,,,,
0,3.91661E+14,3.91661E+14,16.778548,0,,21,60,,,,
0,3.91661E+14,3.91661E+14,16.778474,0,,22,59,,,,
0,3.91661E+14,3.91661E+14,16.77853,0,,23,60,,,,
0,3.91661E+14,3.91661E+14,16.778443,0,,24,60,,,,
0,3.91661E+14,3.91661E+14,16.777841,0,,25,59,,,,
0,3.91661E+14,3.91661E+14,16.778497,0,,26,60,,,,
0,3.91661E+14,3.91661E+14,16.778258,0,,27,60,,,,
0,3.91661E+14,3.91661E+14,16.77856,0,,28,59,,,,
0,3.91661E+14,3.91661E+14,16.778499,0,,29,60,,,,
0,3.91661E+14,3.91661E+14,16.778359,0,,30,59,,,,
0,3.91661E+14,3.91661E+14,16.778568,0,,31,60,,,,
