Num,Time (sec),Raw Mem,Total Mem (kB),Used Mem (kB),Free Mem (kB),Buffer Size (kB),Mem Usage (%),Raw CPU,CPU Total (%),CPU User (%),CPU User Actual (%),CPU System (%),CPU System Actual (%)
1,0, Mem: 3731608k total 3491268k used 240340k free 136540k buffers ,3731608,3491268,240340,136540,, 800%cpu 271%user 24%nice 74%sys 418%idle 0%iow 12%irq 3%sirq 0%host ,800,271,,74,,
2,5, Mem: 3731608k total 3460664k used 270944k free 136544k buffers ,3731608,3460664,270944,136544,, 800%cpu 282%user 0%nice 50%sys 459%idle 0%iow 6%irq 3%sirq 0%host ,800,282,,50,,
3,10, Mem: 3731608k total 3466128k used 265480k free 136544k buffers ,3731608,3466128,265480,136544,, 800%cpu 255%user 3%nice 58%sys 476%idle 0%iow 6%irq 3%sirq 0%host ,800,255,,58,,
4,15, Mem: 3731608k total 3476904k used 254704k free 136544k buffers ,3731608,3476904,254704,136544,, 800%cpu 306%user 0%nice 58%sys 430%idle 0%iow 6%irq 0%sirq 0%host ,800,306,,58,,
5,20, Mem: 3731608k total 3483416k used 248192k free 136552k buffers ,3731608,3483416,248192,136552,, 800%cpu 300%user 0%nice 61%sys 426%idle 0%iow 10%irq 3%sirq 0%host ,800,300,,61,,
6,25, Mem: 3731608k total 3489736k used 241872k free 136552k buffers ,3731608,3489736,241872,136552,, 800%cpu 291%user 3%nice 82%sys 412%idle 0%iow 9%irq 3%sirq 0%host ,800,291,,82,,
7,30, Mem: 3731608k total 3486844k used 244764k free 136556k buffers ,3731608,3486844,244764,136556,, 800%cpu 318%user 0%nice 61%sys 409%idle 0%iow 9%irq 3%sirq 0%host ,800,318,,61,,
8,35, Mem: 3731608k total 3460496k used 271112k free 136556k buffers ,3731608,3460496,271112,136556,, 800%cpu 312%user 0%nice 79%sys 400%idle 0%iow 9%irq 0%sirq 0%host ,800,312,,79,,
9,40, Mem: 3731608k total 3465192k used 266416k free 136556k buffers ,3731608,3465192,266416,136556,, 800%cpu 271%user 3%nice 65%sys 453%idle 0%iow 6%irq 3%sirq 0%host ,800,271,,65,,
10,45, Mem: 3731608k total 3473960k used 257648k free 136556k buffers ,3731608,3473960,257648,136556,, 800%cpu 297%user 0%nice 50%sys 444%idle 0%iow 6%irq 3%sirq 0%host ,800,297,,50,,
11,50, Mem: 3731608k total 3478464k used 253144k free 136556k buffers ,3731608,3478464,253144,136556,, 800%cpu 324%user 0%nice 67%sys 400%idle 0%iow 6%irq 3%sirq 0%host ,800,324,,67,,
12,55, Mem: 3731608k total 3486220k used 245388k free 136556k buffers ,3731608,3486220,245388,136556,, 800%cpu 325%user 0%nice 59%sys 403%idle 0%iow 9%irq 3%sirq 0%host ,800,325,,59,,
13,60, Mem: 3731608k total 3494156k used 237452k free 136556k buffers ,3731608,3494156,237452,136556,, 800%cpu 316%user 0%nice 61%sys 413%idle 0%iow 10%irq 0%sirq 0%host ,800,316,,61,,
14,65, Mem: 3731608k total 3469032k used 262576k free 136556k buffers ,3731608,3469032,262576,136556,, 800%cpu 269%user 0%nice 50%sys 469%idle 0%iow 6%irq 6%sirq 0%host ,800,269,,50,,
15,70, Mem: 3731608k total 3466640k used 264968k free 136556k buffers ,3731608,3466640,264968,136556,, 800%cpu 288%user 0%nice 73%sys 433%idle 0%iow 6%irq 0%sirq 0%host ,800,288,,73,,
16,75, Mem: 3731608k total 3471412k used 260196k free 136556k buffers ,3731608,3471412,260196,136556,, 800%cpu 276%user 0%nice 62%sys 450%idle 0%iow 9%irq 3%sirq 0%host ,800,276,,62,,
17,80, Mem: 3731608k total 3476972k used 254636k free 136556k buffers ,3731608,3476972,254636,136556,, 800%cpu 345%user 3%nice 64%sys 379%idle 0%iow 9%irq 0%sirq 0%host ,800,345,,64,,
