Time (sec),Previous Frame (ns),Current Frame (ns),Time Elapsed (ms),Dropped Frame Count,,Num,FPS,,Min FPS,Max FPS,Avg FPS
0,1.0382E+14,1.0382E+14,33.822134,1,,0,26,,18,60,59.38870432
0,1.0382E+14,1.03821E+14,600.196816,35,,1,59,,,,
0,1.03821E+14,1.03821E+14,20.16827,1,,2,60,,,,
0,1.03821E+14,1.03821E+14,16.763066,0,,3,60,,,,
0,1.03821E+14,1.03821E+14,16.763072,0,,4,59,,,,
0,1.03821E+14,1.03821E+14,16.761049,0,,5,60,,,,
0,1.03821E+14,1.03821E+14,16.762842,0,,6,60,,,,
0,1.03821E+14,1.03821E+14,16.762934,0,,7,59,,,,
0,1.03821E+14,1.03821E+14,16.327329,0,,8,60,,,,
0,1.03821E+14,1.03821E+14,16.763098,0,,9,60,,,,
0,1.03821E+14,1.03821E+14,16.762862,0,,10,59,,,,
0,1.03821E+14,1.03821E+14,16.762746,0,,11,60,,,,
0,1.03821E+14,1.03821E+14,16.762786,0,,12,60,,,,
0,1.03821E+14,1.03821E+14,16.756586,0,,13,59,,,,
0,1.03821E+14,1.03821E+14,16.760763,0,,14,60,,,,
0,1.03821E+14,1.03821E+14,16.760973,0,,15,60,,,,
0,1.03821E+14,1.03821E+14,16.761424,0,,16,59,,,,
0,1.03821E+14,1.03821E+14,16.761022,0,,17,60,,,,
0,1.03821E+14,1.03821E+14,16.760883,0,,18,60,,,,
0,1.03821E+14,1.03821E+14,16.759727,0,,19,59,,,,
0,1.03821E+14,1.03821E+14,16.761152,0,,20,60,,,,
0,1.03821E+14,1.03821E+14,16.761161,0,,21,60,,,,
0,1.03821E+14,1.03821E+14,16.761145,0,,22,60,,,,
0,1.03821E+14,1.03821E+14,16.760927,0,,23,59,,,,
0,1.03821E+14,1.03821E+14,16.76116,0,,24,60,,,,
0,1.03821E+14,1.03821E+14,16.760874,0,,25,60,,,,
1,1.03821E+14,1.03821E+14,16.761035,0,,26,59,,,,
1,1.03821E+14,1.03821E+14,16.761169,0,,27,60,,,,
1,1.03821E+14,1.03821E+14,16.761035,0,,28,60,,,,
1,1.03821E+14,1.03821E+14,16.760551,0,,29,59,,,,
1,1.03821E+14,1.03821E+14,16.761192,0,,30,60,,,,
1,1.03821E+14,1.03821E+14,16.760937,0,,31,60,,,,
1,1.03821E+14,1.03821E+14,16.761135,0,,32,59,,,,
1,1.03821E+14,1.03821E+14,16.761032,0,,33,60,,,,
1,1.03821E+14,1.03821E+14,16.761167,0,,34,60,,,,
1,1.03821E+14,1.03821E+14,16.760888,0,,35,59,,,,
1,1.03821E+14,1.03821E+14,16.760734,0,,36,60,,,,
1,1.03821E+14,1.03821E+14,16.760905,0,,37,60,,,,
1,1.03821E+14,1.03821E+14,16.760768,0,,38,59,,,,
1,1.03821E+14,1.03821E+14,16.760891,0,,39,60,,,,
1,1.03821E+14,1.03821E+14,16.761035,0,,40,60,,,,
1,1.03821E+14,1.03821E+14,16.760794,0,,41,59,,,,
1,1.03821E+14,1.03821E+14,16.76098,0,,42,60,,,,
1,1.03821E+14,1.03821E+14,16.761036,0,,43,60,,,,
1,1.03821E+14,1.03821E+14,16.761274,0,,44,59,,,,
1,1.03821E+14,1.03821E+14,16.760788,0,,45,60,,,,
1,1.03821E+14,1.03821E+14,16.760915,0,,46,60,,,,
1,1.03821E+14,1.03821E+14,16.760602,0,,47,59,,,,
1,1.03821E+14,1.03821E+14,16.760815,0,,48,60,,,,
1,1.03821E+14,1.03822E+14,16.760731,0,,49,60,,,,
1,1.03822E+14,1.03822E+14,16.760764,0,,50,59,,,,
1,1.03822E+14,1.03822E+14,16.76076,0,,51,60,,,,
1,1.03822E+14,1.03822E+14,16.760856,0,,52,60,,,,
1,1.03822E+14,1.03822E+14,16.760796,0,,53,59,,,,
1,1.03822E+14,1.03822E+14,16.760954,0,,54,60,,,,
1,1.03822E+14,1.03822E+14,16.760958,0,,55,60,,,,
1,1.03822E+14,1.03822E+14,16.760487,0,,56,59,,,,
1,1.03822E+14,1.03822E+14,16.760835,0,,57,60,,,,
1,1.03822E+14,1.03822E+14,16.760783,0,,58,60,,,,
1,1.03822E+14,1.03822E+14,16.760934,0,,59,59,,,,
1,1.03822E+14,1.03822E+14,16.760927,0,,60,60,,,,
1,1.03822E+14,1.03822E+14,16.761016,0,,61,60,,,,
1,1.03822E+14,1.03822E+14,16.761186,0,,62,59,,,,
1,1.03822E+14,1.03822E+14,16.760875,0,,63,60,,,,
1,1.03822E+14,1.03822E+14,16.760399,0,,64,60,,,,
1,1.03822E+14,1.03822E+14,16.760576,0,,65,59,,,,
1,1.03822E+14,1.03822E+14,16.7607,0,,66,60,,,,
1,1.03822E+14,1.03822E+14,16.760558,0,,67,60,,,,
1,1.03822E+14,1.03822E+14,16.760763,0,,68,59,,,,
1,1.03822E+14,1.03822E+14,16.76082,0,,69,60,,,,
1,1.03822E+14,1.03822E+14,16.761214,0,,70,60,,,,
1,1.03822E+14,1.03822E+14,16.760699,0,,71,59,,,,
1,1.03822E+14,1.03822E+14,16.76068,0,,72,60,,,,
1,1.03822E+14,1.03822E+14,16.760821,0,,73,60,,,,
1,1.03822E+14,1.03822E+14,16.760866,0,,74,59,,,,
1,1.03822E+14,1.03822E+14,16.76119,0,,75,60,,,,
1,1.03822E+14,1.03822E+14,16.761004,0,,76,60,,,,
1,1.03822E+14,1.03822E+14,16.76086,0,,77,59,,,,
1,1.03822E+14,1.03822E+14,16.759393,0,,78,60,,,,
1,1.03822E+14,1.03822E+14,16.761416,0,,79,60,,,,
1,1.03822E+14,1.03822E+14,16.761478,0,,80,59,,,,
1,1.03822E+14,1.03822E+14,16.760607,0,,81,60,,,,
1,1.03822E+14,1.03822E+14,16.760648,0,,82,60,,,,
1,1.03822E+14,1.03822E+14,16.76074,0,,83,59,,,,
1,1.03822E+14,1.03822E+14,16.761207,0,,84,60,,,,
2,1.03822E+14,1.03822E+14,16.760613,0,,85,60,,,,
2,1.03822E+14,1.03822E+14,16.761109,0,,86,59,,,,
2,1.03822E+14,1.03822E+14,16.760954,0,,87,60,,,,
2,1.03822E+14,1.03822E+14,16.761202,0,,88,60,,,,
2,1.03822E+14,1.03822E+14,16.760747,0,,89,59,,,,
2,1.03822E+14,1.03822E+14,16.761112,0,,90,60,,,,
2,1.03822E+14,1.03822E+14,16.76086,0,,91,60,,,,
2,1.03822E+14,1.03822E+14,16.760356,0,,92,59,,,,
2,1.03822E+14,1.03822E+14,16.76092,0,,93,60,,,,
2,1.03822E+14,1.03822E+14,16.761116,0,,94,60,,,,
2,1.03822E+14,1.03822E+14,16.760786,0,,95,59,,,,
2,1.03822E+14,1.03822E+14,16.761328,0,,96,60,,,,
2,1.03822E+14,1.03822E+14,16.760983,0,,97,60,,,,
2,1.03822E+14,1.03822E+14,16.761296,0,,98,59,,,,
2,1.03822E+14,1.03822E+14,16.760713,0,,99,60,,,,
2,1.03822E+14,1.03822E+14,16.761097,0,,100,60,,,,
2,1.03822E+14,1.03822E+14,16.759836,0,,101,59,,,,
2,1.03822E+14,1.03822E+14,16.760868,0,,102,60,,,,
2,1.03822E+14,1.03822E+14,16.761151,0,,103,60,,,,
2,1.03822E+14,1.03822E+14,16.761149,0,,104,59,,,,
2,1.03822E+14,1.03822E+14,16.760894,0,,105,60,,,,
2,1.03822E+14,1.03822E+14,16.761081,0,,106,60,,,,
2,1.03822E+14,1.03822E+14,16.761262,0,,107,59,,,,
2,1.03822E+14,1.03822E+14,16.760825,0,,108,60,,,,
2,1.03822E+14,1.03823E+14,16.760737,0,,109,59,,,,
2,1.03823E+14,1.03823E+14,16.760865,0,,110,60,,,,
2,1.03823E+14,1.03823E+14,16.760588,0,,111,60,,,,
2,1.03823E+14,1.03823E+14,16.761042,0,,112,59,,,,
2,1.03823E+14,1.03823E+14,16.761371,0,,113,60,,,,
2,1.03823E+14,1.03823E+14,16.761464,0,,114,60,,,,
2,1.03823E+14,1.03823E+14,16.761153,0,,115,59,,,,
2,1.03823E+14,1.03823E+14,16.761236,0,,116,60,,,,
