Num,Time (sec),Total Mem (kB),Used Mem (kB),Free Mem (kB),Buffer Size (kB),Mem Usage (%),CPU Total (%),CPU User (%),CPU User Actual (%),CPU System (%),CPU System Actual (%)
1,0,3731608,3501884,229724,158008,0.938438335,800,274,0.3425,59,0.07375
2,5,3731608,3506668,224940,158008,0.939720356,800,288,0.36,65,0.08125
3,10,3731608,3513028,218580,158008,0.941424716,800,320,0.4,54,0.0675
4,15,3731608,3520692,210916,158008,0.943478522,800,321,0.40125,68,0.085
5,20,3731608,3525844,205764,158008,0.94485916,800,276,0.345,64,0.08
6,25,3731608,3531396,200212,158008,0.94634699,800,338,0.4225,53,0.06625
7,30,3731608,3534360,197248,158008,0.947141286,800,309,0.38625,56,0.07
8,35,3731608,3502004,229604,158008,0.938470493,800,306,0.3825,58,0.0725
9,40,3731608,3507172,224436,158008,0.939855419,800,324,0.405,58,0.0725
10,45,3731608,3512816,218792,158008,0.941367904,800,321,0.40125,64,0.08
11,50,3731608,3520292,211316,158008,0.943371329,800,273,0.34125,61,0.07625
12,55,3731608,3525940,205668,158008,0.944884886,800,285,0.35625,65,0.08125
13,60,3731608,3533328,198280,158012,0.94686473,800,294,0.3675,62,0.0775
14,65,3731608,3500472,231136,158012,0.938059946,800,324,0.405,64,0.08
15,70,3731608,3505756,225852,158012,0.939475958,800,321,0.40125,67,0.08375
16,75,3731608,3511300,220308,158012,0.940961644,800,309,0.38625,65,0.08125
17,80,3731608,3517468,214140,158012,0.942614551,800,327,0.40875,61,0.07625
18,85,3731608,3523440,208168,158012,0.944214934,800,309,0.38625,52,0.065
19,90,3731608,3527964,203644,158012,0.94542728,800,253,0.31625,50,0.0625
20,95,3731608,3532856,198752,158012,0.946738243,800,294,0.3675,59,0.07375
21,100,3731608,3503492,228116,158020,0.938869249,800,339,0.42375,73,0.09125
22,105,3731608,3509188,222420,158020,0.940395669,800,282,0.3525,56,0.07
23,110,3731608,3517144,214464,158024,0.942527725,800,312,0.39,65,0.08125
24,115,3731608,3520432,211176,158024,0.943408847,800,306,0.3825,61,0.07625
25,120,3731608,3528876,202732,158024,0.945671678,800,327,0.40875,76,0.095
26,125,3731608,3535844,195764,158024,0.94753897,800,336,0.42,67,0.08375
27,130,3731608,3509672,221936,158024,0.940525371,800,261,0.32625,64,0.08
28,135,3731608,3510084,221524,158024,0.94063578,800,315,0.39375,55,0.06875
29,140,3731608,3515188,216420,158024,0.942003554,800,329,0.41125,74,0.0925
30,145,3731608,3521508,210100,158024,0.943697194,800,339,0.42375,61,0.07625
31,150,3731608,3524104,207504,158024,0.944392873,800,300,0.375,50,0.0625
32,155,3731608,3529176,202432,158024,0.945752073,800,339,0.42375,70,0.0875
33,160,3731608,3536904,194704,158024,0.94782303,800,306,0.3825,65,0.08125
34,165,3731608,3503168,228440,158024,0.938782423,800,256,0.32,65,0.08125
35,170,3731608,3508060,223548,158024,0.940093386,800,303,0.37875,52,0.065
36,175,3731608,3514508,217100,158024,0.941821327,800,318,0.3975,50,0.0625
37,180,3731608,3521576,210032,158024,0.943715417,800,315,0.39375,67,0.08375
38,185,3731608,3528404,203204,158024,0.945545191,800,312,0.39,58,0.0725
39,190,3731608,3535900,195708,158024,0.947553977,800,268,0.335,59,0.07375
40,195,3731608,3504656,226952,158028,0.939181179,800,311,0.38875,49,0.06125
41,200,3731608,3508816,222792,158028,0.94029598,800,262,0.3275,62,0.0775
42,205,3731608,3514392,217216,158028,0.941790242,800,268,0.335,68,0.085
43,210,3731608,3517628,213980,158028,0.942657428,800,291,0.36375,70,0.0875
44,215,3731608,3522040,209568,158028,0.94383976,800,282,0.3525,56,0.07
45,220,3731608,3530904,200704,158028,0.946215144,800,303,0.37875,67,0.08375
46,225,3731608,3535828,195780,158028,0.947534682,800,309,0.38625,45,0.05625
47,230,3731608,3501724,229884,158028,0.938395458,800,282,0.3525,61,0.07625
48,235,3731608,3509308,222300,158044,0.940427826,800,285,0.35625,62,0.0775
49,240,3731608,3514436,217172,158044,0.941802033,800,306,0.3825,64,0.08
50,245,3731608,3521200,210408,158044,0.943614656,800,285,0.35625,55,0.06875
51,250,3731608,3528640,202968,158044,0.945608435,800,268,0.335,65,0.08125
52,255,3731608,3534396,197212,158044,0.947150933,800,314,0.3925,54,0.0675
53,260,3731608,3515692,215916,158044,0.942138617,800,264,0.33,70,0.0875
54,265,3731608,3509352,222256,158048,0.940439617,800,318,0.3975,52,0.065
55,270,3731608,3509568,222040,158048,0.940497501,800,330,0.4125,67,0.08375
56,275,3731608,3514580,217028,158052,0.941840622,800,318,0.3975,59,0.07375
57,280,3731608,3523204,208404,158052,0.94415169,800,288,0.36,59,0.07375
58,285,3731608,3529580,202028,158052,0.945860337,800,297,0.37125,55,0.06875
59,290,3731608,3534920,196688,158052,0.947291355,800,324,0.405,61,0.07625
60,295,3731608,3503212,228396,158052,0.938794214,800,264,0.33,58,0.0725
