Num,Time (sec),Raw Mem,Total Mem (kB),Used Mem (kB),Free Mem (kB),Buffer Size (kB),Mem Usage (%),Raw CPU,CPU Total (%),CPU User (%),CPU User Actual (%),CPU System (%),CPU System Actual (%)
1,0, Mem: 3731608k total 3515856k used 215752k free 157940k buffers ,3731608,3515856,215752,157940,, 800%cpu 330%user 0%nice 55%sys 406%idle 0%iow 6%irq 3%sirq 0%host ,800,330,,55,,
2,5, Mem: 3731608k total 3524320k used 207288k free 157940k buffers ,3731608,3524320,207288,157940,, 800%cpu 294%user 0%nice 65%sys 432%idle 0%iow 6%irq 3%sirq 0%host ,800,294,,65,,
3,10, Mem: 3731608k total 3503056k used 228552k free 157940k buffers ,3731608,3503056,228552,157940,, 800%cpu 327%user 0%nice 64%sys 403%idle 0%iow 6%irq 0%sirq 0%host ,800,327,,64,,
4,15, Mem: 3731608k total 3495204k used 236404k free 157940k buffers ,3731608,3495204,236404,157940,, 800%cpu 267%user 0%nice 48%sys 479%idle 0%iow 3%irq 3%sirq 0%host ,800,267,,48,,
5,20, Mem: 3731608k total 3500472k used 231136k free 157940k buffers ,3731608,3500472,231136,157940,, 800%cpu 318%user 0%nice 76%sys 400%idle 0%iow 3%irq 3%sirq 0%host ,800,318,,76,,
6,25, Mem: 3731608k total 3509092k used 222516k free 157940k buffers ,3731608,3509092,222516,157940,, 800%cpu 270%user 0%nice 58%sys 464%idle 0%iow 3%irq 6%sirq 0%host ,800,270,,58,,
7,31, Mem: 3731608k total 3519164k used 212444k free 157944k buffers ,3731608,3519164,212444,157944,, 800%cpu 312%user 3%nice 58%sys 421%idle 0%iow 3%irq 3%sirq 0%host ,800,312,,58,,
8,36, Mem: 3731608k total 3525744k used 205864k free 157944k buffers ,3731608,3525744,205864,157944,, 800%cpu 312%user 3%nice 55%sys 421%idle 0%iow 6%irq 3%sirq 0%host ,800,312,,55,,
9,41, Mem: 3731608k total 3500084k used 231524k free 157944k buffers ,3731608,3500084,231524,157944,, 800%cpu 256%user 0%nice 56%sys 479%idle 0%iow 6%irq 3%sirq 0%host ,800,256,,56,,
10,46, Mem: 3731608k total 3498684k used 232924k free 157944k buffers ,3731608,3498684,232924,157944,, 800%cpu 300%user 3%nice 55%sys 427%idle 3%iow 9%irq 3%sirq 0%host ,800,300,,55,,
