Timestamp,Attempt No,Result,Time to Preprocess (millis),Time to Classify (millis)
20181109_083620,3,prayer rug,12,118
20181109_083621,9,prayer rug,11,124
20181109_083622,15,prayer rug,15,157
20181109_083623,20,prayer rug,32,140
20181109_083624,25,prayer rug,15,156
20181109_083625,31,prayer rug,19,137
20181109_083626,36,prayer rug,13,150
20181109_083627,42,prayer rug,13,143
20181109_083628,47,prayer rug,14,137
20181109_083629,52,prayer rug,14,140
20181109_083630,58,prayer rug,16,150
20181109_083631,64,prayer rug,20,144
20181109_083632,69,prayer rug,35,176
20181109_083633,74,prayer rug,28,150
20181109_083634,79,prayer rug,22,148
20181109_083635,85,prayer rug,19,144
20181109_083636,91,prayer rug,22,145
20181109_083637,96,prayer rug,16,148
20181109_083638,102,prayer rug,28,153
20181109_083639,107,prayer rug,13,143
20181109_083640,113,prayer rug,20,138
20181109_083641,119,prayer rug,15,137
20181109_083642,124,prayer rug,40,137
20181109_083643,129,prayer rug,33,134
20181109_083644,135,prayer rug,33,133
20181109_083645,140,prayer rug,15,135
20181109_083646,145,prayer rug,20,145
20181109_083647,151,prayer rug,33,139
20181109_083648,156,prayer rug,13,143
20181109_083649,162,prayer rug,15,149
20181109_083650,168,prayer rug,13,138
20181109_083651,173,prayer rug,13,142
20181109_083652,179,prayer rug,28,151
20181109_083653,184,prayer rug,19,150
20181109_083654,189,prayer rug,16,141
20181109_083655,195,prayer rug,17,138
20181109_083656,201,prayer rug,21,142
20181109_083657,206,prayer rug,13,144
20181109_083658,211,prayer rug,14,141
20181109_083659,217,prayer rug,14,138
20181109_083700,222,prayer rug,18,165
20181109_083701,227,prayer rug,15,147
20181109_083702,233,prayer rug,27,168
20181109_083703,238,prayer rug,14,158
20181109_083704,244,prayer rug,28,155
20181109_083705,249,prayer rug,15,182
20181109_083706,255,prayer rug,13,143
20181109_083707,261,prayer rug,23,133
20181109_083708,266,prayer rug,14,142
20181109_083709,271,prayer rug,38,144
20181109_083710,277,prayer rug,16,135
20181109_083711,283,prayer rug,13,134
20181109_083712,288,prayer rug,14,140
20181109_083713,294,prayer rug,35,149
20181109_083714,299,prayer rug,13,139
20181109_083715,305,prayer rug,25,148
20181109_083716,310,prayer rug,28,137
20181109_083717,316,prayer rug,30,179
20181109_083718,322,prayer rug,13,138
20181109_083719,327,prayer rug,21,149
20181109_083720,333,prayer rug,14,138
20181109_083721,339,prayer rug,14,141
20181109_083722,344,prayer rug,13,134
20181109_083723,350,prayer rug,29,143
20181109_083724,355,prayer rug,13,136
