Time (sec),Preproc Start Time (ns),Preproc End Time (ns),Preproc Time Elapsed (ms),Class Start Time (ns),Class End Time (ns),Class Time Elapsed (ms),
0,1.15611E+14,1.15611E+14,23.618388,1.15611E+14,1.15611E+14,194.809759,218.428147
1,1.15611E+14,1.15611E+14,10.755886,1.15611E+14,1.15611E+14,113.818762,124.574648
1,1.15611E+14,1.15611E+14,26.091982,1.15611E+14,1.15611E+14,115.508606,141.600588
1,1.15611E+14,1.15611E+14,10.664637,1.15611E+14,1.15612E+14,116.282042,126.946679
1,1.15612E+14,1.15612E+14,27.594638,1.15612E+14,1.15612E+14,126.305168,153.899806
1,1.15612E+14,1.15612E+14,10.585105,1.15612E+14,1.15612E+14,129.440273,140.025378
1,1.15612E+14,1.15612E+14,10.582137,1.15612E+14,1.15612E+14,119.748085,130.330222
2,1.15612E+14,1.15612E+14,10.840939,1.15612E+14,1.15612E+14,116.221157,127.062096
2,1.15612E+14,1.15612E+14,26.193544,1.15612E+14,1.15612E+14,119.829283,146.022827
2,1.15612E+14,1.15612E+14,11.033959,1.15612E+14,1.15612E+14,121.443762,132.477721
2,1.15612E+14,1.15613E+14,24.330732,1.15613E+14,1.15613E+14,118.357355,142.688087
2,1.15613E+14,1.15613E+14,10.725157,1.15613E+14,1.15613E+14,121.053033,131.77819
2,1.15613E+14,1.15613E+14,25.402399,1.15613E+14,1.15613E+14,118.199543,143.601942
2,1.15613E+14,1.15613E+14,14.808595,1.15613E+14,1.15613E+14,140.552462,155.361057
3,1.15613E+14,1.15613E+14,30.953181,1.15613E+14,1.15613E+14,162.62861,193.581791
3,1.15613E+14,1.15613E+14,28.403232,1.15613E+14,1.15613E+14,146.839911,175.243143
3,1.15614E+14,1.15614E+14,13.045002,1.15614E+14,1.15614E+14,153.244911,166.289913
3,1.15614E+14,1.15614E+14,20.691773,1.15614E+14,1.15614E+14,135.233763,155.925536
3,1.15614E+14,1.15614E+14,13.541824,1.15614E+14,1.15614E+14,138.977098,152.518922
4,1.15614E+14,1.15614E+14,12.59823,1.15614E+14,1.15614E+14,145.701785,158.300015
4,1.15614E+14,1.15614E+14,38.545889,1.15614E+14,1.15614E+14,136.735118,175.281007
4,1.15614E+14,1.15614E+14,26.032659,1.15614E+14,1.15615E+14,147.068244,173.100903
4,1.15615E+14,1.15615E+14,21.302554,1.15615E+14,1.15615E+14,142.638139,163.940693
4,1.15615E+14,1.15615E+14,12.54271,1.15615E+14,1.15615E+14,137.059389,149.602099
4,1.15615E+14,1.15615E+14,18.394168,1.15615E+14,1.15615E+14,140.033347,158.427515
5,1.15615E+14,1.15615E+14,34.26568,1.15615E+14,1.15615E+14,136.54616,170.81184
5,1.15615E+14,1.15615E+14,20.612971,1.15615E+14,1.15615E+14,150.928296,171.541267
5,1.15616E+14,1.15616E+14,20.941981,1.15616E+14,1.15616E+14,139.984493,160.926474
5,1.15616E+14,1.15616E+14,28.967398,1.15616E+14,1.15616E+14,141.181212,170.14861
5,1.15616E+14,1.15616E+14,13.013334,1.15616E+14,1.15616E+14,136.231733,149.245067
6,1.15616E+14,1.15616E+14,18.674741,1.15616E+14,1.15616E+14,135.957566,154.632307
6,1.15616E+14,1.15616E+14,33.183232,1.15616E+14,1.15616E+14,140.664962,173.848194
6,1.15616E+14,1.15616E+14,15.892397,1.15616E+14,1.15617E+14,141.562097,157.454494
6,1.15617E+14,1.15617E+14,34.870941,1.15617E+14,1.15617E+14,137.134441,172.005382
6,1.15617E+14,1.15617E+14,15.93646,1.15617E+14,1.15617E+14,142.172514,158.108974
7,1.15617E+14,1.15617E+14,37.688233,1.15617E+14,1.15617E+14,164.480329,202.168562
7,1.15617E+14,1.15617E+14,16.730001,1.15617E+14,1.15617E+14,140.674753,157.404754
7,1.15617E+14,1.15617E+14,34.457035,1.15617E+14,1.15618E+14,140.350691,174.807726
7,1.15618E+14,1.15618E+14,14.604845,1.15618E+14,1.15618E+14,133.513503,148.118348
7,1.15618E+14,1.15618E+14,32.640628,1.15618E+14,1.15618E+14,145.355171,177.995799
7,1.15618E+14,1.15618E+14,12.60021,1.15618E+14,1.15618E+14,134.769909,147.370119
8,1.15618E+14,1.15618E+14,17.704168,1.15618E+14,1.15618E+14,138.313452,156.01762
8,1.15618E+14,1.15618E+14,31.271461,1.15618E+14,1.15618E+14,139.744598,171.016059
8,1.15618E+14,1.15618E+14,18.961408,1.15618E+14,1.15619E+14,155.679964,174.641372
8,1.15619E+14,1.15619E+14,14.47271,1.15619E+14,1.15619E+14,140.864233,155.336943
8,1.15619E+14,1.15619E+14,13.931043,1.15619E+14,1.15619E+14,154.362411,168.293454
9,1.15619E+14,1.15619E+14,23.362451,1.15619E+14,1.15619E+14,138.575118,161.937569
9,1.15619E+14,1.15619E+14,14.651251,1.15619E+14,1.15619E+14,139.702306,154.353557
9,1.15619E+14,1.15619E+14,15.365002,1.15619E+14,1.1562E+14,146.186317,161.551319
9,1.1562E+14,1.1562E+14,42.046098,1.1562E+14,1.1562E+14,139.283139,181.329237
9,1.1562E+14,1.1562E+14,14.39521,1.1562E+14,1.1562E+14,139.510014,153.905224
9,1.1562E+14,1.1562E+14,18.883752,1.1562E+14,1.1562E+14,137.30017,156.183922
10,1.1562E+14,1.1562E+14,40.953129,1.1562E+14,1.1562E+14,141.746264,182.699393
10,1.1562E+14,1.1562E+14,13.076876,1.1562E+14,1.15621E+14,157.885589,170.962465
10,1.15621E+14,1.15621E+14,13.16323,1.15621E+14,1.15621E+14,143.197045,156.360275
