Num,Time (sec),Total Mem (kB),Used Mem (kB),Free Mem (kB),Buffer Size (kB),Mem Usage (%),CPU Total (%),CPU User (%),CPU User Actual (%),CPU System (%),CPU System Actual (%)
1,0,3731608,3416860,314748,157916,0.91565352,800,113,0.14125,25,0.03125
2,5,3731608,3549512,182096,157920,0.951201734,800,272,0.34,69,0.08625
3,10,3731608,3553924,177684,157920,0.952384066,800,272,0.34,66,0.0825
4,15,3731608,3560220,171388,157924,0.954071274,800,306,0.3825,58,0.0725
5,20,3731608,3566200,165408,157924,0.955673801,800,269,0.33625,50,0.0625
6,25,3731608,3574292,157316,157924,0.957842303,800,334,0.4175,59,0.07375
7,30,3731608,3492988,238620,157924,0.936054377,800,267,0.33375,55,0.06875
8,35,3731608,3500472,231136,157924,0.938059946,800,238,0.2975,47,0.05875
9,40,3731608,3507068,224540,157924,0.939827549,800,322,0.4025,53,0.06625
10,46,3731608,3514248,217360,157924,0.941751652,800,266,0.3325,47,0.05875
11,51,3731608,3522492,209116,157924,0.943960888,800,294,0.3675,50,0.0625
12,56,3731608,3492320,239288,157924,0.935875365,800,270,0.3375,52,0.065
13,61,3731608,3499548,232060,157924,0.937812332,800,348,0.435,65,0.08125
14,66,3731608,3506780,224828,157924,0.93975037,800,224,0.28,55,0.06875
15,71,3731608,3514540,217068,157924,0.941829903,800,238,0.2975,59,0.07375
16,76,3731608,3523556,208052,157924,0.944246019,800,303,0.37875,56,0.07
17,81,3731608,3502332,229276,157924,0.938558391,800,230,0.2875,61,0.07625
18,86,3731608,3498748,232860,157924,0.937597947,800,281,0.35125,66,0.0825
19,91,3731608,3505680,225928,157924,0.939455591,800,316,0.395,53,0.06625
20,96,3731608,3512748,218860,157924,0.941349681,800,297,0.37125,66,0.0825
21,101,3731608,3520464,211144,157924,0.943417422,800,255,0.31875,61,0.07625
22,106,3731608,3528348,203260,157924,0.945530184,800,270,0.3375,48,0.06
23,111,3731608,3498364,233244,157924,0.937495042,800,322,0.4025,69,0.08625
24,116,3731608,3504320,227288,157924,0.939091137,800,350,0.4375,66,0.0825
25,121,3731608,3512260,219348,157924,0.941218906,800,263,0.32875,59,0.07375
26,126,3731608,3520320,211288,157924,0.943378833,800,282,0.3525,58,0.0725
27,131,3731608,3526924,204684,157924,0.945148579,800,252,0.315,45,0.05625
28,136,3731608,3519028,212580,157924,0.943032601,800,300,0.375,56,0.07
29,141,3731608,3499004,232604,157924,0.93766655,800,276,0.345,48,0.06
30,146,3731608,3505044,226564,157924,0.939285155,800,258,0.3225,67,0.08375
31,151,3731608,3515084,216524,157928,0.941975684,800,326,0.4075,58,0.0725
32,156,3731608,3520164,211444,157928,0.943337028,800,282,0.3525,45,0.05625
33,161,3731608,3526700,204908,157928,0.945088552,800,259,0.32375,56,0.07
34,166,3731608,3498000,233608,157928,0.937397497,800,285,0.35625,45,0.05625
35,171,3731608,3503752,227856,157928,0.938938924,800,319,0.39875,59,0.07375
36,176,3731608,3509404,222204,157928,0.940453552,800,258,0.3225,67,0.08375
37,181,3731608,3518332,213276,157928,0.942846087,800,291,0.36375,47,0.05875
38,186,3731608,3526052,205556,157928,0.9449149,800,236,0.295,52,0.065
39,191,3731608,3497240,234368,157928,0.937193832,800,275,0.34375,56,0.07
40,196,3731608,3498144,233464,157928,0.937436087,800,291,0.36375,64,0.08
41,201,3731608,3504080,227528,157928,0.939026822,800,258,0.3225,45,0.05625
42,206,3731608,3512244,219364,157928,0.941214618,800,284,0.355,52,0.065
43,211,3731608,3519708,211900,157928,0.943214829,800,319,0.39875,56,0.07
44,216,3731608,3528704,202904,157928,0.945625586,800,279,0.34875,55,0.06875
45,221,3731608,3499128,232480,157928,0.93769978,800,258,0.3225,55,0.06875
46,226,3731608,3502188,229420,157928,0.938519802,800,352,0.44,58,0.0725
47,231,3731608,3509452,222156,157932,0.940466416,800,294,0.3675,56,0.07
48,236,3731608,3515196,216412,157932,0.942005698,800,262,0.3275,50,0.0625
49,241,3731608,3521156,210452,157932,0.943602865,800,285,0.35625,65,0.08125
50,246,3731608,3528424,203184,157932,0.945550551,800,288,0.36,62,0.0775
51,251,3731608,3495980,235628,157932,0.936856176,800,291,0.36375,65,0.08125
52,256,3731608,3496160,235448,157932,0.936904412,800,315,0.39375,55,0.06875
53,261,3731608,3504896,226712,157932,0.939245494,800,309,0.38625,63,0.07875
54,266,3731608,3511768,219840,157932,0.94108706,800,329,0.41125,52,0.065
55,271,3731608,3519820,211788,157940,0.943244842,800,338,0.4225,56,0.07
56,276,3731608,3525996,205612,157940,0.944899893,800,345,0.43125,61,0.07625
57,281,3731608,3499664,231944,157940,0.937843418,800,300,0.375,56,0.07
58,286,3731608,3498892,232716,157940,0.937636536,800,345,0.43125,64,0.08
59,291,3731608,3507888,223720,157940,0.940047293,800,333,0.41625,55,0.06875
60,296,3731608,3510828,220780,157940,0.940835157,800,312,0.39,61,0.07625
