Timestamp,Attempt No,Time to Preprocess (millis),Time to Classify (millis),,,,
,3,12,117,,,,129
,10,11,119,,,,130
,15,37,138,,,,175
,20,24,144,,,,168
,25,26,144,,,,170
,30,27,139,,,,166
,33,21,176,,,,197
,36,13,140,,,,153
,41,24,157,,,,181
,46,21,143,,,,164
,51,27,137,,,,164
,57,41,143,,,,184
,62,15,150,,,,165
,67,26,165,,,,191
,72,43,141,,,,184
,77,30,143,,,,173
,82,36,135,,,,171
,87,35,137,,,,172
,92,14,141,,,,155
,97,15,145,,,,160
,101,34,148,,,,182
,106,29,171,,,,200
,111,23,143,,,,166
,116,32,144,,,,176
,121,27,142,,,,169
,126,21,144,,,,165
,131,15,131,,,,146
,136,31,150,,,,181
,141,21,142,,,,163
,146,29,144,,,,173
,151,21,153,,,,174
,156,34,145,,,,179
,161,14,137,,,,151
,167,24,138,,,,162
,173,37,137,,,,174
,177,13,136,,,,149
,182,40,141,,,,181
,188,31,143,,,,174
,193,28,141,,,,169
,198,33,154,,,,187
,204,26,146,,,,172
,209,14,138,,,,152
,214,24,142,,,,166
,219,22,162,,,,184
,224,23,145,,,,168
,229,19,141,,,,160
,235,15,136,,,,151
,240,14,172,,,,186
,246,33,144,,,,177
,251,15,137,,,,152
,257,19,136,,,,155
,262,18,162,,,,180
,267,15,134,,,,149
,273,38,144,,,,182
,278,20,150,,,,170
,283,20,195,,,,215
,288,30,167,,,,197
,293,36,147,,,,183
,298,25,147,,,,172
,304,24,154,,,,178
,308,15,154,,,,169
,314,35,146,,,,181
,319,26,165,,,,191
,325,22,152,,,,174
,330,16,172,,,,188
,336,30,160,,,,190
,341,20,155,,,,175
,346,24,162,,,,186
,351,23,147,,,,170
,356,13,147,,,,160
,362,13,143,,,,156
,367,20,155,,,,175
,372,31,172,,,,203
,377,25,165,,,,190
,382,15,152,,,,167
,388,36,150,,,,186
,393,29,166,,,,195
,398,15,156,,,,171
,403,28,166,,,,194
,409,14,139,,,,153
,414,18,139,,,,157
,420,25,144,,,,169
,424,25,143,,,,168
,429,25,163,,,,188
,434,14,149,,,,163
,440,39,140,,,,179
,445,13,148,,,,161
,450,20,136,,,,156
,456,33,145,,,,178
,461,30,137,,,,167
,466,44,135,,,,179
,471,20,160,,,,180
,476,34,139,,,,173
,482,13,137,,,,150
,487,14,144,,,,158
,492,18,163,,,,181
,498,34,137,,,,171
,503,25,140,,,,165
,508,28,147,,,,175
,514,28,136,,,,164
,519,18,142,,,,160
,524,14,147,,,,161
,529,35,140,,,,175
,535,16,166,,,,182
,540,27,141,,,,168
,545,21,144,,,,165
,550,37,134,,,,171
,555,16,148,,,,164
,561,14,151,,,,165
,566,17,140,,,,157
,572,13,135,,,,148
,578,14,140,,,,154
,583,28,150,,,,178
,588,23,138,,,,161
,593,22,141,,,,163
,598,31,146,,,,177
,604,39,141,,,,180
,609,15,137,,,,152
,614,40,163,,,,203
,620,23,136,,,,159
,625,22,143,,,,165
,630,37,150,,,,187
,636,22,135,,,,157
,641,14,146,,,,160
,646,21,135,,,,156
,651,28,133,,,,161
,657,13,153,,,,166
,662,26,142,,,,168
,667,25,139,,,,164
,673,23,137,,,,160
,678,16,135,,,,151
,683,16,134,,,,150
,689,14,140,,,,154
,694,14,137,,,,151
,700,13,136,,,,149
,705,14,157,,,,171
,711,14,137,,,,151
,716,19,147,,,,166
,721,16,136,,,,152
,726,17,155,,,,172
,732,13,143,,,,156
,737,29,145,,,,174
,742,32,149,,,,181
,747,16,142,,,,158
,752,13,166,,,,179
,758,14,155,,,,169
,763,29,148,,,,177
,768,14,157,,,,171
,773,18,138,,,,156
,778,29,155,,,,184
,784,17,144,,,,161
,789,38,146,,,,184
,794,37,179,,,,216
,800,19,145,,,,164
,805,33,146,,,,179
,810,18,144,,,,162
,816,37,147,,,,184
,821,33,156,,,,189
,826,34,148,,,,182
,831,33,143,,,,176
,837,27,146,,,,173
,842,37,164,,,,201
,847,14,159,,,,173
,852,37,144,,,,181
,858,35,152,,,,187
,863,28,142,,,,170
,868,31,152,,,,183
,874,20,132,,,,152
,879,22,149,,,,171
,884,36,145,,,,181
,889,33,148,,,,181
,895,18,142,,,,160
,900,34,143,,,,177
,906,14,140,,,,154
,911,14,131,,,,145
,916,28,136,,,,164
,922,34,140,,,,174
,927,19,173,,,,192
,932,26,165,,,,191
,937,13,147,,,,160
,942,23,140,,,,163
,948,13,134,,,,147
,953,35,148,,,,183
,958,23,138,,,,161
,964,23,133,,,,156
,969,42,146,,,,188
,974,41,157,,,,198
,979,22,135,,,,157
,984,25,137,,,,162
,990,18,144,,,,162
,995,20,143,,,,163
,1000,34,181,,,,215
,1005,19,135,,,,154
,1010,29,143,,,,172
,1015,31,147,,,,178
,1021,14,134,,,,148
,1027,17,142,,,,159
,1032,27,145,,,,172
,1037,23,139,,,,162
,1042,16,136,,,,152
,1048,36,141,,,,177
,1053,13,139,,,,152
,1058,33,159,,,,192
,1064,14,136,,,,150
,1069,19,140,,,,159
,1074,27,139,,,,166
,1080,35,134,,,,169
,1085,18,148,,,,166
,1090,13,139,,,,152
,1095,27,147,,,,174
,1101,24,138,,,,162
,1106,40,134,,,,174
,1111,27,142,,,,169
,1116,20,155,,,,175
,1121,24,181,,,,205
,1127,17,139,,,,156
,1132,22,136,,,,158
,1137,22,135,,,,157
,1143,22,143,,,,165
,1148,29,146,,,,175
,1154,14,133,,,,147
,1160,13,138,,,,151
,1166,14,173,,,,187
,1171,31,143,,,,174
,1177,27,143,,,,170
,1182,37,135,,,,172
,1188,13,137,,,,150
,1193,32,137,,,,169
,1198,34,142,,,,176
,1203,27,135,,,,162
,1209,26,142,,,,168
,1215,24,171,,,,195
,1220,21,148,,,,169
,1225,21,155,,,,176
,1230,13,155,,,,168
,1235,22,175,,,,197
,1240,33,179,,,,212
,1246,15,138,,,,153
,1251,15,146,,,,161
,1256,13,138,,,,151
,1261,29,151,,,,180
,1267,33,153,,,,186
,1272,41,151,,,,192
,1277,19,139,,,,158
,1282,14,137,,,,151
,1288,14,137,,,,151
,1294,14,169,,,,183
,1299,16,167,,,,183
,1302,13,139,,,,152
,1304,13,133,,,,146
,1305,27,140,,,,167
,1309,29,143,,,,172
,1310,13,134,,,,147
,1314,21,142,,,,163
,1319,18,139,,,,157
,1324,29,139,,,,168
,1328,20,191,,,,211
,1333,13,144,,,,157
,1336,18,146,,,,164
,1338,29,139,,,,168
,1340,42,134,,,,176
,1344,15,141,,,,156
,1349,43,141,,,,184
,1354,14,141,,,,155
,1359,19,141,,,,160
,1365,32,140,,,,172
,1370,13,139,,,,152
,1375,19,151,,,,170
,1380,26,140,,,,166
,1385,27,140,,,,167
