Time (sec),Previous Frame (ns),Current Frame (ns),Time Elapsed (ms),Dropped Frame Count
0,154976261079466,154976295153344,34.073878,2
0,154976295153344,154976928697712,633.544368,37
0,154976928697712,154976949351219,20.653507,1
0,154976949351219,154976966122180,16.770961,0
0,154976966122180,154976982893243,16.771063,0
0,154976982893243,154976999664057,16.770814,0
0,154976999664057,154977016434719,16.770662,0
0,154977016434719,154977033205539,16.77082,0
0,154977033205539,154977049976050,16.770511,0
0,154977049976050,154977066746844,16.770794,0
0,154977066746844,154977083517622,16.770778,0
0,154977083517622,154977100288098,16.770476,0
0,154977100288098,154977117058945,16.770847,0
0,154977117058945,154977133829019,16.770074,0
0,154977133829019,154977150600095,16.771076,0
0,154977150600095,154977167371240,16.771145,0
0,154977167371240,154977184141979,16.770739,0
0,154977184141979,154977200913135,16.771156,0
0,154977200913135,154977217684145,16.77101,0
0,154977217684145,154977234455154,16.771009,0
0,154977234455154,154977251224525,16.769371,0
0,154977251224525,154977267995764,16.771239,0
0,154977267995764,154977284766472,16.770708,0
0,154977284766472,154977301537255,16.770783,0
1,154977301537255,154977318308361,16.771106,0
1,154977318308361,154977335079254,16.770893,0
1,154977335079254,154977351850089,16.770835,0
1,154977351850089,154977368620841,16.770752,0
1,154977368620841,154977385391747,16.770906,0
1,154977385391747,154977402162576,16.770829,0
1,154977402162576,154977418933357,16.770781,0
1,154977418933357,154977435704224,16.770867,0
1,154977435704224,154977452474836,16.770612,0
1,154977452474836,154977469245588,16.770752,0
1,154977469245588,154977486016475,16.770887,0
1,154977486016475,154977502787266,16.770791,0
1,154977502787266,154977519558274,16.771008,0
1,154977519558274,154977536329286,16.771012,0
1,154977536329286,154977553100323,16.771037,0
1,154977553100323,154977569871191,16.770868,0
1,154977569871191,154977586642060,16.770869,0
1,154977586642060,154977603412597,16.770537,0
1,154977603412597,154977620183461,16.770864,0
1,154977620183461,154977636954384,16.770923,0
1,154977636954384,154977653725095,16.770711,0
1,154977653725095,154977670495726,16.770631,0
1,154977670495726,154977687266727,16.771001,0
1,154977687266727,154977704037641,16.770914,0
1,154977704037641,154977720807613,16.769972,0
1,154977720807613,154977737578601,16.770988,0
1,154977737578601,154977754349457,16.770856,0
1,154977754349457,154977771120105,16.770648,0
1,154977771120105,154977787890676,16.770571,0
1,154977787890676,154977804661490,16.770814,0
1,154977804661490,154977821432509,16.771019,0
1,154977821432509,154977838203464,16.770955,0
1,154977838203464,154977854974449,16.770985,0
1,154977854974449,154977871745448,16.770999,0
1,154977871745448,154977888516437,16.770989,0
1,154977888516437,154977905287361,16.770924,0
1,154977905287361,154977922058384,16.771023,0
1,154977922058384,154977938829308,16.770924,0
1,154977938829308,154977955600033,16.770725,0
