Time (sec),Previous Frame (ns),Current Frame (ns),Time Elapsed (ms),Dropped Frame Count,,Num,FPS,,Min FPS,Max FPS,Avg FPS
0,3.67725E+14,3.67725E+14,17.399488,0,,0,24,,18,60,59.38870432
0,3.67725E+14,3.67725E+14,633.425598,37,,1,59,,,,
0,3.67725E+14,3.67725E+14,20.1351,1,,2,60,,,,
0,3.67725E+14,3.67725E+14,16.756855,0,,3,60,,,,
0,3.67725E+14,3.67725E+14,16.756846,0,,4,60,,,,
0,3.67725E+14,3.67725E+14,16.756741,0,,5,59,,,,
0,3.67725E+14,3.67725E+14,16.756731,0,,6,60,,,,
0,3.67725E+14,3.67726E+14,16.756928,0,,7,60,,,,
0,3.67726E+14,3.67726E+14,16.757134,0,,8,59,,,,
0,3.67726E+14,3.67726E+14,16.756886,0,,9,60,,,,
0,3.67726E+14,3.67726E+14,16.756896,0,,10,60,,,,
0,3.67726E+14,3.67726E+14,16.756821,0,,11,59,,,,
0,3.67726E+14,3.67726E+14,16.757059,0,,12,60,,,,
0,3.67726E+14,3.67726E+14,16.757129,0,,13,60,,,,
0,3.67726E+14,3.67726E+14,16.757067,0,,14,59,,,,
0,3.67726E+14,3.67726E+14,16.756521,0,,15,60,,,,
0,3.67726E+14,3.67726E+14,16.756773,0,,16,60,,,,
0,3.67726E+14,3.67726E+14,16.757154,0,,17,59,,,,
0,3.67726E+14,3.67726E+14,16.7566,0,,18,60,,,,
0,3.67726E+14,3.67726E+14,16.756267,0,,19,60,,,,
0,3.67726E+14,3.67726E+14,16.756831,0,,20,59,,,,
0,3.67726E+14,3.67726E+14,16.757159,0,,21,60,,,,
0,3.67726E+14,3.67726E+14,16.75661,0,,22,60,,,,
0,3.67726E+14,3.67726E+14,16.756711,0,,23,59,,,,
1,3.67726E+14,3.67726E+14,16.756898,0,,24,60,,,,
1,3.67726E+14,3.67726E+14,16.756918,0,,25,60,,,,
1,3.67726E+14,3.67726E+14,16.757022,0,,26,59,,,,
1,3.67726E+14,3.67726E+14,16.756971,0,,27,60,,,,
1,3.67726E+14,3.67726E+14,16.756857,0,,28,60,,,,
1,3.67726E+14,3.67726E+14,16.756726,0,,29,59,,,,
1,3.67726E+14,3.67726E+14,16.756583,0,,30,60,,,,
1,3.67726E+14,3.67726E+14,16.756874,0,,31,60,,,,
1,3.67726E+14,3.67726E+14,16.756845,0,,32,59,,,,
1,3.67726E+14,3.67726E+14,16.756821,0,,33,60,,,,
1,3.67726E+14,3.67726E+14,16.757023,0,,34,60,,,,
1,3.67726E+14,3.67726E+14,16.756929,0,,35,59,,,,
1,3.67726E+14,3.67726E+14,16.75697,0,,36,60,,,,
1,3.67726E+14,3.67726E+14,16.756854,0,,37,60,,,,
1,3.67726E+14,3.67726E+14,16.756853,0,,38,60,,,,
1,3.67726E+14,3.67726E+14,16.756975,0,,39,59,,,,
1,3.67726E+14,3.67726E+14,16.756838,0,,40,60,,,,
1,3.67726E+14,3.67726E+14,16.756819,0,,41,60,,,,
1,3.67726E+14,3.67726E+14,16.756891,0,,42,59,,,,
1,3.67726E+14,3.67726E+14,16.756761,0,,43,60,,,,
1,3.67726E+14,3.67726E+14,16.756865,0,,44,60,,,,
1,3.67726E+14,3.67726E+14,16.756749,0,,45,59,,,,
1,3.67726E+14,3.67726E+14,16.756809,0,,46,60,,,,
1,3.67726E+14,3.67726E+14,16.756697,0,,47,60,,,,
1,3.67726E+14,3.67726E+14,16.756583,0,,48,59,,,,
1,3.67726E+14,3.67726E+14,16.756913,0,,49,60,,,,
1,3.67726E+14,3.67726E+14,16.756711,0,,50,60,,,,
1,3.67726E+14,3.67726E+14,16.756854,0,,51,59,,,,
1,3.67726E+14,3.67726E+14,16.756749,0,,52,60,,,,
1,3.67726E+14,3.67726E+14,16.756627,0,,53,60,,,,
1,3.67726E+14,3.67726E+14,16.756872,0,,54,59,,,,
1,3.67726E+14,3.67726E+14,16.757005,0,,55,60,,,,
1,3.67726E+14,3.67726E+14,16.756845,0,,56,60,,,,
1,3.67726E+14,3.67726E+14,16.756789,0,,57,59,,,,
1,3.67726E+14,3.67726E+14,16.756399,0,,58,60,,,,
1,3.67726E+14,3.67726E+14,16.75647,0,,59,60,,,,
1,3.67726E+14,3.67726E+14,16.756683,0,,60,59,,,,
1,3.67726E+14,3.67726E+14,16.756557,0,,61,60,,,,
1,3.67726E+14,3.67726E+14,16.75689,0,,62,60,,,,
1,3.67726E+14,3.67726E+14,16.756674,0,,63,59,,,,
1,3.67726E+14,3.67726E+14,16.756893,0,,64,60,,,,
1,3.67726E+14,3.67726E+14,16.757063,0,,65,60,,,,
1,3.67726E+14,3.67726E+14,16.757087,0,,66,59,,,,
1,3.67726E+14,3.67727E+14,16.757269,0,,67,60,,,,
1,3.67727E+14,3.67727E+14,16.75733,0,,68,60,,,,
1,3.67727E+14,3.67727E+14,16.757008,0,,69,59,,,,
1,3.67727E+14,3.67727E+14,16.756715,0,,70,60,,,,
1,3.67727E+14,3.67727E+14,16.756726,0,,71,60,,,,
1,3.67727E+14,3.67727E+14,16.756944,0,,72,59,,,,
1,3.67727E+14,3.67727E+14,16.756353,0,,73,60,,,,
