Num,Time (sec),Raw Mem,Total Mem (kB),Used Mem (kB),Free Mem (kB),Buffer Size (kB),Mem Usage (%),Raw CPU,CPU Total (%),CPU User (%),CPU User Actual (%),CPU System (%),CPU System Actual (%)
1,0, Mem: 3731608k total 3542744k used 188864k free 136756k buffers ,3731608,3542744,188864,136756,, 800%cpu 332%user 3%nice 71%sys 381%idle 0%iow 10%irq 3%sirq 0%host ,800,332,,71,,
2,5, Mem: 3731608k total 3548604k used 183004k free 136760k buffers ,3731608,3548604,183004,136760,, 800%cpu 255%user 0%nice 64%sys 473%idle 0%iow 9%irq 0%sirq 0%host ,800,255,,64,,
3,10, Mem: 3731608k total 3545972k used 185636k free 136760k buffers ,3731608,3545972,185636,136760,, 800%cpu 262%user 3%nice 47%sys 479%idle 0%iow 6%irq 3%sirq 0%host ,800,262,,47,,
4,15, Mem: 3731608k total 3544164k used 187444k free 136760k buffers ,3731608,3544164,187444,136760,, 800%cpu 316%user 6%nice 77%sys 390%idle 0%iow 6%irq 3%sirq 0%host ,800,316,,77,,
5,20, Mem: 3731608k total 3543964k used 187644k free 136760k buffers ,3731608,3543964,187644,136760,, 800%cpu 279%user 0%nice 73%sys 439%idle 0%iow 9%irq 0%sirq 0%host ,800,279,,73,,
6,25, Mem: 3731608k total 3548704k used 182904k free 136760k buffers ,3731608,3548704,182904,136760,, 800%cpu 284%user 3%nice 63%sys 438%idle 0%iow 6%irq 6%sirq 0%host ,800,284,,63,,
7,30, Mem: 3731608k total 3548652k used 182956k free 136760k buffers ,3731608,3548652,182956,136760,, 800%cpu 312%user 0%nice 76%sys 400%idle 0%iow 9%irq 3%sirq 0%host ,800,312,,76,,
8,35, Mem: 3731608k total 3546216k used 185392k free 136760k buffers ,3731608,3546216,185392,136760,, 800%cpu 319%user 6%nice 72%sys 394%idle 0%iow 6%irq 3%sirq 0%host ,800,319,,72,,
9,40, Mem: 3731608k total 3546684k used 184924k free 136760k buffers ,3731608,3546684,184924,136760,, 800%cpu 309%user 0%nice 47%sys 434%idle 0%iow 6%irq 3%sirq 0%host ,800,309,,47,,
10,45, Mem: 3731608k total 3550080k used 181528k free 136760k buffers ,3731608,3550080,181528,136760,, 800%cpu 259%user 3%nice 56%sys 466%idle 0%iow 13%irq 3%sirq 0%host ,800,259,,56,,
11,50, Mem: 3731608k total 3547472k used 184136k free 136760k buffers ,3731608,3547472,184136,136760,, 800%cpu 275%user 0%nice 59%sys 450%idle 0%iow 9%irq 6%sirq 0%host ,800,275,,59,,
12,56, Mem: 3731608k total 3544820k used 186788k free 136764k buffers ,3731608,3544820,186788,136764,, 800%cpu 325%user 0%nice 69%sys 400%idle 0%iow 6%irq 0%sirq 0%host ,800,325,,69,,
13,61, Mem: 3731608k total 3548464k used 183144k free 136768k buffers ,3731608,3548464,183144,136768,, 800%cpu 297%user 0%nice 63%sys 431%idle 0%iow 9%irq 0%sirq 0%host ,800,297,,63,,
14,66, Mem: 3731608k total 3546472k used 185136k free 136768k buffers ,3731608,3546472,185136,136768,, 800%cpu 284%user 0%nice 66%sys 441%idle 0%iow 6%irq 3%sirq 0%host ,800,284,,66,,
15,71, Mem: 3731608k total 3546088k used 185520k free 136768k buffers ,3731608,3546088,185520,136768,, 800%cpu 316%user 0%nice 63%sys 413%idle 0%iow 6%irq 3%sirq 0%host ,800,316,,63,,
16,76, Mem: 3731608k total 3544036k used 187572k free 136768k buffers ,3731608,3544036,187572,136768,, 800%cpu 325%user 3%nice 66%sys 397%idle 0%iow 6%irq 3%sirq 0%host ,800,325,,66,,
17,82, Mem: 3731608k total 3547124k used 184484k free 136768k buffers ,3731608,3547124,184484,136768,, 800%cpu 264%user 3%nice 64%sys 461%idle 0%iow 6%irq 3%sirq 0%host ,800,264,,64,,
18,87, Mem: 3731608k total 3546668k used 184940k free 136788k buffers ,3731608,3546668,184940,136788,, 800%cpu 278%user 3%nice 66%sys 441%idle 0%iow 9%irq 3%sirq 0%host ,800,278,,66,,
19,92, Mem: 3731608k total 3545312k used 186296k free 136788k buffers ,3731608,3545312,186296,136788,, 800%cpu 288%user 0%nice 63%sys 438%idle 0%iow 9%irq 3%sirq 0%host ,800,288,,63,,
