Time (sec),Previous Frame (ns),Current Frame (ns),Time Elapsed (ms),Dropped Frame Count
0,116084707602946,116084741998004,34.395058,2
0,116084741998004,116085642210442,900.212438,52
0,116085642210442,116085664549312,22.33887,1
0,116085664549312,116085681320247,16.770935,0
0,116085681320247,116085698091141,16.770894,0
0,116085698091141,116085714861571,16.77043,0
0,116085714861571,116085731632598,16.771027,0
0,116085731632598,116085748403177,16.770579,0
1,116085748403177,116085765174294,16.771117,0
1,116085765174294,116085781945209,16.770915,0
1,116085781945209,116085798715786,16.770577,0
1,116085798715786,116085815486368,16.770582,0
1,116085815486368,116085832257199,16.770831,0
1,116085832257199,116085849028175,16.770976,0
1,116085849028175,116085865798991,16.770816,0
1,116085865798991,116085882569633,16.770642,0
1,116085882569633,116085899340430,16.770797,0
1,116085899340430,116085916110676,16.770246,0
1,116085916110676,116085932881421,16.770745,0
1,116085932881421,116085949652094,16.770673,0
1,116085949652094,116085966423098,16.771004,0
1,116085966423098,116085983194074,16.770976,0
1,116085983194074,116085999965119,16.771045,0
1,116085999965119,116086016735834,16.770715,0
1,116086016735834,116086033506672,16.770838,0
1,116086033506672,116086050277378,16.770706,0
1,116086050277378,116086067048207,16.770829,0
1,116086067048207,116086083819110,16.770903,0
1,116086083819110,116086100590304,16.771194,0
1,116086100590304,116086117361367,16.771063,0
1,116086117361367,116086134132384,16.771017,0
1,116086134132384,116086150903281,16.770897,0
1,116086150903281,116086167674056,16.770775,0
1,116086167674056,116086184445230,16.771174,0
1,116086184445230,116086201216286,16.771056,0
1,116086201216286,116086217987582,16.771296,0
1,116086217987582,116086234758803,16.771221,0
1,116086234758803,116086251528707,16.769904,0
1,116086251528707,116086268299500,16.770793,0
1,116086268299500,116086285070406,16.770906,0
1,116086285070406,116086301841266,16.77086,0
1,116086301841266,116086318611892,16.770626,0
1,116086318611892,116086335382634,16.770742,0
1,116086335382634,116086352153710,16.771076,0
1,116086352153710,116086368925188,16.771478,0
1,116086368925188,116086385696137,16.770949,0
1,116086385696137,116086402467463,16.771326,0
1,116086402467463,116086419238599,16.771136,0
1,116086419238599,116086436009968,16.771369,0
1,116086436009968,116086452781398,16.77143,0
1,116086452781398,116086469552674,16.771276,0
1,116086469552674,116086486324302,16.771628,0
1,116086486324302,116086503095363,16.771061,0
1,116086503095363,116086519866710,16.771347,0
1,116086519866710,116086536637689,16.770979,0
1,116086536637689,116086553408913,16.771224,0
1,116086553408913,116086570179748,16.770835,0
1,116086570179748,116086586950655,16.770907,0
1,116086586950655,116086603721890,16.771235,0
1,116086603721890,116086620492890,16.771,0
1,116086620492890,116086637264288,16.771398,0
1,116086637264288,116086654035586,16.771298,0
1,116086654035586,116086670807009,16.771423,0
1,116086670807009,116086687578590,16.771581,0
1,116086687578590,116086704349658,16.771068,0
1,116086704349658,116086721121010,16.771352,0
1,116086721121010,116086737892225,16.771215,0
1,116086737892225,116086754663694,16.771469,0
2,116086754663694,116086771434664,16.77097,0
2,116086771434664,116086788205748,16.771084,0
2,116086788205748,116086804976401,16.770653,0
2,116086804976401,116086821747705,16.771304,0
2,116086821747705,116086838518598,16.770893,0
2,116086838518598,116086855289847,16.771249,0
2,116086855289847,116086872060423,16.770576,0
2,116086872060423,116086888831643,16.77122,0
2,116086888831643,116086905602518,16.770875,0
2,116086905602518,116086922374051,16.771533,0
2,116086922374051,116086939145365,16.771314,0
2,116086939145365,116086955916434,16.771069,0
2,116086955916434,116086972687456,16.771022,0
2,116086972687456,116086989458576,16.77112,0
2,116086989458576,116087006229357,16.770781,0
2,116087006229357,116087023000653,16.771296,0
2,116087023000653,116087039771464,16.770811,0
2,116087039771464,116087056542643,16.771179,0
2,116087056542643,116087073313488,16.770845,0
2,116087073313488,116087090084762,16.771274,0
2,116087090084762,116087106855678,16.770916,0
2,116087106855678,116087123626881,16.771203,0
2,116087123626881,116087140397840,16.770959,0
2,116087140397840,116087157169062,16.771222,0
2,116087157169062,116087173940473,16.771411,0
2,116087173940473,116087190711671,16.771198,0
2,116087190711671,116087207482774,16.771103,0
2,116087207482774,116087224254112,16.771338,0
2,116087224254112,116087241025052,16.77094,0
2,116087241025052,116087257796140,16.771088,0
2,116087257796140,116087274566639,16.770499,0
2,116087274566639,116087291337596,16.770957,0
2,116087291337596,116087308108457,16.770861,0
2,116087308108457,116087324879597,16.77114,0
2,116087324879597,116087341649673,16.770076,0
2,116087341649673,116087358420494,16.770821,0
2,116087358420494,116087375191372,16.770878,0
2,116087375191372,116087391962622,16.77125,0
2,116087391962622,116087408733771,16.771149,0
2,116087408733771,116087425505144,16.771373,0
2,116087425505144,116087442276180,16.771036,0
2,116087442276180,116087459047433,16.771253,0
2,116087459047433,116087475818218,16.770785,0
2,116087475818218,116087492589443,16.771225,0
2,116087492589443,116087509360355,16.770912,0
2,116087509360355,116087526131519,16.771164,0
2,116087526131519,116087542902085,16.770566,0
2,116087542902085,116087559673392,16.771307,0
2,116087559673392,116087576444349,16.770957,0
2,116087576444349,116087593215522,16.771173,0
2,116087593215522,116087609986640,16.771118,0
2,116087609986640,116087626757999,16.771359,0
2,116087626757999,116087643528995,16.770996,0
2,116087643528995,116087660300062,16.771067,0
2,116087660300062,116087677070911,16.770849,0
2,116087677070911,116087693842185,16.771274,0
2,116087693842185,116087710613143,16.770958,0
2,116087710613143,116087727384244,16.771101,0
2,116087727384244,116087744155114,16.77087,0
3,116087744155114,116087760926332,16.771218,0
3,116087760926332,116087777697269,16.770937,0
3,116087777697269,116087794468510,16.771241,0
3,116087794468510,116087811239627,16.771117,0
3,116087811239627,116087828010497,16.77087,0
3,116087828010497,116087844781198,16.770701,0
3,116087844781198,116087861552112,16.770914,0
3,116087861552112,116087878322290,16.770178,0
3,116087878322290,116087895092918,16.770628,0
3,116087895092918,116087911863871,16.770953,0
3,116087911863871,116087928634830,16.770959,0
3,116087928634830,116087945405258,16.770428,0
3,116087945405258,116087962176442,16.771184,0
3,116087962176442,116087978947271,16.770829,0
3,116087978947271,116087995718388,16.771117,0
3,116087995718388,116088012489392,16.771004,0
3,116088012489392,116088029260109,16.770717,0
3,116088029260109,116088046030886,16.770777,0
3,116088046030886,116088062801648,16.770762,0
3,116088062801648,116088079571700,16.770052,0
3,116088079571700,116088096342644,16.770944,0
3,116088096342644,116088113113339,16.770695,0
3,116088113113339,116088129884481,16.771142,0
3,116088129884481,116088146655254,16.770773,0
3,116088146655254,116088163426502,16.771248,0
3,116088163426502,116088180197447,16.770945,0
3,116088180197447,116088196968422,16.770975,0
3,116088196968422,116088213738874,16.770452,0
3,116088213738874,116088230509124,16.77025,0
3,116088230509124,116088247279523,16.770399,0
3,116088247279523,116088264049761,16.770238,0
3,116088264049761,116088280819074,16.769313,0
3,116088280819074,116088297589688,16.770614,0
3,116088297589688,116088314360111,16.770423,0
3,116088314360111,116088331131323,16.771212,0
3,116088331131323,116088347902460,16.771137,0
3,116088347902460,116088364673894,16.771434,0
3,116088364673894,116088381444837,16.770943,0
3,116088381444837,116088398215954,16.771117,0
3,116088398215954,116088414987073,16.771119,0
3,116088414987073,116088431758247,16.771174,0
3,116088431758247,116088448529047,16.7708,0
3,116088448529047,116088465300148,16.771101,0
3,116088465300148,116088482070439,16.770291,0
3,116088482070439,116088498840836,16.770397,0
3,116088498840836,116088515610535,16.769699,0
3,116088515610535,116088532381199,16.770664,0
3,116088532381199,116088549150887,16.769688,0
3,116088549150887,116088565921609,16.770722,0
3,116088565921609,116088582692194,16.770585,0
3,116088582692194,116088599463130,16.770936,0
3,116088599463130,116088616234339,16.771209,0
3,116088616234339,116088633005481,16.771142,0
3,116088633005481,116088649776874,16.771393,0
3,116088649776874,116088666547125,16.770251,0
3,116088666547125,116088683316878,16.769753,0
3,116088683316878,116088700088452,16.771574,0
3,116088700088452,116088716859473,16.771021,0
3,116088716859473,116088733630686,16.771213,0
3,116088733630686,116088750401594,16.770908,0
4,116088750401594,116088767172605,16.771011,0
4,116088767172605,116088783943136,16.770531,0
4,116088783943136,116088800713364,16.770228,0
4,116088800713364,116088817482271,16.768907,0
4,116088817482271,116088834252428,16.770157,0
4,116088834252428,116088851022989,16.770561,0
4,116088851022989,116088867794332,16.771343,0
4,116088867794332,116088884564973,16.770641,0
4,116088884564973,116088901336539,16.771566,0
4,116088901336539,116088918107293,16.770754,0
4,116088918107293,116088934878589,16.771296,0
4,116088934878589,116088951649425,16.770836,0
4,116088951649425,116088968420948,16.771523,0
4,116088968420948,116088985191561,16.770613,0
4,116088985191561,116089001962220,16.770659,0
4,116089001962220,116089018733072,16.770852,0
4,116089018733072,116089035503114,16.770042,0
4,116089035503114,116089052273156,16.770042,0
4,116089052273156,116089069044416,16.77126,0
4,116089069044416,116089085815124,16.770708,0
4,116089085815124,116089102586584,16.77146,0
4,116089102586584,116089119357479,16.770895,0
4,116089119357479,116089136128766,16.771287,0
4,116089136128766,116089152899823,16.771057,0
4,116089152899823,116089169671598,16.771775,0
4,116089169671598,116089186442657,16.771059,0
4,116089186442657,116089203213835,16.771178,0
4,116089203213835,116089219984586,16.770751,0
4,116089219984586,116089236755909,16.771323,0
4,116089236755909,116089253526312,16.770403,0
4,116089253526312,116089270297433,16.771121,0
4,116089270297433,116089287068165,16.770732,0
4,116089287068165,116089303839529,16.771364,0
4,116089303839529,116089320609909,16.77038,0
4,116089320609909,116089337381052,16.771143,0
4,116089337381052,116089354151518,16.770466,0
4,116089354151518,116089370922212,16.770694,0
4,116089370922212,116089387693386,16.771174,0
4,116089387693386,116089404464659,16.771273,0
4,116089404464659,116089421235657,16.770998,0
4,116089421235657,116089438007115,16.771458,0
4,116089438007115,116089454778199,16.771084,0
4,116089454778199,116089471549462,16.771263,0
4,116089471549462,116089488320391,16.770929,0
4,116089488320391,116089505091703,16.771312,0
4,116089505091703,116089521862477,16.770774,0
4,116089521862477,116089538633186,16.770709,0
4,116089538633186,116089555403447,16.770261,0
4,116089555403447,116089572174633,16.771186,0
4,116089572174633,116089588945501,16.770868,0
4,116089588945501,116089605716461,16.77096,0
4,116089605716461,116089622487400,16.770939,0
4,116089622487400,116089639259031,16.771631,0
4,116089639259031,116089656030130,16.771099,0
4,116089656030130,116089672801174,16.771044,0
4,116089672801174,116089689571774,16.7706,0
4,116089689571774,116089706343830,16.772056,0
4,116089706343830,116089723114681,16.770851,0
4,116089723114681,116089739885762,16.771081,0
5,116089739885762,116089756655362,16.7696,0
5,116089756655362,116089773425798,16.770436,0
5,116089773425798,116089790196156,16.770358,0
5,116089790196156,116089806967172,16.771016,0
5,116089806967172,116089823737783,16.770611,0
5,116089823737783,116089840509399,16.771616,0
5,116089840509399,116089857280415,16.771016,0
5,116089857280415,116089874051722,16.771307,0
5,116089874051722,116089890822640,16.770918,0
5,116089890822640,116089907594320,16.77168,0
5,116089907594320,116089924365500,16.77118,0
5,116089924365500,116089941135315,16.769815,0
5,116089941135315,116089957906481,16.771166,0
5,116089957906481,116089974677303,16.770822,0
5,116089974677303,116089991448103,16.7708,0
5,116089991448103,116090008219227,16.771124,0
5,116090008219227,116090024989894,16.770667,0
5,116090024989894,116090041761205,16.771311,0
5,116090041761205,116090058532231,16.771026,0
5,116090058532231,116090075303423,16.771192,0
5,116090075303423,116090092074263,16.77084,0
5,116090092074263,116090108845383,16.77112,0
5,116090108845383,116090125615040,16.769657,0
5,116090125615040,116090142386247,16.771207,0
5,116090142386247,116090159157328,16.771081,0
5,116090159157328,116090175928680,16.771352,0
5,116090175928680,116090192699557,16.770877,0
5,116090192699557,116090209470876,16.771319,0
5,116090209470876,116090226241929,16.771053,0
5,116090226241929,116090243013366,16.771437,0
5,116090243013366,116090259784269,16.770903,0
5,116090259784269,116090276555585,16.771316,0
5,116090276555585,116090293326731,16.771146,0
5,116090293326731,116090310098260,16.771529,0
5,116090310098260,116090326868942,16.770682,0
5,116090326868942,116090343640025,16.771083,0
5,116090343640025,116090360411046,16.771021,0
5,116090360411046,116090377180760,16.769714,0
5,116090377180760,116090393950892,16.770132,0
5,116090393950892,116090410721955,16.771063,0
5,116090410721955,116090427492336,16.770381,0
5,116090427492336,116090444263367,16.771031,0
