Num,Time (sec),Raw Mem,Total Mem (kB),Used Mem (kB),Free Mem (kB),Buffer Size (kB),Mem Usage (%),Raw CPU,CPU Total (%),CPU User (%),CPU User Actual (%),CPU System (%),CPU System Actual (%)
1,0, Mem: 3731608k total 3512340k used 219268k free 143716k buffers ,3731608,3512340,219268,143716,, 800%cpu 261%user 18%nice 64%sys 448%idle 0%iow 6%irq 3%sirq 0%host ,800,261,,64,,
2,5, Mem: 3731608k total 3516440k used 215168k free 143716k buffers ,3731608,3516440,215168,143716,, 800%cpu 228%user 3%nice 56%sys 503%idle 0%iow 6%irq 3%sirq 0%host ,800,228,,56,,
3,10, Mem: 3731608k total 3513812k used 217796k free 143716k buffers ,3731608,3513812,217796,143716,, 800%cpu 319%user 0%nice 65%sys 403%idle 0%iow 10%irq 3%sirq 0%host ,800,319,,65,,
4,15, Mem: 3731608k total 3516396k used 215212k free 143716k buffers ,3731608,3516396,215212,143716,, 800%cpu 272%user 0%nice 59%sys 463%idle 0%iow 3%irq 3%sirq 0%host ,800,272,,59,,
5,20, Mem: 3731608k total 3512848k used 218760k free 143716k buffers ,3731608,3512848,218760,143716,, 800%cpu 231%user 9%nice 59%sys 494%idle 0%iow 6%irq 0%sirq 0%host ,800,231,,59,,
6,25, Mem: 3731608k total 3517132k used 214476k free 143716k buffers ,3731608,3517132,214476,143716,, 800%cpu 291%user 3%nice 38%sys 463%idle 0%iow 6%irq 0%sirq 0%host ,800,291,,38,,
7,30, Mem: 3731608k total 3516360k used 215248k free 143716k buffers ,3731608,3516360,215248,143716,, 800%cpu 281%user 0%nice 61%sys 455%idle 0%iow 3%irq 0%sirq 0%host ,800,281,,61,,
8,35, Mem: 3731608k total 3520436k used 211172k free 143716k buffers ,3731608,3520436,211172,143716,, 800%cpu 269%user 3%nice 63%sys 453%idle 0%iow 9%irq 3%sirq 0%host ,800,269,,63,,
9,40, Mem: 3731608k total 3514608k used 217000k free 143720k buffers ,3731608,3514608,217000,143720,, 800%cpu 281%user 13%nice 68%sys 429%idle 0%iow 6%irq 3%sirq 0%host ,800,281,,68,,
10,45, Mem: 3731608k total 3519956k used 211652k free 143720k buffers ,3731608,3519956,211652,143720,, 800%cpu 303%user 0%nice 48%sys 436%idle 0%iow 9%irq 3%sirq 0%host ,800,303,,48,,
