Time (sec),Preproc Start Time (ns),Preproc End Time (ns),Preproc Time Elapsed (ms),Class Start Time (ns),Class End Time (ns),Class Time Elapsed (ms),
0,3.68E+14,3.68E+14,-29.662086,3.68E+14,3.68E+14,46.408755,7.61E+01
0,3.68E+14,3.68E+14,-32.743024,3.68E+14,3.68E+14,38.834014,7.16E+01
0,3.68E+14,3.68E+14,-3.124844,3.68E+14,3.68E+14,39.515003,4.26E+01
0,3.68E+14,3.68E+14,-13.306616,3.68E+14,3.68E+14,36.747921,5.01E+01
0,3.68E+14,3.68E+14,-26.011826,3.68E+14,3.68E+14,34.676514,6.07E+01
0,3.68E+14,3.68E+14,-0.797657,3.68E+14,3.68E+14,35.071566,3.59E+01
0,3.68E+14,3.68E+14,-15.400731,3.68E+14,3.68E+14,35.533962,5.09E+01
0,3.68E+14,3.68E+14,-29.444638,3.68E+14,3.68E+14,34.787504,6.42E+01
0,3.68E+14,3.68E+14,-4.161563,3.68E+14,3.68E+14,35.867451,4.00E+01
0,3.68E+14,3.68E+14,-17.833544,3.68E+14,3.68E+14,37.84891,5.57E+01
0,3.68E+14,3.68E+14,-29.44792,3.68E+14,3.68E+14,35.084796,6.45E+01
0,3.68E+14,3.68E+14,-3.818386,3.68E+14,3.68E+14,35.11391,3.89E+01
0,3.68E+14,3.68E+14,-18.35547,3.68E+14,3.68E+14,34.870472,5.32E+01
0,3.68E+14,3.68E+14,-33.032243,3.68E+14,3.68E+14,34.615628,6.76E+01
1,3.68E+14,3.68E+14,-7.996407,3.68E+14,3.68E+14,34.73417,4.27E+01
1,3.68E+14,3.68E+14,-22.80396,3.68E+14,3.68E+14,34.922452,5.77E+01
1,3.68E+14,3.68E+14,-37.489639,3.68E+14,3.68E+14,38.156463,7.56E+01
1,3.68E+14,3.68E+14,-48.99589,3.68E+14,3.68E+14,78.709278,1.28E+02
1,3.68E+14,3.68E+14,-20.429898,3.68E+14,3.68E+14,46.512921,6.69E+01
1,3.68E+14,3.68E+14,-62.607194,3.68E+14,3.68E+14,66.524799,1.29E+02
1,3.68E+14,3.68E+14,-45.379796,3.68E+14,3.68E+14,83.346363,1.29E+02
1,3.68E+14,3.68E+14,-51.192193,3.68E+14,3.68E+14,83.801311,1.35E+02
1,3.68E+14,3.68E+14,-17.24021,3.68E+14,3.68E+14,56.255891,7.35E+01
1,3.68E+14,3.68E+14,-9.993335,3.68E+14,3.68E+14,39.313702,4.93E+01
1,3.68E+14,3.68E+14,-20.204012,3.68E+14,3.68E+14,45.673182,6.59E+01
1,3.68E+14,3.68E+14,-24.110367,3.68E+14,3.68E+14,39.327921,6.34E+01
2,3.68E+14,3.68E+14,-34.560108,3.68E+14,3.68E+14,49.46063,8.40E+01
2,3.68E+14,3.68E+14,-34.814379,3.68E+14,3.68E+14,44.319223,7.91E+01
2,3.68E+14,3.68E+14,-39.249327,3.68E+14,3.68E+14,60.436569,9.97E+01
2,3.68E+14,3.68E+14,-69.657716,3.68E+14,3.68E+14,86.603914,1.56E+02
2,3.68E+14,3.68E+14,-70.096569,3.68E+14,3.68E+14,70.45157,1.41E+02
2,3.68E+14,3.68E+14,-47.552036,3.68E+14,3.68E+14,68.645892,1.16E+02
2,3.68E+14,3.68E+14,-67.213392,3.68E+14,3.68E+14,89.037509,1.56E+02
2,3.68E+14,3.68E+14,-28.23693,3.68E+14,3.68E+14,63.889902,9.21E+01
2,3.68E+14,3.68E+14,-52.51537,3.68E+14,3.68E+14,74.385268,1.27E+02
2,3.68E+14,3.68E+14,-64.230631,3.68E+14,3.68E+14,67.860892,1.32E+02
3,3.68E+14,3.68E+14,-46.387505,3.68E+14,3.68E+14,63.726725,1.10E+02
3,3.68E+14,3.68E+14,-70.00282,3.68E+14,3.68E+14,70.619851,1.41E+02
3,3.68E+14,3.68E+14,-46.607921,3.68E+14,3.68E+14,83.463029,1.30E+02
3,3.68E+14,3.68E+14,-50.254067,3.68E+14,3.68E+14,71.178861,1.21E+02
3,3.68E+14,3.68E+14,-28.021565,3.68E+14,3.68E+14,49.321724,7.73E+01
3,3.68E+14,3.68E+14,-28.41969,3.68E+14,3.68E+14,63.217142,9.16E+01
3,3.68E+14,3.68E+14,-14.728387,3.68E+14,3.68E+14,46.502036,6.12E+01
3,3.68E+14,3.68E+14,-17.37745,3.68E+14,3.68E+14,47.098182,6.45E+01
3,3.68E+14,3.68E+14,-19.35646,3.68E+14,3.68E+14,48.195578,6.76E+01
3,3.68E+14,3.68E+14,-20.660418,3.68E+14,3.68E+14,42.533025,6.32E+01
3,3.68E+14,3.68E+14,-67.434017,3.68E+14,3.68E+14,80.592976,1.48E+02
4,3.68E+14,3.68E+14,-36.300212,3.68E+14,3.68E+14,45.443494,8.17E+01
4,3.68E+14,3.68E+14,-40.247972,3.68E+14,3.68E+14,56.001777,9.62E+01
4,3.68E+14,3.68E+14,-33.884171,3.68E+14,3.68E+14,55.283078,8.92E+01
4,3.68E+14,3.68E+14,-68.469746,3.68E+14,3.68E+14,87.063967,1.56E+02
4,3.68E+14,3.68E+14,-69.264799,3.68E+14,3.68E+14,82.647925,1.52E+02
4,3.68E+14,3.68E+14,-35.759691,3.68E+14,3.68E+14,70.495059,1.06E+02
4,3.68E+14,3.68E+14,-53.80089,3.68E+14,3.68E+14,73.603601,1.27E+02
4,3.68E+14,3.68E+14,-30.119222,3.68E+14,3.68E+14,51.166255,8.13E+01
4,3.68E+14,3.68E+14,-27.032711,3.68E+14,3.68E+14,62.415059,8.94E+01
4,3.68E+14,3.68E+14,-52.949693,3.68E+14,3.68E+14,62.038548,1.15E+02
4,3.68E+14,3.68E+14,-40.303286,3.68E+14,3.68E+14,50.206307,9.05E+01
5,3.68E+14,3.68E+14,-38.818702,3.68E+14,3.68E+14,53.139536,9.20E+01
5,3.68E+14,3.68E+14,-34.845108,3.68E+14,3.68E+14,60.123026,9.50E+01
5,3.68E+14,3.68E+14,-64.036048,3.68E+14,3.68E+14,68.698184,1.33E+02
5,3.68E+14,3.68E+14,-6.78375,3.68E+14,3.68E+14,38.157035,4.49E+01
5,3.68E+14,3.68E+14,-18.661512,3.68E+14,3.68E+14,44.41938,6.31E+01
5,3.68E+14,3.68E+14,-62.683756,3.68E+14,3.68E+14,71.473028,1.34E+02
5,3.68E+14,3.68E+14,-38.687504,3.68E+14,3.68E+14,75.635268,1.14E+02
5,3.68E+14,3.68E+14,-50.333234,3.68E+14,3.68E+14,50.746515,1.01E+02
