Time (sec),Preproc Start Time (ns),Preproc End Time (ns),Preproc Time Elapsed (ms),Class Start Time (ns),Class End Time (ns),Class Time Elapsed (ms),Result,Confidence
0,0,368565955899271,3.68565955899271E8,368565955902552,368566040414696,84.512144,_silence_,0.0
0,368566103050327,368566071424074,-31.626253,368566071429074,368566121321839,49.892765,_silence_,0.0
0,368566183072783,368566151819499,-31.253284,368566151822624,368566191274398,39.451774,_silence_,0.0
0,368566222969558,368566222339974,-0.629584,368566222343308,368566260995239,38.651931,_silence_,1.269787
0,368566303083264,368566291519721,-11.563543,368566291524044,368566331652069,40.128025,_silence_,1.2030439
0,368566383066970,368566362143947,-20.923023,368566362148217,368566397905617,35.7574,_silence_,1.0180409
0,368566463075103,368566428415151,-34.659952,368566428418589,368566468896614,40.478025,_silence_,0.50602525
0,368566502970002,368566499593544,-3.376458,368566499597554,368566534247974,34.65042,_unknown_,0.28583315
0,368566583054073,368566564705790,-18.348283,368566564708706,368566599632199,34.923493,_unknown_,0.23733667
0,368566663070018,368566630073817,-32.996201,368566630077150,368566668753508,38.676358,_unknown_,0.2756708
0,368566743028932,368566699632991,-43.395941,368566699638564,368566748113152,48.474588,_unknown_,0.19456482
0,368566782995811,368566778605290,-4.390521,368566778608103,368566813898783,35.29068,_unknown_,0.20459129
0,368566863062434,368566844313526,-18.748908,368566844317432,368566879132175,34.814743,stop,0.2392014
0,368566943062234,368566909555147,-33.507087,368566909558637,368566945562026,36.003389,stop,0.3885107
0,368566983074165,368566975982914,-7.091251,368566975985466,368567010626563,34.641097,stop,0.4457135
1,368567063057298,368567041036046,-22.021252,368567041038754,368567075953028,34.914274,stop,0.39640352
1,368567102971625,368567106342875,3.37125,368567106345167,368567141561264,35.216097,stop,0.34817502
1,368567183031164,368567171894861,-11.136303,368567171898142,368567212782365,40.884223,stop,0.3601675
1,368567263394505,368567243306951,-20.087554,368567243314607,368567284467997,41.15339,stop,0.35264108
1,368567383113163,368567314890552,-68.222611,368567314894614,368567392536758,77.642144,stop,0.31694794
1,368567463055515,368567422969677,-40.085838,368567422975511,368567473606349,50.630838,stop,0.38603088
1,368567544423387,368567504004425,-40.418962,368567504006717,368567549983180,45.976463,stop,0.4243398
1,368567623869176,368567580366828,-43.502348,368567580369745,368567637776834,57.407089,stop,0.38750008
1,368567703097101,368567668298139,-34.798962,368567668301785,368567712096946,43.795161,stop,0.3595395
1,368567783078828,368567742523667,-40.555161,368567742529084,368567792740495,50.211411,up,0.31703854
1,368567863055815,368567823231905,-39.82391,368567823237373,368567876054566,52.817193,up,0.4456048
1,368567943069729,368567906485090,-36.584639,368567906488371,368567957924574,51.436203,up,0.44178075
1,368568024326404,368567988393588,-35.932816,368567988397911,368568036210103,47.812192,up,0.41658702
2,368568104709120,368568066899012,-37.810108,368568066902606,368568120317820,53.415214,up,0.44930765
2,368568183024961,368568150742823,-32.282138,368568150746052,368568197483557,46.737505,up,0.4778764
2,368568264749969,368568227776268,-36.973701,368568227779757,368568274158460,46.378703,up,0.5596577
2,368568344667946,368568304768151,-39.899795,368568304772369,368568350643103,45.870734,up,0.5297175
2,368568425293527,368568381645762,-43.647765,368568381655971,368568449873478,68.217507,up,0.5345904
2,368568543569841,368568481281397,-62.288444,368568481299835,368568549693331,68.393496,up,0.39909238
2,368568623575943,368568581358178,-42.217765,368568581369116,368568645707560,64.338444,up,0.5418866
2,368568743983298,368568677052302,-66.930996,368568677070271,368568761802988,84.732717,up,0.4522759
2,368568823329452,368568792798876,-30.530576,368568792803980,368568862748883,69.944903,stop,0.28869534
2,368568943002381,368568894748366,-48.254015,368568894754668,368568966759935,72.005267,stop,0.40814266
3,368569065181247,368568998821866,-66.359381,368568998840355,368569078927551,80.087196,stop,0.41649932
3,368569143472245,368569109933543,-33.538702,368569109938700,368569179337873,69.399173,stop,0.38288417
3,368569263759861,368569211954856,-51.805005,368569211973397,368569299532573,87.559176,stop,0.39421564
3,368569343797056,368569330351326,-13.44573,368569330355857,368569378455393,48.099536,stop,0.41353232
3,368569464596964,368569409071438,-55.525526,368569409074979,368569465205245,56.130266,stop,0.43960905
3,368569584429372,368569497785509,-86.643863,368569497804311,368569590787029,92.982718,stop,0.32201302
3,368569663091150,368569622826251,-40.264899,368569622830209,368569684935580,62.105371,stop,0.30408856
