Num,Time (sec),Total Mem (kB),Used Mem (kB),Free Mem (kB),Buffer Size (kB),Mem Usage (%),CPU Total (%),CPU User (%),CPU User Actual (%),CPU System (%),CPU System Actual (%)
1,0,3731608,3597184,134424,134884,0.963976924,800,266,0.3325,62,0.0775
2,5,3731608,3597252,134356,134884,0.963995146,800,233,0.29125,33,0.04125
3,10,3731608,3599016,132592,134884,0.964467865,800,242,0.3025,65,0.08125
4,15,3731608,3598568,133040,134884,0.964347809,800,233,0.29125,23,0.02875
5,20,3731608,3599416,132192,134884,0.964575057,800,237,0.29625,37,0.04625
6,25,3731608,3597252,134356,134884,0.963995146,800,197,0.24625,31,0.03875
7,30,3731608,3597140,134468,134884,0.963965132,800,247,0.30875,43,0.05375
8,35,3731608,3598160,133448,134884,0.964238473,800,240,0.3,23,0.02875
9,40,3731608,3598932,132676,134888,0.964445354,800,213,0.26625,27,0.03375
10,45,3731608,3600428,131180,134888,0.964846254,800,203,0.25375,34,0.0425
11,50,3731608,3598828,132780,134888,0.964417484,800,210,0.2625,30,0.0375
12,55,3731608,3598676,132932,134888,0.964376751,800,216,0.27,29,0.03625
13,60,3731608,3600328,131280,134896,0.964819456,800,206,0.2575,34,0.0425
14,65,3731608,3602944,128664,134896,0.965520494,800,210,0.2625,23,0.02875
15,70,3731608,3603044,128564,134896,0.965547292,800,248,0.31,31,0.03875
16,75,3731608,3602204,129404,134896,0.965322188,800,231,0.28875,38,0.0475
17,80,3731608,3601308,130300,134896,0.965082077,800,235,0.29375,26,0.0325
18,85,3731608,3602884,128724,134900,0.965504415,800,203,0.25375,31,0.03875
19,90,3731608,3603692,127916,134900,0.965720944,800,203,0.25375,29,0.03625
20,96,3731608,3605156,126452,134900,0.966113268,800,248,0.31,38,0.0475
21,101,3731608,3602136,129472,134900,0.965303965,800,259,0.32375,31,0.03875
22,106,3731608,3595696,135912,134904,0.963578168,800,255,0.31875,28,0.035
23,111,3731608,3595604,136004,134904,0.963553514,800,253,0.31625,43,0.05375
24,116,3731608,3596136,135472,134904,0.96369608,800,240,0.3,37,0.04625
25,121,3731608,3598480,133128,134904,0.964324227,800,210,0.2625,37,0.04625
26,126,3731608,3598056,133552,134904,0.964210603,800,223,0.27875,32,0.04
27,131,3731608,3595644,135964,134904,0.963564233,800,260,0.325,47,0.05875
28,136,3731608,3596172,135436,134904,0.963705727,800,181,0.22625,41,0.05125
29,141,3731608,3596276,135332,134904,0.963733597,800,228,0.285,34,0.0425
30,146,3731608,3597532,134076,134904,0.964070181,800,207,0.25875,23,0.02875
31,151,3731608,3597744,133864,134904,0.964126993,800,226,0.2825,32,0.04
32,156,3731608,3595572,136036,134908,0.963544938,800,197,0.24625,27,0.03375
33,161,3731608,3576704,154904,134928,0.958488673,800,217,0.27125,37,0.04625
34,166,3731608,3577728,153880,134928,0.958763086,800,241,0.30125,24,0.03
35,171,3731608,3574300,157308,134932,0.957844447,800,217,0.27125,30,0.0375
36,176,3731608,3576308,155300,134936,0.958382553,800,221,0.27625,34,0.0425
37,181,3731608,3576336,155272,134936,0.958390056,800,197,0.24625,26,0.0325
38,186,3731608,3574244,157364,134948,0.95782944,800,213,0.26625,30,0.0375
39,191,3731608,3573796,157812,134948,0.957709384,800,255,0.31875,48,0.06
40,196,3731608,3575344,156264,134948,0.958124219,800,175,0.21875,28,0.035
41,201,3731608,3575868,155740,134948,0.958264641,800,266,0.3325,24,0.03
42,206,3731608,3577524,154084,134948,0.958708417,800,238,0.2975,41,0.05125
43,211,3731608,3576192,155416,134948,0.958351467,800,231,0.28875,34,0.0425
44,217,3731608,3571608,160000,134956,0.957123042,800,223,0.27875,35,0.04375
45,222,3731608,3572568,159040,134956,0.957380304,800,283,0.35375,30,0.0375
46,227,3731608,3573876,157732,134956,0.957730823,800,230,0.2875,27,0.03375
47,232,3731608,3574624,156984,134956,0.957931273,800,230,0.2875,40,0.05
48,237,3731608,3574780,156828,134956,0.957973078,800,203,0.25375,22,0.0275
49,242,3731608,3575956,155652,134956,0.958288223,800,228,0.285,28,0.035
50,247,3731608,3572360,159248,134956,0.957324564,800,220,0.275,23,0.02875
51,252,3731608,3573320,158288,134956,0.957581825,800,213,0.26625,30,0.0375
52,257,3731608,3575884,155724,134956,0.958268929,800,245,0.30625,69,0.08625
53,262,3731608,3587248,144360,135004,0.961314265,800,233,0.29125,50,0.0625
54,267,3731608,3590404,141204,135004,0.962160013,800,206,0.2575,45,0.05625
55,272,3731608,3590288,141320,135004,0.962128927,800,193,0.24125,37,0.04625
56,277,3731608,3590804,140804,135004,0.962267205,800,230,0.2875,30,0.0375
57,282,3731608,3583100,148508,135004,0.960202679,800,216,0.27,29,0.03625
58,287,3731608,3582880,148728,135004,0.960143724,800,229,0.28625,32,0.04
59,292,3731608,3583284,148324,135004,0.960251988,800,213,0.26625,22,0.0275
60,297,3731608,3585608,146000,135008,0.960874776,800,247,0.30875,43,0.05375
