Time (sec),Previous Frame (ns),Current Frame (ns),Time Elapsed (ms),Dropped Frame Count
0,171370267239654,171370351427735,84.188081,4
0,171370351427735,171370418568011,67.140276,3
0,171370418568011,171370452373471,33.80546,1
0,171370452373471,171370469134992,16.761521,0
0,171370469134992,171370485896271,16.761279,0
0,171370485896271,171370502657403,16.761132,0
0,171370502657403,171370519418362,16.760959,0
0,171370519418362,171370536179149,16.760787,0
0,171370536179149,171370552940339,16.76119,0
0,171370552940339,171370569701686,16.761347,0
0,171370569701686,171370586462786,16.7611,0
0,171370586462786,171370603223897,16.761111,0
0,171370603223897,171370619985506,16.761609,0
0,171370619985506,171370636746690,16.761184,0
0,171370636746690,171370653508054,16.761364,0
0,171370653508054,171370670269067,16.761013,0
0,171370670269067,171370687030145,16.761078,0
0,171370687030145,171370703791301,16.761156,0
0,171370703791301,171370720552181,16.76088,0
0,171370720552181,171370737313246,16.761065,0
0,171370737313246,171370754074195,16.760949,0
0,171370754074195,171370770835330,16.761135,0
0,171370770835330,171370787596313,16.760983,0
0,171370787596313,171370804357535,16.761222,0
0,171370804357535,171370821118929,16.761394,0
0,171370821118929,171370837880327,16.761398,0
0,171370837880327,171370854641500,16.761173,0
0,171370854641500,171370871402614,16.761114,0
0,171370871402614,171370888163899,16.761285,0
0,171370888163899,171370904925270,16.761371,0
0,171370904925270,171370921686614,16.761344,0
0,171370921686614,171370938447963,16.761349,0
0,171370938447963,171370955209187,16.761224,0
0,171370955209187,171370971970460,16.761273,0
0,171370971970460,171370988731626,16.761166,0
0,171370988731626,171371005492849,16.761223,0
0,171371005492849,171371022254045,16.761196,0
0,171371022254045,171371039015269,16.761224,0
0,171371039015269,171371055776353,16.761084,0
0,171371055776353,171371072537420,16.761067,0
0,171371072537420,171371089298577,16.761157,0
0,171371089298577,171371106059921,16.761344,0
0,171371106059921,171371122821167,16.761246,0
0,171371122821167,171371139582332,16.761165,0
0,171371139582332,171371156343336,16.761004,0
0,171371156343336,171371173104537,16.761201,0
0,171371173104537,171371189865684,16.761147,0
0,171371189865684,171371206626796,16.761112,0
0,171371206626796,171371223387934,16.761138,0
0,171371223387934,171371240149247,16.761313,0
0,171371240149247,171371256910051,16.760804,0
0,171371256910051,171371273671118,16.761067,0
0,171371273671118,171371290432073,16.760955,0
0,171371290432073,171371306766920,16.334847,0
