Num,Time (sec),Raw Mem,Total Mem (kB),Used Mem (kB),Free Mem (kB),Buffer Size (kB),Mem Usage (%),Raw CPU,CPU Total (%),CPU User (%),CPU User Actual (%),CPU System (%),CPU System Actual (%)
1,0, Mem: 3731608k total 3606516k used 125092k free 134780k buffers ,3731608,3606516,125092,134780,, 800%cpu 183%user 10%nice 59%sys 541%idle 0%iow 7%irq 0%sirq 0%host ,800,183,,59,,
2,5, Mem: 3731608k total 3598752k used 132856k free 134784k buffers ,3731608,3598752,132856,134784,, 800%cpu 207%user 14%nice 34%sys 534%idle 0%iow 10%irq 0%sirq 0%host ,800,207,,34,,
3,10, Mem: 3731608k total 3593636k used 137972k free 134788k buffers ,3731608,3593636,137972,134788,, 800%cpu 248%user 0%nice 28%sys 524%idle 0%iow 0%irq 0%sirq 0%host ,800,248,,28,,
4,15, Mem: 3731608k total 3594028k used 137580k free 134788k buffers ,3731608,3594028,137580,134788,, 800%cpu 216%user 0%nice 29%sys 548%idle 0%iow 3%irq 3%sirq 0%host ,800,216,,29,,
5,20, Mem: 3731608k total 3594240k used 137368k free 134788k buffers ,3731608,3594240,137368,134788,, 800%cpu 207%user 3%nice 30%sys 553%idle 0%iow 3%irq 3%sirq 0%host ,800,207,,30,,
6,25, Mem: 3731608k total 3594904k used 136704k free 134788k buffers ,3731608,3594904,136704,134788,, 800%cpu 238%user 0%nice 34%sys 503%idle 0%iow 24%irq 0%sirq 0%host ,800,238,,34,,
7,30, Mem: 3731608k total 3595924k used 135684k free 134788k buffers ,3731608,3595924,135684,134788,, 800%cpu 241%user 10%nice 38%sys 507%idle 0%iow 3%irq 0%sirq 0%host ,800,241,,38,,
8,35, Mem: 3731608k total 3595124k used 136484k free 134788k buffers ,3731608,3595124,136484,134788,, 800%cpu 181%user 0%nice 26%sys 587%idle 0%iow 3%irq 3%sirq 0%host ,800,181,,26,,
9,40, Mem: 3731608k total 3595428k used 136180k free 134788k buffers ,3731608,3595428,136180,134788,, 800%cpu 228%user 0%nice 25%sys 538%idle 0%iow 9%irq 0%sirq 0%host ,800,228,,25,,
10,45, Mem: 3731608k total 3596768k used 134840k free 134816k buffers ,3731608,3596768,134840,134816,, 800%cpu 227%user 3%nice 50%sys 513%idle 0%iow 7%irq 0%sirq 0%host ,800,227,,50,,
11,50, Mem: 3731608k total 3598916k used 132692k free 134816k buffers ,3731608,3598916,132692,134816,, 800%cpu 241%user 0%nice 34%sys 519%idle 0%iow 6%irq 0%sirq 0%host ,800,241,,34,,
12,55, Mem: 3731608k total 3601476k used 130132k free 134816k buffers ,3731608,3601476,130132,134816,, 800%cpu 240%user 0%nice 27%sys 523%idle 0%iow 7%irq 3%sirq 0%host ,800,240,,27,,
13,60, Mem: 3731608k total 3589728k used 141880k free 134816k buffers ,3731608,3589728,141880,134816,, 800%cpu 240%user 3%nice 30%sys 517%idle 3%iow 7%irq 0%sirq 0%host ,800,240,,30,,
14,65, Mem: 3731608k total 3589028k used 142580k free 134816k buffers ,3731608,3589028,142580,134816,, 800%cpu 191%user 3%nice 21%sys 579%idle 0%iow 6%irq 0%sirq 0%host ,800,191,,21,,
15,70, Mem: 3731608k total 3589076k used 142532k free 134816k buffers ,3731608,3589076,142532,134816,, 800%cpu 203%user 0%nice 21%sys 576%idle 0%iow 0%irq 0%sirq 0%host ,800,203,,21,,
16,75, Mem: 3731608k total 3588608k used 143000k free 134816k buffers ,3731608,3588608,143000,134816,, 800%cpu 210%user 0%nice 27%sys 560%idle 0%iow 3%irq 0%sirq 0%host ,800,210,,27,,
17,80, Mem: 3731608k total 3589772k used 141836k free 134816k buffers ,3731608,3589772,141836,134816,, 800%cpu 207%user 0%nice 34%sys 552%idle 0%iow 7%irq 0%sirq 0%host ,800,207,,34,,
18,85, Mem: 3731608k total 3589660k used 141948k free 134816k buffers ,3731608,3589660,141948,134816,, 800%cpu 203%user 0%nice 33%sys 557%idle 0%iow 3%irq 3%sirq 0%host ,800,203,,33,,
19,90, Mem: 3731608k total 3590140k used 141468k free 134816k buffers ,3731608,3590140,141468,134816,, 800%cpu 233%user 0%nice 43%sys 510%idle 0%iow 10%irq 3%sirq 0%host ,800,233,,43,,
20,95, Mem: 3731608k total 3589008k used 142600k free 134816k buffers ,3731608,3589008,142600,134816,, 800%cpu 269%user 0%nice 41%sys 476%idle 3%iow 7%irq 3%sirq 0%host ,800,269,,41,,
21,100, Mem: 3731608k total 3589256k used 142352k free 134816k buffers ,3731608,3589256,142352,134816,, 800%cpu 262%user 0%nice 31%sys 503%idle 0%iow 0%irq 3%sirq 0%host ,800,262,,31,,
22,106, Mem: 3731608k total 3594852k used 136756k free 134832k buffers ,3731608,3594852,136756,134832,, 800%cpu 239%user 0%nice 32%sys 526%idle 0%iow 3%irq 0%sirq 0%host ,800,239,,32,,
23,111, Mem: 3731608k total 3594440k used 137168k free 134836k buffers ,3731608,3594440,137168,134836,, 800%cpu 227%user 3%nice 37%sys 523%idle 0%iow 10%irq 0%sirq 0%host ,800,227,,37,,
24,116, Mem: 3731608k total 3594344k used 137264k free 134840k buffers ,3731608,3594344,137264,134840,, 800%cpu 216%user 3%nice 32%sys 535%idle 0%iow 6%irq 6%sirq 0%host ,800,216,,32,,
25,121, Mem: 3731608k total 3595300k used 136308k free 134844k buffers ,3731608,3595300,136308,134844,, 800%cpu 206%user 3%nice 35%sys 552%idle 0%iow 0%irq 3%sirq 0%host ,800,206,,35,,
26,126, Mem: 3731608k total 3593888k used 137720k free 134844k buffers ,3731608,3593888,137720,134844,, 800%cpu 227%user 0%nice 40%sys 523%idle 3%iow 7%irq 0%sirq 0%host ,800,227,,40,,
27,132, Mem: 3731608k total 3595076k used 136532k free 134844k buffers ,3731608,3595076,136532,134844,, 800%cpu 216%user 0%nice 29%sys 548%idle 0%iow 3%irq 3%sirq 0%host ,800,216,,29,,
28,137, Mem: 3731608k total 3595152k used 136456k free 134844k buffers ,3731608,3595152,136456,134844,, 800%cpu 241%user 0%nice 28%sys 522%idle 0%iow 9%irq 0%sirq 0%host ,800,241,,28,,
29,142, Mem: 3731608k total 3595144k used 136464k free 134844k buffers ,3731608,3595144,136464,134844,, 800%cpu 181%user 0%nice 19%sys 590%idle 0%iow 10%irq 0%sirq 0%host ,800,181,,19,,
30,147, Mem: 3731608k total 3595476k used 136132k free 134844k buffers ,3731608,3595476,136132,134844,, 800%cpu 241%user 3%nice 45%sys 503%idle 0%iow 7%irq 0%sirq 0%host ,800,241,,45,,
31,152, Mem: 3731608k total 3595812k used 135796k free 134844k buffers ,3731608,3595812,135796,134844,, 800%cpu 224%user 0%nice 48%sys 510%idle 0%iow 14%irq 3%sirq 0%host ,800,224,,48,,
32,157, Mem: 3731608k total 3595448k used 136160k free 134844k buffers ,3731608,3595448,136160,134844,, 800%cpu 225%user 0%nice 31%sys 538%idle 0%iow 6%irq 0%sirq 0%host ,800,225,,31,,
33,162, Mem: 3731608k total 3595720k used 135888k free 134844k buffers ,3731608,3595720,135888,134844,, 800%cpu 213%user 0%nice 40%sys 540%idle 0%iow 7%irq 0%sirq 0%host ,800,213,,40,,
34,167, Mem: 3731608k total 3596660k used 134948k free 134844k buffers ,3731608,3596660,134948,134844,, 800%cpu 237%user 0%nice 37%sys 507%idle 0%iow 17%irq 3%sirq 0%host ,800,237,,37,,
35,172, Mem: 3731608k total 3595020k used 136588k free 134844k buffers ,3731608,3595020,136588,134844,, 800%cpu 239%user 0%nice 26%sys 519%idle 0%iow 10%irq 6%sirq 0%host ,800,239,,26,,
36,177, Mem: 3731608k total 3595368k used 136240k free 134844k buffers ,3731608,3595368,136240,134844,, 800%cpu 262%user 0%nice 55%sys 469%idle 0%iow 7%irq 7%sirq 0%host ,800,262,,55,,
37,182, Mem: 3731608k total 3595872k used 135736k free 134844k buffers ,3731608,3595872,135736,134844,, 800%cpu 203%user 0%nice 33%sys 553%idle 0%iow 7%irq 3%sirq 0%host ,800,203,,33,,
38,187, Mem: 3731608k total 3595168k used 136440k free 134844k buffers ,3731608,3595168,136440,134844,, 800%cpu 240%user 0%nice 30%sys 523%idle 0%iow 7%irq 0%sirq 0%host ,800,240,,30,,
39,192, Mem: 3731608k total 3594960k used 136648k free 134844k buffers ,3731608,3594960,136648,134844,, 800%cpu 220%user 3%nice 27%sys 540%idle 0%iow 10%irq 0%sirq 0%host ,800,220,,27,,
40,197, Mem: 3731608k total 3596344k used 135264k free 134844k buffers ,3731608,3596344,135264,134844,, 800%cpu 219%user 0%nice 42%sys 532%idle 0%iow 3%irq 3%sirq 0%host ,800,219,,42,,
41,202, Mem: 3731608k total 3598532k used 133076k free 134856k buffers ,3731608,3598532,133076,134856,, 800%cpu 229%user 0%nice 48%sys 523%idle 0%iow 0%irq 0%sirq 0%host ,800,229,,48,,
42,207, Mem: 3731608k total 3598976k used 132632k free 134856k buffers ,3731608,3598976,132632,134856,, 800%cpu 266%user 3%nice 48%sys 479%idle 0%iow 0%irq 3%sirq 0%host ,800,266,,48,,
43,212, Mem: 3731608k total 3600356k used 131252k free 134856k buffers ,3731608,3600356,131252,134856,, 800%cpu 206%user 3%nice 34%sys 553%idle 0%iow 3%irq 0%sirq 0%host ,800,206,,34,,
44,217, Mem: 3731608k total 3602288k used 129320k free 134856k buffers ,3731608,3602288,129320,134856,, 800%cpu 214%user 3%nice 55%sys 521%idle 0%iow 7%irq 0%sirq 0%host ,800,214,,55,,
45,222, Mem: 3731608k total 3599308k used 132300k free 134856k buffers ,3731608,3599308,132300,134856,, 800%cpu 194%user 0%nice 29%sys 571%idle 0%iow 6%irq 0%sirq 0%host ,800,194,,29,,
46,228, Mem: 3731608k total 3601052k used 130556k free 134856k buffers ,3731608,3601052,130556,134856,, 800%cpu 227%user 0%nice 40%sys 527%idle 0%iow 7%irq 0%sirq 0%host ,800,227,,40,,
47,233, Mem: 3731608k total 3601156k used 130452k free 134856k buffers ,3731608,3601156,130452,134856,, 800%cpu 213%user 0%nice 29%sys 545%idle 0%iow 6%irq 6%sirq 0%host ,800,213,,29,,
48,238, Mem: 3731608k total 3601384k used 130224k free 134856k buffers ,3731608,3601384,130224,134856,, 800%cpu 253%user 3%nice 27%sys 513%idle 0%iow 3%irq 0%sirq 0%host ,800,253,,27,,
49,243, Mem: 3731608k total 3600900k used 130708k free 134860k buffers ,3731608,3600900,130708,134860,, 800%cpu 197%user 3%nice 33%sys 560%idle 0%iow 3%irq 3%sirq 0%host ,800,197,,33,,
50,248, Mem: 3731608k total 3601112k used 130496k free 134860k buffers ,3731608,3601112,130496,134860,, 800%cpu 258%user 0%nice 29%sys 506%idle 0%iow 3%irq 3%sirq 0%host ,800,258,,29,,
51,253, Mem: 3731608k total 3601708k used 129900k free 134860k buffers ,3731608,3601708,129900,134860,, 800%cpu 277%user 0%nice 53%sys 467%idle 0%iow 3%irq 0%sirq 0%host ,800,277,,53,,
52,258, Mem: 3731608k total 3602484k used 129124k free 134860k buffers ,3731608,3602484,129124,134860,, 800%cpu 190%user 3%nice 26%sys 571%idle 0%iow 6%irq 3%sirq 0%host ,800,190,,26,,
53,263, Mem: 3731608k total 3601524k used 130084k free 134868k buffers ,3731608,3601524,130084,134868,, 800%cpu 243%user 0%nice 30%sys 523%idle 0%iow 3%irq 0%sirq 0%host ,800,243,,30,,
54,268, Mem: 3731608k total 3602532k used 129076k free 134868k buffers ,3731608,3602532,129076,134868,, 800%cpu 219%user 0%nice 45%sys 532%idle 0%iow 3%irq 0%sirq 0%host ,800,219,,45,,
55,273, Mem: 3731608k total 3603592k used 128016k free 134868k buffers ,3731608,3603592,128016,134868,, 800%cpu 210%user 0%nice 38%sys 541%idle 0%iow 10%irq 0%sirq 0%host ,800,210,,38,,
56,278, Mem: 3731608k total 3604508k used 127100k free 134868k buffers ,3731608,3604508,127100,134868,, 800%cpu 237%user 0%nice 47%sys 510%idle 0%iow 3%irq 3%sirq 0%host ,800,237,,47,,
57,283, Mem: 3731608k total 3601612k used 129996k free 134868k buffers ,3731608,3601612,129996,134868,, 800%cpu 183%user 3%nice 31%sys 579%idle 0%iow 0%irq 3%sirq 0%host ,800,183,,31,,
58,288, Mem: 3731608k total 3602856k used 128752k free 134868k buffers ,3731608,3602856,128752,134868,, 800%cpu 252%user 0%nice 24%sys 524%idle 0%iow 0%irq 0%sirq 0%host ,800,252,,24,,
59,293, Mem: 3731608k total 3601576k used 130032k free 134868k buffers ,3731608,3601576,130032,134868,, 800%cpu 231%user 0%nice 31%sys 528%idle 0%iow 7%irq 3%sirq 0%host ,800,231,,31,,
60,298, Mem: 3731608k total 3602352k used 129256k free 134868k buffers ,3731608,3602352,129256,134868,, 800%cpu 238%user 0%nice 34%sys 517%idle 0%iow 7%irq 3%sirq 0%host ,800,238,,34,,
