Time (sec),Preproc Start Time (ns),Preproc End Time (ns),Preproc Time Elapsed (ms),Class Start Time (ns),Class End Time (ns),Class Time Elapsed (ms),Result,Confidence
0,0,367877464802611,3.67877464802611E8,367877464805528,367877547116734,82.311206,_silence_,0.0
0,367877625130023,367877580289602,-44.840421,367877580295487,367877640114920,59.819433,_silence_,0.0
0,367877705025864,367877670872788,-34.153076,367877670876434,367877708123209,37.246775,_silence_,0.0
0,367877745165087,367877738596232,-6.568855,367877738598889,367877776540715,37.941826,_silence_,1.2884002
0,367877825056449,367877807708271,-17.348178,367877807712281,367877847292233,39.579952,_silence_,1.1912332
0,367877905019634,367877877795830,-27.223804,367877877799267,367877914162344,36.363077,_silence_,0.94109803
0,367877944885003,367877944674743,-0.21026,367877944678805,367877979560058,34.881253,_silence_,0.7169979
0,367878025010688,367878010017145,-14.993543,367878010020114,367878044830794,34.81068,up,0.3593752
0,367878104988561,367878075301683,-29.686878,367878075304964,367878110070488,34.765524,up,0.36654404
0,367878144901533,367878140525283,-4.37625,367878140529033,367878175665182,35.136149,up,0.35941988
0,367878225021437,367878206105550,-18.915887,367878206108154,367878241118991,35.010837,up,0.4632125
0,367878305005039,367878271555869,-33.44917,367878271559410,367878307664414,36.105004,up,0.4695985
0,367878345020407,367878338103844,-6.916563,367878338107855,367878376626921,38.519066,up,0.55150527
0,367878424994478,367878407299841,-17.694637,367878407303539,367878442540521,35.236982,up,0.46513656
0,367878504990007,367878473024951,-31.965056,367878473028233,367878510394382,37.366149,up,0.44697836
1,367878544887302,367878540825635,-4.061667,367878540829229,367878575859180,35.029951,up,0.5081083
1,367878624978769,367878606284965,-18.693804,367878606288454,367878641846218,35.557764,up,0.55618906
1,367878704951641,367878672251065,-32.700576,367878672254711,367878712573413,40.318702,up,0.54219216
1,367878785133576,367878743294562,-41.839014,367878743300447,367878795921546,52.621099,up,0.53605074
1,367878865463376,367878826361132,-39.102244,367878826364778,367878868750512,42.385734,up,0.6202536
1,367878945113332,367878899366088,-45.747244,367878899374942,367878962530000,63.155058,up,0.5544317
1,367879025278079,367878993264587,-32.013492,367878993268128,367879042971831,49.703703,up,0.5396784
1,367879105249077,367879073376782,-31.872295,367879073379490,367879129630486,56.250996,up,0.57608676
1,367879185157783,367879160198822,-24.958961,367879160209707,367879214060181,53.850474,up,0.52408546
1,367879265203989,367879244474299,-20.72969,367879244478362,367879287726699,43.248337,up,0.68604785
1,367879345066809,367879318480244,-26.586565,367879318497067,367879381991552,63.494485,up,0.5109732
1,367879425375411,367879412410722,-12.964689,367879412414368,367879461173331,48.758963,up,0.5653452
2,367879545630371,367879491581251,-54.04912,367879491584636,367879548723756,57.13912,up,0.4367033
2,367879625167774,367879580120999,-45.046775,367879580138135,367879657828924,77.690789,up,0.46175408
2,367879744927526,367879688689656,-56.23787,367879688694447,367879759956590,71.262143,up,0.48997948
2,367879825522482,367879791753468,-33.769014,367879791759614,367879858347485,66.587871,up,0.43831873
2,367879945345150,367879889171342,-56.173808,367879889176759,367879969414319,80.23756,up,0.33130282
2,367880065301829,367880000006458,-65.295371,367880000009687,367880077086361,77.076674,up,0.3507402
2,367880186232987,367880108939177,-77.29381,367880108946729,367880198012884,89.066155,up,0.36373043
2,367880306326124,367880229262574,-77.06355,367880229280699,367880323949927,94.669228,up,0.31429064
2,367880386580923,367880354915660,-31.665263,367880354920243,367880418730874,63.810631,up,0.34990585
2,367880506855779,367880449741763,-57.114016,367880449760200,367880541360262,91.600062,up,0.36308467
3,367880626453135,367880572911358,-53.541777,367880572931463,367880664393920,91.462457,up,0.3130102
3,367880746737417,367880697212881,-49.524536,367880697217725,367880751807626,54.589901,up,0.32219136
3,367880826626853,367880783350546,-43.276307,367880783356223,367880836342947,52.986724,up,0.29160213
3,367880907206340,367880867297377,-39.908963,367880867301127,367880943858531,76.557404,up,0.29800212
3,367881026615883,367880974958742,-51.657141,367880974975253,367881063959064,88.983811,up,0.22691332
3,367881146518134,367881096039640,-50.478494,367881096045786,367881164574490,68.528704,up,0.2092712
3,367881225143194,367881195038295,-30.104899,367881195041212,367881245776321,50.735109,up,0.26833478
3,367881345513050,367881277322939,-68.190111,367881277332314,367881359296437,81.964123,up,0.17531511
3,367881466968739,367881391190346,-75.778393,367881391198784,367881469124729,77.925945,up,0.21890053
4,367881547579685,367881500570878,-47.008807,367881500590670,367881571886562,71.295892,up,0.30985543
4,367881625674693,367881602328284,-23.346409,367881602332294,367881655500373,53.168079,up,0.3156721
4,367881747463923,367881687349022,-60.114901,367881687368084,367881778564187,91.196103,up,0.25415212
4,367881865690862,367881809793513,-55.897349,367881809811169,367881899189095,89.377926,up,0.32690722
4,367881945039256,367881929890817,-15.148439,367881929893890,367881979025978,49.132088,up,0.3164464
4,367882066645466,367882009765147,-56.880319,367882009769314,367882066979424,57.21011,up,0.3956247
4,367882145635265,367882098953281,-46.681984,367882098973073,367882183492300,84.519227,up,0.40290433
4,367882306568094,367882215786887,-90.781207,367882215807251,367882307877417,92.070166,up,0.490168
4,367882386306956,367882339816482,-46.490474,367882339833253,367882422520345,82.687092,up,0.51503664
4,367882505677957,367882453156702,-52.521255,367882453159827,367882542952232,89.792405,up,0.529327
5,367882625288125,367882573572131,-51.715994,367882573576922,367882652309951,78.733029,up,0.62530446
5,367882745135117,367882683241881,-61.893236,367882683260319,367882767080900,83.820581,up,0.67875755
5,367882866446639,367882798075695,-68.370944,367882798088611,367882878052421,79.96381,up,0.7038493
5,367882944932220,367882908515497,-36.416723,367882908519716,367882955773106,47.25339,up,0.7088376
5,367883025052957,367882986367172,-38.685785,367882986371286,367883045856865,59.485579,up,0.7293354
5,367883105079527,367883076145045,-28.934482,367883076148535,367883135702395,59.55386,up,0.733239
5,367883185125369,367883166320159,-18.80521,367883166325940,367883216074591,49.748651,up,0.77786535
5,367883265071366,367883246385219,-18.686147,367883246389333,367883290592567,44.203234,up,0.69926184
5,367883345228666,367883321034757,-24.193909,367883321042518,367883383953201,62.910683,up,0.7545232
5,367883465086126,367883414591277,-50.494849,367883414604923,367883485763836,71.158913,up,0.73276937
6,367883545134363,367883516121183,-29.01318,367883516124933,367883567962230,51.837297,up,0.742327
6,367883625116350,367883598484004,-26.632346,367883598490931,367883662796979,64.306048,up,0.7693694
6,367883745793550,367883693133805,-52.659745,367883693136565,367883778000584,84.864019,up,0.7328888
6,367883865505020,367883809426056,-56.078964,367883809447254,367883892076845,82.629591,up,0.5873832
6,367883945980132,367883923524244,-22.455888,367883923529557,367883984206073,60.676516,up,0.79112875
6,367884065640561,367884015046076,-50.594485,367884015064670,367884101479106,86.414436,up,0.56774884
6,367884185006197,367884132408223,-52.597974,367884132425411,367884201891720,69.466309,up,0.43007916
6,367884307641522,367884232990056,-74.651466,367884233008911,367884322868867,89.859956,up,0.41231757
6,367884425637680,367884354336683,-71.300997,367884354356266,367884437344973,82.988707,up,0.3781312
7,367884545057379,367884468659142,-76.398237,367884468678361,367884553474515,84.796154,up,0.40004992
7,367884625016554,367884583902123,-41.114431,367884583909518,367884639534837,55.625319,up,0.49947548
7,367884705143958,367884670008694,-35.135264,367884670013069,367884717222188,47.209119,up,0.57064086
7,367884785783705,367884747586722,-38.196983,367884747591045,367884796471988,48.880943,up,0.6748452
7,367884865105744,367884826784907,-38.320837,367884826788553,367884867450172,40.661619,up,0.60119593
7,367884946443773,367884897984550,-48.459223,367884897996529,367884978629662,80.633133,up,0.55676395
7,367885066586389,367885009866592,-56.719797,367885009883675,367885103273633,93.389958,up,0.5767336
7,367885186470620,367885134975511,-51.495109,367885134981969,367885188599058,53.617089,up,0.6089976
7,367885266783545,367885220232915,-46.55063,367885220241717,367885280908442,60.666725,up,0.56506157
7,367885386410901,367885313024331,-73.38657,367885313040685,367885402002152,88.961467,up,0.50707996
7,367885506470808,367885432364759,-74.106049,367885432368405,367885512366955,79.99855,up,0.60185903
8,367885586094410,367885543744302,-42.350108,367885543763833,367885616612382,72.848549,up,0.55931735
