Time (sec),Previous Frame (ns),Current Frame (ns),Time Elapsed (ms),Dropped Frame Count
0,328582339876715,328582424420435,84.54372,4
0,328582424420435,328582541554386,117.133951,6
0,328582541554386,328582558871872,17.317486,0
0,328582558871872,328582592298586,33.426714,1
0,328582592298586,328582609151193,16.852607,0
0,328582609151193,328582625910852,16.759659,0
0,328582625910852,328582642670200,16.759348,0
0,328582642670200,328582659429819,16.759619,0
0,328582659429819,328582676188965,16.759146,0
0,328582676188965,328582692948144,16.759179,0
0,328582692948144,328582709707724,16.75958,0
0,328582709707724,328582726466754,16.75903,0
0,328582726466754,328582743226293,16.759539,0
0,328582743226293,328582759985708,16.759415,0
0,328582759985708,328582776744962,16.759254,0
0,328582776744962,328582793503846,16.758884,0
0,328582793503846,328582810263247,16.759401,0
0,328582810263247,328582827022519,16.759272,0
0,328582827022519,328582843781751,16.759232,0
0,328582843781751,328582860540922,16.759171,0
0,328582860540922,328582877300334,16.759412,0
0,328582877300334,328582894060016,16.759682,0
0,328582894060016,328582910819313,16.759297,0
0,328582910819313,328582927578365,16.759052,0
0,328582927578365,328582944337682,16.759317,0
0,328582944337682,328582961096632,16.75895,0
0,328582961096632,328582977855492,16.75886,0
0,328582977855492,328582994614510,16.759018,0
0,328582994614510,328583011373696,16.759186,0
0,328583011373696,328583028132946,16.75925,0
0,328583028132946,328583044891950,16.759004,0
0,328583044891950,328583061651000,16.75905,0
0,328583061651000,328583078409831,16.758831,0
0,328583078409831,328583095168839,16.759008,0
0,328583095168839,328583111927855,16.759016,0
0,328583111927855,328583128686958,16.759103,0
0,328583128686958,328583145446025,16.759067,0
0,328583145446025,328583162204673,16.758648,0
0,328583162204673,328583178963654,16.758981,0
0,328583178963654,328583195722921,16.759267,0
0,328583195722921,328583212482065,16.759144,0
0,328583212482065,328583229240818,16.758753,0
0,328583229240818,328583245999135,16.758317,0
0,328583245999135,328583262758027,16.758892,0
0,328583262758027,328583279516667,16.75864,0
0,328583279516667,328583296274154,16.757487,0
0,328583296274154,328583313033024,16.75887,0
0,328583313033024,328583329790563,16.757539,0
0,328583329790563,328583346548877,16.758314,0
0,328583346548877,328583363307288,16.758411,0
0,328583363307288,328583380065927,16.758639,0
0,328583380065927,328583396824789,16.758862,0
0,328583396824789,328583413583687,16.758898,0
1,328583413583687,328583430342830,16.759143,0
1,328583430342830,328583447101563,16.758733,0
1,328583447101563,328583463859990,16.758427,0
1,328583463859990,328583480618340,16.75835,0
1,328583480618340,328583497377061,16.758721,0
1,328583497377061,328583514136223,16.759162,0
1,328583514136223,328583530894927,16.758704,0
1,328583530894927,328583547653071,16.758144,0
1,328583547653071,328583564411375,16.758304,0
1,328583564411375,328583581170352,16.758977,0
1,328583581170352,328583597929221,16.758869,0
1,328583597929221,328583614687756,16.758535,0
1,328583614687756,328583631446725,16.758969,0
1,328583631446725,328583648205201,16.758476,0
1,328583648205201,328583664963392,16.758191,0
1,328583664963392,328583681721668,16.758276,0
1,328583681721668,328583698480351,16.758683,0
1,328583698480351,328583715238814,16.758463,0
1,328583715238814,328583731997659,16.758845,0
1,328583731997659,328583748756901,16.759242,0
1,328583748756901,328583765515635,16.758734,0
1,328583765515635,328583782273681,16.758046,0
1,328583782273681,328583799031231,16.75755,0
1,328583799031231,328583815789576,16.758345,0
1,328583815789576,328583832548165,16.758589,0
1,328583832548165,328583849307202,16.759037,0
1,328583849307202,328583866066075,16.758873,0
1,328583866066075,328583882824368,16.758293,0
1,328583882824368,328583899582473,16.758105,0
1,328583899582473,328583916341458,16.758985,0
1,328583916341458,328583933100743,16.759285,0
1,328583933100743,328583949859571,16.758828,0
1,328583949859571,328583966618366,16.758795,0
1,328583966618366,328583983377310,16.758944,0
1,328583983377310,328584000136007,16.758697,0
1,328584000136007,328584016894387,16.75838,0
1,328584016894387,328584033653137,16.75875,0
1,328584033653137,328584050412209,16.759072,0
1,328584050412209,328584067171209,16.759,0
1,328584067171209,328584083929970,16.758761,0
1,328584083929970,328584100688440,16.75847,0
1,328584100688440,328584117447087,16.758647,0
1,328584117447087,328584134206144,16.759057,0
1,328584134206144,328584150964988,16.758844,0
1,328584150964988,328584167723859,16.758871,0
1,328584167723859,328584184482923,16.759064,0
1,328584184482923,328584201241608,16.758685,0
1,328584201241608,328584218000115,16.758507,0
1,328584218000115,328584234758959,16.758844,0
1,328584234758959,328584251517771,16.758812,0
1,328584251517771,328584268276534,16.758763,0
1,328584268276534,328584285035328,16.758794,0
1,328584285035328,328584301794140,16.758812,0
1,328584301794140,328584318552807,16.758667,0
1,328584318552807,328584335311711,16.758904,0
1,328584335311711,328584352070524,16.758813,0
1,328584352070524,328584368828827,16.758303,0
1,328584368828827,328584385587342,16.758515,0
1,328584385587342,328584402343744,16.756402,0
1,328584402343744,328584419093736,16.749992,0
2,328584419093736,328584435848155,16.754419,0
2,328584435848155,328584452606577,16.758422,0
2,328584452606577,328584469362742,16.756165,0
2,328584469362742,328584486118916,16.756174,0
2,328584486118916,328584502877494,16.758578,0
2,328584502877494,328584519633661,16.756167,0
2,328584519633661,328584536389929,16.756268,0
2,328584536389929,328584553148736,16.758807,0
2,328584553148736,328584569908352,16.759616,0
2,328584569908352,328584586668238,16.759886,0
2,328584586668238,328584603428513,16.760275,0
2,328584603428513,328584620187134,16.758621,0
2,328584620187134,328584636946340,16.759206,0
2,328584636946340,328584653705013,16.758673,0
2,328584653705013,328584670464629,16.759616,0
2,328584670464629,328584687223679,16.75905,0
2,328584687223679,328584703981986,16.758307,0
2,328584703981986,328584720740187,16.758201,0
2,328584720740187,328584737499267,16.75908,0
2,328584737499267,328584754254976,16.755709,0
2,328584754254976,328584771013526,16.75855,0
2,328584771013526,328584787769930,16.756404,0
2,328584787769930,328584804526240,16.75631,0
2,328584804526240,328584821283164,16.756924,0
2,328584821283164,328584838039268,16.756104,0
2,328584838039268,328584854796336,16.757068,0
