Timestamp,Attempt No,Result,Time to Preprocess (millis),Time to Classify (millis)
20181113_073853,18,com.archie.tf_speech_mod.RecognizeCommands$RecognitionResult@f8d1204,34,0
20181113_073854,43,com.archie.tf_speech_mod.RecognizeCommands$RecognitionResult@680f015,32,5
20181113_073855,68,com.archie.tf_speech_mod.RecognizeCommands$RecognitionResult@b42dc83,31,6
20181113_073856,93,com.archie.tf_speech_mod.RecognizeCommands$RecognitionResult@d966c48,31,0
20181113_073857,114,com.archie.tf_speech_mod.RecognizeCommands$RecognitionResult@e75ce8d,55,1
20181113_073858,133,com.archie.tf_speech_mod.RecognizeCommands$RecognitionResult@d5daac0,72,0
20181113_073859,152,com.archie.tf_speech_mod.RecognizeCommands$RecognitionResult@4cd708f,54,0
20181113_073900,171,com.archie.tf_speech_mod.RecognizeCommands$RecognitionResult@f4b5caa,68,0
20181113_073901,190,com.archie.tf_speech_mod.RecognizeCommands$RecognitionResult@a149381,57,1
20181113_073902,209,com.archie.tf_speech_mod.RecognizeCommands$RecognitionResult@b754444,55,1
20181113_073903,228,com.archie.tf_speech_mod.RecognizeCommands$RecognitionResult@5fb27e3,58,2
20181113_073904,246,com.archie.tf_speech_mod.RecognizeCommands$RecognitionResult@c394209,32,0
20181113_073905,267,com.archie.tf_speech_mod.RecognizeCommands$RecognitionResult@5603eca,37,5
20181113_073906,286,com.archie.tf_speech_mod.RecognizeCommands$RecognitionResult@2f15c21,46,0
20181113_073907,306,com.archie.tf_speech_mod.RecognizeCommands$RecognitionResult@5a593cd,54,5
20181113_073908,325,com.archie.tf_speech_mod.RecognizeCommands$RecognitionResult@2a93100,70,0
20181113_073909,344,com.archie.tf_speech_mod.RecognizeCommands$RecognitionResult@ebbabcf,48,1
20181113_073910,361,com.archie.tf_speech_mod.RecognizeCommands$RecognitionResult@e79e18c,49,0
20181113_073911,380,com.archie.tf_speech_mod.RecognizeCommands$RecognitionResult@22805cb,38,5
20181113_073912,398,com.archie.tf_speech_mod.RecognizeCommands$RecognitionResult@f6f3031,41,8
20181113_073913,419,com.archie.tf_speech_mod.RecognizeCommands$RecognitionResult@e003052,42,1
20181113_073914,437,com.archie.tf_speech_mod.RecognizeCommands$RecognitionResult@c4fed50,46,1
20181113_073915,454,com.archie.tf_speech_mod.RecognizeCommands$RecognitionResult@5dfe8b9,54,1
20181113_073916,475,com.archie.tf_speech_mod.RecognizeCommands$RecognitionResult@a9d52ba,48,1
20181113_073917,493,com.archie.tf_speech_mod.RecognizeCommands$RecognitionResult@87e13f8,51,1
20181113_073918,512,com.archie.tf_speech_mod.RecognizeCommands$RecognitionResult@6b4b27,36,1
20181113_073919,533,com.archie.tf_speech_mod.RecognizeCommands$RecognitionResult@2e53070,39,1
20181113_073920,553,com.archie.tf_speech_mod.RecognizeCommands$RecognitionResult@5d66bcc,51,1
20181113_073921,575,com.archie.tf_speech_mod.RecognizeCommands$RecognitionResult@5cd1ca6,39,0
20181113_073922,595,com.archie.tf_speech_mod.RecognizeCommands$RecognitionResult@ac476e2,38,0
20181113_073923,617,com.archie.tf_speech_mod.RecognizeCommands$RecognitionResult@942c48c,41,0
20181113_073924,637,com.archie.tf_speech_mod.RecognizeCommands$RecognitionResult@f6f54a8,42,1
20181113_073925,656,com.archie.tf_speech_mod.RecognizeCommands$RecognitionResult@45f4397,83,0
20181113_073926,674,com.archie.tf_speech_mod.RecognizeCommands$RecognitionResult@607c3dd,40,2
20181113_073927,695,com.archie.tf_speech_mod.RecognizeCommands$RecognitionResult@a41b74e,37,2
20181113_073928,713,com.archie.tf_speech_mod.RecognizeCommands$RecognitionResult@921f1ac,81,0
20181113_073929,734,com.archie.tf_speech_mod.RecognizeCommands$RecognitionResult@4229461,39,0
20181113_073930,753,com.archie.tf_speech_mod.RecognizeCommands$RecognitionResult@114baa4,41,1
20181113_073931,772,com.archie.tf_speech_mod.RecognizeCommands$RecognitionResult@7a891c3,41,3
20181113_073932,792,com.archie.tf_speech_mod.RecognizeCommands$RecognitionResult@57760f,45,0
20181113_073933,810,com.archie.tf_speech_mod.RecognizeCommands$RecognitionResult@41be515,41,0
20181113_073934,829,com.archie.tf_speech_mod.RecognizeCommands$RecognitionResult@a0352e8,37,1
20181113_073935,849,com.archie.tf_speech_mod.RecognizeCommands$RecognitionResult@434abc4,45,0
20181113_073936,870,com.archie.tf_speech_mod.RecognizeCommands$RecognitionResult@3b90a19,42,1
20181113_073937,889,com.archie.tf_speech_mod.RecognizeCommands$RecognitionResult@ffa0bbc,53,0
20181113_073938,903,com.archie.tf_speech_mod.RecognizeCommands$RecognitionResult@8e9603e,38,1
