T,Attempt No,Time to Preprocess (millis),Time to Classify (millis),,,,
,14,32,5,,,,37
,39,32,2,,,,34
,65,32,2,,,,34
,86,86,1,,,,87
,109,56,0,,,,56
,132,45,2,,,,47
,153,33,0,,,,33
,169,32,0,,,,32
,189,38,1,,,,39
,206,34,0,,,,34
,226,72,1,,,,73
,246,44,3,,,,47
,264,42,2,,,,44
,282,50,0,,,,50
,301,67,1,,,,68
,319,76,2,,,,78
,340,43,0,,,,43
,359,42,0,,,,42
,378,90,1,,,,91
,398,50,0,,,,50
,417,38,4,,,,42
,439,41,0,,,,41
,457,46,1,,,,47
,475,76,0,,,,76
,495,73,2,,,,75
,514,72,2,,,,74
,533,39,1,,,,40
,549,42,0,,,,42
,568,39,1,,,,40
,587,37,1,,,,38
,607,99,1,,,,100
,625,38,0,,,,38
,643,37,0,,,,37
,662,38,3,,,,41
,681,36,0,,,,36
,702,57,0,,,,57
,721,43,0,,,,43
,742,38,0,,,,38
,760,88,1,,,,89
,782,40,0,,,,40
,802,38,0,,,,38
,825,44,0,,,,44
,845,46,0,,,,46
,864,34,0,,,,34
,885,43,1,,,,44
,906,60,2,,,,62
,929,52,0,,,,52
,952,53,0,,,,53
,972,42,1,,,,43
,993,44,1,,,,45
,1013,38,1,,,,39
,1035,63,0,,,,63
,1055,56,5,,,,61
,1074,41,0,,,,41
,1096,40,4,,,,44
,1116,70,6,,,,76
,1139,37,1,,,,38
,1159,54,0,,,,54
,1179,43,1,,,,44
,1201,42,0,,,,42
,1221,41,1,,,,42
,1240,46,1,,,,47
,1259,48,1,,,,49
,1280,64,0,,,,64
,1300,56,1,,,,57
,1322,77,0,,,,77
,1345,53,1,,,,54
,1365,39,0,,,,39
,1385,38,0,,,,38
,1407,49,1,,,,50
,1426,59,0,,,,59
,1447,44,0,,,,44
,1468,37,6,,,,43
,1487,40,0,,,,40
,1509,39,1,,,,40
,1530,40,0,,,,40
,1551,38,3,,,,41
,1572,42,1,,,,43
,1591,45,0,,,,45
,1610,51,0,,,,51
,1632,37,1,,,,38
,1647,84,1,,,,85
,1667,37,3,,,,40
,1690,39,0,,,,39
,1710,38,1,,,,39
,1732,37,1,,,,38
,1754,36,1,,,,37
,1773,36,2,,,,38
,1792,38,0,,,,38
,1812,40,0,,,,40
,1831,35,1,,,,36
,1851,37,1,,,,38
,1872,34,1,,,,35
,1892,60,0,,,,60
,1914,38,2,,,,40
,1935,38,1,,,,39
,1957,48,0,,,,48
,1977,47,0,,,,47
,1998,39,1,,,,40
,2019,48,0,,,,48
,2039,41,0,,,,41
,2059,56,0,,,,56
,2081,38,1,,,,39
,2102,41,0,,,,41
,2123,55,2,,,,57
,2144,63,1,,,,64
,2166,40,1,,,,41
,2186,34,0,,,,34
,2204,43,0,,,,43
,2225,55,1,,,,56
,2244,53,1,,,,54
,2264,65,1,,,,66
,2285,39,1,,,,40
,2306,39,5,,,,44
,2327,39,0,,,,39
,2347,46,1,,,,47
,2368,38,1,,,,39
,2386,77,1,,,,78
,2404,51,1,,,,52
,2425,41,0,,,,41
,2445,84,0,,,,84
,2467,40,0,,,,40
,2487,40,1,,,,41
,2509,44,1,,,,45
,2528,39,0,,,,39
,2546,41,0,,,,41
,2564,95,0,,,,95
,2583,64,1,,,,65
,2603,41,0,,,,41
,2622,103,0,,,,103
,2642,43,1,,,,44
,2660,43,0,,,,43
,2679,41,0,,,,41
,2695,43,1,,,,44
,2718,39,1,,,,40
,2737,84,0,,,,84
,2755,60,1,,,,61
,2776,45,0,,,,45
,2795,37,1,,,,38
,2817,41,4,,,,45
,2837,40,1,,,,41
,2858,47,0,,,,47
,2876,43,0,,,,43
,2896,76,2,,,,78
,2915,41,0,,,,41
,2933,45,1,,,,46
,2952,48,1,,,,49
,2971,49,1,,,,50
,2990,60,0,,,,60
,3010,58,1,,,,59
,3030,49,1,,,,50
,3051,40,5,,,,45
,3071,42,0,,,,42
,3092,48,1,,,,49
,3109,52,1,,,,53
,3128,37,0,,,,37
,3145,42,0,,,,42
,3163,62,1,,,,63
,3180,50,3,,,,53
,3197,46,0,,,,46
,3216,43,5,,,,48
,3234,44,0,,,,44
,3252,75,0,,,,75
,3269,45,0,,,,45
,3287,51,1,,,,52
,3303,48,1,,,,49
,3321,50,0,,,,50
,3338,38,0,,,,38
,3357,40,1,,,,41
,3374,33,1,,,,34
,3394,56,0,,,,56
,3411,40,0,,,,40
,3431,40,0,,,,40
,3451,58,0,,,,58
,3471,56,0,,,,56
,3491,36,0,,,,36
,3511,57,0,,,,57
,3531,38,1,,,,39
,3551,50,1,,,,51
,3570,45,1,,,,46
,3590,37,1,,,,38
,3612,39,0,,,,39
,3633,47,0,,,,47
,3653,36,0,,,,36
,3673,44,0,,,,44
,3693,70,1,,,,71
,3714,39,1,,,,40
,3734,61,1,,,,62
,3753,94,2,,,,96
,3772,37,2,,,,39
,3790,63,1,,,,64
,3810,40,0,,,,40
,3832,44,2,,,,46
,3851,43,2,,,,45
,3870,83,2,,,,85
,3890,39,0,,,,39
,3907,49,1,,,,50
,3930,37,0,,,,37
,3948,47,1,,,,48
,3967,63,1,,,,64
,3985,62,0,,,,62
,4004,67,0,,,,67
,4022,56,1,,,,57
,4042,40,6,,,,46
,4060,64,1,,,,65
,4076,47,0,,,,47
,4093,64,0,,,,64
,4110,50,1,,,,51
,4125,50,0,,,,50
,4143,78,0,,,,78
,4161,53,0,,,,53
,4180,44,0,,,,44
,4197,48,0,,,,48
,4217,49,0,,,,49
,4236,40,0,,,,40
,4255,53,1,,,,54
,4270,60,1,,,,61
,4288,48,0,,,,48
,4305,46,1,,,,47
,4321,56,0,,,,56
,4337,42,0,,,,42
,4354,60,0,,,,60
,4374,48,1,,,,49
,4392,91,1,,,,92
,4413,40,1,,,,41
,4432,43,1,,,,44
,4453,37,0,,,,37
,4473,40,8,,,,48
,4492,35,5,,,,40
,4512,42,1,,,,43
,4530,44,1,,,,45
,4551,71,0,,,,71
,4572,57,0,,,,57
,4591,44,0,,,,44
,4610,53,0,,,,53
,4631,40,0,,,,40
,4649,63,1,,,,64
,4670,40,0,,,,40
,4690,39,1,,,,40
,4710,45,2,,,,47
,4729,38,1,,,,39
,4750,53,0,,,,53
,4769,45,0,,,,45
,4789,57,1,,,,58
