Num,Time (sec),Total Mem (kB),Used Mem (kB),Free Mem (kB),Buffer Size (kB),Mem Usage (%),CPU Total (%),CPU User (%),CPU User Actual (%),CPU System (%),CPU System Actual (%)
1,0,3731608,3549540,182068,134900,0.951209237,800,267,0.33375,36,0.045
2,6,3731608,3549476,182132,134900,0.951192087,800,370,0.4625,43,0.05375
3,11,3731608,3552768,178840,134912,0.95207428,800,294,0.3675,39,0.04875
4,16,3731608,3552644,178964,134912,0.95204105,800,332,0.415,29,0.03625
5,21,3731608,3554148,177460,134924,0.952444094,800,322,0.4025,25,0.03125
6,26,3731608,3553668,177940,134932,0.952315463,800,327,0.40875,33,0.04125
7,31,3731608,3554624,176984,134932,0.952571653,800,300,0.375,22,0.0275
8,36,3731608,3553224,178384,134932,0.952196479,800,330,0.4125,33,0.04125
9,41,3731608,3551640,179968,134932,0.951771997,800,313,0.39125,39,0.04875
10,47,3731608,3551580,180028,134932,0.951755919,800,410,0.5125,39,0.04875
11,52,3731608,3553740,177868,134932,0.952334758,800,391,0.48875,39,0.04875
12,57,3731608,3551520,180088,134936,0.95173984,800,375,0.46875,44,0.055
13,62,3731608,3554224,177384,134936,0.95246446,800,282,0.3525,21,0.02625
14,67,3731608,3551760,179848,134936,0.951804155,800,306,0.3825,30,0.0375
15,72,3731608,3552932,178676,134952,0.952118229,800,330,0.4125,33,0.04125
16,77,3731608,3551804,179804,134952,0.951815946,800,337,0.42125,27,0.03375
17,82,3731608,3552212,179396,134952,0.951925283,800,278,0.3475,34,0.0425
18,87,3731608,3550692,180916,134952,0.951517952,800,306,0.3825,29,0.03625
19,92,3731608,3549164,182444,134952,0.951108477,800,333,0.41625,33,0.04125
20,97,3731608,3549184,182424,134952,0.951113836,800,271,0.33875,26,0.0325
21,102,3731608,3550528,181080,134952,0.951474003,800,322,0.4025,41,0.05125
22,107,3731608,3551640,179968,134952,0.951771997,800,350,0.4375,34,0.0425
23,112,3731608,3551700,179908,134952,0.951788076,800,377,0.47125,55,0.06875
24,117,3731608,3551796,179812,134952,0.951813803,800,368,0.46,52,0.065
25,122,3731608,3551708,179900,134952,0.95179022,800,318,0.3975,35,0.04375
26,127,3731608,3551248,180360,134952,0.951666949,800,287,0.35875,32,0.04
27,132,3731608,3551384,180224,134952,0.951703394,800,312,0.39,38,0.0475
28,137,3731608,3552792,178816,134956,0.952080712,800,306,0.3825,26,0.0325
29,142,3731608,3551528,180080,134960,0.951741984,800,323,0.40375,27,0.03375
30,147,3731608,3551856,179752,134960,0.951829881,800,289,0.36125,34,0.0425
31,152,3731608,3554640,176968,134960,0.95257594,800,393,0.49125,47,0.05875
32,157,3731608,3552388,179220,134960,0.951972447,800,313,0.39125,35,0.04375
33,162,3731608,3555196,176412,134960,0.952724938,800,303,0.37875,29,0.03625
34,168,3731608,3556240,175368,134960,0.95300471,800,338,0.4225,38,0.0475
35,173,3731608,3556624,174984,134960,0.953107615,800,333,0.41625,30,0.0375
36,178,3731608,3556256,175352,134960,0.953008998,800,344,0.43,34,0.0425
37,183,3731608,3556736,174872,134960,0.953137629,800,290,0.3625,26,0.0325
38,188,3731608,3557760,173848,134960,0.953412041,800,374,0.4675,35,0.04375
39,193,3731608,3558024,173584,134960,0.953482788,800,339,0.42375,42,0.0525
40,198,3731608,3558600,173008,134960,0.953637145,800,281,0.35125,22,0.0275
41,203,3731608,3559084,172524,134964,0.953766848,800,364,0.455,42,0.0525
42,208,3731608,3557244,174364,134964,0.953273763,800,329,0.41125,29,0.03625
43,213,3731608,3556660,174948,134972,0.953117262,800,329,0.41125,26,0.0325
44,218,3731608,3559608,172000,134972,0.95390727,800,282,0.3525,32,0.04
45,223,3731608,3555264,176344,134972,0.952743161,800,297,0.37125,25,0.03125
46,228,3731608,3555548,176060,134972,0.952819267,800,327,0.40875,37,0.04625
47,233,3731608,3552288,179320,134972,0.951945649,800,323,0.40375,39,0.04875
48,239,3731608,3556288,175320,134972,0.953017573,800,331,0.41375,44,0.055
49,244,3731608,3555924,175684,134976,0.952920028,800,339,0.42375,35,0.04375
50,249,3731608,3554716,176892,134976,0.952596307,800,313,0.39125,26,0.0325
51,254,3731608,3555256,176352,134976,0.952741017,800,313,0.39125,26,0.0325
52,259,3731608,3553868,177740,134988,0.952369059,800,271,0.33875,38,0.0475
53,264,3731608,3556588,175020,134996,0.953097967,800,343,0.42875,33,0.04125
54,269,3731608,3557016,174592,135000,0.953212663,800,265,0.33125,26,0.0325
55,274,3731608,3555744,175864,135008,0.952871791,800,306,0.3825,34,0.0425
56,279,3731608,3557152,174456,135008,0.953249109,800,300,0.375,32,0.04
57,284,3731608,3557532,174076,135012,0.953350941,800,306,0.3825,25,0.03125
58,289,3731608,3560288,171320,135016,0.954089497,800,281,0.35125,31,0.03875
59,294,3731608,3559724,171884,135016,0.953938356,800,293,0.36625,40,0.05
60,299,3731608,3557868,173740,135016,0.953440983,800,280,0.35,27,0.03375
