Time (sec),Previous Frame (ns),Current Frame (ns),Time Elapsed (ms),Dropped Frame Count,,Num,FPS,,Min FPS,Max FPS,Avg FPS
0,1.71039E+14,1.7104E+14,100.8302,5,,0,57,,7,60,59.48504983
0,1.7104E+14,1.7104E+14,50.552164,2,,1,60,,,,
0,1.7104E+14,1.7104E+14,16.942137,0,,2,60,,,,
0,1.7104E+14,1.7104E+14,16.758665,0,,3,59,,,,
0,1.7104E+14,1.7104E+14,16.758437,0,,4,60,,,,
0,1.7104E+14,1.7104E+14,16.758213,0,,5,60,,,,
0,1.7104E+14,1.7104E+14,16.758684,0,,6,59,,,,
0,1.7104E+14,1.7104E+14,16.758439,0,,7,60,,,,
0,1.7104E+14,1.7104E+14,16.758652,0,,8,60,,,,
0,1.7104E+14,1.7104E+14,16.758896,0,,9,59,,,,
0,1.7104E+14,1.7104E+14,16.757968,0,,10,60,,,,
0,1.7104E+14,1.7104E+14,16.758413,0,,11,60,,,,
0,1.7104E+14,1.7104E+14,16.758281,0,,12,59,,,,
0,1.7104E+14,1.7104E+14,16.758304,0,,13,60,,,,
0,1.7104E+14,1.7104E+14,16.758444,0,,14,60,,,,
0,1.7104E+14,1.7104E+14,16.757607,0,,15,59,,,,
0,1.7104E+14,1.7104E+14,16.757781,0,,16,60,,,,
0,1.7104E+14,1.7104E+14,16.758547,0,,17,60,,,,
0,1.7104E+14,1.7104E+14,16.758417,0,,18,59,,,,
0,1.7104E+14,1.7104E+14,16.758486,0,,19,60,,,,
0,1.7104E+14,1.7104E+14,16.758604,0,,20,60,,,,
0,1.7104E+14,1.7104E+14,16.758631,0,,21,59,,,,
0,1.7104E+14,1.7104E+14,16.758485,0,,22,60,,,,
0,1.7104E+14,1.7104E+14,16.758253,0,,23,59,,,,
0,1.7104E+14,1.7104E+14,16.758397,0,,24,60,,,,
0,1.7104E+14,1.7104E+14,16.758573,0,,25,60,,,,
0,1.7104E+14,1.7104E+14,16.758442,0,,26,60,,,,
0,1.7104E+14,1.7104E+14,16.758014,0,,27,59,,,,
0,1.7104E+14,1.7104E+14,16.758332,0,,28,60,,,,
0,1.7104E+14,1.7104E+14,16.758585,0,,29,60,,,,
0,1.7104E+14,1.7104E+14,16.758418,0,,30,59,,,,
0,1.7104E+14,1.7104E+14,16.758312,0,,31,60,,,,
0,1.7104E+14,1.7104E+14,16.758393,0,,32,60,,,,
0,1.7104E+14,1.7104E+14,16.758473,0,,33,59,,,,
0,1.7104E+14,1.7104E+14,16.758234,0,,34,60,,,,
0,1.7104E+14,1.7104E+14,16.758392,0,,35,60,,,,
0,1.7104E+14,1.7104E+14,16.758383,0,,36,59,,,,
0,1.7104E+14,1.7104E+14,16.758136,0,,37,60,,,,
0,1.7104E+14,1.7104E+14,16.758086,0,,38,60,,,,
0,1.7104E+14,1.7104E+14,16.758294,0,,39,59,,,,
0,1.7104E+14,1.7104E+14,16.758342,0,,40,60,,,,
0,1.7104E+14,1.7104E+14,16.758368,0,,41,60,,,,
0,1.7104E+14,1.7104E+14,16.758395,0,,42,59,,,,
0,1.7104E+14,1.7104E+14,16.75839,0,,43,60,,,,
0,1.7104E+14,1.7104E+14,16.758317,0,,44,60,,,,
0,1.7104E+14,1.7104E+14,16.758334,0,,45,59,,,,
0,1.7104E+14,1.7104E+14,16.758479,0,,46,60,,,,
0,1.7104E+14,1.7104E+14,16.758404,0,,47,60,,,,
0,1.7104E+14,1.7104E+14,16.75818,0,,48,59,,,,
0,1.7104E+14,1.7104E+14,16.758385,0,,49,60,,,,
0,1.7104E+14,1.7104E+14,16.75834,0,,50,60,,,,
0,1.7104E+14,1.7104E+14,16.758403,0,,51,59,,,,
0,1.7104E+14,1.7104E+14,16.758109,0,,52,60,,,,
0,1.7104E+14,1.7104E+14,16.758404,0,,53,60,,,,
0,1.7104E+14,1.71041E+14,16.758115,0,,54,59,,,,
0,1.71041E+14,1.71041E+14,16.758322,0,,55,60,,,,
0,1.71041E+14,1.71041E+14,16.758289,0,,56,60,,,,
1,1.71041E+14,1.71041E+14,16.758318,0,,57,59,,,,
1,1.71041E+14,1.71041E+14,16.758344,0,,58,60,,,,
