Num,Time (sec),Raw Mem,Total Mem (kB),Used Mem (kB),Free Mem (kB),Buffer Size (kB),Mem Usage (%),Raw CPU,CPU Total (%),CPU User (%),CPU User Actual (%),CPU System (%),CPU System Actual (%)
1,0, Mem: 3731608k total 3438732k used 292876k free 147068k buffers ,3731608,3438732,292876,147068,, 800%cpu 324%user 0%nice 27%sys 442%idle 0%iow 6%irq 0%sirq 0%host ,800,324,,27,,
2,5, Mem: 3731608k total 3440256k used 291352k free 147068k buffers ,3731608,3440256,291352,147068,, 800%cpu 377%user 0%nice 32%sys 387%idle 0%iow 3%irq 0%sirq 0%host ,800,377,,32,,
3,10, Mem: 3731608k total 3438320k used 293288k free 147072k buffers ,3731608,3438320,293288,147072,, 800%cpu 288%user 0%nice 22%sys 481%idle 0%iow 6%irq 3%sirq 0%host ,800,288,,22,,
4,16, Mem: 3731608k total 3437876k used 293732k free 147072k buffers ,3731608,3437876,293732,147072,, 800%cpu 309%user 0%nice 28%sys 459%idle 0%iow 3%irq 0%sirq 0%host ,800,309,,28,,
5,21, Mem: 3731608k total 3437596k used 294012k free 147072k buffers ,3731608,3437596,294012,147072,, 800%cpu 300%user 0%nice 21%sys 468%idle 0%iow 9%irq 3%sirq 0%host ,800,300,,21,,
6,26, Mem: 3731608k total 3436900k used 294708k free 147076k buffers ,3731608,3436900,294708,147076,, 800%cpu 340%user 7%nice 30%sys 417%idle 0%iow 3%irq 3%sirq 0%host ,800,340,,30,,
7,31, Mem: 3731608k total 3436472k used 295136k free 147076k buffers ,3731608,3436472,295136,147076,, 800%cpu 285%user 3%nice 24%sys 485%idle 0%iow 0%irq 3%sirq 0%host ,800,285,,24,,
8,36, Mem: 3731608k total 3431628k used 299980k free 147076k buffers ,3731608,3431628,299980,147076,, 800%cpu 252%user 3%nice 24%sys 521%idle 0%iow 0%irq 0%sirq 0%host ,800,252,,24,,
9,41, Mem: 3731608k total 3430588k used 301020k free 147076k buffers ,3731608,3430588,301020,147076,, 800%cpu 324%user 0%nice 29%sys 435%idle 0%iow 12%irq 0%sirq 0%host ,800,324,,29,,
10,46, Mem: 3731608k total 3431028k used 300580k free 147088k buffers ,3731608,3431028,300580,147088,, 800%cpu 347%user 0%nice 38%sys 409%idle 0%iow 6%irq 0%sirq 0%host ,800,347,,38,,
11,51, Mem: 3731608k total 3431220k used 300388k free 147088k buffers ,3731608,3431220,300388,147088,, 800%cpu 279%user 3%nice 15%sys 503%idle 0%iow 0%irq 0%sirq 0%host ,800,279,,15,,
12,56, Mem: 3731608k total 3430708k used 300900k free 147088k buffers ,3731608,3430708,300900,147088,, 800%cpu 300%user 0%nice 25%sys 469%idle 3%iow 3%irq 0%sirq 0%host ,800,300,,25,,
13,61, Mem: 3731608k total 3430432k used 301176k free 147088k buffers ,3731608,3430432,301176,147088,, 800%cpu 275%user 0%nice 22%sys 503%idle 0%iow 0%irq 0%sirq 0%host ,800,275,,22,,
