,Before Trial 1,Before Trial 2,Before Trial 3,Before Trial 4,Before Trial 5,After Trial 1,After Trial 2,After Trial 3,After Trial 4,After Trial 5
Num,CPU System Actual (%),CPU System Actual (%),CPU System Actual (%),CPU System Actual (%),CPU System Actual (%),CPU System Actual (%),CPU System Actual (%),CPU System Actual (%),CPU System Actual (%),CPU System Actual (%)
1,0.07875,0.08625,0.08125,0.08625,0.07,,,,,
2,0.0625,0.07625,0.07,0.07,0.0625,,,,,
3,0.05875,0.0625,0.07875,0.07,0.07,,,,,
4,0.075,0.0825,0.06875,0.0925,0.0725,,,,,
5,0.07875,0.07,0.07625,0.085,0.09125,,,,,
6,0.05875,0.10125,0.07625,0.0825,0.09125,,,,,
7,0.075,0.07625,0.08625,0.0925,0.0925,,,,,
8,0.0875,0.085,0.0925,0.085,0.07875,,,,,
9,0.07625,0.085,0.06875,0.09,0.07875,,,,,
10,0.07125,0.07875,0.08125,0.07375,0.0825,,,,,
11,0.06625,0.07875,0.06,0.07,0.065,,,,,
12,0.05875,0.08875,0.07625,0.07875,0.07875,,,,,
13,0.0725,0.08125,0.07375,0.07375,0.055,,,,,
14,0.07125,0.07875,0.085,0.06,0.07625,,,,,
15,0.07625,0.05875,0.0625,0.0825,0.0875,,,,,
16,0.05625,0.08625,0.07375,0.0825,0.06875,,,,,
17,0.085,0.08125,0.07375,0.07,0.09875,,,,,
18,0.0875,0.07375,0.08625,0.09,0.08375,,,,,
19,0.065,0.07375,0.08125,0.07875,0.07,,,,,
20,0.07625,0.07375,0.0825,0.06875,0.08,,,,,
21,0.08125,0.0825,0.05875,0.09375,0.0725,,,,,
22,0.0525,0.07875,0.08875,0.06875,0.07375,,,,,
23,0.07625,0.08875,0.07875,0.09,0.105,,,,,
24,0.05375,0.07,0.0825,0.08125,0.0725,,,,,
25,0.05375,0.0825,0.07875,0.0725,0.08625,,,,,
26,0.09625,0.07375,0.08625,0.09,0.0875,,,,,
27,0.0725,0.07875,0.0725,0.07,0.0875,,,,,
28,0.07375,0.0825,0.085,0.08625,0.08375,,,,,
29,0.0825,0.0975,0.0975,0.08125,0.095,,,,,
30,0.0625,0.07875,0.08625,0.08875,0.0725,,,,,
31,0.07625,0.07875,0.10125,0.08875,0.10125,,,,,
32,0.08625,0.08875,0.09,0.0825,0.06625,,,,,
33,0.0625,0.0825,0.0825,0.06625,0.06625,,,,,
34,0.08875,0.0725,0.105,0.10125,0.08625,,,,,
35,0.0825,0.0925,0.0975,0.07625,0.07375,,,,,
36,0.07,0.0925,0.1325,0.0825,0.07625,,,,,
37,0.08125,0.07875,0.10125,0.07,0.08375,,,,,
38,0.0625,0.09,0.11,0.0925,0.08375,,,,,
39,0.09375,0.0625,0.09375,0.0525,0.07375,,,,,
40,0.0725,0.08875,0.0825,0.0925,0.08375,,,,,
41,0.07,0.06,0.0975,0.07625,0.08,,,,,
42,0.0725,0.07875,0.08125,0.085,0.08375,,,,,
43,0.085,0.085,0.08625,0.065,0.0825,,,,,
44,0.065,0.0825,0.10125,0.07625,0.0825,,,,,
45,0.0975,0.06625,0.07375,0.08625,0.06875,,,,,
46,0.0825,0.07375,0.09,0.06625,0.08625,,,,,
47,0.07875,0.06875,0.09375,0.08125,0.095,,,,,
48,0.0725,0.0975,0.10125,0.08875,0.095,,,,,
49,0.08625,0.07625,0.09,0.0825,0.08375,,,,,
50,0.0725,0.07375,0.0975,0.07375,0.1025,,,,,
51,0.07,0.0825,0.09,0.07875,0.08,,,,,
52,0.0725,0.0625,0.0925,0.0625,0.07375,,,,,
53,0.085,0.0825,0.07,0.09,0.08125,,,,,
54,0.07375,0.07,0.08625,0.08625,0.07,,,,,
55,0.06625,0.07875,0.07875,0.08625,0.07625,,,,,
56,0.0825,0.08625,0.08875,0.0825,0.08375,,,,,
57,0.06,0.07875,0.09,0.07625,0.0725,,,,,
58,0.0825,0.06,0.085,0.07875,0.08375,,,,,
59,0.06625,0.08125,0.0725,0.09875,0.0925,,,,,
60,0.06625,0.07,0.09,0.07625,0.08,,,,,
