,Before Trial 1,Before Trial 2,Before Trial 3,Before Trial 4,Before Trial 5,After Trial 1,After Trial 2,After Trial 3,After Trial 4,After Trial 5
Num,CPU User Actual (%),CPU User Actual (%),CPU User Actual (%),CPU User Actual (%),CPU User Actual (%),CPU User Actual (%),CPU User Actual (%),CPU User Actual (%),CPU User Actual (%),CPU User Actual (%)
1,0.3,0.32875,0.26625,0.27375,0.285,,,,,
2,0.325,0.2825,0.28125,0.285,0.26125,,,,,
3,0.26625,0.22625,0.2775,0.25,0.2775,,,,,
4,0.2875,0.31625,0.2625,0.3025,0.3025,,,,,
5,0.24125,0.3125,0.26625,0.27875,0.2575,,,,,
6,0.275,0.2625,0.29875,0.28125,0.295,,,,,
7,0.25375,0.27,0.25375,0.27,0.27625,,,,,
8,0.25375,0.2425,0.3025,0.23375,0.2925,,,,,
9,0.26625,0.33125,0.3025,0.28125,0.23875,,,,,
10,0.25875,0.27,0.27375,0.285,0.26625,,,,,
11,0.25375,0.25,0.3025,0.25375,0.27375,,,,,
12,0.2875,0.26625,0.25375,0.23,0.32375,,,,,
13,0.26625,0.26625,0.26125,0.2925,0.235,,,,,
14,0.24125,0.2775,0.28625,0.27375,0.2875,,,,,
15,0.26625,0.28125,0.22625,0.27375,0.315,,,,,
16,0.2575,0.2975,0.2425,0.25375,0.25,,,,,
17,0.25375,0.27375,0.2775,0.2775,0.28,,,,,
18,0.29625,0.30125,0.24625,0.2775,0.2875,,,,,
19,0.2575,0.25375,0.29875,0.26125,0.2725,,,,,
20,0.2625,0.25375,0.285,0.27875,0.29125,,,,,
21,0.25,0.24625,0.2575,0.305,0.29875,,,,,
22,0.27,0.27,0.26625,0.28375,0.24625,,,,,
23,0.27,0.27,0.23875,0.31625,0.27,,,,,
24,0.27875,0.26625,0.23,0.25375,0.24625,,,,,
25,0.28375,0.25375,0.23,0.26625,0.27,,,,,
26,0.26625,0.30875,0.2425,0.26625,0.3225,,,,,
27,0.30625,0.24625,0.25,0.2975,0.2725,,,,,
28,0.26625,0.28125,0.26625,0.26625,0.29875,,,,,
29,0.285,0.28125,0.285,0.26625,0.27625,,,,,
30,0.25,0.26625,0.28125,0.2825,0.265,,,,,
31,0.27375,0.23,0.23875,0.29,0.3325,,,,,
32,0.305,0.27,0.25375,0.2975,0.2575,,,,,
33,0.30875,0.2225,0.2775,0.2775,0.2225,,,,,
34,0.2625,0.27,0.29375,0.285,0.26625,,,,,
35,0.2925,0.29375,0.27,0.25,0.2425,,,,,
36,0.27375,0.27375,0.26625,0.2775,0.28,,,,,
37,0.25375,0.27,0.2575,0.27,0.2725,,,,,
38,0.26625,0.26125,0.25375,0.2425,0.29125,,,,,
39,0.28875,0.2975,0.3125,0.2575,0.30125,,,,,
40,0.29,0.29375,0.2575,0.25375,0.29125,,,,,
41,0.2225,0.28625,0.24625,0.28625,0.2725,,,,,
42,0.29375,0.26125,0.22625,0.29875,0.28375,,,,,
43,0.2575,0.27,0.2075,0.2825,0.305,,,,,
44,0.26625,0.2575,0.26625,0.2575,0.28875,,,,,
45,0.2575,0.285,0.2775,0.2575,0.28625,,,,,
46,0.24625,0.26125,0.25375,0.30125,0.235,,,,,
47,0.25375,0.31,0.26625,0.29375,0.295,,,,,
48,0.27375,0.2575,0.23,0.29875,0.28,,,,,
49,0.285,0.27,0.26125,0.2575,0.25,,,,,
50,0.27875,0.31625,0.28125,0.27,0.32,,,,,
51,0.25375,0.27375,0.26625,0.24625,0.2875,,,,,
52,0.25,0.27,0.2425,0.30125,0.25375,,,,,
53,0.27375,0.235,0.25375,0.28125,0.3025,,,,,
54,0.235,0.27375,0.2775,0.2575,0.30125,,,,,
55,0.285,0.2425,0.24625,0.215,0.265,,,,,
56,0.285,0.2775,0.2825,0.28875,0.29125,,,,,
57,0.2825,0.26625,0.2925,0.27,0.2875,,,,,
58,0.2775,0.25,0.29375,0.27,0.2875,,,,,
59,0.305,0.2375,0.27875,0.2725,0.29,,,,,
60,0.24625,0.26125,0.3125,0.315,0.31,,,,,
