,Before Trial 1,Before Trial 2,Before Trial 3,Before Trial 4,Before Trial 5,After Trial 1,After Trial 2,After Trial 3,After Trial 4,After Trial 5
Num,Mem Usage (%),Mem Usage (%),Mem Usage (%),Mem Usage (%),Mem Usage (%),Mem Usage (%),Mem Usage (%),Mem Usage (%),Mem Usage (%),Mem Usage (%)
1,0.960290577,0.959860736,0.960196248,0.961486844,0.955357583,0.966267625,0.958460803,0.962029238,0.966840033,0.964684393
2,0.961436464,0.96272706,0.963338057,0.96405839,0.950602528,0.96918433,0.962617724,0.965265376,0.9692122,0.96574667
3,0.955541954,0.95819175,0.957419965,0.959726745,0.952538423,0.96721199,0.955510868,0.968741626,0.965910674,0.968897055
4,0.958600153,0.960638952,0.961244589,0.961784839,0.955425114,0.965850647,0.958679475,0.962406555,0.966373746,0.962630587
5,0.962538402,0.964349953,0.964095907,0.964834463,0.958020242,0.968205664,0.961502923,0.962521251,0.968192801,0.965010258
6,0.956681409,0.957721175,0.958691267,0.959664574,0.95185132,0.970534954,0.955718821,0.962856763,0.971173821,0.968207807
7,0.960707556,0.961078441,0.961973498,0.961698013,0.954549352,0.96492772,0.956664258,0.965308253,0.965143177,0.962570559
8,0.955329713,0.963837574,0.964709048,0.965292174,0.956661043,0.967854073,0.95904393,0.959433038,0.967342765,0.964855901
9,0.958933521,0.958321453,0.959197215,0.960477092,0.951301423,0.970413827,0.954103432,0.962602717,0.970219809,0.967930179
10,0.962743139,0.961288538,0.961887744,0.963422739,0.953822588,0.9643596,0.956912945,0.966085398,0.964929864,0.962739923
11,0.95756789,0.964117346,0.959619553,0.966241899,0.95628051,0.966269769,0.958948528,0.959677437,0.967916244,0.964798017
12,0.960575709,0.958786668,0.959342996,0.960313088,0.94978465,0.968316072,0.960971249,0.963509565,0.97025411,0.968271051
13,0.956299804,0.962379757,0.962017447,0.963596391,0.952593091,0.969093217,0.956036111,0.967255939,0.972496575,0.963078651
14,0.958451156,0.958037393,0.957438188,0.966294423,0.955396172,0.965207492,0.957838015,0.960673254,0.967345981,0.964802305
15,0.962073187,0.959896109,0.959642063,0.957417821,0.948929255,0.968277483,0.960515681,0.96439283,0.969171467,0.967235572
16,0.957170207,0.962891065,0.962493381,0.960510322,0.951197446,0.970821158,0.95489344,0.967700787,0.971720502,0.961299258
17,0.960076192,0.958273216,0.959163985,0.963856868,0.954211696,0.963938334,0.95757325,0.962715269,0.965670563,0.963335913
18,0.956124009,0.960619658,0.95965707,0.957999876,0.956654611,0.967073712,0.95999687,0.965717728,0.968605491,0.965771324
19,0.958485457,0.96295538,0.962888921,0.960722562,0.950142673,0.970430978,0.955081027,0.969410506,0.970849028,0.968246397
20,0.962433353,0.958551916,0.958462947,0.964285638,0.9526424,0.965196773,0.95636412,0.962733492,0.964744421,0.962483734
21,0.956983692,0.960556414,0.960372043,0.95767937,0.955263254,0.967555006,0.958293583,0.966145426,0.967591451,0.965152824
22,0.960817964,0.964089476,0.963228721,0.960544623,0.949262624,0.970353799,0.961050571,0.969624891,0.970121192,0.967876583
23,0.956461665,0.958378265,0.958373977,0.964017657,0.95201318,0.97263271,0.955667369,0.963308043,0.971583296,0.962096769
24,0.958301086,0.961577958,0.962051748,0.956232273,0.954760521,0.965775612,0.959776054,0.96507243,0.96645414,0.964524677
25,0.962140718,0.964688681,0.964458217,0.95966243,0.949124345,0.968507946,0.962358318,0.966319077,0.969064275,0.967269874
26,0.957404958,0.959007484,0.959128612,0.962410843,0.951890981,0.971149167,0.956944031,0.960313088,0.972359369,0.96157367
27,0.960533904,0.962129999,0.962034597,0.953125837,0.95444752,0.965673779,0.958845624,0.963838645,0.966250474,0.963627476
28,0.9634013,0.964515029,0.965534429,0.955881754,0.953952291,0.967939826,0.960428855,0.966592418,0.96766863,0.966179727
29,0.958924946,0.959413743,0.959418031,0.958699842,0.950438524,0.968608707,0.955241815,0.961206,0.970894049,0.969088929
30,0.961375364,0.96303899,0.962251126,0.952959689,0.953423832,0.963419523,0.957855166,0.964492519,0.955287908,0.963275885
31,0.964182733,0.965231075,0.965539789,0.956140088,0.956502398,0.965151752,0.961670143,0.967471396,0.957979509,0.965056351
32,0.956963325,0.960228406,0.959535943,0.952176113,0.950391359,0.967864792,0.964869836,0.962240407,0.960593932,0.968286058
33,0.959783557,0.961813781,0.962857835,0.952357268,0.953602844,0.971063413,0.958586218,0.964938439,0.962978962,0.962341168
34,0.959148978,0.957387807,0.965297534,0.955585903,0.956644964,0.965735951,0.960188744,0.968686957,0.957201292,0.9650392
35,0.957386735,0.958961391,0.959610977,0.950902667,0.950663628,0.968070601,0.962518035,0.962101057,0.959393377,0.967925891
36,0.960779374,0.96193598,0.962878202,0.952929675,0.953546032,0.970583191,0.957528229,0.96594712,0.962859979,0.9622254
37,0.956092923,0.957397454,0.96520642,0.956438082,0.955671657,0.96478301,0.959464124,0.969010679,0.955642715,0.964832319
38,0.957538948,0.959067512,0.960140508,0.950130882,0.950392431,0.966474506,0.962912503,0.962920007,0.958457587,0.966852896
39,0.961006622,0.962682039,0.963005761,0.953333791,0.95218576,0.96882202,0.958144585,0.966247259,0.959646351,0.962012087
40,0.955788497,0.95759576,0.965500128,0.955978227,0.954738011,0.962660601,0.961006622,0.969087857,0.954205265,0.963569593
41,0.958801675,0.960144795,0.960041891,0.950714009,0.949716047,0.965193557,0.964111986,0.963309115,0.956964397,0.966856111
42,0.96128961,0.963023983,0.963180484,0.95340025,0.951144922,0.967970912,0.964011225,0.966442349,0.959307623,0.969642042
43,0.956271934,0.957633278,0.963379862,0.955849596,0.953741122,0.97079972,0.959926123,0.969932533,0.960429927,0.963655346
44,0.959433038,0.960567134,0.960146939,0.951117052,0.956790745,0.964703688,0.960664679,0.963010048,0.95533936,0.965965343
45,0.961440752,0.963105449,0.963960845,0.952461245,0.950295958,0.967296672,0.9631837,0.963431314,0.9577737,0.968290346
