Time (sec),Preproc Start Time (ns),Preproc End Time (ns),Preproc Time Elapsed (ms),Class Start Time (ns),Class End Time (ns),Class Time Elapsed (ms),Result,Confidence,,,Total Proc Time (ms),,Num,Classifications Per Second,,TOTAL Proc Time (ms),, ((TESTING LABEL))
0,1.89E+14,1.89E+14,24.391565,1.89E+14,1.89E+14,233.534815,roses,0.6108014,,,257.92638,,0,4,,235228.0037,,daisy
0,1.89E+14,1.89E+14,3.138438,1.89E+14,1.89E+14,81.011414,roses,0.6089292,,,84.149852,,1,10,,,,
0,1.89E+14,1.89E+14,2.920886,1.89E+14,1.89E+14,86.226467,roses,0.56057787,,,89.147353,,2,10,,Avg Proc Time (ms),, ((DOUBLE CHECK TOTAL CLASSIFICATIONS))
0,1.89E+14,1.89E+14,4.991771,1.89E+14,1.89E+14,84.841467,roses,0.78294563,,,89.833238,,3,10,,78.48782239,,2997
1,1.89E+14,1.89E+14,5.245313,1.89E+14,1.89E+14,68.041413,roses,0.7919597,,,73.286726,,4,10,,,,
1,1.89E+14,1.89E+14,5.459323,1.89E+14,1.89E+14,69.836569,roses,0.78433603,,,75.295892,,5,10,,Avg Class per Sec,,((TOTAL TP CONFIDENCE))
1,1.89E+14,1.89E+14,5.08099,1.89E+14,1.89E+14,70.085788,roses,0.771618,,,75.166778,,6,10,,9.956810631,,0
1,1.89E+14,1.89E+14,5.188854,1.89E+14,1.89E+14,70.42933,roses,0.7608662,,,75.618184,,7,10,,,,
1,1.89E+14,1.89E+14,5.130313,1.89E+14,1.89E+14,73.324018,roses,0.7921225,,,78.454331,,8,10,,Avg TP Confidence,,
1,1.89E+14,1.89E+14,2.924323,1.89E+14,1.89E+14,76.944383,roses,0.7830807,,,79.868706,,9,10,,#DIV/0!,,
1,1.89E+14,1.89E+14,4.995521,1.89E+14,1.89E+14,66.916049,roses,0.7246696,,,71.91157,,10,10,,,,
1,1.89E+14,1.89E+14,2.915626,1.89E+14,1.89E+14,72.541361,roses,0.7910843,,,75.456987,,11,10,,Total Classifications,,
1,1.89E+14,1.89E+14,2.892292,1.89E+14,1.89E+14,72.536309,roses,0.743745,,,75.428601,,12,10,,2997,,
1,1.89E+14,1.89E+14,3.020052,1.89E+14,1.89E+14,75.518914,roses,0.7820054,,,78.538966,,13,10,,,,
2,1.89E+14,1.89E+14,5.232552,1.89E+14,1.89E+14,69.971569,roses,0.7667325,,,75.204121,,14,10,,True Positives,,
2,1.89E+14,1.89E+14,4.822396,1.89E+14,1.89E+14,68.922091,roses,0.7664718,,,73.744487,,15,10,,0,,
2,1.89E+14,1.89E+14,3.682865,1.89E+14,1.89E+14,77.083237,roses,0.7577362,,,80.766102,,16,10,,,,
2,1.89E+14,1.89E+14,3.063855,1.89E+14,1.89E+14,74.638653,roses,0.7736933,,,77.702508,,17,10,,False Negatives,,
2,1.89E+14,1.89E+14,5.238022,1.89E+14,1.89E+14,72.300424,roses,0.778517,,,77.538446,,18,10,,2997,,
2,1.89E+14,1.89E+14,3.018959,1.89E+14,1.89E+14,73.745112,roses,0.7771889,,,76.764071,,19,10,,,,
2,1.89E+14,1.89E+14,9.159012,1.89E+14,1.89E+14,70.897664,roses,0.77581316,,,80.056676,,20,10,,Recall,,
2,1.89E+14,1.89E+14,8.34948,1.89E+14,1.89E+14,84.361623,roses,0.7419401,,,92.711103,,21,10,,0,,
2,1.89E+14,1.89E+14,4.987396,1.89E+14,1.89E+14,71.179382,roses,0.7541529,,,76.166778,,22,10,,,,
2,1.89E+14,1.89E+14,5.215209,1.89E+14,1.89E+14,82.433029,roses,0.7489854,,,87.648238,,23,10,,,,
3,1.89E+14,1.89E+14,2.905833,1.89E+14,1.89E+14,71.471309,roses,0.7630828,,,74.377142,,24,10,,,,
3,1.89E+14,1.89E+14,7.093699,1.89E+14,1.89E+14,73.374383,roses,0.7376066,,,80.468082,,25,10,,,,
3,1.89E+14,1.89E+14,12.845313,1.89E+14,1.89E+14,82.01454,roses,0.74849445,,,94.859853,,26,10,,,,
3,1.89E+14,1.89E+14,2.950365,1.89E+14,1.89E+14,69.368496,roses,0.7812678,,,72.318861,,27,10,,,,
3,1.89E+14,1.89E+14,8.968022,1.89E+14,1.89E+14,84.712248,roses,0.77003706,,,93.68027,,28,10,,,,
3,1.89E+14,1.89E+14,5.00297,1.89E+14,1.89E+14,69.802559,roses,0.7930028,,,74.805529,,29,10,,,,
3,1.89E+14,1.89E+14,10.912553,1.89E+14,1.89E+14,79.160737,roses,0.75363696,,,90.07329,,30,10,,,,
3,1.89E+14,1.89E+14,7.803282,1.89E+14,1.89E+14,71.69907,roses,0.80658776,,,79.502352,,31,10,,,,
3,1.89E+14,1.89E+14,10.107814,1.89E+14,1.89E+14,71.267819,roses,0.7695557,,,81.375633,,32,10,,,,
3,1.89E+14,1.89E+14,3.016042,1.89E+14,1.89E+14,67.482611,roses,0.77652806,,,70.498653,,33,10,,,,
4,1.89E+14,1.89E+14,6.88974,1.89E+14,1.89E+14,77.149174,roses,0.7733762,,,84.038914,,34,10,,,,
4,1.89E+14,1.89E+14,2.889896,1.89E+14,1.89E+14,74.130997,roses,0.73675495,,,77.020893,,35,10,,,,
4,1.89E+14,1.89E+14,3.167657,1.89E+14,1.89E+14,72.275736,roses,0.7704285,,,75.443393,,36,10,,,,
4,1.89E+14,1.89E+14,2.922865,1.89E+14,1.89E+14,76.062872,roses,0.7435836,,,78.985737,,37,10,,,,
4,1.89E+14,1.89E+14,2.929063,1.89E+14,1.89E+14,70.26334,roses,0.81563574,,,73.192403,,38,10,,,,
4,1.89E+14,1.89E+14,7.716459,1.89E+14,1.89E+14,78.994747,roses,0.80677015,,,86.711206,,39,10,,,,
4,1.89E+14,1.89E+14,2.849167,1.89E+14,1.89E+14,75.388497,roses,0.75790817,,,78.237664,,40,10,,,,
4,1.89E+14,1.89E+14,3.131146,1.89E+14,1.89E+14,74.129487,roses,0.76059484,,,77.260633,,41,10,,,,
4,1.89E+14,1.89E+14,2.924948,1.89E+14,1.89E+14,73.62808,roses,0.7859478,,,76.553028,,42,10,,,,
4,1.89E+14,1.89E+14,3.033438,1.89E+14,1.89E+14,71.572143,roses,0.7843405,,,74.605581,,43,10,,,,
5,1.89E+14,1.89E+14,12.034376,1.89E+14,1.89E+14,72.742768,roses,0.7571327,,,84.777144,,44,10,,,,
5,1.89E+14,1.89E+14,8.759376,1.89E+14,1.89E+14,68.613861,roses,0.8009742,,,77.373237,,45,10,,,,
5,1.89E+14,1.89E+14,2.977136,1.89E+14,1.89E+14,68.478341,roses,0.7975111,,,71.455477,,46,10,,,,
5,1.89E+14,1.89E+14,8.827657,1.89E+14,1.89E+14,77.956206,roses,0.7844865,,,86.783863,,47,10,,,,
5,1.89E+14,1.89E+14,2.900053,1.89E+14,1.89E+14,70.120476,roses,0.80914104,,,73.020529,,48,10,,,,
5,1.89E+14,1.89E+14,2.997396,1.89E+14,1.89E+14,74.018913,roses,0.7820092,,,77.016309,,49,10,,,,
5,1.89E+14,1.89E+14,3.057916,1.89E+14,1.89E+14,67.956778,roses,0.7895463,,,71.014694,,50,10,,,,
5,1.89E+14,1.89E+14,3.988021,1.89E+14,1.89E+14,73.661101,roses,0.7861013,,,77.649122,,51,10,,,,
5,1.89E+14,1.89E+14,3.204687,1.89E+14,1.89E+14,71.281621,roses,0.78719944,,,74.486308,,52,10,,,,
5,1.89E+14,1.89E+14,2.916302,1.89E+14,1.89E+14,69.462611,roses,0.73290706,,,72.378913,,53,10,,,,
6,1.89E+14,1.89E+14,6.190834,1.89E+14,1.89E+14,72.264642,roses,0.7198444,,,78.455476,,54,10,,,,
6,1.89E+14,1.89E+14,8.323907,1.89E+14,1.89E+14,71.495372,roses,0.7716094,,,79.819279,,55,10,,,,
6,1.89E+14,1.89E+14,8.092032,1.89E+14,1.89E+14,71.593809,roses,0.7319284,,,79.685841,,56,10,,,,
6,1.89E+14,1.89E+14,8.852188,1.89E+14,1.89E+14,71.201413,roses,0.79350126,,,80.053601,,57,10,,,,
