Time (sec),Preproc Start Time (ns),Preproc End Time (ns),Preproc Time Elapsed (ms),Class Start Time (ns),Class End Time (ns),Class Time Elapsed (ms),Result,Confidence,,,Total Proc Time (ms),,Num,Classifications Per Second,,TOTAL Proc Time (ms),, ((TESTING LABEL))
0,1.8727E+14,1.8727E+14,111.991417,1.8727E+14,1.8727E+14,195.381218,tulips,0.42964825,,,307.372635,,0,2,,264388.1546,,daisy
0,1.8727E+14,1.8727E+14,80.92756,1.8727E+14,1.8727E+14,57.426985,roses,0.37493902,,,138.354545,,1,6,,,,
1,1.8727E+14,1.87271E+14,80.782976,1.87271E+14,1.87271E+14,62.88136,roses,0.6508474,,,143.664336,,2,6,,Avg Proc Time (ms),, ((DOUBLE CHECK TOTAL CLASSIFICATIONS))
1,1.87271E+14,1.87271E+14,81.964331,1.87271E+14,1.87271E+14,59.049224,daisy,0.65197855,,,141.013555,,3,6,,168.0789285,,1573
1,1.87271E+14,1.87271E+14,81.18131,1.87271E+14,1.87271E+14,59.752246,daisy,0.47159433,,,140.933556,,4,6,,,,
1,1.87271E+14,1.87271E+14,81.313185,1.87271E+14,1.87271E+14,61.90287,daisy,0.600966,,,143.216055,,5,6,,Avg Class per Sec,,((TOTAL TP CONFIDENCE))
1,1.87271E+14,1.87271E+14,82.354435,1.87271E+14,1.87271E+14,65.741881,daisy,0.5419722,,,148.096316,,6,5,,5.225913621,,889.8789305
1,1.87271E+14,1.87271E+14,82.127091,1.87271E+14,1.87271E+14,57.236776,daisy,0.4830586,,,139.363867,,7,6,,,,
2,1.87271E+14,1.87272E+14,81.723393,1.87272E+14,1.87272E+14,64.352299,daisy,0.4790924,,,146.075692,,8,6,,Avg TP Confidence,,
2,1.87272E+14,1.87272E+14,82.467977,1.87272E+14,1.87272E+14,65.17334,daisy,0.44701803,,,147.641317,,9,6,,0.59404468,,
2,1.87272E+14,1.87272E+14,81.831883,1.87272E+14,1.87272E+14,63.012038,daisy,0.49492222,,,144.843921,,10,6,,,,
2,1.87272E+14,1.87272E+14,84.672977,1.87272E+14,1.87272E+14,61.393287,roses,0.47055498,,,146.066264,,11,6,,Total Classifications,,
2,1.87272E+14,1.87272E+14,84.510738,1.87272E+14,1.87272E+14,61.755214,daisy,0.42859602,,,146.265952,,12,6,,1573,,
2,1.87272E+14,1.87272E+14,83.555581,1.87272E+14,1.87272E+14,91.174488,daisy,0.4292993,,,174.730069,,13,6,,,,
3,1.87273E+14,1.87273E+14,82.585373,1.87273E+14,1.87273E+14,68.738652,roses,0.45020536,,,151.324025,,14,6,,True Positives,,
3,1.87273E+14,1.87273E+14,84.703186,1.87273E+14,1.87273E+14,59.956933,daisy,0.39345807,,,144.660119,,15,6,,1498,,
3,1.87273E+14,1.87273E+14,91.054332,1.87273E+14,1.87273E+14,69.853392,daisy,0.45200613,,,160.907724,,16,6,,,,
3,1.87273E+14,1.87273E+14,83.305737,1.87273E+14,1.87273E+14,71.021622,roses,0.49980024,,,154.327359,,17,6,,False Negatives,,
3,1.87273E+14,1.87273E+14,83.348498,1.87273E+14,1.87273E+14,59.062037,roses,0.41479963,,,142.410535,,18,6,,75,,
3,1.87273E+14,1.87273E+14,86.040321,1.87273E+14,1.87274E+14,87.740946,daisy,0.4893839,,,173.781267,,19,6,,,,
4,1.87274E+14,1.87274E+14,84.466362,1.87274E+14,1.87274E+14,66.929382,daisy,0.49341956,,,151.395744,,20,6,,Recall,,
4,1.87274E+14,1.87274E+14,104.957302,1.87274E+14,1.87274E+14,63.366621,daisy,0.5877667,,,168.323923,,21,6,,0.952320407,,
4,1.87274E+14,1.87274E+14,88.977456,1.87274E+14,1.87274E+14,67.451153,daisy,0.55976677,,,156.428609,,22,6,,,,
4,1.87274E+14,1.87274E+14,82.093029,1.87274E+14,1.87274E+14,64.850892,roses,0.4521046,,,146.943921,,23,6,,,,
4,1.87274E+14,1.87274E+14,83.131154,1.87274E+14,1.87274E+14,60.251569,daisy,0.43574154,,,143.382723,,24,6,,,,
4,1.87274E+14,1.87274E+14,87.978082,1.87274E+14,1.87275E+14,73.72058,daisy,0.50659925,,,161.698662,,25,6,,,,
5,1.87275E+14,1.87275E+14,80.450008,1.87275E+14,1.87275E+14,66.702714,daisy,0.43826172,,,147.152722,,26,6,,,,
5,1.87275E+14,1.87275E+14,83.000165,1.87275E+14,1.87275E+14,60.560527,daisy,0.48769304,,,143.560692,,27,6,,,,
5,1.87275E+14,1.87275E+14,89.291467,1.87275E+14,1.87275E+14,67.879017,daisy,0.65190995,,,157.170484,,28,6,,,,
5,1.87275E+14,1.87275E+14,83.278341,1.87275E+14,1.87275E+14,59.088756,daisy,0.5489269,,,142.367097,,29,5,,,,
5,1.87275E+14,1.87275E+14,97.655999,1.87275E+14,1.87275E+14,62.197715,daisy,0.47795072,,,159.853714,,30,6,,,,
5,1.87275E+14,1.87275E+14,82.998602,1.87275E+14,1.87276E+14,60.847506,daisy,0.6075776,,,143.846108,,31,6,,,,
6,1.87276E+14,1.87276E+14,83.855945,1.87276E+14,1.87276E+14,60.053287,daisy,0.6064568,,,143.909232,,32,6,,,,
6,1.87276E+14,1.87276E+14,85.41256,1.87276E+14,1.87276E+14,64.807715,daisy,0.61811244,,,150.220275,,33,6,,,,
6,1.87276E+14,1.87276E+14,82.717196,1.87276E+14,1.87276E+14,69.810424,daisy,0.47274214,,,152.52762,,34,6,,,,
6,1.87276E+14,1.87276E+14,84.567456,1.87276E+14,1.87276E+14,83.216362,daisy,0.53259027,,,167.783818,,35,6,,,,
6,1.87276E+14,1.87276E+14,95.255009,1.87276E+14,1.87276E+14,69.578965,daisy,0.48776585,,,164.833974,,36,6,,,,
7,1.87276E+14,1.87277E+14,86.383966,1.87277E+14,1.87277E+14,62.24959,daisy,0.60359013,,,148.633556,,37,6,,,,
7,1.87277E+14,1.87277E+14,84.069696,1.87277E+14,1.87277E+14,59.573547,daisy,0.5976433,,,143.643243,,38,6,,,,
7,1.87277E+14,1.87277E+14,96.54751,1.87277E+14,1.87277E+14,64.538548,daisy,0.5112062,,,161.086058,,39,6,,,,
7,1.87277E+14,1.87277E+14,83.330425,1.87277E+14,1.87277E+14,65.557298,daisy,0.60886663,,,148.887723,,40,6,,,,
7,1.87277E+14,1.87277E+14,84.291311,1.87277E+14,1.87277E+14,60.496465,daisy,0.54761267,,,144.787776,,41,6,,,,
7,1.87277E+14,1.87277E+14,89.174384,1.87277E+14,1.87277E+14,67.525111,daisy,0.68265146,,,156.699495,,42,5,,,,
8,1.87277E+14,1.87278E+14,83.231675,1.87278E+14,1.87278E+14,62.757298,daisy,0.4719128,,,145.988973,,43,6,,,,
8,1.87278E+14,1.87278E+14,86.198237,1.87278E+14,1.87278E+14,66.588028,daisy,0.45558262,,,152.786265,,44,6,,,,
8,1.87278E+14,1.87278E+14,82.139747,1.87278E+14,1.87278E+14,63.008704,daisy,0.47434983,,,145.148451,,45,6,,,,
8,1.87278E+14,1.87278E+14,85.685373,1.87278E+14,1.87278E+14,57.05787,daisy,0.57471234,,,142.743243,,46,6,,,,
8,1.87278E+14,1.87278E+14,82.442248,1.87278E+14,1.87278E+14,59.67162,daisy,0.56072855,,,142.113868,,47,6,,,,
8,1.87278E+14,1.87278E+14,89.07553,1.87278E+14,1.87278E+14,65.388965,daisy,0.522433,,,154.464495,,48,6,,,,
