Time (sec),Preproc Start Time (ns),Preproc End Time (ns),Preproc Time Elapsed (ms),Class Start Time (ns),Class End Time (ns),Class Time Elapsed (ms),Result,Confidence
0,186864766448905,186864853356934,86.908029,186864853674486,186865004024397,150.349911,roses,0.42063358
0,186865008628981,186865070540497,61.911516,186865070612424,186865120469565,49.857141,roses,0.48673433
0,186865141222744,186865204008063,62.785319,186865204096657,186865249488901,45.392244,roses,0.5008737
0,186865274014945,186865336699638,62.684693,186865336805680,186865381007403,44.201723,roses,0.5741524
1,186865407914854,186865470225537,62.310683,186865470325589,186865522152678,51.827089,roses,0.4931147
1,186865540935805,186865603642061,62.706256,186865603743050,186865652703628,48.960578,roses,0.54550385
1,186865673787589,186865736312439,62.52485,186865736398012,186865780226037,43.828025,roses,0.50525385
1,186865807100362,186865871288442,64.18808,186865871395473,186865922595634,51.200161,roses,0.5986793
1,186865941045532,186866004332882,63.28735,186866004428247,186866050339293,45.911046,roses,0.50425047
1,186866073703826,186866137083989,63.380163,186866137176072,186866180243108,43.067036,roses,0.5468815
1,186866206980611,186866268979367,61.998756,186866269065408,186866319720413,50.655005,roses,0.46573135
2,186866340979270,186866403862870,62.8836,186866403963807,186866452051833,48.088026,roses,0.48864052
2,186866474299752,186866537750279,63.450527,186866537853300,186866582935752,45.082452,roses,0.56174463
2,186866606688880,186866668740032,62.051152,186866668815032,186866715061495,46.246463,roses,0.5966242
2,186866739832434,186866810246192,70.413758,186866810354317,186866874907188,64.552871,roses,0.58170456
2,186866906756826,186866987697563,80.940737,186866987817668,186867054705487,66.887819,roses,0.52847457
2,186867073244916,186867153524559,80.279643,186867153647319,186867214190763,60.543444,roses,0.46694282
2,186867239934099,186867316306086,76.371987,186867316389107,186867374072862,57.683755,roses,0.6370392
3,186867375053592,186867450590266,75.536674,186867450852193,186867506878448,56.026255,roses,0.49958444
3,186867540070275,186867623380075,83.3098,186867623495856,186867693087269,69.591413,roses,0.6357457
3,186867707496593,186867786602070,79.105477,186867786694622,186867848058951,61.364329,roses,0.4410819
3,186867873096193,186867950495732,77.399539,186867950692555,186868014450166,63.757611,daisy,0.4396576
3,186868040528762,186868118832103,78.303341,186868118942780,186868182782474,63.839694,roses,0.59286094
3,186868207466852,186868284202380,76.735528,186868284304515,186868344942751,60.638236,roses,0.5422222
4,186868373470774,186868458625262,85.154488,186868458737241,186868517896622,59.159381,roses,0.5887415
4,186868540019124,186868617692882,77.673758,186868617798872,186868669277575,51.478703,roses,0.6654372
4,186868673100440,186868752647635,79.547195,186868752763937,186868814520089,61.756152,roses,0.52565134
4,186868839159154,186868917115360,77.956206,186868917313953,186868976658282,59.344329,roses,0.48617446
4,186869006257556,186869088578814,82.321258,186869088702773,186869155484706,66.781933,roses,0.6024584
4,186869172813094,186869250711955,77.898861,186869250816955,186869309150763,58.333808,roses,0.63389605
5,186869338790506,186869417223535,78.433029,186869417332493,186869475389009,58.056516,roses,0.51669925
5,186869506048439,186869586736729,80.68829,186869586839854,186869649086839,62.246985,roses,0.54374623
5,186869672373925,186869750219766,77.845841,186869750319766,186869809921334,59.601568,roses,0.52415174
5,186869839948316,186869921066762,81.118446,186869921168585,186869976280569,55.111984,roses,0.56315535
5,186870005501822,186870088067924,82.566102,186870088166622,186870144192930,56.026308,roses,0.53821903
5,186870172695745,186870260515910,87.820165,186870260624400,186870320918520,60.29412,roses,0.6500385
6,186870339441908,186870420629207,81.187299,186870420739103,186870477327234,56.588131,roses,0.52891153
6,186870505278747,186870580350005,75.071258,186870580489640,186870635745010,55.25537,roses,0.49300337
6,186870639947511,186870714923403,74.975892,186870715025435,186870772193617,57.168182,roses,0.61328703
6,186870773974816,186870850338469,76.363653,186870850440969,186870919112851,68.671882,roses,0.50324893
6,186870938562280,186871016953017,78.390737,186871017053694,186871072805470,55.751776,roses,0.6368414
6,186871105148651,186871191445326,86.296675,186871191587930,186871253712624,62.124694,roses,0.5654011
6,186871271545386,186871348746904,77.201518,186871348848206,186871410988108,62.139902,roses,0.5485581
7,186871438627173,186871520506400,81.879227,186871520603744,186871579027083,58.423339,roses,0.73131853
7,186871604528961,186871685749125,81.220164,186871685856625,186871748233038,62.376413,roses,0.61777043
7,186871771257154,186871850518985,79.261831,186871850614454,186871914705710,64.091256,roses,0.6853491
7,186871937814046,186872015306658,77.492612,186872015401918,186872073683018,58.2811,roses,0.7110268
7,186872104345521,186872184213602,79.868081,186872184307456,186872244496420,60.188964,roses,0.76427394
7,186872271261111,186872348164660,76.903549,186872348283983,186872413823156,65.539173,roses,0.60450774
8,186872437551388,186872518605771,81.054383,186872518766396,186872575804735,57.038339,roses,0.4984651
8,186872604264633,186872688505944,84.241311,186872688601673,186872770422827,81.821154,roses,0.52663106
8,186872771977462,186872848455699,76.478237,186872848554137,186872911941643,63.387506,roses,0.6555051
8,186872937419927,186873018930716,81.510789,186873019028685,186873075477284,56.448599,roses,0.6015585
8,186873105133121,186873184722087,79.588966,186873184813962,186873247988864,63.174902,roses,0.58203346
8,186873271014856,186873348399291,77.384435,186873348514812,186873410037109,61.522297,daisy,0.41934338
9,186873437514404,186873522230298,84.715894,186873522332068,186873580675720,58.343652,daisy,0.5156001
9,186873604874212,186873691492033,86.617821,186873691714169,186873756077769,64.3636,daisy,0.5945494
9,186873771282614,186873847175747,75.893133,186873847270538,186873908797888,61.52735,daisy,0.65198535
9,186873937236537,186874015495191,78.258654,186874015592274,186874077860093,62.267819,daisy,0.48972476
9,186874103926762,186874189273437,85.346675,186874189375052,186874246024276,56.649224,daisy,0.56456155
9,186874270165945,186874349256786,79.090841,186874349357307,186874412886688,63.529381,daisy,0.5325374
10,186874437297264,186874514220396,76.923132,186874514316334,186874576898059,62.581725,daisy,0.4883868
10,186874603290301,186874688198487,84.908186,186874688296872,186874752317035,64.020163,daisy,0.5292433
10,186874770169589,186874849491419,79.32183,186874849594857,186874906130800,56.535943,daisy,0.5855347
10,186874939215908,186875027134198,87.91829,186875027217635,186875082524828,55.307193,daisy,0.6254477
10,186875104335091,186875186510359,82.175268,186875186605724,186875247344897,60.739173,daisy,0.5393203
10,186875270005680,186875347021157,77.015477,186875347112146,186875414513507,67.401361,daisy,0.49342135
11,186875436870020,186875518044663,81.174643,186875518142163,186875575432586,57.290423,daisy,0.48178083
11,186875603054463,186875684177857,81.123394,186875684263846,186875750123801,65.859955,roses,0.4370443
11,186875769618074,186875845473602,75.855528,186875845546467,186875901847201,56.300734,roses,0.4478791
11,186875903560952,186875980480907,76.919955,186875980570647,186876042090653,61.520006,daisy,0.48483878
11,186876069569926,186876148317122,78.747196,186876148408997,186876210819680,62.410683,daisy,0.53674114
11,186876237069370,186876313802242,76.732872,186876313895315,186876375053186,61.157871,roses,0.4577854
12,186876403683918,186876485602520,81.918602,186876485693041,186876549156901,63.46386,daisy,0.48908442
12,186876570124143,186876649665609,79.541466,186876649743057,186876713001449,63.258392,daisy,0.44942278
12,186876736344003,186876816134011,79.790008,186876816236199,186876881288497,65.052298,daisy,0.5149924
12,186876903184593,186876987036893,83.8523,186876987132414,186877049914607,62.782193,daisy,0.60319036
12,186877069587214,186877145401388,75.814174,186877145497482,186877205987123,60.489641,daisy,0.5296908
