Time (sec),Preproc Start Time (ns),Preproc End Time (ns),Preproc Time Elapsed (ms),Class Start Time (ns),Class End Time (ns),Class Time Elapsed (ms),Result,Confidence
0,172235312732061,172235329621854,16.889793,172235329952375,172235471209733,141.257358,daisy, 0.47052023
0,172235477479213,172235479516400,2.037187,172235479593588,172235530402030,50.808442,daisy, 0.5501088
0,172235544392969,172235546393699,2.00073,172235546473542,172235595958443,49.484901,daisy, 0.7142175
0,172235609981882,172235612469695,2.487813,172235612545268,172235676181993,63.636725,daisy, 0.703003
0,172235678311681,172235680267827,1.956146,172235680346681,172235738953510,58.606829,daisy, 0.80293506
0,172235744410177,172235749462417,5.05224,172235749595959,172235798219974,48.624015,daisy, 0.8020069
0,172235810417579,172235815521486,5.103907,172235815632580,172235864615293,48.982713,daisy, 0.78682566
0,172235876633940,172235883514045,6.880105,172235883624201,172235934346602,50.722401,daisy, 0.7362933
1,172235943129728,172235945104155,1.974427,172235945180613,172235996450150,51.269537,daisy, 0.7519837
1,172236009700516,172236011679839,1.979323,172236011769110,172236058293698,46.524588,daisy, 0.70110303
1,172236075880626,172236077790262,1.909636,172236077863179,172236127506934,49.643755,daisy, 0.75016975
1,172236142751258,172236149077092,6.325834,172236149186988,172236198302149,49.115161,daisy, 0.7132857
1,172236212131942,172236214083244,1.951302,172236214173557,172236261717051,47.543494,daisy, 0.739097
1,172236277089605,172236279008980,1.919375,172236279082105,172236333557631,54.475526,daisy, 0.7569726
1,172236342722268,172236347733362,5.011094,172236347835237,172236400719669,52.884432,daisy, 0.7600151
1,172236409865139,172236411832483,1.967344,172236412054462,172236462024936,49.970474,daisy, 0.7550928
1,172236475994156,172236477914208,1.920052,172236478010562,172236529306192,51.29563,daisy, 0.7622224
1,172236542800048,172236544700152,1.900104,172236544769007,172236592489063,47.720056,daisy, 0.73914814
1,172236609334169,172236611233024,1.898855,172236611358284,172236665286050,53.927766,daisy, 0.7456619
1,172236676023447,172236681030478,5.007031,172236681132301,172236730925483,49.793182,daisy, 0.7448391
1,172236742701005,172236744700433,1.999428,172236744774443,172236794989604,50.215161,daisy, 0.74828696
1,172236809277002,172236811164814,1.887812,172236811233148,172236863790549,52.557401,daisy, 0.75380355
1,172236875531435,172236880452842,4.921407,172236880561175,172236928240347,47.679172,daisy, 0.74089533
2,172236942746807,172236944667744,1.920937,172236944733734,172236995674885,50.941151,daisy, 0.7289608
2,172237009066605,172237010992803,1.926198,172237011070251,172237057602235,46.531984,daisy, 0.7485169
2,172237075628955,172237077705778,2.076823,172237077778643,172237125319012,47.540369,daisy, 0.7260342
2,172237142521879,172237144439795,1.917916,172237144507712,172237194252040,49.744328,daisy, 0.7602989
2,172237209015166,172237214016625,5.001459,172237214188032,172237260068505,45.880473,daisy, 0.7486608
2,172237275838923,172237280821684,4.982761,172237280924288,172237345354086,64.429798,daisy, 0.7350971
2,172237376312319,172237379746746,3.434427,172237379855079,172237448515086,68.660007,daisy, 0.75669247
2,172237476378787,172237478947797,2.56901,172237479032902,172237544080929,65.048027,daisy, 0.7368577
2,172237576402651,172237579361714,2.959063,172237579449578,172237657434638,77.98506,daisy, 0.74342555
2,172237675677140,172237678023338,2.346198,172237678103911,172237736365740,58.261829,daisy, 0.74675626
2,172237742426678,172237744689543,2.262865,172237744767876,172237799197309,54.429433,daisy, 0.71838766
2,172237809809705,172237815075123,5.265418,172237815183768,172237876528098,61.34433,daisy, 0.76431245
3,172237910824872,172237923708467,12.883595,172237923867790,172237988978734,65.110944,daisy, 0.73460126
3,172238009718684,172238012056965,2.338281,172238012140090,172238066941762,54.801672,daisy, 0.73323
3,172238075776555,172238078045670,2.269115,172238078118638,172238133527029,55.408391,daisy, 0.71934944
3,172238142156561,172238149198125,7.041564,172238149312291,172238216067715,66.755424,daisy, 0.731215
3,172238242356571,172238244726415,2.369844,172238244798551,172238314657725,69.859174,daisy, 0.7280445
3,172238342572571,172238344912415,2.339844,172238344981998,172238410092317,65.110319,daisy, 0.7039856
3,172238442502008,172238444801435,2.299427,172238444877529,172238499949201,55.071672,daisy, 0.7084384
3,172238509320713,172238516854984,7.534271,172238516966859,172238571982073,55.015214,daisy, 0.74241436
3,172238576745980,172238579034157,2.288177,172238579123011,172238637148486,58.025475,daisy, 0.7477098
3,172238642855674,172238645150257,2.294583,172238645224841,172238705123649,59.898808,daisy, 0.68479264
3,172238709241149,172238711532920,2.291771,172238711616306,172238767922249,56.305943,daisy, 0.73427826
3,172238775273135,172238777514333,2.241198,172238777584854,172238832575849,54.990995,daisy, 0.7248316
3,172238842178298,172238844419913,2.241615,172238844491059,172238899746272,55.255213,daisy, 0.70690054
3,172238909512940,172238911993357,2.480417,172238912070597,172238972533675,60.463078,daisy, 0.7122815
4,172238975285915,172238982386072,7.100157,172238982495291,172239039786651,57.29136,daisy, 0.72812223
4,172239043295818,172239045568787,2.272969,172239045643526,172239103269730,57.626204,daisy, 0.7549675
4,172239108599366,172239110888689,2.289323,172239111167439,172239170007862,58.840423,daisy, 0.7481522
4,172239175287550,172239177672706,2.385156,172239177751092,172239232842920,55.091828,daisy, 0.71428955
4,172239242880577,172239245268078,2.387501,172239245351359,172239299289906,53.938547,daisy, 0.69427496
4,172239311093501,172239313408084,2.314583,172239313486522,172239371380226,57.893704,daisy, 0.72155595
4,172239375179236,172239377550539,2.371303,172239377639966,172239433402315,55.762349,daisy, 0.7213388
4,172239441671431,172239443946066,2.274635,172239444066691,172239497860082,53.793391,daisy, 0.69210374
4,172239508085916,172239512962115,4.876199,172239513064615,172239573365662,60.301047,daisy, 0.71487266
4,172239574921183,172239577460090,2.538907,172239577533527,172239634557543,57.024016,daisy, 0.7270558
