Time (sec),Previous Frame (ns),Current Frame (ns),Time Elapsed (ms),Dropped Frame Count
0,108153676507410,108153710285980,33.77857,1
0,108153710285980,108153893797246,183.511266,10
0,108153893797246,108153928107598,34.310352,2
0,108153928107598,108153961616458,33.50886,1
0,108153961616458,108153978459175,16.842717,0
0,108153978459175,108153995213993,16.754818,0
0,108153995213993,108154011969053,16.75506,0
0,108154011969053,108154028723795,16.754742,0
0,108154028723795,108154045478396,16.754601,0
0,108154045478396,108154062232911,16.754515,0
0,108154062232911,108154078987681,16.75477,0
0,108154078987681,108154095742177,16.754496,0
0,108154095742177,108154112496225,16.754048,0
0,108154112496225,108154129250616,16.754391,0
0,108154129250616,108154146005157,16.754541,0
0,108154146005157,108154162759451,16.754294,0
0,108154162759451,108154179513805,16.754354,0
0,108154179513805,108154196267961,16.754156,0
0,108154196267961,108154213021896,16.753935,0
0,108154213021896,108154229776077,16.754181,0
0,108154229776077,108154246530129,16.754052,0
0,108154246530129,108154263283967,16.753838,0
0,108154263283967,108154280038320,16.754353,0
0,108154280038320,108154296792506,16.754186,0
0,108154296792506,108154313546310,16.753804,0
0,108154313546310,108154330300337,16.754027,0
0,108154330300337,108154347054711,16.754374,0
0,108154347054711,108154363808130,16.753419,0
0,108154363808130,108154380562203,16.754073,0
0,108154380562203,108154397316128,16.753925,0
0,108154397316128,108154414070014,16.753886,0
0,108154414070014,108154430823959,16.753945,0
0,108154430823959,108154447578009,16.75405,0
0,108154447578009,108154464331697,16.753688,0
0,108154464331697,108154481085488,16.753791,0
0,108154481085488,108154497839313,16.753825,0
0,108154497839313,108154514593114,16.753801,0
0,108154514593114,108154531346895,16.753781,0
0,108154531346895,108154548100182,16.753287,0
0,108154548100182,108154564853992,16.75381,0
0,108154564853992,108154581607938,16.753946,0
0,108154581607938,108154598361705,16.753767,0
0,108154598361705,108154615115396,16.753691,0
0,108154615115396,108154631868801,16.753405,0
0,108154631868801,108154648622687,16.753886,0
0,108154648622687,108154665376400,16.753713,0
0,108154665376400,108154682130330,16.75393,0
0,108154682130330,108154698884133,16.753803,0
0,108154698884133,108154715637037,16.752904,0
1,108154715637037,108154732390520,16.753483,0
1,108154732390520,108154749144360,16.75384,0
1,108154749144360,108154765897641,16.753281,0
1,108154765897641,108154782650720,16.753079,0
1,108154782650720,108154799404472,16.753752,0
1,108154799404472,108154816158292,16.75382,0
1,108154816158292,108154832912008,16.753716,0
1,108154832912008,108154849665804,16.753796,0
1,108154849665804,108154866419475,16.753671,0
1,108154866419475,108154883173304,16.753829,0
1,108154883173304,108154899927040,16.753736,0
1,108154899927040,108154916680269,16.753229,0
1,108154916680269,108154933434030,16.753761,0
1,108154933434030,108154950187595,16.753565,0
1,108154950187595,108154966941162,16.753567,0
1,108154966941162,108154983694640,16.753478,0
1,108154983694640,108155000448184,16.753544,0
1,108155000448184,108155017202009,16.753825,0
1,108155017202009,108155033955725,16.753716,0
1,108155033955725,108155050709425,16.7537,0
1,108155050709425,108155067463073,16.753648,0
1,108155067463073,108155084216845,16.753772,0
1,108155084216845,108155100970967,16.754122,0
1,108155100970967,108155117724404,16.753437,0
1,108155117724404,108155134478096,16.753692,0
1,108155134478096,108155151231798,16.753702,0
1,108155151231798,108155167985564,16.753766,0
1,108155167985564,108155184739210,16.753646,0
1,108155184739210,108155201492875,16.753665,0
1,108155201492875,108155218246554,16.753679,0
1,108155218246554,108155235000338,16.753784,0
1,108155235000338,108155251753770,16.753432,0
1,108155251753770,108155268507002,16.753232,0
1,108155268507002,108155285260654,16.753652,0
1,108155285260654,108155302014363,16.753709,0
1,108155302014363,108155318767570,16.753207,0
1,108155318767570,108155335521052,16.753482,0
1,108155335521052,108155352274682,16.75363,0
1,108155352274682,108155369028103,16.753421,0
1,108155369028103,108155385781218,16.753115,0
1,108155385781218,108155402535247,16.754029,0
1,108155402535247,108155419289099,16.753852,0
1,108155419289099,108155436042845,16.753746,0
1,108155436042845,108155452796423,16.753578,0
1,108155452796423,108155469550113,16.75369,0
1,108155469550113,108155486303752,16.753639,0
1,108155486303752,108155503057457,16.753705,0
1,108155503057457,108155519810503,16.753046,0
1,108155519810503,108155536564013,16.75351,0
1,108155536564013,108155553317706,16.753693,0
1,108155553317706,108155570071266,16.75356,0
1,108155570071266,108155586824866,16.7536,0
1,108155586824866,108155603578707,16.753841,0
1,108155603578707,108155620332459,16.753752,0
1,108155620332459,108155637085694,16.753235,0
1,108155637085694,108155653839177,16.753483,0
1,108155653839177,108155670592937,16.75376,0
1,108155670592937,108155687346470,16.753533,0
1,108155687346470,108155704099813,16.753343,0
1,108155704099813,108155720853170,16.753357,0
2,108155720853170,108155737606995,16.753825,0
2,108155737606995,108155754360488,16.753493,0
2,108155754360488,108155771113862,16.753374,0
2,108155771113862,108155787867244,16.753382,0
2,108155787867244,108155804620973,16.753729,0
2,108155804620973,108155821374403,16.75343,0
2,108155821374403,108155838127975,16.753572,0
2,108155838127975,108155854881602,16.753627,0
2,108155854881602,108155871635291,16.753689,0
2,108155871635291,108155888388680,16.753389,0
2,108155888388680,108155905142097,16.753417,0
2,108155905142097,108155921895524,16.753427,0
2,108155921895524,108155938648928,16.753404,0
2,108155938648928,108155955402235,16.753307,0
2,108155955402235,108155972155357,16.753122,0
2,108155972155357,108155988908629,16.753272,0
2,108155988908629,108156005661958,16.753329,0
2,108156005661958,108156022415132,16.753174,0
2,108156022415132,108156039168178,16.753046,0
2,108156039168178,108156055920893,16.752715,0
2,108156055920893,108156072673090,16.752197,0
2,108156072673090,108156089426443,16.753353,0
2,108156089426443,108156106179732,16.753289,0
2,108156106179732,108156122931476,16.751744,0
2,108156122931476,108156139683635,16.752159,0
2,108156139683635,108156156436351,16.752716,0
2,108156156436351,108156173189308,16.752957,0
2,108156173189308,108156189942019,16.752711,0
2,108156189942019,108156206694735,16.752716,0
2,108156206694735,108156223446165,16.75143,0
2,108156223446165,108156240198525,16.75236,0
2,108156240198525,108156256951014,16.752489,0
2,108156256951014,108156273704329,16.753315,0
2,108156273704329,108156290457922,16.753593,0
2,108156290457922,108156307211163,16.753241,0
2,108156307211163,108156323963662,16.752499,0
2,108156323963662,108156340716437,16.752775,0
2,108156340716437,108156357468162,16.751725,0
2,108156357468162,108156374221542,16.75338,0
2,108156374221542,108156390974646,16.753104,0
2,108156390974646,108156407727267,16.752621,0
2,108156407727267,108156424480436,16.753169,0
2,108156424480436,108156441233968,16.753532,0
2,108156441233968,108156457987240,16.753272,0
2,108156457987240,108156474740545,16.753305,0
2,108156474740545,108156491494036,16.753491,0
2,108156491494036,108156508247725,16.753689,0
2,108156508247725,108156525001174,16.753449,0
2,108156525001174,108156541754546,16.753372,0
2,108156541754546,108156558507867,16.753321,0
2,108156558507867,108156575261432,16.753565,0
2,108156575261432,108156592014815,16.753383,0
2,108156592014815,108156608767981,16.753166,0
2,108156608767981,108156625520616,16.752635,0
2,108156625520616,108156642273955,16.753339,0
2,108156642273955,108156659025902,16.751947,0
2,108156659025902,108156675778175,16.752273,0
2,108156675778175,108156692531434,16.753259,0
2,108156692531434,108156709284626,16.753192,0
3,108156709284626,108156726037753,16.753127,0
3,108156726037753,108156742791021,16.753268,0
3,108156742791021,108156759544054,16.753033,0
3,108156759544054,108156776297418,16.753364,0
3,108156776297418,108156793050545,16.753127,0
3,108156793050545,108156809804135,16.75359,0
3,108156809804135,108156826557222,16.753087,0
3,108156826557222,108156843309916,16.752694,0
3,108156843309916,108156860063594,16.753678,0
3,108156860063594,108156876817439,16.753845,0
3,108156876817439,108156893570993,16.753554,0
3,108156893570993,108156910324251,16.753258,0
3,108156910324251,108156927077813,16.753562,0
3,108156927077813,108156943831005,16.753192,0
3,108156943831005,108156960584046,16.753041,0
3,108156960584046,108156977337795,16.753749,0
3,108156977337795,108156994091179,16.753384,0
3,108156994091179,108157010843631,16.752452,0
3,108157010843631,108157027595764,16.752133,0
3,108157027595764,108157044348868,16.753104,0
3,108157044348868,108157061102547,16.753679,0
3,108157061102547,108157077855650,16.753103,0
3,108157077855650,108157094609137,16.753487,0
3,108157094609137,108157111362816,16.753679,0
3,108157111362816,108157128115942,16.753126,0
3,108157128115942,108157144869617,16.753675,0
3,108157144869617,108157161623152,16.753535,0
3,108157161623152,108157178376710,16.753558,0
3,108157178376710,108157195130350,16.75364,0
3,108157195130350,108157211884000,16.75365,0
3,108157211884000,108157228637153,16.753153,0
3,108157228637153,108157245390526,16.753373,0
3,108157245390526,108157262143594,16.753068,0
3,108157262143594,108157278897179,16.753585,0
3,108157278897179,108157295650667,16.753488,0
3,108157295650667,108157312403170,16.752503,0
3,108157312403170,108157329155416,16.752246,0
3,108157329155416,108157345908763,16.753347,0
3,108157345908763,108157362662463,16.7537,0
3,108157362662463,108157379416276,16.753813,0
3,108157379416276,108157396169621,16.753345,0
3,108157396169621,108157412922343,16.752722,0
3,108157412922343,108157429675223,16.75288,0
3,108157429675223,108157446428900,16.753677,0
3,108157446428900,108157463181664,16.752764,0
3,108157463181664,108157479934505,16.752841,0
3,108157479934505,108157496688061,16.753556,0
3,108157496688061,108157513441761,16.7537,0
3,108157513441761,108157530195028,16.753267,0
3,108157530195028,108157546948151,16.753123,0
3,108157546948151,108157563701706,16.753555,0
3,108157563701706,108157580454751,16.753045,0
3,108157580454751,108157597208261,16.75351,0
3,108157597208261,108157613961582,16.753321,0
3,108157613961582,108157630714979,16.753397,0
3,108157630714979,108157647468554,16.753575,0
3,108157647468554,108157664222027,16.753473,0
3,108157664222027,108157680975218,16.753191,0
3,108157680975218,108157697728133,16.752915,0
3,108157697728133,108157714481544,16.753411,0
4,108157714481544,108157731234532,16.752988,0
4,108157731234532,108157747987832,16.7533,0
4,108157747987832,108157764741098,16.753266,0
4,108157764741098,108157781494436,16.753338,0
4,108157781494436,108157798247532,16.753096,0
4,108157798247532,108157815000089,16.752557,0
4,108157815000089,108157831753356,16.753267,0
4,108157831753356,108157848506729,16.753373,0
4,108157848506729,108157865259893,16.753164,0
4,108157865259893,108157882012981,16.753088,0
4,108157882012981,108157898766644,16.753663,0
4,108157898766644,108157915520600,16.753956,0
4,108157915520600,108157932274224,16.753624,0
4,108157932274224,108157949027623,16.753399,0
4,108157949027623,108157965781780,16.754157,0
4,108157965781780,108157982535205,16.753425,0
4,108157982535205,108157999288067,16.752862,0
4,108157999288067,108158016041665,16.753598,0
4,108158016041665,108158032794540,16.752875,0
4,108158032794540,108158049547218,16.752678,0
4,108158049547218,108158066300429,16.753211,0
4,108158066300429,108158083053870,16.753441,0
4,108158083053870,108158099807336,16.753466,0
4,108158099807336,108158116560301,16.752965,0
4,108158116560301,108158133313654,16.753353,0
4,108158133313654,108158150066889,16.753235,0
4,108158150066889,108158166820227,16.753338,0
4,108158166820227,108158183573129,16.752902,0
4,108158183573129,108158200326893,16.753764,0
4,108158200326893,108158217080349,16.753456,0
4,108158217080349,108158233833477,16.753128,0
4,108158233833477,108158250586937,16.75346,0
4,108158250586937,108158267340562,16.753625,0
4,108158267340562,108158284093791,16.753229,0
4,108158284093791,108158300847277,16.753486,0
4,108158300847277,108158317600920,16.753643,0
4,108158317600920,108158334353814,16.752894,0
4,108158334353814,108158351106899,16.753085,0
4,108158351106899,108158367860944,16.754045,0
4,108158367860944,108158384614610,16.753666,0
4,108158384614610,108158401368619,16.754009,0
4,108158401368619,108158417694905,16.326286,0
4,108158417694905,108158434448616,16.753711,0
4,108158434448616,108158451202095,16.753479,0
4,108158451202095,108158467955899,16.753804,0
4,108158467955899,108158484709398,16.753499,0
4,108158484709398,108158501458325,16.748927,0
4,108158501458325,108158518210201,16.751876,0
4,108158518210201,108158534963670,16.753469,0
4,108158534963670,108158551715890,16.75222,0
4,108158551715890,108158568468218,16.752328,0
4,108158568468218,108158585221070,16.752852,0
4,108158585221070,108158601974191,16.753121,0
4,108158601974191,108158618726924,16.752733,0
4,108158618726924,108158635479446,16.752522,0
4,108158635479446,108158652232143,16.752697,0
4,108158652232143,108158668984922,16.752779,0
4,108158668984922,108158685737382,16.75246,0
4,108158685737382,108158702490627,16.753245,0
4,108158702490627,108158719243117,16.75249,0
5,108158719243117,108158735995458,16.752341,0
5,108158735995458,108158752747852,16.752394,0
5,108158752747852,108158769500269,16.752417,0
5,108158769500269,108158786252968,16.752699,0
5,108158786252968,108158803005793,16.752825,0
5,108158803005793,108158819758187,16.752394,0
5,108158819758187,108158836510723,16.752536,0
5,108158836510723,108158853263260,16.752537,0
5,108158853263260,108158870015390,16.75213,0
5,108158870015390,108158886767869,16.752479,0
5,108158886767869,108158903520318,16.752449,0
5,108158903520318,108158920272268,16.75195,0
5,108158920272268,108158937023845,16.751577,0
5,108158937023845,108158953775856,16.752011,0
5,108158953775856,108158970528334,16.752478,0
5,108158970528334,108158987280936,16.752602,0
5,108158987280936,108159004033436,16.7525,0
5,108159004033436,108159020785512,16.752076,0
5,108159020785512,108159037538049,16.752537,0
5,108159037538049,108159054290883,16.752834,0
5,108159054290883,108159071043577,16.752694,0
5,108159071043577,108159087796100,16.752523,0
5,108159087796100,108159104548549,16.752449,0
5,108159104548549,108159121300994,16.752445,0
5,108159121300994,108159138053577,16.752583,0
5,108159138053577,108159154805684,16.752107,0
5,108159154805684,108159171557979,16.752295,0
5,108159171557979,108159188310386,16.752407,0
5,108159188310386,108159205062726,16.75234,0
5,108159205062726,108159221815058,16.752332,0
5,108159221815058,108159238567195,16.752137,0
5,108159238567195,108159255318953,16.751758,0
5,108159255318953,108159272071274,16.752321,0
5,108159272071274,108159288823759,16.752485,0
5,108159288823759,108159305576152,16.752393,0
5,108159305576152,108159322328360,16.752208,0
5,108159322328360,108159339080824,16.752464,0
5,108159339080824,108159355833055,16.752231,0
5,108159355833055,108159372584998,16.751943,0
5,108159372584998,108159389337326,16.752328,0
5,108159389337326,108159406089700,16.752374,0
5,108159406089700,108159422841920,16.75222,0
5,108159422841920,108159439594589,16.752669,0
5,108159439594589,108159456346268,16.751679,0
5,108159456346268,108159473098058,16.75179,0
5,108159473098058,108159489850196,16.752138,0
5,108159489850196,108159506602355,16.752159,0
5,108159506602355,108159523354863,16.752508,0
5,108159523354863,108159540107654,16.752791,0
5,108159540107654,108159556860314,16.75266,0
5,108159556860314,108159573613231,16.752917,0
5,108159573613231,108159590365841,16.75261,0
5,108159590365841,108159607118333,16.752492,0
5,108159607118333,108159623869434,16.751101,0
5,108159623869434,108159640621561,16.752127,0
5,108159640621561,108159657373900,16.752339,0
5,108159657373900,108159674126298,16.752398,0
5,108159674126298,108159690879103,16.752805,0
5,108159690879103,108159707631748,16.752645,0
6,108159707631748,108159724383563,16.751815,0
6,108159724383563,108159741135824,16.752261,0
6,108159741135824,108159757888237,16.752413,0
6,108159757888237,108159774640863,16.752626,0
6,108159774640863,108159791393578,16.752715,0
6,108159791393578,108159808145105,16.751527,0
6,108159808145105,108159824896525,16.75142,0
6,108159824896525,108159841648663,16.752138,0
6,108159841648663,108159858400981,16.752318,0
6,108159858400981,108159875153406,16.752425,0
6,108159875153406,108159891905386,16.75198,0
6,108159891905386,108159908658127,16.752741,0
6,108159908658127,108159925410409,16.752282,0
6,108159925410409,108159942161648,16.751239,0
6,108159942161648,108159958914278,16.75263,0
6,108159958914278,108159975667123,16.752845,0
6,108159975667123,108159992419701,16.752578,0
6,108159992419701,108160009172239,16.752538,0
6,108160009172239,108160025924271,16.752032,0
6,108160025924271,108160042676259,16.751988,0
6,108160042676259,108160059427830,16.751571,0
6,108160059427830,108160076180082,16.752252,0
6,108160076180082,108160092932338,16.752256,0
6,108160092932338,108160109684021,16.751683,0
6,108160109684021,108160126435927,16.751906,0
6,108160126435927,108160143187983,16.752056,0
6,108160143187983,108160159939644,16.751661,0
6,108160159939644,108160176691616,16.751972,0
6,108160176691616,108160193443865,16.752249,0
6,108160193443865,108160210196454,16.752589,0
6,108160210196454,108160226949022,16.752568,0
6,108160226949022,108160243701910,16.752888,0
6,108160243701910,108160260454045,16.752135,0
6,108160260454045,108160277206680,16.752635,0
6,108160277206680,108160293958921,16.752241,0
6,108160293958921,108160310711542,16.752621,0
6,108160310711542,108160327463849,16.752307,0
6,108160327463849,108160344215510,16.751661,0
6,108160344215510,108160360967151,16.751641,0
6,108160360967151,108160377719696,16.752545,0
6,108160377719696,108160394472037,16.752341,0
6,108160394472037,108160411224202,16.752165,0
6,108160411224202,108160427976037,16.751835,0
6,108160427976037,108160444727918,16.751881,0
6,108160444727918,108160461480528,16.75261,0
6,108160461480528,108160478233533,16.753005,0
6,108160478233533,108160494985686,16.752153,0
6,108160494985686,108160511737904,16.752218,0
6,108160511737904,108160528489464,16.75156,0
6,108160528489464,108160545241807,16.752343,0
6,108160545241807,108160561994283,16.752476,0
6,108160561994283,108160578746744,16.752461,0
6,108160578746744,108160595499254,16.75251,0
6,108160595499254,108160612251239,16.751985,0
6,108160612251239,108160629003044,16.751805,0
6,108160629003044,108160645755459,16.752415,0
6,108160645755459,108160662507447,16.751988,0
6,108160662507447,108160679260002,16.752555,0
6,108160679260002,108160696012792,16.75279,0
6,108160696012792,108160712765882,16.75309,0
7,108160712765882,108160729518336,16.752454,0
7,108160729518336,108160746270525,16.752189,0
7,108160746270525,108160763022783,16.752258,0
7,108160763022783,108160779774856,16.752073,0
7,108160779774856,108160796526450,16.751594,0
7,108160796526450,108160813278473,16.752023,0
7,108160813278473,108160830030684,16.752211,0
7,108160830030684,108160846782749,16.752065,0
7,108160846782749,108160863534783,16.752034,0
7,108160863534783,108160880287163,16.75238,0
7,108160880287163,108160897039553,16.75239,0
7,108160897039553,108160913792046,16.752493,0
7,108160913792046,108160930544433,16.752387,0
7,108160930544433,108160947296685,16.752252,0
7,108160947296685,108160964049088,16.752403,0
7,108160964049088,108160980801463,16.752375,0
7,108160980801463,108160997553226,16.751763,0
7,108160997553226,108161014305761,16.752535,0
7,108161014305761,108161031058182,16.752421,0
7,108161031058182,108161047810738,16.752556,0
7,108161047810738,108161064562931,16.752193,0
7,108161064562931,108161081315353,16.752422,0
7,108161081315353,108161098067667,16.752314,0
7,108161098067667,108161114819654,16.751987,0
7,108161114819654,108161131571509,16.751855,0
7,108161131571509,108161148323496,16.751987,0
7,108161148323496,108161165075891,16.752395,0
7,108161165075891,108161181827957,16.752066,0
7,108161181827957,108161198580399,16.752442,0
7,108161198580399,108161215332792,16.752393,0
7,108161215332792,108161232085423,16.752631,0
7,108161232085423,108161248838114,16.752691,0
7,108161248838114,108161265590713,16.752599,0
7,108161265590713,108161282342428,16.751715,0
7,108161282342428,108161299094933,16.752505,0
7,108161299094933,108161315847492,16.752559,0
7,108161315847492,108161332600280,16.752788,0
7,108161332600280,108161349352779,16.752499,0
7,108161349352779,108161366105196,16.752417,0
7,108161366105196,108161382857858,16.752662,0
7,108161382857858,108161399610197,16.752339,0
7,108161399610197,108161416362763,16.752566,0
7,108161416362763,108161433115521,16.752758,0
7,108161433115521,108161449867956,16.752435,0
7,108161449867956,108161466620499,16.752543,0
7,108161466620499,108161483372254,16.751755,0
7,108161483372254,108161500124512,16.752258,0
7,108161500124512,108161516876860,16.752348,0
7,108161516876860,108161533629449,16.752589,0
7,108161533629449,108161550381979,16.75253,0
7,108161550381979,108161567134527,16.752548,0
7,108161567134527,108161583886901,16.752374,0
7,108161583886901,108161600638697,16.751796,0
7,108161600638697,108161617389239,16.750542,0
7,108161617389239,108161634141429,16.75219,0
7,108161634141429,108161650894126,16.752697,0
7,108161650894126,108161667646572,16.752446,0
7,108161667646572,108161684398976,16.752404,0
7,108161684398976,108161701151476,16.7525,0
7,108161701151476,108161717903596,16.75212,0
8,108161717903596,108161734655512,16.751916,0
8,108161734655512,108161751405888,16.750376,0
8,108161751405888,108161768158230,16.752342,0
8,108161768158230,108161784911118,16.752888,0
8,108161784911118,108161801663873,16.752755,0
8,108161801663873,108161818416386,16.752513,0
8,108161818416386,108161835167483,16.751097,0
8,108161835167483,108161851919684,16.752201,0
8,108161851919684,108161868671998,16.752314,0
8,108161868671998,108161885424360,16.752362,0
8,108161885424360,108161902177094,16.752734,0
8,108161902177094,108161918930010,16.752916,0
8,108161918930010,108161935683011,16.753001,0
8,108161935683011,108161952435129,16.752118,0
8,108161952435129,108161969187734,16.752605,0
8,108161969187734,108161985940283,16.752549,0
8,108161985940283,108162002692982,16.752699,0
