Time (sec),Previous Frame (ns),Current Frame (ns),Time Elapsed (ms),Dropped Frame Count,,,Num,FPS,Min FPS
0,1.13E+14,1.13E+14,33.670031,1,,,0,47,47
0,1.13E+14,1.13E+14,183.500715,10,,,1,60,
0,1.13E+14,1.13E+14,84.249469,4,,,2,59,Max FPS
0,1.13E+14,1.13E+14,17.081069,0,,,3,60,60
0,1.13E+14,1.13E+14,16.749508,0,,,4,60,
0,1.13E+14,1.13E+14,16.74954,0,,,5,60,Avg FPS
0,1.13E+14,1.13E+14,16.749299,0,,,6,59,59.59800664
0,1.13E+14,1.13E+14,16.748998,0,,,7,60,
0,1.13E+14,1.13E+14,16.749231,0,,,8,60,
0,1.13E+14,1.13E+14,16.749404,0,,,9,59,
0,1.13E+14,1.13E+14,16.749414,0,,,10,60,
0,1.13E+14,1.13E+14,16.749496,0,,,11,60,
0,1.13E+14,1.13E+14,16.749357,0,,,12,59,
0,1.13E+14,1.13E+14,16.749344,0,,,13,60,
0,1.13E+14,1.13E+14,16.749185,0,,,14,60,
0,1.13E+14,1.13E+14,16.749099,0,,,15,60,
0,1.13E+14,1.13E+14,16.749021,0,,,16,59,
0,1.13E+14,1.13E+14,16.749019,0,,,17,60,
0,1.13E+14,1.13E+14,16.749299,0,,,18,60,
0,1.13E+14,1.13E+14,16.749149,0,,,19,59,
0,1.13E+14,1.13E+14,16.749105,0,,,20,60,
0,1.13E+14,1.13E+14,16.748887,0,,,21,60,
0,1.13E+14,1.13E+14,16.749113,0,,,22,60,
0,1.13E+14,1.13E+14,16.749179,0,,,23,59,
0,1.13E+14,1.13E+14,16.749143,0,,,24,60,
0,1.13E+14,1.13E+14,16.749045,0,,,25,60,
0,1.13E+14,1.13E+14,16.749165,0,,,26,59,
0,1.13E+14,1.13E+14,16.749101,0,,,27,60,
0,1.13E+14,1.13E+14,16.748878,0,,,28,60,
0,1.13E+14,1.13E+14,16.748766,0,,,29,59,
0,1.13E+14,1.13E+14,16.748845,0,,,30,60,
0,1.13E+14,1.13E+14,16.748539,0,,,31,60,
0,1.13E+14,1.13E+14,16.748951,0,,,32,60,
0,1.13E+14,1.13E+14,16.748606,0,,,33,59,
0,1.13E+14,1.13E+14,16.748916,0,,,34,60,
0,1.13E+14,1.13E+14,16.749022,0,,,35,60,
0,1.13E+14,1.13E+14,16.749108,0,,,36,59,
0,1.13E+14,1.13E+14,16.749127,0,,,37,60,
0,1.13E+14,1.13E+14,16.748995,0,,,38,60,
0,1.13E+14,1.13E+14,16.749072,0,,,39,59,
0,1.13E+14,1.13E+14,16.74895,0,,,40,60,
0,1.13E+14,1.13E+14,16.748841,0,,,41,60,
0,1.13E+14,1.13E+14,16.748857,0,,,42,60,
0,1.13E+14,1.13E+14,16.748942,0,,,43,59,
0,1.13E+14,1.13E+14,16.749093,0,,,44,60,
0,1.13E+14,1.13E+14,16.748978,0,,,45,60,
0,1.13E+14,1.13E+14,16.749188,0,,,46,59,
1,1.13E+14,1.13E+14,16.749132,0,,,47,60,
1,1.13E+14,1.13E+14,16.748989,0,,,48,60,
1,1.13E+14,1.13E+14,16.749032,0,,,49,59,
1,1.13E+14,1.13E+14,16.748938,0,,,50,60,
1,1.13E+14,1.13E+14,16.748772,0,,,51,60,
1,1.13E+14,1.13E+14,16.748949,0,,,52,60,
1,1.13E+14,1.13E+14,16.748771,0,,,53,59,
1,1.13E+14,1.13E+14,16.748915,0,,,54,60,
1,1.13E+14,1.13E+14,16.748897,0,,,55,60,
1,1.13E+14,1.13E+14,16.748708,0,,,56,59,
1,1.13E+14,1.13E+14,16.748917,0,,,57,60,
1,1.13E+14,1.13E+14,16.748807,0,,,58,60,
1,1.13E+14,1.13E+14,16.748847,0,,,59,59,
1,1.13E+14,1.13E+14,16.748769,0,,,60,60,
1,1.13E+14,1.13E+14,16.748596,0,,,61,60,
1,1.13E+14,1.13E+14,16.748914,0,,,62,60,
