Time (sec),Preproc Start Time (ns),Preproc End Time (ns),Preproc Time Elapsed (ms),Class Start Time (ns),Class End Time (ns),Class Time Elapsed (ms),Result,Confidence,,,Total Proc Time (ms),,Num,Classifications Per Second,,TOTAL Proc Time (ms),, ((TESTING LABEL))
0,1.92708E+14,1.92708E+14,54.023964,1.92708E+14,1.92708E+14,230.508513,tulips,0.8490649,,,284.532477,,0,3,,258129.1366,,roses
0,1.92708E+14,1.92708E+14,26.725211,1.92708E+14,1.92708E+14,69.75584,tulips,0.9288704,,,96.481051,,1,9,,,,
0,1.92708E+14,1.92708E+14,25.682659,1.92708E+14,1.92708E+14,86.887301,tulips,0.92827404,,,112.56996,,2,8,,Avg Proc Time (ms),, ((DOUBLE CHECK TOTAL CLASSIFICATIONS))
1,1.92708E+14,1.92708E+14,39.264119,1.92708E+14,1.92708E+14,75.958706,roses,0.6485752,,,115.222825,,3,8,,103.6663199,,2490
1,1.92708E+14,1.92708E+14,26.147034,1.92708E+14,1.92709E+14,66.457923,roses,0.6239569,,,92.604957,,4,9,,,,
1,1.92709E+14,1.92709E+14,25.642763,1.92709E+14,1.92709E+14,66.779381,roses,0.6196791,,,92.422144,,5,8,,Avg Class per Sec,,((TOTAL TP CONFIDENCE))
1,1.92709E+14,1.92709E+14,33.515889,1.92709E+14,1.92709E+14,71.142143,roses,0.6652499,,,104.658032,,6,8,,8.272425249,,1137.119841
1,1.92709E+14,1.92709E+14,26.410992,1.92709E+14,1.92709E+14,77.896622,roses,0.616702,,,104.307614,,7,8,,,,
1,1.92709E+14,1.92709E+14,25.704221,1.92709E+14,1.92709E+14,67.668965,roses,0.64051425,,,93.373186,,8,8,,Avg TP Confidence,,
1,1.92709E+14,1.92709E+14,38.241618,1.92709E+14,1.92709E+14,75.363706,roses,0.70075923,,,113.605324,,9,9,,0.603566794,,
1,1.92709E+14,1.92709E+14,26.313753,1.92709E+14,1.92709E+14,66.106309,roses,0.6316124,,,92.420062,,10,8,,,,
1,1.92709E+14,1.92709E+14,25.726305,1.92709E+14,1.92709E+14,65.149694,roses,0.6349945,,,90.875999,,11,8,,Total Classifications,,
2,1.92709E+14,1.92709E+14,25.379586,1.92709E+14,1.92709E+14,69.909694,roses,0.62057513,,,95.28928,,12,8,,2490,,
2,1.92709E+14,1.92709E+14,25.388231,1.92709E+14,1.92709E+14,63.654798,roses,0.7452883,,,89.043029,,13,9,,,,
2,1.9271E+14,1.9271E+14,25.633909,1.9271E+14,1.9271E+14,90.807873,roses,0.6180421,,,116.441782,,14,8,,True Positives,,
2,1.9271E+14,1.9271E+14,25.249637,1.9271E+14,1.9271E+14,72.042819,roses,0.73038477,,,97.292456,,15,9,,1884,,
2,1.9271E+14,1.9271E+14,38.933962,1.9271E+14,1.9271E+14,74.05907,roses,0.56080973,,,112.993032,,16,8,,,,
2,1.9271E+14,1.9271E+14,27.089117,1.9271E+14,1.9271E+14,72.308445,roses,0.682319,,,99.397562,,17,8,,False Negatives,,
2,1.9271E+14,1.9271E+14,40.130369,1.9271E+14,1.9271E+14,69.383601,roses,0.73181903,,,109.51397,,18,8,,606,,
2,1.9271E+14,1.9271E+14,34.843181,1.9271E+14,1.9271E+14,72.129174,roses,0.7174441,,,106.972355,,19,8,,,,
3,1.9271E+14,1.9271E+14,25.24469,1.9271E+14,1.9271E+14,74.486987,roses,0.59936047,,,99.731677,,20,9,,Recall,,
3,1.9271E+14,1.9271E+14,32.183857,1.9271E+14,1.9271E+14,78.362195,roses,0.5994205,,,110.546052,,21,8,,0.756626506,,
3,1.92711E+14,1.92711E+14,28.333805,1.92711E+14,1.92711E+14,78.713445,roses,0.61005086,,,107.04725,,22,8,,,,
3,1.92711E+14,1.92711E+14,26.13693,1.92711E+14,1.92711E+14,76.144487,roses,0.64654464,,,102.281417,,23,7,,,,
3,1.92711E+14,1.92711E+14,33.362139,1.92711E+14,1.92711E+14,76.362716,roses,0.68535155,,,109.724855,,24,8,,,,
3,1.92711E+14,1.92711E+14,27.214534,1.92711E+14,1.92711E+14,81.209799,roses,0.7497224,,,108.424333,,25,9,,,,
3,1.92711E+14,1.92711E+14,28.920993,1.92711E+14,1.92711E+14,71.984487,roses,0.6054979,,,100.90548,,26,8,,,,
3,1.92711E+14,1.92711E+14,26.350575,1.92711E+14,1.92711E+14,65.24735,roses,0.6262389,,,91.597925,,27,9,,,,
4,1.92711E+14,1.92711E+14,25.408388,1.92711E+14,1.92711E+14,70.401309,roses,0.6552573,,,95.809697,,28,8,,,,
4,1.92711E+14,1.92711E+14,25.428492,1.92711E+14,1.92711E+14,67.308653,roses,0.73346776,,,92.737145,,29,8,,,,
4,1.92711E+14,1.92712E+14,25.1737,1.92712E+14,1.92712E+14,70.050423,roses,0.6590939,,,95.224123,,30,9,,,,
4,1.92712E+14,1.92712E+14,25.135263,1.92712E+14,1.92712E+14,67.047246,roses,0.7359382,,,92.182509,,31,8,,,,
4,1.92712E+14,1.92712E+14,25.62896,1.92712E+14,1.92712E+14,65.768652,roses,0.5511099,,,91.397612,,32,10,,,,
4,1.92712E+14,1.92712E+14,25.217138,1.92712E+14,1.92712E+14,68.369017,roses,0.61372185,,,93.586155,,33,7,,,,
4,1.92712E+14,1.92712E+14,30.501982,1.92712E+14,1.92712E+14,77.290633,roses,0.70787716,,,107.792615,,34,9,,,,
4,1.92712E+14,1.92712E+14,47.468233,1.92712E+14,1.92712E+14,78.841987,roses,0.65713465,,,126.31022,,35,9,,,,
4,1.92712E+14,1.92712E+14,26.764013,1.92712E+14,1.92712E+14,72.514122,roses,0.6710038,,,99.278135,,36,8,,,,
5,1.92712E+14,1.92712E+14,43.650473,1.92712E+14,1.92712E+14,69.485424,roses,0.62048733,,,113.135897,,37,8,,,,
5,1.92712E+14,1.92712E+14,26.106825,1.92712E+14,1.92713E+14,81.272768,roses,0.724606,,,107.379593,,38,8,,,,
5,1.92713E+14,1.92713E+14,27.420836,1.92713E+14,1.92713E+14,99.644802,roses,0.64916253,,,127.065638,,39,8,,,,
5,1.92713E+14,1.92713E+14,26.297451,1.92713E+14,1.92713E+14,68.015371,roses,0.6348292,,,94.312822,,40,9,,,,
5,1.92713E+14,1.92713E+14,39.336931,1.92713E+14,1.92713E+14,72.978132,roses,0.62875193,,,112.315063,,41,7,,,,
5,1.92713E+14,1.92713E+14,28.07516,1.92713E+14,1.92713E+14,71.12131,roses,0.65851,,,99.19647,,42,9,,,,
5,1.92713E+14,1.92713E+14,48.487974,1.92713E+14,1.92713E+14,69.810528,roses,0.7015938,,,118.298502,,43,9,,,,
