Time (sec),Previous Frame (ns),Current Frame (ns),Time Elapsed (ms),Dropped Frame Count,,,Num,FPS,Min FPS
0,1.13E+14,1.13E+14,17.145541,0,,,0,49,49
0,1.13E+14,1.13E+14,183.428895,10,,,1,59,
0,1.13E+14,1.13E+14,34.37845,2,,,2,60,Max FPS
0,1.13E+14,1.13E+14,33.521963,1,,,3,60,60
0,1.13E+14,1.13E+14,16.855072,0,,,4,59,
0,1.13E+14,1.13E+14,16.760761,0,,,5,60,Avg FPS
0,1.13E+14,1.13E+14,16.760667,0,,,6,60,59.57142857
0,1.13E+14,1.13E+14,16.760396,0,,,7,60,
0,1.13E+14,1.13E+14,16.760486,0,,,8,59,
0,1.13E+14,1.13E+14,16.760455,0,,,9,60,
0,1.13E+14,1.13E+14,16.760292,0,,,10,60,
0,1.13E+14,1.13E+14,16.760185,0,,,11,59,
0,1.13E+14,1.13E+14,16.760573,0,,,12,60,
0,1.13E+14,1.13E+14,16.759944,0,,,13,60,
0,1.13E+14,1.13E+14,16.760441,0,,,14,59,
0,1.13E+14,1.13E+14,16.759854,0,,,15,60,
0,1.13E+14,1.13E+14,16.760238,0,,,16,60,
0,1.13E+14,1.13E+14,16.75952,0,,,17,59,
0,1.13E+14,1.13E+14,16.75971,0,,,18,60,
0,1.13E+14,1.13E+14,16.759616,0,,,19,60,
0,1.13E+14,1.13E+14,16.759703,0,,,20,59,
0,1.13E+14,1.13E+14,16.759756,0,,,21,60,
0,1.13E+14,1.13E+14,16.759846,0,,,22,60,
0,1.13E+14,1.13E+14,16.759438,0,,,23,59,
0,1.13E+14,1.13E+14,16.759007,0,,,24,60,
0,1.13E+14,1.13E+14,16.759521,0,,,25,60,
0,1.13E+14,1.13E+14,16.759533,0,,,26,59,
0,1.13E+14,1.13E+14,16.759404,0,,,27,60,
0,1.13E+14,1.13E+14,16.75938,0,,,28,60,
0,1.13E+14,1.13E+14,16.759487,0,,,29,59,
0,1.13E+14,1.13E+14,16.75933,0,,,30,60,
0,1.13E+14,1.13E+14,16.759191,0,,,31,60,
0,1.13E+14,1.13E+14,16.759368,0,,,32,59,
0,1.13E+14,1.13E+14,16.759324,0,,,33,60,
0,1.13E+14,1.13E+14,16.759559,0,,,34,60,
0,1.13E+14,1.13E+14,16.759107,0,,,35,59,
0,1.13E+14,1.13E+14,16.759388,0,,,36,60,
0,1.13E+14,1.13E+14,16.759199,0,,,37,60,
0,1.13E+14,1.13E+14,16.758777,0,,,38,59,
0,1.13E+14,1.13E+14,16.759143,0,,,39,60,
0,1.13E+14,1.13E+14,16.759024,0,,,40,60,
0,1.13E+14,1.13E+14,16.758814,0,,,41,59,
0,1.13E+14,1.13E+14,16.759062,0,,,42,60,
0,1.13E+14,1.13E+14,16.759009,0,,,43,60,
0,1.13E+14,1.13E+14,16.759195,0,,,44,59,
0,1.13E+14,1.13E+14,16.759224,0,,,45,60,
0,1.13E+14,1.13E+14,16.759021,0,,,46,60,
0,1.13E+14,1.13E+14,16.758792,0,,,47,59,
0,1.13E+14,1.13E+14,16.758989,0,,,48,60,
1,1.13E+14,1.13E+14,16.758688,0,,,49,60,
1,1.13E+14,1.13E+14,16.758883,0,,,50,59,
1,1.13E+14,1.13E+14,16.758899,0,,,51,60,
1,1.13E+14,1.13E+14,16.758833,0,,,52,60,
1,1.13E+14,1.13E+14,16.758948,0,,,53,59,
1,1.13E+14,1.13E+14,16.758435,0,,,54,60,
1,1.13E+14,1.13E+14,16.759016,0,,,55,60,
1,1.13E+14,1.13E+14,16.758863,0,,,56,59,
1,1.13E+14,1.13E+14,16.758905,0,,,57,60,
1,1.13E+14,1.13E+14,16.758575,0,,,58,60,
