Time (sec),Previous Frame (ns),Current Frame (ns),Time Elapsed (ms),Dropped Frame Count,,,Num,FPS,Min FPS
0,1.13E+14,1.13E+14,33.852247,1,,,0,47,47
0,1.13E+14,1.13E+14,200.208016,11,,,1,60,
0,1.13E+14,1.13E+14,34.571153,2,,,2,59,Max FPS
0,1.13E+14,1.13E+14,50.204709,2,,,3,60,60
0,1.13E+14,1.13E+14,16.973584,0,,,4,59,
0,1.13E+14,1.13E+14,16.769196,0,,,5,60,Avg FPS
0,1.13E+14,1.13E+14,16.769027,0,,,6,60,59.53156146
0,1.13E+14,1.13E+14,16.768858,0,,,7,59,
0,1.13E+14,1.13E+14,16.768518,0,,,8,60,
0,1.13E+14,1.13E+14,16.768879,0,,,9,60,
0,1.13E+14,1.13E+14,16.768695,0,,,10,59,
0,1.13E+14,1.13E+14,16.768744,0,,,11,60,
0,1.13E+14,1.13E+14,16.768742,0,,,12,60,
0,1.13E+14,1.13E+14,16.768655,0,,,13,59,
0,1.13E+14,1.13E+14,16.768527,0,,,14,60,
0,1.13E+14,1.13E+14,16.768511,0,,,15,59,
0,1.13E+14,1.13E+14,16.768425,0,,,16,60,
0,1.13E+14,1.13E+14,16.768473,0,,,17,60,
0,1.13E+14,1.13E+14,16.768382,0,,,18,59,
0,1.13E+14,1.13E+14,16.768617,0,,,19,60,
0,1.13E+14,1.13E+14,16.768357,0,,,20,60,
0,1.13E+14,1.13E+14,16.768299,0,,,21,59,
0,1.13E+14,1.13E+14,16.768086,0,,,22,60,
0,1.13E+14,1.13E+14,16.768419,0,,,23,60,
0,1.13E+14,1.13E+14,16.768212,0,,,24,59,
0,1.13E+14,1.13E+14,16.76858,0,,,25,60,
0,1.13E+14,1.13E+14,16.767989,0,,,26,59,
0,1.13E+14,1.13E+14,16.768586,0,,,27,60,
0,1.13E+14,1.13E+14,16.768539,0,,,28,60,
0,1.13E+14,1.13E+14,16.767557,0,,,29,59,
0,1.13E+14,1.13E+14,16.767696,0,,,30,60,
0,1.13E+14,1.13E+14,16.767683,0,,,31,60,
0,1.13E+14,1.13E+14,16.768115,0,,,32,59,
0,1.13E+14,1.13E+14,16.768174,0,,,33,60,
0,1.13E+14,1.13E+14,16.768047,0,,,34,60,
0,1.13E+14,1.13E+14,16.768117,0,,,35,59,
0,1.13E+14,1.13E+14,16.768138,0,,,36,60,
0,1.13E+14,1.13E+14,16.768334,0,,,37,59,
0,1.13E+14,1.13E+14,16.76846,0,,,38,60,
0,1.13E+14,1.13E+14,16.768363,0,,,39,60,
0,1.13E+14,1.13E+14,16.768072,0,,,40,59,
0,1.13E+14,1.13E+14,16.768255,0,,,41,60,
0,1.13E+14,1.13E+14,16.767992,0,,,42,60,
0,1.13E+14,1.13E+14,16.76784,0,,,43,59,
0,1.13E+14,1.13E+14,16.767774,0,,,44,60,
0,1.13E+14,1.13E+14,16.767948,0,,,45,59,
0,1.13E+14,1.13E+14,16.768018,0,,,46,60,
1,1.13E+14,1.13E+14,16.768068,0,,,47,60,
1,1.13E+14,1.13E+14,16.76802,0,,,48,59,
1,1.13E+14,1.13E+14,16.768122,0,,,49,60,
1,1.13E+14,1.13E+14,16.767072,0,,,50,60,
1,1.13E+14,1.13E+14,16.767701,0,,,51,59,
1,1.13E+14,1.13E+14,16.767581,0,,,52,60,
1,1.13E+14,1.13E+14,16.768098,0,,,53,60,
1,1.13E+14,1.13E+14,16.767839,0,,,54,59,
1,1.13E+14,1.13E+14,16.76774,0,,,55,60,
1,1.13E+14,1.13E+14,16.767875,0,,,56,59,
1,1.13E+14,1.13E+14,16.768122,0,,,57,60,
1,1.13E+14,1.13E+14,16.767986,0,,,58,60,
1,1.13E+14,1.13E+14,16.767991,0,,,59,59,
1,1.13E+14,1.13E+14,16.768218,0,,,60,60,
1,1.13E+14,1.13E+14,16.768261,0,,,61,60,
1,1.13E+14,1.13E+14,16.768071,0,,,62,59,
