Time (sec),Preproc Start Time (ns),Preproc End Time (ns),Preproc Time Elapsed (ms),Class Start Time (ns),Class End Time (ns),Class Time Elapsed (ms),Result,Confidence,,,Total Proc Time (ms),,Num,Classifications Per Second,,TOTAL Proc Time (ms),, ((TESTING LABEL))
0,1.91112E+14,1.91112E+14,258.313151,1.91112E+14,1.91112E+14,180.534601,tulips,0.82539093,,,438.847752,,0,1,,265376.6242,,roses
1,1.91112E+14,1.91112E+14,205.454291,1.91112E+14,1.91112E+14,64.195267,roses,0.7218736,,,269.649558,,1,3,,,,
1,1.91112E+14,1.91113E+14,204.439812,1.91113E+14,1.91113E+14,61.686517,roses,0.7615946,,,266.126329,,2,3,,Avg Proc Time (ms),, ((DOUBLE CHECK TOTAL CLASSIFICATIONS))
1,1.91113E+14,1.91113E+14,205.443614,1.91113E+14,1.91113E+14,59.467194,roses,0.7797993,,,264.910808,,3,3,,318.5793808,,833
2,1.91113E+14,1.91113E+14,206.275593,1.91113E+14,1.91113E+14,68.214329,roses,0.7879418,,,274.489922,,4,3,,,,
2,1.91113E+14,1.91114E+14,204.779656,1.91114E+14,1.91114E+14,61.404121,roses,0.77295756,,,266.183777,,5,3,,Avg Class per Sec,,((TOTAL TP CONFIDENCE))
2,1.91114E+14,1.91114E+14,217.444501,1.91114E+14,1.91114E+14,65.730111,roses,0.81351507,,,283.174612,,6,3,,2.76744186,,101.9695475
3,1.91114E+14,1.91114E+14,215.067625,1.91114E+14,1.91114E+14,66.403653,roses,0.7937357,,,281.471278,,7,3,,,,
3,1.91114E+14,1.91115E+14,218.010542,1.91115E+14,1.91115E+14,59.138183,roses,0.8335644,,,277.148725,,8,3,,Avg TP Confidence,,
3,1.91115E+14,1.91115E+14,221.904866,1.91115E+14,1.91115E+14,62.015007,roses,0.6998562,,,283.919873,,9,3,,0.599820868,,
4,1.91115E+14,1.91115E+14,212.91372,1.91115E+14,1.91115E+14,65.527611,roses,0.81666476,,,278.441331,,10,3,,,,
4,1.91115E+14,1.91116E+14,224.359084,1.91116E+14,1.91116E+14,61.325839,roses,0.75079364,,,285.684923,,11,3,,Total Classifications,,
4,1.91116E+14,1.91116E+14,219.208355,1.91116E+14,1.91116E+14,69.14157,roses,0.69060105,,,288.349925,,12,3,,833,,
5,1.91116E+14,1.91116E+14,213.758668,1.91116E+14,1.91116E+14,66.749485,roses,0.80631524,,,280.508153,,13,3,,,,
5,1.91116E+14,1.91117E+14,218.301793,1.91117E+14,1.91117E+14,64.002142,roses,0.84340924,,,282.303935,,14,3,,True Positives,,
5,1.91117E+14,1.91117E+14,218.719866,1.91117E+14,1.91117E+14,60.490995,roses,0.6652852,,,279.210861,,15,3,,170,,
6,1.91117E+14,1.91117E+14,213.97325,1.91117E+14,1.91117E+14,59.913547,roses,0.769049,,,273.886797,,16,3,,,,
6,1.91117E+14,1.91118E+14,219.076949,1.91118E+14,1.91118E+14,60.800318,roses,0.7491651,,,279.877267,,17,3,,False Negatives,,
6,1.91118E+14,1.91118E+14,210.712937,1.91118E+14,1.91118E+14,63.124069,roses,0.79692155,,,273.837006,,18,3,,663,,
7,1.91118E+14,1.91118E+14,223.002262,1.91118E+14,1.91118E+14,65.461725,roses,0.75661725,,,288.463987,,19,3,,,,
