Time (sec),Previous Frame (ns),Current Frame (ns),Time Elapsed (ms),Dropped Frame Count,,,Num,FPS,,Min FPS
0,1.2703E+14,1.2703E+14,33.862635,1,,,0,49,,18
0,1.2703E+14,1.2703E+14,216.87962,12,,,1,59,,
0,1.2703E+14,1.2703E+14,18.039983,1,,,2,60,,Max FPS
0,1.2703E+14,1.2703E+14,16.771998,0,,,3,60,,60
0,1.2703E+14,1.2703E+14,16.772051,0,,,4,59,,
0,1.2703E+14,1.2703E+14,16.771933,0,,,5,60,,Avg FPS
0,1.2703E+14,1.2703E+14,16.771639,0,,,6,60,,59.43189369
0,1.2703E+14,1.2703E+14,16.77183,0,,,7,59,,
0,1.2703E+14,1.2703E+14,16.771847,0,,,8,60,,
0,1.2703E+14,1.2703E+14,16.771809,0,,,9,60,,
0,1.2703E+14,1.2703E+14,16.771956,0,,,10,59,,
0,1.2703E+14,1.2703E+14,16.771875,0,,,11,60,,
0,1.2703E+14,1.2703E+14,16.771811,0,,,12,59,,
0,1.2703E+14,1.2703E+14,16.771777,0,,,13,60,,
0,1.2703E+14,1.2703E+14,16.771574,0,,,14,60,,
0,1.2703E+14,1.2703E+14,16.771572,0,,,15,59,,
0,1.2703E+14,1.2703E+14,16.771798,0,,,16,60,,
0,1.2703E+14,1.2703E+14,16.771757,0,,,17,60,,
0,1.2703E+14,1.27031E+14,16.771659,0,,,18,59,,
0,1.27031E+14,1.27031E+14,16.771357,0,,,19,60,,
0,1.27031E+14,1.27031E+14,16.771695,0,,,20,59,,
0,1.27031E+14,1.27031E+14,16.771655,0,,,21,60,,
0,1.27031E+14,1.27031E+14,16.771541,0,,,22,60,,
0,1.27031E+14,1.27031E+14,16.771591,0,,,23,59,,
0,1.27031E+14,1.27031E+14,16.771281,0,,,24,60,,
0,1.27031E+14,1.27031E+14,16.771345,0,,,25,60,,
0,1.27031E+14,1.27031E+14,16.771302,0,,,26,59,,
0,1.27031E+14,1.27031E+14,16.771688,0,,,27,60,,
0,1.27031E+14,1.27031E+14,16.771559,0,,,28,59,,
0,1.27031E+14,1.27031E+14,16.771746,0,,,29,60,,
0,1.27031E+14,1.27031E+14,16.77179,0,,,30,60,,
0,1.27031E+14,1.27031E+14,16.77165,0,,,31,59,,
0,1.27031E+14,1.27031E+14,16.771582,0,,,32,60,,
0,1.27031E+14,1.27031E+14,16.771678,0,,,33,60,,
0,1.27031E+14,1.27031E+14,16.771547,0,,,34,59,,
0,1.27031E+14,1.27031E+14,16.771467,0,,,35,60,,
0,1.27031E+14,1.27031E+14,16.771102,0,,,36,59,,
0,1.27031E+14,1.27031E+14,16.771123,0,,,37,60,,
0,1.27031E+14,1.27031E+14,16.771217,0,,,38,60,,
0,1.27031E+14,1.27031E+14,16.771358,0,,,39,59,,
0,1.27031E+14,1.27031E+14,16.771509,0,,,40,60,,
0,1.27031E+14,1.27031E+14,16.771554,0,,,41,60,,
0,1.27031E+14,1.27031E+14,16.771493,0,,,42,59,,
0,1.27031E+14,1.27031E+14,16.771668,0,,,43,60,,
0,1.27031E+14,1.27031E+14,16.771599,0,,,44,59,,
0,1.27031E+14,1.27031E+14,16.771462,0,,,45,60,,
0,1.27031E+14,1.27031E+14,16.771359,0,,,46,60,,
0,1.27031E+14,1.27031E+14,16.771264,0,,,47,59,,
0,1.27031E+14,1.27031E+14,16.771476,0,,,48,60,,
1,1.27031E+14,1.27031E+14,16.771507,0,,,49,60,,
