Time (sec),Previous Frame (ns),Current Frame (ns),Time Elapsed (ms),Dropped Frame Count,,,Num,FPS,Min FPS
0,1.14E+14,1.14E+14,33.976812,1,,,0,45,45
0,1.14E+14,1.14E+14,233.547822,13,,,1,59,
0,1.14E+14,1.14E+14,34.824863,2,,,2,60,Max FPS
0,1.14E+14,1.14E+14,50.211087,2,,,3,60,60
0,1.14E+14,1.14E+14,16.982857,0,,,4,59,
0,1.14E+14,1.14E+14,16.772574,0,,,5,60,Avg FPS
0,1.14E+14,1.14E+14,16.772476,0,,,6,60,59.50830565
0,1.14E+14,1.14E+14,16.772168,0,,,7,59,
0,1.14E+14,1.14E+14,16.772306,0,,,8,60,
0,1.14E+14,1.14E+14,16.772476,0,,,9,59,
0,1.14E+14,1.14E+14,16.772038,0,,,10,60,
0,1.14E+14,1.14E+14,16.772098,0,,,11,60,
0,1.14E+14,1.14E+14,16.772021,0,,,12,59,
0,1.14E+14,1.14E+14,16.771644,0,,,13,60,
0,1.14E+14,1.14E+14,16.771832,0,,,14,60,
0,1.14E+14,1.14E+14,16.771615,0,,,15,59,
0,1.14E+14,1.14E+14,16.771748,0,,,16,60,
0,1.14E+14,1.14E+14,16.771631,0,,,17,59,
0,1.14E+14,1.14E+14,16.771669,0,,,18,60,
0,1.14E+14,1.14E+14,16.771034,0,,,19,60,
0,1.14E+14,1.14E+14,16.771647,0,,,20,59,
0,1.14E+14,1.14E+14,16.770858,0,,,21,60,
0,1.14E+14,1.14E+14,16.771713,0,,,22,59,
0,1.14E+14,1.14E+14,16.771378,0,,,23,60,
0,1.14E+14,1.14E+14,16.77128,0,,,24,60,
0,1.14E+14,1.14E+14,16.771051,0,,,25,59,
0,1.14E+14,1.14E+14,16.771072,0,,,26,60,
0,1.14E+14,1.14E+14,16.771005,0,,,27,60,
0,1.14E+14,1.14E+14,16.77101,0,,,28,59,
0,1.14E+14,1.14E+14,16.771477,0,,,29,60,
0,1.14E+14,1.14E+14,16.771755,0,,,30,59,
0,1.14E+14,1.14E+14,16.771148,0,,,31,60,
0,1.14E+14,1.14E+14,16.770625,0,,,32,60,
0,1.14E+14,1.14E+14,16.771233,0,,,33,59,
0,1.14E+14,1.14E+14,16.770839,0,,,34,60,
0,1.14E+14,1.14E+14,16.771195,0,,,35,59,
0,1.14E+14,1.14E+14,16.77095,0,,,36,60,
0,1.14E+14,1.14E+14,16.771177,0,,,37,60,
0,1.14E+14,1.14E+14,16.770914,0,,,38,59,
0,1.14E+14,1.14E+14,16.771165,0,,,39,60,
0,1.14E+14,1.14E+14,16.770977,0,,,40,60,
0,1.14E+14,1.14E+14,16.771013,0,,,41,59,
0,1.14E+14,1.14E+14,16.770754,0,,,42,60,
0,1.14E+14,1.14E+14,16.770663,0,,,43,59,
0,1.14E+14,1.14E+14,16.770768,0,,,44,60,
1,1.14E+14,1.14E+14,16.771268,0,,,45,60,
1,1.14E+14,1.14E+14,16.770996,0,,,46,59,
1,1.14E+14,1.14E+14,16.771298,0,,,47,60,
1,1.14E+14,1.14E+14,16.770924,0,,,48,59,
1,1.14E+14,1.14E+14,16.771366,0,,,49,60,
1,1.14E+14,1.14E+14,16.770924,0,,,50,60,
1,1.14E+14,1.14E+14,16.770982,0,,,51,59,
1,1.14E+14,1.14E+14,16.77074,0,,,52,60,
1,1.14E+14,1.14E+14,16.771362,0,,,53,60,
1,1.14E+14,1.14E+14,16.771021,0,,,54,59,
1,1.14E+14,1.14E+14,16.771033,0,,,55,60,
1,1.14E+14,1.14E+14,16.771481,0,,,56,59,
1,1.14E+14,1.14E+14,16.771058,0,,,57,60,
1,1.14E+14,1.14E+14,16.771134,0,,,58,60,
1,1.14E+14,1.14E+14,16.771207,0,,,59,59,
1,1.14E+14,1.14E+14,16.770809,0,,,60,60,
1,1.14E+14,1.14E+14,16.770985,0,,,61,59,
1,1.14E+14,1.14E+14,16.770727,0,,,62,60,
1,1.14E+14,1.14E+14,16.770856,0,,,63,60,
1,1.14E+14,1.14E+14,16.770698,0,,,64,59,
1,1.14E+14,1.14E+14,16.770965,0,,,65,60,
1,1.14E+14,1.14E+14,16.770836,0,,,66,60,
1,1.14E+14,1.14E+14,16.770765,0,,,67,59,
1,1.14E+14,1.14E+14,16.770667,0,,,68,60,
1,1.14E+14,1.14E+14,16.770858,0,,,69,59,
1,1.14E+14,1.14E+14,16.77071,0,,,70,60,
1,1.14E+14,1.14E+14,16.770434,0,,,71,60,
1,1.14E+14,1.14E+14,16.770546,0,,,72,59,
1,1.14E+14,1.14E+14,16.771038,0,,,73,60,
1,1.14E+14,1.14E+14,16.770966,0,,,74,59,
1,1.14E+14,1.14E+14,16.771012,0,,,75,60,
1,1.14E+14,1.14E+14,16.770892,0,,,76,60,
1,1.14E+14,1.14E+14,16.770967,0,,,77,59,
1,1.14E+14,1.14E+14,16.77077,0,,,78,60,
1,1.14E+14,1.14E+14,16.770751,0,,,79,60,
1,1.14E+14,1.14E+14,16.770474,0,,,80,59,
1,1.14E+14,1.14E+14,16.770191,0,,,81,60,
1,1.14E+14,1.14E+14,16.770666,0,,,82,59,
1,1.14E+14,1.14E+14,16.77068,0,,,83,60,
1,1.14E+14,1.14E+14,16.770773,0,,,84,60,
1,1.14E+14,1.14E+14,16.770477,0,,,85,59,
1,1.14E+14,1.14E+14,16.770858,0,,,86,60,
1,1.14E+14,1.14E+14,16.770558,0,,,87,59,
1,1.14E+14,1.14E+14,16.770733,0,,,88,60,
1,1.14E+14,1.14E+14,16.770642,0,,,89,60,
1,1.14E+14,1.14E+14,16.770755,0,,,90,59,
1,1.14E+14,1.14E+14,16.770451,0,,,91,60,
1,1.14E+14,1.14E+14,16.770769,0,,,92,60,
1,1.14E+14,1.14E+14,16.771092,0,,,93,59,
1,1.14E+14,1.14E+14,16.770895,0,,,94,60,
1,1.14E+14,1.14E+14,16.770834,0,,,95,59,
1,1.14E+14,1.14E+14,16.770985,0,,,96,60,
1,1.14E+14,1.14E+14,16.771122,0,,,97,60,
1,1.14E+14,1.14E+14,16.770847,0,,,98,59,
1,1.14E+14,1.14E+14,16.770804,0,,,99,60,
1,1.14E+14,1.14E+14,16.770404,0,,,100,59,
1,1.14E+14,1.14E+14,16.770609,0,,,101,60,
1,1.14E+14,1.14E+14,16.770625,0,,,102,60,
1,1.14E+14,1.14E+14,16.770466,0,,,103,59,
2,1.14E+14,1.14E+14,16.770825,0,,,104,60,
2,1.14E+14,1.14E+14,16.770597,0,,,105,59,
2,1.14E+14,1.14E+14,16.770813,0,,,106,60,
2,1.14E+14,1.14E+14,16.770715,0,,,107,60,
2,1.14E+14,1.14E+14,16.770637,0,,,108,59,
