Time (sec),Previous Frame (ns),Current Frame (ns),Time Elapsed (ms),Dropped Frame Count,,,Num,FPS,Min FPS
0,1.14E+14,1.14E+14,34.005308,2,,,0,41,5
0,1.14E+14,1.14E+14,266.890262,15,,,1,60,
0,1.14E+14,1.14E+14,101.771562,5,,,2,59,Max FPS
0,1.14E+14,1.14E+14,17.324434,0,,,3,60,60
0,1.14E+14,1.14E+14,16.776548,0,,,4,59,
0,1.14E+14,1.14E+14,16.776494,0,,,5,60,Avg FPS
0,1.14E+14,1.14E+14,16.775958,0,,,6,60,59.34219269
0,1.14E+14,1.14E+14,16.775834,0,,,7,59,
0,1.14E+14,1.14E+14,16.775237,0,,,8,60,
0,1.14E+14,1.14E+14,16.775419,0,,,9,59,
0,1.14E+14,1.14E+14,16.776159,0,,,10,60,
0,1.14E+14,1.14E+14,16.77568,0,,,11,60,
0,1.14E+14,1.14E+14,16.775945,0,,,12,59,
0,1.14E+14,1.14E+14,16.775729,0,,,13,60,
0,1.14E+14,1.14E+14,16.775735,0,,,14,59,
0,1.14E+14,1.14E+14,16.775792,0,,,15,60,
0,1.14E+14,1.14E+14,16.775879,0,,,16,60,
0,1.14E+14,1.14E+14,16.775463,0,,,17,59,
0,1.14E+14,1.14E+14,16.775364,0,,,18,60,
0,1.14E+14,1.14E+14,16.775538,0,,,19,59,
0,1.14E+14,1.14E+14,16.775624,0,,,20,60,
0,1.14E+14,1.14E+14,16.77529,0,,,21,60,
0,1.14E+14,1.14E+14,16.775316,0,,,22,59,
0,1.14E+14,1.14E+14,16.775528,0,,,23,60,
0,1.14E+14,1.14E+14,16.775456,0,,,24,59,
0,1.14E+14,1.14E+14,16.775783,0,,,25,60,
0,1.14E+14,1.14E+14,16.774929,0,,,26,60,
0,1.14E+14,1.14E+14,16.774862,0,,,27,59,
0,1.14E+14,1.14E+14,16.774874,0,,,28,60,
0,1.14E+14,1.14E+14,16.774913,0,,,29,60,
0,1.14E+14,1.14E+14,16.774903,0,,,30,59,
0,1.14E+14,1.14E+14,16.774915,0,,,31,60,
0,1.14E+14,1.14E+14,16.774906,0,,,32,59,
0,1.14E+14,1.14E+14,16.774908,0,,,33,60,
0,1.14E+14,1.14E+14,16.77487,0,,,34,60,
0,1.14E+14,1.14E+14,16.774894,0,,,35,59,
0,1.14E+14,1.14E+14,16.774858,0,,,36,60,
0,1.14E+14,1.14E+14,16.774499,0,,,37,59,
0,1.14E+14,1.14E+14,16.774789,0,,,38,60,
0,1.14E+14,1.14E+14,16.774823,0,,,39,60,
0,1.14E+14,1.14E+14,16.774892,0,,,40,59,
1,1.14E+14,1.14E+14,16.774811,0,,,41,60,
1,1.14E+14,1.14E+14,16.774867,0,,,42,59,
1,1.14E+14,1.14E+14,16.774858,0,,,43,60,
1,1.14E+14,1.14E+14,16.774847,0,,,44,60,
1,1.14E+14,1.14E+14,16.774814,0,,,45,59,
1,1.14E+14,1.14E+14,16.774824,0,,,46,60,
1,1.14E+14,1.14E+14,16.774807,0,,,47,59,
1,1.14E+14,1.14E+14,16.774788,0,,,48,60,
1,1.14E+14,1.14E+14,16.774696,0,,,49,60,
1,1.14E+14,1.14E+14,16.774823,0,,,50,59,
1,1.14E+14,1.14E+14,16.77481,0,,,51,60,
1,1.14E+14,1.14E+14,16.774731,0,,,52,59,
1,1.14E+14,1.14E+14,16.774746,0,,,53,60,
1,1.14E+14,1.14E+14,16.774794,0,,,54,60,
1,1.14E+14,1.14E+14,16.775065,0,,,55,59,
