Time (sec),Preproc Start Time (ns),Preproc End Time (ns),Preproc Time Elapsed (ms),Class Start Time (ns),Class SEnd Time (ns),Class STime Elapsed (ms),Result,,Total Proc Time (ms),Avg Proc Time (ms),,Num,Classifications Per Second,Avg Class per Sec,,Total Classifications
0,1.64E+14,1.64E+14,24.57166916,,1.64E+14,228.856117,daisy,,253.4277862,74.48033154,,0,4,10.58139535,,3185
0,1.64E+14,1.64E+14,6.033125164,,1.64E+14,74.585736,roses,,80.61886116,,,1,10,,,
0,1.64E+14,1.64E+14,4.922344164,,1.64E+14,67.520476,roses,,72.44282016,,,2,10,,,True Positives
0,1.64E+14,1.64E+14,5.134741637,,1.64E+14,71.496934,roses,,76.63167564,,,3,10,,,2305
1,1.64E+14,1.64E+14,3.271042164,,1.64E+14,69.442298,roses,,72.71334016,,,4,10,,,
1,1.64E+14,1.64E+14,4.975001164,,1.64E+14,66.85058,roses,,71.82558116,,,5,10,,,False Negatives
1,1.64E+14,1.64E+14,3.295105164,,1.64E+14,70.369069,roses,,73.66417416,,,6,10,,,880
1,1.64E+14,1.64E+14,2.920157164,,1.64E+14,69.705112,roses,,72.62526916,,,7,10,,,
1,1.64E+14,1.64E+14,2.896771164,,1.64E+14,65.677819,roses,,68.57459016,,,8,10,,,Recall
1,1.64E+14,1.64E+14,5.182241637,,1.64E+14,69.876778,roses,,75.05901964,,,9,10,,,0.723704867
1,1.64E+14,1.64E+14,2.863803164,,1.64E+14,71.578289,roses,,74.44209216,,,10,10,,,
1,1.64E+14,1.64E+14,2.958021164,,1.64E+14,88.689696,daisy,,91.64771716,,,11,10,,,
1,1.64E+14,1.64E+14,2.868074164,,1.64E+14,70.03933,roses,,72.90740416,,,12,10,,,
1,1.64E+14,1.64E+14,2.924896164,,1.64E+14,69.984798,roses,,72.90969416,,,13,10,,,
2,1.64E+14,1.64E+14,2.984479164,,1.64E+14,69.757455,roses,,72.74193416,,,14,10,,,
2,1.64E+14,1.64E+14,3.006198164,,1.64E+14,68.540164,roses,,71.54636216,,,15,10,,,
2,1.64E+14,1.64E+14,2.912084164,,1.64E+14,71.149434,roses,,74.06151816,,,16,10,,,
2,1.64E+14,1.64E+14,2.915053164,,1.64E+14,71.528757,roses,,74.44381016,,,17,10,,,
2,1.64E+14,1.64E+14,3.262708164,,1.64E+14,71.41881,roses,,74.68151816,,,18,10,,,
2,1.64E+14,1.64E+14,2.974531164,,1.64E+14,69.478184,roses,,72.45271516,,,19,10,,,
2,1.64E+14,1.64E+14,2.962188164,,1.64E+14,73.724487,roses,,76.68667516,,,20,10,,,
2,1.64E+14,1.64E+14,2.930105164,,1.64E+14,71.27558,roses,,74.20568516,,,21,10,,,
2,1.64E+14,1.64E+14,8.480157164,,1.64E+14,72.681726,roses,,81.16188316,,,22,10,,,
2,1.64E+14,1.64E+14,8.665782164,,1.64E+14,79.236518,daisy,,87.90230016,,,23,10,,,
3,1.64E+14,1.64E+14,2.903855164,,1.64E+14,69.676726,roses,,72.58058116,,,24,10,,,
3,1.64E+14,1.64E+14,2.949688164,,1.64E+14,75.166049,roses,,78.11573716,,,25,10,,,
3,1.64E+14,1.64E+14,2.921979164,,1.64E+14,75.760008,roses,,78.68198716,,,26,10,,,
3,1.64E+14,1.64E+14,3.048699164,,1.64E+14,72.162091,roses,,75.21079016,,,27,10,,,
3,1.64E+14,1.64E+14,8.620678164,,1.64E+14,79.010373,roses,,87.63105116,,,28,10,,,
3,1.64E+14,1.64E+14,3.047813164,,1.64E+14,70.460528,roses,,73.50834116,,,29,10,,,
3,1.64E+14,1.64E+14,2.863751637,,1.64E+14,77.395737,roses,,80.25948864,,,30,10,,,
3,1.64E+14,1.64E+14,6.550678164,,1.64E+14,70.286517,roses,,76.83719516,,,31,10,,,
3,1.64E+14,1.64E+14,7.847658164,,1.64E+14,70.034746,roses,,77.88240416,,,32,10,,,
3,1.64E+14,1.64E+14,3.004741637,,1.64E+14,72.237664,roses,,75.24240564,,,33,10,,,
4,1.64E+14,1.64E+14,2.973542164,,1.64E+14,72.595424,roses,,75.56896616,,,34,10,,,
4,1.64E+14,1.64E+14,3.132813164,,1.64E+14,70.853132,roses,,73.98594516,,,35,10,,,
4,1.64E+14,1.64E+14,3.316406164,,1.64E+14,66.365267,roses,,69.68167316,,,36,10,,,
4,1.64E+14,1.64E+14,3.249167164,,1.64E+14,76.803497,roses,,80.05266416,,,37,10,,,
4,1.64E+14,1.64E+14,3.137516366,,1.64E+14,74.116206,roses,,77.25372237,,,38,10,,,
4,1.64E+14,1.64E+14,3.012084164,,1.64E+14,76.52032,roses,,79.53240416,,,39,10,,,
4,1.64E+14,1.64E+14,2.908541164,,1.64E+14,68.290424,daisy,,71.19896516,,,40,10,,,
4,1.64E+14,1.64E+14,3.183958164,,1.64E+14,75.454747,roses,,78.63870516,,,41,10,,,
4,1.64E+14,1.64E+14,3.087865164,,1.64E+14,73.48907,roses,,76.57693516,,,42,10,,,
4,1.64E+14,1.64E+14,7.672553164,,1.64E+14,76.17006,roses,,83.84261316,,,43,10,,,
5,1.64E+14,1.64E+14,2.935001164,,1.64E+14,74.318497,roses,,77.25349816,,,44,10,,,
5,1.64E+14,1.64E+14,2.901563164,,1.64E+14,83.978602,roses,,86.88016516,,,45,10,,,
5,1.64E+14,1.64E+14,2.925886164,,1.64E+14,78.099956,roses,,81.02584216,,,46,10,,,
5,1.64E+14,1.64E+14,3.015052164,,1.64E+14,73.199487,roses,,76.21453916,,,47,10,,,
5,1.64E+14,1.64E+14,2.884479164,,1.64E+14,73.084643,roses,,75.96912216,,,48,10,,,
5,1.64E+14,1.64E+14,2.890052164,,1.64E+14,73.180788,daisy,,76.07084016,,,49,10,,,
5,1.64E+14,1.64E+14,5.085365164,,1.64E+14,67.676205,roses,,72.76157016,,,50,10,,,
5,1.64E+14,1.64E+14,2.887605164,,1.64E+14,72.720008,roses,,75.60761316,,,51,10,,,
5,1.64E+14,1.64E+14,3.194844164,,1.64E+14,75.954383,roses,,79.14922716,,,52,10,,,
5,1.64E+14,1.64E+14,3.392292164,,1.64E+14,73.872403,roses,,77.26469516,,,53,10,,,
6,1.64E+14,1.64E+14,2.883491637,,1.64E+14,75.777091,roses,,78.66058264,,,54,10,,,
6,1.64E+14,1.64E+14,7.806927164,,1.64E+14,78.039331,roses,,85.84625816,,,55,10,,,
6,1.64E+14,1.64E+14,8.900418164,,1.64E+14,72.984747,roses,,81.88516516,,,56,10,,,
6,1.64E+14,1.64E+14,2.961094164,,1.64E+14,77.129539,roses,,80.09063316,,,57,10,,,
6,1.64E+14,1.64E+14,6.802032164,,1.64E+14,76.806778,roses,,83.60881016,,,58,10,,,
6,1.64E+14,1.64E+14,9.135573164,,1.64E+14,71.367976,roses,,80.50354916,,,59,10,,,
6,1.64E+14,1.64E+14,3.146354164,,1.64E+14,70.850736,daisy,,73.99709016,,,60,10,,,
6,1.64E+14,1.64E+14,7.427657164,,1.64E+14,75.542611,roses,,82.97026816,,,61,10,,,
6,1.64E+14,1.64E+14,8.523074164,,1.64E+14,75.460112,roses,,83.98318616,,,62,10,,,
6,1.64E+14,1.64E+14,3.033855164,,1.64E+14,69.109434,roses,,72.14328916,,,63,10,,,
7,1.64E+14,1.64E+14,7.195417164,,1.64E+14,74.036518,roses,,81.23193516,,,64,10,,,
7,1.64E+14,1.64E+14,7.222397164,,1.64E+14,76.429747,roses,,83.65214416,,,65,10,,,
7,1.64E+14,1.64E+14,2.967553164,,1.64E+14,71.325632,roses,,74.29318516,,,66,10,,,
7,1.64E+14,1.64E+14,3.492553164,,1.64E+14,79.571831,roses,,83.06438416,,,67,10,,,
7,1.64E+14,1.64E+14,8.434636164,,1.64E+14,74.572507,roses,,83.00714316,,,68,10,,,
7,1.64E+14,1.64E+14,2.883542164,,1.64E+14,73.598133,daisy,,76.48167516,,,69,10,,,
7,1.64E+14,1.64E+14,8.151875164,,1.64E+14,71.654122,daisy,,79.80599716,,,70,10,,,
7,1.64E+14,1.64E+14,3.016198164,,1.64E+14,75.717403,roses,,78.73360116,,,71,10,,,
7,1.64E+14,1.64E+14,2.972344164,,1.64E+14,74.483965,roses,,77.45630916,,,72,10,,,
7,1.64E+14,1.64E+14,2.875886164,,1.64E+14,74.053132,roses,,76.92901816,,,73,10,,,
8,1.64E+14,1.64E+14,2.863855164,,1.64E+14,75.023133,roses,,77.88698816,,,74,10,,,
8,1.64E+14,1.64E+14,7.863855164,,1.64E+14,104.388292,roses,,112.2521472,,,75,10,,,
8,1.64E+14,1.64E+14,11.25448164,,1.64E+14,72.71282,roses,,83.96730164,,,76,10,,,
8,1.64E+14,1.64E+14,3.050365164,,1.64E+14,71.55808,roses,,74.60844516,,,77,10,,,
8,1.64E+14,1.64E+14,3.286719164,,1.64E+14,75.139747,daisy,,78.42646616,,,78,10,,,
8,1.64E+14,1.64E+14,8.645157164,,1.64E+14,67.093965,roses,,75.73912216,,,79,10,,,
8,1.64E+14,1.64E+14,2.922604164,,1.64E+14,75.962508,roses,,78.88511216,,,80,10,,,
8,1.64E+14,1.64E+14,9.029481637,,1.64E+14,68.469851,roses,,77.49933264,,,81,10,,,
8,1.64E+14,1.64E+14,9.817344164,,1.64E+14,74.816154,roses,,84.63349816,,,82,10,,,
8,1.64E+14,1.64E+14,9.328387164,,1.64E+14,70.064173,roses,,79.39256016,,,83,10,,,
9,1.64E+14,1.64E+14,9.832033164,,1.64E+14,74.193132,roses,,84.02516516,,,84,10,,,
9,1.64E+14,1.64E+14,2.902032164,,1.64E+14,73.776935,roses,,76.67896716,,,85,10,,,
9,1.64E+14,1.64E+14,3.001251637,,1.64E+14,67.030684,roses,,70.03193564,,,86,10,,,
9,1.64E+14,1.64E+14,6.015938164,,1.64E+14,75.65183,daisy,,81.66776816,,,87,10,,,
9,1.64E+14,1.64E+14,2.828385164,,1.64E+14,69.878653,roses,,72.70703816,,,88,10,,,
9,1.64E+14,1.64E+14,5.620053164,,1.64E+14,76.028132,roses,,81.64818516,,,89,10,,,
9,1.64E+14,1.64E+14,3.611823164,,1.64E+14,68.233965,daisy,,71.84578816,,,90,10,,,
9,1.64E+14,1.64E+14,4.577188164,,1.64E+14,75.955216,roses,,80.53240416,,,91,10,,,
9,1.64E+14,1.64E+14,3.250521164,,1.64E+14,73.195476,roses,,76.44599716,,,92,10,,,
9,1.64E+14,1.64E+14,3.495833164,,1.64E+14,69.789799,roses,,73.28563216,,,93,10,,,
10,1.64E+14,1.64E+14,2.962084164,,1.64E+14,73.881257,roses,,76.84334116,,,94,10,,,
10,1.64E+14,1.64E+14,3.447917164,,1.64E+14,74.824435,roses,,78.27235216,,,95,10,,,
10,1.64E+14,1.64E+14,7.845471637,,1.64E+14,70.815945,daisy,,78.66141664,,,96,10,,,
10,1.64E+14,1.64E+14,5.934428164,,1.64E+14,72.501153,roses,,78.43558116,,,97,10,,,
10,1.64E+14,1.64E+14,2.862136164,,1.64E+14,70.679226,roses,,73.54136216,,,98,10,,,
10,1.64E+14,1.64E+14,5.153438164,,1.64E+14,77.980216,roses,,83.13365416,,,99,10,,,
10,1.64E+14,1.64E+14,2.885001164,,1.64E+14,76.294799,roses,,79.17980016,,,100,10,,,
10,1.64E+14,1.64E+14,2.872657164,,1.64E+14,73.626622,roses,,76.49927916,,,101,10,,,
10,1.64E+14,1.64E+14,2.850261164,,1.64E+14,71.218965,roses,,74.06922616,,,102,10,,,
10,1.64E+14,1.64E+14,4.375209164,,1.64E+14,76.59782,roses,,80.97302916,,,103,10,,,
11,1.64E+14,1.64E+14,2.898646164,,1.64E+14,72.618184,roses,,75.51683016,,,104,10,,,
11,1.64E+14,1.64E+14,2.949063164,,1.64E+14,76.146101,roses,,79.09516416,,,105,10,,,
11,1.64E+14,1.64E+14,2.850782164,,1.64E+14,72.640372,roses,,75.49115416,,,106,10,,,
11,1.64E+14,1.64E+14,3.562032164,,1.64E+14,72.665164,roses,,76.22719616,,,107,10,,,
11,1.64E+14,1.64E+14,2.901771164,,1.64E+14,70.672038,daisy,,73.57380916,,,108,10,,,
11,1.64E+14,1.64E+14,2.971042164,,1.64E+14,74.776153,roses,,77.74719516,,,109,10,,,
11,1.64E+14,1.64E+14,2.947604164,,1.64E+14,76.127664,daisy,,79.07526816,,,110,10,,,
11,1.64E+14,1.64E+14,2.852969164,,1.64E+14,79.558862,roses,,82.41183116,,,111,10,,,
11,1.64E+14,1.64E+14,2.869219164,,1.64E+14,74.352091,roses,,77.22131016,,,112,10,,,
11,1.64E+14,1.64E+14,2.846981637,,1.64E+14,74.661466,roses,,77.50844764,,,113,10,,,
12,1.64E+14,1.64E+14,2.838073164,,1.64E+14,74.629799,roses,,77.46787216,,,114,10,,,
12,1.64E+14,1.64E+14,2.834584164,,1.64E+14,66.848027,roses,,69.68261116,,,115,10,,,
