Time (sec),Previous Frame (ns),Current Frame (ns),Time Elapsed (ms),Dropped Frame Count
0,106288173820126,106288207900718,34.080592,2
0,106288207900718,106288474674517,266.773799,15
0,106288474674517,106288509715941,35.041424,2
0,106288509715941,106288559928789,50.212848,2
0,106288559928789,106288576914588,16.985799,0
0,106288576914588,106288593687436,16.772848,0
0,106288593687436,106288610460523,16.773087,0
0,106288610460523,106288627233521,16.772998,0
0,106288627233521,106288644006242,16.772721,0
0,106288644006242,106288660779118,16.772876,0
0,106288660779118,106288677552011,16.772893,0
0,106288677552011,106288694324870,16.772859,0
0,106288694324870,106288711097713,16.772843,0
0,106288711097713,106288727870596,16.772883,0
0,106288727870596,106288744643578,16.772982,0
0,106288744643578,106288761416462,16.772884,0
0,106288761416462,106288778189156,16.772694,0
0,106288778189156,106288794961676,16.77252,0
0,106288794961676,106288811734291,16.772615,0
0,106288811734291,106288828506810,16.772519,0
0,106288828506810,106288845279360,16.77255,0
0,106288845279360,106288862051522,16.772162,0
0,106288862051522,106288878824067,16.772545,0
0,106288878824067,106288895596654,16.772587,0
0,106288895596654,106288912369407,16.772753,0
0,106288912369407,106288929142260,16.772853,0
0,106288929142260,106288945915002,16.772742,0
0,106288945915002,106288962688289,16.773287,0
0,106288962688289,106288979460926,16.772637,0
0,106288979460926,106288996233406,16.77248,0
0,106288996233406,106289013006082,16.772676,0
0,106289013006082,106289029778752,16.77267,0
0,106289029778752,106289046551442,16.77269,0
0,106289046551442,106289063324060,16.772618,0
0,106289063324060,106289080096495,16.772435,0
0,106289080096495,106289096869202,16.772707,0
0,106289096869202,106289113641862,16.77266,0
0,106289113641862,106289130414252,16.77239,0
0,106289130414252,106289147186640,16.772388,0
0,106289147186640,106289163959248,16.772608,0
0,106289163959248,106289180731846,16.772598,0
0,106289180731846,106289197504390,16.772544,0
0,106289197504390,106289214277112,16.772722,0
1,106289214277112,106289231049829,16.772717,0
1,106289231049829,106289247822641,16.772812,0
1,106289247822641,106289264595204,16.772563,0
1,106289264595204,106289281367828,16.772624,0
1,106289281367828,106289298140427,16.772599,0
1,106289298140427,106289314912994,16.772567,0
1,106289314912994,106289331685381,16.772387,0
1,106289331685381,106289348458019,16.772638,0
1,106289348458019,106289365230596,16.772577,0
1,106289365230596,106289382003113,16.772517,0
1,106289382003113,106289398775589,16.772476,0
1,106289398775589,106289415548238,16.772649,0
1,106289415548238,106289432320624,16.772386,0
1,106289432320624,106289449093360,16.772736,0
1,106289449093360,106289465865727,16.772367,0
1,106289465865727,106289482638264,16.772537,0
1,106289482638264,106289499410598,16.772334,0
1,106289499410598,106289516182986,16.772388,0
1,106289516182986,106289532955448,16.772462,0
1,106289532955448,106289549728165,16.772717,0
1,106289549728165,106289566500862,16.772697,0
1,106289566500862,106289583273376,16.772514,0
1,106289583273376,106289600045760,16.772384,0
1,106289600045760,106289616818294,16.772534,0
1,106289616818294,106289633590932,16.772638,0
1,106289633590932,106289650363559,16.772627,0
1,106289650363559,106289667135927,16.772368,0
1,106289667135927,106289683908534,16.772607,0
1,106289683908534,106289700680939,16.772405,0
1,106289700680939,106289717453578,16.772639,0
1,106289717453578,106289734225944,16.772366,0
1,106289734225944,106289750998176,16.772232,0
1,106289750998176,106289767770397,16.772221,0
1,106289767770397,106289784542859,16.772462,0
1,106289784542859,106289801315285,16.772426,0
1,106289801315285,106289818087925,16.77264,0
1,106289818087925,106289834860289,16.772364,0
1,106289834860289,106289851633021,16.772732,0
1,106289851633021,106289868405231,16.77221,0
1,106289868405231,106289885177718,16.772487,0
1,106289885177718,106289901950128,16.77241,0
1,106289901950128,106289918721791,16.771663,0
1,106289918721791,106289935494389,16.772598,0
1,106289935494389,106289952267310,16.772921,0
1,106289952267310,106289969039853,16.772543,0
1,106289969039853,106289985812187,16.772334,0
1,106289985812187,106290002584577,16.77239,0
1,106290002584577,106290019357643,16.773066,0
1,106290019357643,106290036130201,16.772558,0
1,106290036130201,106290052902925,16.772724,0
1,106290052902925,106290069675388,16.772463,0
1,106290069675388,106290086447984,16.772596,0
1,106290086447984,106290103220459,16.772475,0
1,106290103220459,106290119993053,16.772594,0
