Time (sec),Preproc Start Time (ns),Preproc End Time (ns),Preproc Time Elapsed (ms),Class Start Time (ns),Class SEnd Time (ns),Class STime Elapsed (ms),Result,,Total Proc Time (ms),Avg Proc Time (ms),,Num,Classifications Per Second,Avg Class per Sec,,Total Classifications
0,1.66E+14,1.66E+14,133.3151182,,1.66E+14,227.903356,daisy,,361.2184742,175.1296036,,0,2,4.996677741,,1504
0,1.66E+14,1.66E+14,110.7449072,,1.66E+14,72.597872,daisy,,183.3427792,,,1,5,,,
1,1.66E+14,1.66E+14,99.15771817,,1.66E+14,72.282716,roses,,171.4404342,,,2,5,,,True Positives
1,1.66E+14,1.66E+14,98.27261417,,1.66E+14,68.86282,roses,,167.1354342,,,3,5,,,428
1,1.66E+14,1.66E+14,98.01188517,,1.66E+14,68.554434,roses,,166.5663192,,,4,5,,,
1,1.66E+14,1.66E+14,97.00532217,,1.66E+14,69.248392,roses,,166.2537142,,,5,5,,,False Negatives
1,1.66E+14,1.66E+14,97.33329117,,1.66E+14,67.683601,roses,,165.0168922,,,6,5,,,1076
2,1.66E+14,1.66E+14,96.94063517,,1.66E+14,69.675528,roses,,166.6161632,,,7,5,,,
2,1.66E+14,1.66E+14,97.77209317,,1.66E+14,80.15381,roses,,177.9259032,,,8,5,,,Recall
2,1.66E+14,1.66E+14,96.92948817,,1.66E+14,85.393758,roses,,182.3232462,,,9,5,,,0.284574468
2,1.66E+14,1.66E+14,99.73094717,,1.66E+14,77.292247,roses,,177.0231942,,,10,5,,,
2,1.66E+14,1.66E+14,98.33469817,,1.66E+14,73.681258,roses,,172.0159562,,,11,5,,,
3,1.66E+14,1.66E+14,97.24938517,,1.66E+14,76.400841,roses,,173.6502262,,,12,5,,,
3,1.66E+14,1.66E+14,121.4088142,,1.66E+14,80.079904,roses,,201.4887182,,,13,5,,,
3,1.66E+14,1.66E+14,98.19344717,,1.66E+14,71.940997,roses,,170.1344442,,,14,5,,,
