Time (sec),Preproc Start Time (ns),Preproc End Time (ns),Preproc Time Elapsed (ms),Class Start Time (ns),Class SEnd Time (ns),Class STime Elapsed (ms),Result,,Total Proc Time (ms),Avg Proc Time (ms),,Num,Classifications Per Second,Avg Class per Sec,,Total Classifications
0,1.64E+14,1.64E+14,309.5602912,,1.64E+14,218.772522,daisy,,528.3328132,298.8536953,,0,1,2.873754153,,865
1,1.64E+14,1.64E+14,246.9647652,,1.64E+14,68.340684,daisy,,315.3054492,,,1,2,,,
1,1.64E+14,1.64E+14,246.1450762,,1.64E+14,69.649955,daisy,,315.7950312,,,2,3,,,True Positives
2,1.64E+14,1.64E+14,247.5453382,,1.64E+14,66.520007,roses,,314.0653452,,,3,3,,,806
2,1.64E+14,1.64E+14,246.3434116,,1.64E+14,72.403184,roses,,318.7465956,,,4,4,,,
2,1.64E+14,1.64E+14,281.0730492,,1.64E+14,74.945268,roses,,356.0183172,,,5,3,,,False Negatives
3,1.64E+14,1.64E+14,252.4086192,,1.64E+14,73.646935,daisy,,326.0555542,,,6,3,,,59
3,1.64E+14,1.64E+14,201.4405932,,1.64E+14,69.080163,daisy,,270.5207562,,,7,3,,,
3,1.64E+14,1.64E+14,192.6317382,,1.64E+14,68.6336,roses,,261.2653382,,,8,3,,,Recall
4,1.64E+14,1.64E+14,192.5935612,,1.64E+14,56.007245,roses,,248.6008062,,,9,3,,,0.931791908
4,1.64E+14,1.64E+14,200.3373632,,1.64E+14,67.371829,roses,,267.7091922,,,10,3,,,
4,1.64E+14,1.64E+14,193.6702282,,1.64E+14,61.144434,daisy,,254.8146622,,,11,3,,,
4,1.64E+14,1.64E+14,204.0924162,,1.64E+14,60.241048,roses,,264.3334642,,,12,3,,,
5,1.65E+14,1.65E+14,201.3555412,,1.65E+14,65.231569,roses,,266.5871102,,,13,3,,,
5,1.65E+14,1.65E+14,205.8478852,,1.65E+14,57.622662,roses,,263.4705472,,,14,3,,,
5,1.65E+14,1.65E+14,208.2799162,,1.65E+14,56.093235,daisy,,264.3731512,,,15,3,,,
6,1.65E+14,1.65E+14,201.7076252,,1.65E+14,64.791777,daisy,,266.4994022,,,16,3,,,
6,1.65E+14,1.65E+14,202.6160116,,1.65E+14,56.515682,roses,,259.1316936,,,17,3,,,
6,1.65E+14,1.65E+14,204.4091352,,1.65E+14,62.708495,roses,,267.1176302,,,18,3,,,
7,1.65E+14,1.65E+14,203.2117912,,1.65E+14,63.568339,roses,,266.7801302,,,19,3,,,
7,1.65E+14,1.65E+14,208.5028332,,1.65E+14,58.849172,roses,,267.3520052,,,20,3,,,
7,1.65E+14,1.65E+14,206.2525216,,1.65E+14,56.33537,roses,,262.5878916,,,21,3,,,
8,1.65E+14,1.65E+14,203.6583012,,1.65E+14,86.790113,roses,,290.4484142,,,22,3,,,
8,1.65E+14,1.65E+14,205.9480942,,1.65E+14,65.528913,roses,,271.4770072,,,23,3,,,
8,1.65E+14,1.65E+14,207.5768442,,1.65E+14,59.738444,roses,,267.3152882,,,24,3,,,
9,1.65E+14,1.65E+14,205.7911142,,1.65E+14,56.418182,roses,,262.2092962,,,25,3,,,
9,1.65E+14,1.65E+14,205.4291872,,1.65E+14,59.41037,roses,,264.8395572,,,26,3,,,
9,1.65E+14,1.65E+14,207.8877812,,1.65E+14,53.740214,roses,,261.6279952,,,27,3,,,
10,1.65E+14,1.65E+14,207.2763232,,1.65E+14,56.499328,daisy,,263.7756512,,,28,3,,,
10,1.65E+14,1.65E+14,206.4827292,,1.65E+14,58.99511,roses,,265.4778392,,,29,3,,,
10,1.65E+14,1.65E+14,204.9040312,,1.65E+14,62.526361,daisy,,267.4303922,,,30,3,,,
11,1.65E+14,1.65E+14,208.1321042,,1.65E+14,64.723496,daisy,,272.8556002,,,31,3,,,
11,1.65E+14,1.65E+14,206.9658542,,1.65E+14,61.34209,daisy,,268.3079442,,,32,3,,,
11,1.65E+14,1.65E+14,203.7272616,,1.65E+14,63.577923,daisy,,267.3051846,,,33,3,,,
12,1.65E+14,1.65E+14,200.5422616,,1.65E+14,56.291881,daisy,,256.8341426,,,34,3,,,
12,1.65E+14,1.65E+14,199.1672072,,1.65E+14,55.631776,roses,,254.7989832,,,35,3,,,
12,1.65E+14,1.65E+14,195.6836652,,1.65E+14,59.946569,roses,,255.6302342,,,36,3,,,
13,1.65E+14,1.65E+14,201.6460612,,1.65E+14,62.347142,roses,,263.9932032,,,37,3,,,
13,1.65E+14,1.65E+14,198.2573642,,1.65E+14,59.268964,roses,,257.5263282,,,38,4,,,
13,1.65E+14,1.65E+14,199.5436662,,1.65E+14,63.89386,daisy,,263.4375262,,,39,3,,,
14,1.65E+14,1.65E+14,206.3694482,,1.65E+14,56.620422,roses,,262.9898702,,,40,3,,,
14,1.65E+14,1.65E+14,205.0544482,,1.65E+14,64.41683,roses,,269.4712782,,,41,3,,,
14,1.65E+14,1.65E+14,198.7384062,,1.65E+14,56.840787,roses,,255.5791932,,,42,3,,,
15,1.65E+14,1.65E+14,202.9259582,,1.65E+14,65.414486,roses,,268.3404442,,,43,3,,,
15,1.65E+14,1.65E+14,205.4517416,,1.65E+14,54.361359,roses,,259.8131006,,,44,4,,,
15,1.65E+14,1.65E+14,207.7149162,,1.65E+14,63.933652,daisy,,271.6485682,,,45,3,,,
16,1.65E+14,1.65E+14,213.2480942,,1.65E+14,56.249589,roses,,269.4976832,,,46,3,,,
16,1.65E+14,1.65E+14,204.7794482,,1.65E+14,61.105943,roses,,265.8853912,,,47,3,,,
16,1.65E+14,1.65E+14,206.0795522,,1.65E+14,59.125735,daisy,,265.2052872,,,48,3,,,
17,1.65E+14,1.65E+14,205.9112712,,1.65E+14,63.200162,daisy,,269.1114332,,,49,3,,,
17,1.65E+14,1.65E+14,206.2588232,,1.65E+14,54.97287,daisy,,261.2316932,,,50,3,,,
17,1.65E+14,1.65E+14,211.7886672,,1.65E+14,54.37214,daisy,,266.1608072,,,51,3,,,
18,1.65E+14,1.65E+14,205.6852812,,1.65E+14,65.332246,daisy,,271.0175272,,,52,3,,,
18,1.65E+14,1.65E+14,205.7148122,,1.65E+14,60.966568,roses,,266.6813802,,,53,3,,,
18,1.65E+14,1.65E+14,205.1493952,,1.65E+14,67.334486,daisy,,272.4838812,,,54,3,,,
19,1.65E+14,1.65E+14,208.2327822,,1.65E+14,62.281464,daisy,,270.5142462,,,55,3,,,
19,1.65E+14,1.65E+14,202.9957516,,1.65E+14,59.287975,daisy,,262.2837266,,,56,3,,,
19,1.65E+14,1.65E+14,206.3502292,,1.65E+14,55.794537,daisy,,262.1447662,,,57,3,,,
20,1.65E+14,1.65E+14,207.6308542,,1.65E+14,58.870214,daisy,,266.5010682,,,58,3,,,
20,1.65E+14,1.65E+14,205.9687182,,1.65E+14,61.272559,daisy,,267.2412772,,,59,3,,,
20,1.65E+14,1.65E+14,206.2350732,,1.65E+14,61.703705,daisy,,267.9387782,,,60,3,,,
21,1.65E+14,1.65E+14,209.3587192,,1.65E+14,64.312506,daisy,,273.6712252,,,61,3,,,
21,1.65E+14,1.65E+14,204.5133012,,1.65E+14,57.995735,roses,,262.5090362,,,62,3,,,
21,1.65E+14,1.65E+14,207.9401252,,1.65E+14,53.102193,daisy,,261.0423182,,,63,3,,,
22,1.65E+14,1.65E+14,205.4933542,,1.65E+14,59.813548,daisy,,265.3069022,,,64,3,,,
22,1.65E+14,1.65E+14,206.3908542,,1.65E+14,58.684172,roses,,265.0750262,,,65,3,,,
22,1.65E+14,1.65E+14,207.5955422,,1.65E+14,62.149746,daisy,,269.7452882,,,66,3,,,
23,1.65E+14,1.65E+14,209.6796042,,1.65E+14,57.761933,daisy,,267.4415372,,,67,3,,,
23,1.65E+14,1.65E+14,203.6496032,,1.65E+14,61.177141,roses,,264.8267442,,,68,3,,,
23,1.65E+14,1.65E+14,209.5263232,,1.65E+14,56.054641,roses,,265.5809642,,,69,3,,,
24,1.65E+14,1.65E+14,207.4381982,,1.65E+14,60.144902,daisy,,267.5831002,,,70,3,,,
24,1.65E+14,1.65E+14,204.2369482,,1.65E+14,65.134694,daisy,,269.3716422,,,71,3,,,
24,1.65E+14,1.65E+14,206.4173642,,1.65E+14,63.669538,daisy,,270.0869022,,,72,3,,,
25,1.65E+14,1.65E+14,202.3298122,,1.65E+14,58.323651,daisy,,260.6534632,,,73,3,,,
25,1.65E+14,1.65E+14,210.8150212,,1.65E+14,55.115995,daisy,,265.9310162,,,74,3,,,
25,1.65E+14,1.65E+14,210.5030422,,1.65E+14,62.7011,roses,,273.2041422,,,75,3,,,
26,1.65E+14,1.65E+14,202.9624162,,1.65E+14,56.058338,daisy,,259.0207542,,,76,3,,,
26,1.65E+14,1.65E+14,206.1971562,,1.65E+14,62.460892,daisy,,268.6580482,,,77,3,,,
